DOCTYPE,PT,Code Year,Code Book,Division,Language,DOCID,DIVISION,PT Sentence Number,ARTICLE_TITLE,PT Sentence Text,PARTNUM,SECTIONNUM,SUBSECTIONNUM,ARTICLENUM,SENTENCENUM
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.15.4.3.(4),Foundation Walls Considered to be Laterally Supported at the,"For the purposes of Sentence 9.15.4.3.(3), the combined width of the openings shall be considered as a single opening if the average width is greater than the width of solid wall between them.",9.0,15,4,3,4
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.3.1.3.(1),Concrete in Contact with Sulphate Soil,"Concrete in contact with sulphate soil, which is deleterious to normal cement, shall conform to the requirements in Clause 4.1.1.6 of CSA A23.1-14 Concrete Materials and Methods of Concrete Construction",9.0,3,1,3,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.34.2.7.(1),Public and Service Areas,Every public or service area in buildings shall be provided with lighting outlets with fixtures controlled by a wall switch or panel to illuminate every portion of such areas.,9.0,34,2,7,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,3.2.2.65.(1),"Group E, up to 4 Storeys, Sprinklered","A building classified as Group E is permitted to conform to Sentence 3.2.2.65. provided except as permitted by Sentences 3.2.2.7. and 3.2.2.18.(2), the building is sprinklered throughout, it is not more than 4 storeys in building height, and it has a building area not more than 1 800 m2.",3.0,2,2,65,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.25.5.1.(4),General,"Where a material has a water vapour permeance not less than 30 ng/(Pa s and a thermal resistance not less than 0.7 (m2·K)/W and the heating degree-days of the building location are less than 6000, the assembly need not comply with Sentence 9.25.5.1.(1).",9.0,25,5,1,4
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,6.3.1.7.(5),Commercial Cooking Equipment,"A food establishment in which food is prepared and the process generates odours, smoke, steam or heat shall have a mechanical ventilation system that includes canopies, ductwork and fans to remove odours, smoke, steam or heat to the exterior of the building.",6.0,3,1,7,5
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,7.2.3.1.(1),Plumbing Code and Private Sewage Disposal Systems Regulations,All plumbing installations shall comply with the Plumbing Code Regulation and Private Sewage Disposal Systems Regulation made pursuant to the Safety Codes Act.,7.0,2,3,1,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,3.2.2.83.(2),"Group F, Division 3, up to 3 Storeys","The building referred to in Sentence 3.2.2.83. is permitted to be of combustible construction or noncombustible construction used singly or in combination, and floor assemblies shall be fire separations and, if of combustible construction, shall have a fire-resistance rating not less than 45 min, mezzanines shall have, if of combustible construction, a fire-resistance rating not less than 45 min, roof assemblies shall have, if of combustible construction, a fire-resistance rating not less than 45 min, except that in a building not more than 1 storey in building height, the fire-resistance rating is permitted to be waived provided the roof assembly is constructed as a fire-retardant-treated wood roof system conforming to Article 3.1.14.1., and the building area is not more than 2 400 m2 if facing one street, 3 000 m2 if facing 2 streets, or 3 600 m2 if facing 3 streets, and loadbearing walls, columns and arches supporting an assembly required to have a fire-resistance rating shall have a fire-resistance rating not less than 45 min, or be of noncombustible construction.",3.0,2,2,83,2
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.10.12.1.(1),Termination of Floors or Mezzanines,"Except as provided in Sentence 9.10.12.1. and in Articles 9.10.1.3. and 9.10.9.5., the portions of a floor area or mezzanine that do not terminate at an exterior wall, a firewall or a vertical shaft, shall terminate at a vertical fire separation having a fire-resistance rating not less than that required for the floor assembly that terminates at the separation.",9.0,10,12,1,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.26.6.1.(1),Materials,"Except as required in Sentence 9.26.6.1.(2), when underlay is used beneath shingles, it shall be asphalt-saturated sheathing paper weighing not less than 0.195 kg/m2, or No. 15 plain or perforated asphalt-saturated felt.",9.0,26,6,1,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.21.4.2.(1),Concrete,Concrete shall conform to part 9.,9.0,21,4,2,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.21.4.6.(1),Chimney Caps,"The top of a chimney shall have a waterproof cap of reinforced concrete, masonry or metal.",9.0,21,4,6,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.10.17.11.(1),Walls and Ceilings in Bathrooms,The interior finish of walls and ceilings in bathrooms within suites of residential occupancy shall have a surface flame-spread rating of not more than 200.,9.0,10,17,11,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.10.18.2.(1),Fire Alarm System Required,"Except as permitted in Sentences 9.10.18.2. and 9.10.18.2.(4), a fire alarm system shall be installed in buildings in which a sprinkler system is installed.",9.0,10,18,2,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,3.4.6.11.(1),Doors,The distance between a stair riser and the leading edge of a door during its swing shall be not less than 300 mm.,3.0,4,6,11,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,3.6.5.2.(1),Vibration Isolation Connectors,"Except as permitted by Sentence 3.6.5.2.(2), vibration isolation connectors in air duct systems shall be noncombustible.",3.0,6,5,2,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,3.2.8.3.(1),Sprinklers,A building containing an interconnected floor space shall be sprinklered throughout.,3.0,2,8,3,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,3.3.1.9.(2),Corridors,"Except as required by Sentence 3.3.3.3.(3), the minimum unobstructed width of a corridor used by the public or a corridor serving classrooms or patients’ sleeping rooms shall be 1 100 mm.",3.0,3,1,9,2
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,3.2.2.89.(1),"Group F, Division 3, One Storey, Any Area, Low Fire Load Occupancy","A building classified as Group F, Division 3 is permitted to conform to Sentence 3.2.2.89. provided it is not more than 1 storey in building height, used solely for low fire loadoccupancies such as power generating plants, or plants for the manufacture or storage of noncombustible materials, and not limited in building area.",3.0,2,2,89,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,3.9.1.3.(1),Occupancy Classification,"Self-service storage buildings shall be classified as Group F, Division 2 major occupancies.",3.0,9,1,3,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.33.6.12.(3),Return-Air Inlets,"Provision shall be made for the return of air from all rooms by leaving gaps beneath doors, using louvred doors or installing return duct inlets.",9.0,33,6,12,3
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.33.6.14.(1),Filters and Odour Removal Equipment,Air filters for air duct systems shall conform to the requirements for Class 2 air filter units as described in ULC CAN/ULC-S111-13 Fire Tests for Air Filter Units,9.0,33,6,14,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.13.4.3.(2),Providing for the Rough-in for a Subfloor Depressurization,"The rough-in referred to in Sentence 9.13.4.3. shall include a gas-permeable layer installed in the space between the air barrier and the ground to allow the depressurization of that space, an inlet that allows for the effective depressurization of the gas-permeable layer (see Note A-9.13.4.3.(2)(b)), and an outlet in the conditioned space that permits connection to depressurization equipment, is sealed to maintain the integrity of the air barrier system, and is clearly labeled to indicate that it is intended only for the removal of radon from below the floor-on-ground.",9.0,13,4,3,2
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.36.5.15.(16),Modeling HVAC System of Reference House,"For natural gas-, oil-, propane- and wood-burning heating systems, the energy model calculations shall set the auxiliary electricity capacity, including that of combustion fans, to 208 W during operation.",9.0,36,5,15,16
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,7.2.6.2.(10),Whirlpools,At least one emergency shutdown switch shall be located at pool side for use by the supervisory staff of a whirlpool.,7.0,2,6,2,10
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,7.2.7.3.(14),Flume and Receiving Pool Design and Construction,"Except as required by Sentence 7.2.7.3.(15), multiple-egress water slide flumes shall have parallel discharges or be constructed so that their centre lines do not intersect for a distance not less than 6 m from the discharge of each flume.",7.0,2,7,3,14
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,10.6.4.2.(2),"Kitchen Hoods, Canopies and Exposed Exhaust Ducts",A demountable exhaust extension may be used if the connection is exposed and is grease-tight.,10.0,6,4,2,2
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,3.1.1.2.(1),Defined Words,Words that appear in italics are defined in Article 1.4.1.2..,3.0,1,1,2,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.7.2.2.(6),"Other Requirements for Windows, Doors and Skylights",Doors between dwelling units and attached garages shall conform to Article 9.10.13.15.,9.0,7,2,2,6
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.23.9.4.(6),"Strapping, Bridging, Furring and Ceilings in Span Tables 9.23.4.2.-A","Where a ceiling attached to wood furring is specified in Span Table 9.23.4.2.-B, the ceiling finish shall consist of gypsum board, plywood or OSB not less than 12.7 mm thick, and the furring shall be 19 mm by 89 mm wood furring spaced at not more than 600 mm o.c., or 19 mm by 64 mm wood furring spaced at not more than 400 mm o.c.",9.0,23,9,4,6
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.26.7.2.(2),Starter Strip,"Starter strips shall be at least Type M mineral-surfaced roll roofing not less than 300 mm wide, shingles of the same weight and quality as those used as a roof covering with tabs facing up the roof slope, or pre-manufactured starter strips installed with sealant at the eaves.",9.0,26,7,2,2
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.26.4.4.(2),Intersection of Shingle Roofs and Masonry,Counterflashing required in Sentence 9.26.4.4. shall be embedded not less than 25 mm in the masonry and shall extend not less than 150 mm down the masonry and lap the lower flashing not less than 100 mm.,9.0,26,4,4,2
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.29.7.2.(1),Thickness,"Hardboard shall be not less than 3 mm thick where applied over continuous backing, 6 mm thick when applied over supports spaced not more than 400 mm o.c., and 9 mm thick when applied over supports spaced not more than 600 mm o.c.",9.0,29,7,2,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.30.2.2.(2),Materials and Thickness,"Panel-type underlay under ceramic tile applied with adhesive shall be not less than 6 mm thick where the supports are spaced up to 300 mm o.c., and 11 mm thick where the supports are spaced wider than 300 mm o.c.",9.0,30,2,2,2
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.21.2.5.(1),Fireplace Chimneys,The size of a chimneyflue serving a masonry fireplace shall conform to Table 9.21.2.5.-Aor 9.21.2.5.-B.,9.0,21,2,5,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,3.4.6.16.(5),Door Release Hardware,"Electromagnetic locks that do not incorporate latches, pins or other similar devices to keep the door in the closed position are permitted to be installed on doors in Group B, Division 2 and Division 3 occupancies, provided the building is equipped with a fire alarm system, and sprinklered, the electromagnetic lock releases upon actuation of the alarm signal from the building’s fire alarm system, loss of its power supply and of power to its auxiliary controls, actuation of a manually operated switch that is readily accessible at a constantly attended location within the locked space, and actuation of the manual station installed within 0.5 m of each door and equipped with an auxiliary contact, which directly releases the electromagnetic lock, upon release, the electromagnetic lock requires manual resetting by actuation of the switch referred to in Sentence 3.4.6.16.(5), a legible sign with the words ""EMERGENCY EXIT UNLOCKED BY FIRE ALARM"" written in letters at least 25 mm high with a stroke at least 5 mm wide is permanently mounted on the door, the operation of any by-pass switch, where provided for testing of the fire alarm system, sets off an audible signal and a visual signal at the fire alarm annunciator panel and at the monitoring station referred to in Sentence 3.2.4.7.(4), and emergency lighting is provided at the doors.",3.0,4,6,16,5
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,3.4.6.11.(3),Doors,"Except for doors providing access to ground level as required by Sentence 3.3.1.7.(1)and 3.3.1.7.(1), an exit door is permitted to open onto not more than one step which shall be not more than 150 mm high where there is a risk of blockage by ice or snow.",3.0,4,6,11,3
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,3.6.5.6.(4),Clearance of Ducts and Plenums,"If the plenum clearance required in accordance with Sentence 3.6.5.6. is more than 150 mm, the clearance between a supply duct and combustible material shall be not less than the required plenum clearance within a horizontal distance of 1 000 mm from the plenum, 150 mm within a horizontal distance between 1 000 mm and 1 800 mm from the plenum, and 25 mm at a horizontal distance of 1 800 mm or more from the plenum, except that this distance is permitted to be reduced to 8 mm beyond a bend or offset in the duct sufficiently large to shield the remainder of the supply duct from direct radiation from the furnace heat exchanger.",3.0,6,5,6,4
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,3.2.7.10.(1),Protection of Electrical Conductors,"The protection of electrical and emergency conductors referred to in Clauses 3.2.7.10.(1)to 3.2.7.10. shall conform to the requirements stated in Sentences 3.2.7.10.(2)to 3.2.7.10.(11): electrical conductors located within buildings identified in Article 3.2.6.1. serving fire alarms, emergency lighting, or emergency equipment within the scope of Articles 3.2.6.2. to 3.2.6.8., emergency conductors serving fire pumps required to be installed under Article 3.2.5.18., and electrical conductors serving mechanical systems serving areas of refuge identified in Sentence 3.3.3.6.(1), or contained use areas identified in Clauses 3.3.3.7. and 3.3.3.7.(4).",3.0,2,7,10,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,3.4.2.2.(1),Means of Egress from Mezzanines,"Except as permitted by Sentences 3.4.2.2. and 3.4.2.2.(3), the space above a mezzanine shall be served by means of egress leading to exits accessible at the mezzanine level on the same basis as floor areas.",3.0,4,2,2,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,3.2.4.9.(2),Electrical Supervision,"If a fire alarm system in a building is required to have an annunciator by Sentence 3.2.4.8.(1), except for hose valves, all valves controlling water supplies in a standpipe system shall be equipped with an electrically supervised switch for transmitting a trouble signal to the annunciator in the event of movement of the valve handle.",3.0,2,4,9,2
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,3.1.9.5.(3),Combustible Piping Penetrations,"Except as permitted by Sentences 3.1.9.5. to 3.1.9.5.(5), combustible piping shall not be used in a drain, waste and vent piping system if any part of that system penetrates a fire separation required to have a fire-resistance rating, or a membrane that forms part of an assembly required to have a fire-resistance rating.",3.0,1,9,5,3
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.10.2.3.(1),Major Occupancies above Other Major Occupancies,"Except as permitted in Article 9.10.2.4., in any building containing more than one major occupancy in which one major occupancy is located entirely above another, the requirements of Article 9.10.8.1. for each portion of the building containing a major occupancy shall be applied to that portion as if the entire building was of that major occupancy.",9.0,10,2,3,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,3.1.8.11.(5),Installation of Smoke Dampers,A tightly fitted access door shall be installed for each smoke damper and combination smoke/fire damper to provide access for their inspection and the resetting of the release device. (See Note A-3.1.8.10.(5).),3.0,1,8,11,5
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.36.2.4.(2),Calculation of Effective Thermal Resistance of Assemblies,"Minor penetrations through assemblies, such as pipes, ducts, equipment with through-the-wall venting, packaged terminal air conditioners or heat pumps, shelf angles, anchors and ties and associated fasteners, and minor structural members that must partially or completely penetrate the building envelope to perform their intended function need not be taken into account in the calculation of the effective thermal resistance of that assembly.",9.0,36,2,4,2
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.20.11.4.(1),Anchoring Wood-Frame Roof Systems to Masonry Walls,"Except as permitted in Sentence 9.20.11.4.(2), roof systems of wood-frame construction shall be anchored to exterior masonry walls by not less than 12.7 mm diam anchor bolts, spaced not more than 2.4 m apart, embedded not less than 90 mm into the masonry, and fastened to a rafter plate of not less than 38 mm thick lumber.",9.0,20,11,4,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,4.3.1.1.(1),Design Basis for Wood,Buildings and their structural members made of wood shall conform to CSA O86-14 Engineering Design in Wood,4.0,3,1,1,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.32.3.11.(8),Ducts,"Joints in all ventilation system ducting shall be sealed with mastic, metal foil duct tape or the manufacturers’ specified sealants.",9.0,32,3,11,8
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,3.1.13.2.(4),Flame-Spread Rating,"Up to 10% of the total wall area and 10% of the total ceiling area of a wall or ceiling finish that is required by Sentence 3.1.13.2. to have a flame-spread rating less than 150 is permitted to have a flame-spread rating not more than 150, except that up to 25% of the total wall area of lobbies described in Sentence 3.4.4.2. is permitted to have a flame-spread rating not more than 150.",3.0,1,13,2,4
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.9.6.1.(1),Obstructions by Doors,"Except as provided in Sentence 9.9.6.1.(4), obstructions created by doors shall be limited in accordance with Sentences 9.9.6.1.(2)and 9.9.6.1. at exit doors, at doors that open into or are located within a public corridor, and at doors that open into or are located within another facility that provides access to exit from a suite.",9.0,9,6,1,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,4.1.5.6.(1),Loads for Dining Areas,"The minimum specified live load listed in Table 4.1.5.3. for dining areas may be reduced to 2.4 kPa for areas in buildings that are being converted to dining areas, provided that the floor area does not exceed 100 m2 and the dining area will not be used for other assembly purposes, including dancing.",4.0,1,5,6,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.9.8.5.(3),Exiting through a Lobby,"The lobby referred to in Sentence 9.9.8.5. shall conform in all respects to the requirements for exits, except that rooms other than service rooms, storage rooms and rooms of residential or industrial occupancy are permitted to open directly onto such lobby.",9.0,9,8,5,3
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,4.1.8.4.(3),Site Properties,"If average shear wave velocity, V s30, is not known, Site Class shall be determined from energy-corrected Average Standard Penetration Resistance, N 60, or from soil average undrained shear strength, su, as noted in Table 4.1.8.4.-A, N 60 and su being calculated based on rational analysis. (See Note A-4.1.8.4.(3).)",4.0,1,8,4,3
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.23.13.5.(4),Braced Wall Panels in Braced Wall Bands,"Walls in detached garages and in accessory buildings serving a single dwelling unit, and the front wall of attached garages serving a single dwelling unit need not comply with Sentence 9.23.13.5. where these walls do not support a floor.",9.0,23,13,5,4
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.27.10.3.(2),Panel Cladding,Not less than a 3 mm gap shall be provided between sheets in cladding described in Sentence 9.27.10.3.(1).,9.0,27,10,3,2
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.23.15.5.(2),Subfloor Thickness or Rating,"Where the finished flooring consists of not less than 19 mm matched wood strip flooring laid at right angles to joists spaced not more than 600 mm o.c., subflooring shall be permitted to consist of not less than 12.5 mm thick plywood, 12.5 mm thick OSB conforming to O-2 grade, 12.7 mm thick OSB conforming to O-1 grade, 12.7 mm thick waferboard conforming to R-1 grade, or OSB conforming to 2R32/2F16 grade.",9.0,23,15,5,2
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.23.15.6.(1),Annular Grooved Nails,"When resilient flooring is applied directly to an OSB, waferboard, particleboard or plywood subfloor, the subfloor shall be fastened to the supports with annular grooved nails.",9.0,23,15,6,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.32.3.1.(2),Required Ventilation,"Mechanical ventilation systems complying with the balance of this Subsection shall incorporate at least the following components: a principal ventilation system complying with Article 9.32.3.3., supplemental exhaust fans complying with Article 9.32.3.7., and protection against depressurization in accordance with Article 9.32.3.8.",9.0,32,3,1,2
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.10.16.1.(7),Required Fire Blocks in Concealed Spaces,"Concealed spaces in mansard or gambrel style roofs, exterior cornices, balconies and canopies of combustible construction in which the exposed construction materials within the space have a surface flame-spread rating exceeding 25 shall have vertical fire blocks at intervals of not more than 20 m and at points where such concealed spaces extend across the ends of required vertical fire separations.",9.0,10,16,1,7
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,3.2.2.12.(1),Exterior Passageways,An elevated exterior passageway used as part of a means of egress shall conform to the requirements of Articles 3.2.2.20.to 3.2.2.90. for mezzanines.,3.0,2,2,12,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,3.1.5.15.(4),Foamed Plastic Insulation,"Foamed plastic insulation with a flame-spread rating more than 25 but not more than 500 on any exposed surface, or any surface that would be exposed by cutting through the material in any direction, is permitted in the interior walls, within ceilings and within roof assemblies of a building required to be of noncombustible construction that is not sprinklered and is more than 18 m high, measured from grade to the underside of the roof, provided the insulation is protected from adjacent space in the building, other than adjacent concealed spaces within wall assemblies, by a thermal barrier consisting of Type X gypsum board not less than 15.9 mm thick, mechanically fastened to a supporting assembly independent of the insulation and with all joints either backed or taped and filled, conforming to ASTM C 1177/C 1177M-13 Glass Mat Gypsum Substrate for Use as Sheathing ASTM C 1178/C 1178M-13 Coated Glass Mat Water-Resistant Gypsum Backing Panel ASTM C 1396/C 1396M-14 Gypsum Board or CSA CAN/CSA-A82.27-M91 Gypsum Board non-loadbearing masonry or concrete not less than 50 mm thick, loadbearing masonry or concrete not less than 75 mm thick, or any thermal barrier that, when tested in conformance with ULC CAN/ULC-S101-14 Fire Endurance Tests of Building Construction and Materials does not develop an average temperature rise more than 140°C or a maximum temperature rise more than 180°C at any point on its unexposed face within 20 min, and remains in place for not less than 40 min.",3.0,1,5,15,4
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.3.1.5.(1),Water,"Water shall be clean and free of injurious amounts of oil, organic matter, sediment or any other deleterious material.",9.0,3,1,5,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,3.2.2.71.(2),"Group F, Division 1, up to 3 Storeys, Sprinklered","The building referred to in Sentence 3.2.2.71. is permitted to be of heavy timber construction or noncombustible construction used singly or in combination, and floor assemblies shall be fire separations with a fire-resistance rating not less than 45 min, and loadbearing walls, columns and arches shall have a fire-resistance rating not less than that required for the supported assembly.",3.0,2,2,71,2
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.32.3.8.(3),Protection Against Depressurization,An outdoor makeup air supply fan required by Sentence 9.32.3.8. shall be wired so that it is activated whenever the device for which it supplies outdoor makeup air is activated.,9.0,32,3,8,3
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.31.1.1.(4),Application,Systems used for service water heating shall conform to the energy efficiency requirements in part 9.,9.0,31,1,1,4
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.10.20.1.(1),Windows or Access Panels Required,"Except as provided in Sentence 9.10.20.1.(3), a window or access panel providing an opening not less than 1 100 mm high and 550 mm wide and having a sill height of not more than 900 mm above the floor shall be provided on the second and third storeys of every building in at least one wall facing on a street if such storeys are not sprinklered.",9.0,10,20,1,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.14.2.1.(1),Foundation Wall Drainage,"Unless it can be shown to be unnecessary, the bottom of every exterior foundation wall shall be drained by drainage tile or pipe laid around the exterior of the foundation in conformance with part 9. or by a layer of gravel or crushed rock in conformance with part 9.",9.0,14,2,1,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.36.2.10.(2),Construction of Air Barrier Details,"Materials referred to in Sentence 9.36.2.10. shall be compatible with adjoining materials, and free of holes and cracks.",9.0,36,2,10,2
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,7.2.3.14.(1),Anchorage Fittings and Hardware,"Anchorage fittings and hardware for play equipment shall be corrosion-resistant and not pose a cutting, pinching or abrasion hazard.",7.0,2,3,14,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,10.1.1.4.(1),Renovation Requirement of Existing Units,"Sections 10. and 10. apply to a building constructed on or after 01 April 2019, and except as varied by Sentence 10.1.1.4.(2), a building constructed before 01 April 2019 at the time of relocation.",10.0,1,1,4,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,7.2.9.3.(1),Doors,"A door to a steam room or sauna room shall be readily openable, swing outward from the room, and be designed, where a locking device is provided, to only be locked by authorized staff, and be capable of being unlocked from the inside of the room with one hand in a closed fist position, without requiring tight grasping, pinching with fingers, or twisting of the wrist.",7.0,2,9,3,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,3.1.14.2.(2),Metal Roof Deck Assemblies,"The requirements of Sentence 3.1.14.2. are waived provided the combustible material above the roof deck is protected by not less than 12.7 mm thick gypsum board, mechanically fastened to a supporting assembly if located beneath the roof deck, or by a thermal barrier conforming to one of Clauses 3.1.5.15. to 3.1.5.15. that is located on the underside of the combustible material, or beneath the roof deck, the building is sprinklered throughout, or the roof assembly has a fire-resistance rating not less than 45 min.",3.0,1,14,2,2
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.23.11.2.(1),Bottom Wall Plates,A bottom wall plate shall be provided in all cases.,9.0,23,11,2,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.23.13.6.(2),Materials in Braced Wall Panels,"Except as provided in Sentence 9.23.13.6.(3), required interior braced wall panels shall be sheathed or finished on both sides with a wood-based material, or finished on both sides with gypsum board.",9.0,23,13,6,2
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.23.14.11.(3),Roof Trusses,"Where the length of compression web members in roof trusses described in Sentence 9.23.14.11. exceeds 1.83 m, such web members shall be provided with continuous bracing to prevent buckling.",9.0,23,14,11,3
