Variation Sentence Number,Variation Sentence,Full Code Sentence,Similarity,Added
9.32.3.6.(1),"A ventilation system with no provision for the introduction of outdoor air to the dwelling unit may only be used where the dwelling unit contains no solid-fuel-burning appliance, no fireplace of other than direct-vented type, and no other fuel-fired space- or water-heating appliance of other than direct-vented or mechanically vented types, and has a forced air distribution system with a circulation fan with a rated capacity equal to at least 5 times the actual normal operating exhaust capacity of the fan installed to satisfy the requirement for a principal ventilation fan, a supply side that complies with Sentences 9.32.3.5. to 9.32.3.5.(12), and a return side that complies with Articles 9.33.6.12. and 9.33.6.13.","A ventilation system with no provision for the introduction of outdoor air to the dwelling unit may only be used where the dwelling unit contains no solid-fuel-burning appliance, no fireplace of other than direct-vented type, and no other fuel-fired space- or water-heating appliance of other than direct-vented or mechanically vented types, and has a forced air distribution system with a circulation fan with a rated capacity equal to at least 5 times the actual normal operating exhaust capacity of the fan installed to satisfy the requirement for a principal ventilation fan, a supply side that complies with Sentences 9.32.3.5.(10)to 9.32.3.5.(12), and a return side that complies with Articles 9.33.6.12.and 9.33.6.13.",0.9821428571428571,True
6.3.1.4.(1),"Except as provided in Sentences 6.3.1.4. and 6.3.1.4.(6), an enclosed storage garage for five or more motor vehicles shall have a mechanical ventilation system designed to limit the concentration of carbon monoxide to not more than 100 parts per million parts of air, limit the concentration of nitrogen dioxide to not more than 3 parts per million parts of air, where the majority of the vehicles stored are powered by diesel-fuelled engines, or provide, during operating hours, a continuous supply of outdoor air at a rate of not less than 3.9 L/s for each square metre of floor area (see Article 3.3.1.20.). (See also Sentence 3.3.5.4.(4).) (See Note A-6.3.1.4.(1).)","Except as provided in Sentences 6.3.1.4.(4)and 6.3.1.4.(6), an enclosed storage garage for five or more motor vehicles shall have a mechanical ventilation system designed to limit the concentration of carbon monoxide to not more than 100 parts per million parts of air, limit the concentration of nitrogen dioxide to not more than 3 parts per million parts of air, where the majority of the vehicles stored are powered by diesel-fuelled engines, or provide, during operating hours, a continuous supply of outdoor air at a rate of not less than 3.9 L/s for each square metre of floor area (see Article 3.3.1.20.). (See also Sentence 3.3.5.4.(4).) (See Note A-6.3.1.4.(1).)",0.981651376146789,True
7.1.1.2.(2),"Any fire emergency system required by Subsection 3.2.6. of Division B of the NBC that does not conform to a specific measure outlined in Commentary C of the CCBFC NRCC 40383 User's Guide NBC 1995 Fire Protection, Occupant Safety and Accessibility (Part 3)shall be tested to ensure that it operates as intended.","Any fire emergency system required by Subsection 3.2.6. of Division B of the NBC that does not conform to a specific measure outlined in Commentary C of the CCBFC NRCC 40383 User's Guide – NBC 1995 Fire Protection, Occupant Safety and Accessibility (Part 3)shall be tested to ensure that it operates as intended.",0.9811320754716981,True
3.2.8.2.(1),"Except as provided in Sentences 3.2.8.2. and 3.2.8.2.(3), cylinders of dangerous goods classified as flammable gases stored indoors shall be located in a room that is separated from the remainder of the building in conformance with Sentence 3.3.6.3. of Division B of the NBC, is located on an exterior wall of the building, can be entered from the exterior, and whose closures leading to the interior of the building are in conformance with Sentence 3.3.6.3. of Division B of the NBC, is designed to prevent critical structural and mechanical damage from an internal explosion in conformance with good engineering practice such as that described in NFPA 68-2013 Explosion Protection by Deflagration Venting (see Note A-3.2.8.2.(1)(d)), is provided with natural or mechanical ventilation in conformance with part 4., does not contain fuel-fired appliances or high-temperature heating elements, and is used for no purpose other than the storage of dangerous goods classified as compressed gases.","Except as provided in Sentences 3.2.8.2.(2)and 3.2.8.2.(3), cylinders of dangerous goods classified as flammable gases stored indoors shall be located in a room that is separated from the remainder of the building in conformance with Sentence 3.3.6.3. of Division B of the NBC, is located on an exterior wall of the building, can be entered from the exterior, and whose closures leading to the interior of the building are in conformance with Sentence 3.3.6.3. of Division B of the NBC, is designed to prevent critical structural and mechanical damage from an internal explosion in conformance with good engineering practice such as that described in NFPA 68-2013 Explosion Protection by Deflagration Venting (see Note A-3.2.8.2.(1)(d)), is provided with natural or mechanical ventilation in conformance with Subsection 4.1.7., does not contain fuel-fired appliances or high-temperature heating elements, and is used for no purpose other than the storage of dangerous goods classified as compressed gases.",0.9803921568627451,True
5.1.2.1.(1),"Where wiring or electrical equipment is located in areas in which flammable gases or vapours, combustible dusts or combustible fibres are present in quantities sufficient to create a hazard, such wiring and electrical equipment shall conform to CSA C22.1-12 Canadian Electrical Code, Part I for hazardous locations. (See Note A-5.1.2.1.(1).)","Where wiring or electrical equipment is located in areas in which flammable gases or vapours, combustible dusts or combustible fibres are present in quantities sufficient to create a hazard, such wiring and electrical equipment shall conform to CSA C22.1-12 Canadian Electrical Code, Part I for hazardous locations. (See Note A-3.3.6.2.(4).)",0.98,True
3.2.2.81.(1),"Except as permitted by Sentences 3.2.2.7. and 3.2.2.7.(4), a building classified as Group F, Division 3 is permitted to conform to Sentence 3.2.2.81. provided it is not more than 6 storeys in building height, and it has a building area not more than the value in Table 3.2.2.81.","Except as permitted by Sentences 3.2.2.7.(3)and 3.2.2.7.(4), a building classified as Group F, Division 3 is permitted to conform to Sentence 3.2.2.81. provided it is not more than 6 storeys in building height, and it has a building area not more than the value in Table 3.2.2.81.",0.9791666666666666,True
9.23.6.1.(2),"Except as provided in Sentences 9.23.6.1. to 9.23.6.1.(6), anchorage shall be provided by embedding the ends of the first floor joists in concrete, or fastening the sill plate to the foundation with not less than 12.7 mm diam anchor bolts spaced not more than 2.4 m o.c.","Except as provided in Sentences 9.23.6.1.(3)to 9.23.6.1.(6), anchorage shall be provided by embedding the ends of the first floor joists in concrete, or fastening the sill plate to the foundation with not less than 12.7 mm diam anchor bolts spaced not more than 2.4 m o.c.",0.9787234042553191,True
9.26.4.6.(2),"Counter flashing installed over the intersection referred to in Sentence  shall be embedded not less than 25 mm in the masonry, and shall be of sufficient length to extend down not less than 150 mm, lapping the membrane on the masonry not less than 100 mm.","Counter flashing installed over the intersection referred to in Sentence 9.26.4.6. shall be embedded not less than 25 mm in the masonry, and shall be of sufficient length to extend down not less than 150 mm, lapping the membrane on the masonry not less than 100 mm.",0.9787234042553191,True
3.3.6.6.(1),"Where Article 3.2.9.1. of Division B of the NFC applies due to the quantity and nature of the stored product, and as stipulated in Sentences  to , buildings used for the storage of ammonium nitrate shall be classified as medium-hazard industrial occupancies (Group F, Division 2).","Where Article 3.2.9.1. of Division B of the NFC applies due to the quantity and nature of the stored product, and as stipulated in Sentences 3.3.6.6.(2)to 3.3.6.6.(6), buildings used for the storage of ammonium nitrate shall be classified as medium-hazard industrial occupancies (Group F, Division 2).",0.9782608695652174,True
3.2.2.18.(1),"Except as permitted by Sentence 3.2.2.18.(2), an automatic sprinkler system conforming to the requirements of Articles 3.2.4.7., Article 3.2.4.8., Article 3.2.4.9. and Article 3.2.5.12. shall be installed throughout a building regulated by one or more of Articles 3.2.2.20., Article 3.2.2.21., Article 3.2.2.22., Article 3.2.2.23., Article 3.2.2.24., Article 3.2.2.26., Article 3.2.2.27., Article 3.2.2.29., Article 3.2.2.31., Article 3.2.2.33., Article 3.2.2.36., Article 3.2.2.37., Article 3.2.2.38., Article 3.2.2.39., Article 3.2.2.40., Article 3.2.2.41., Article 3.2.2.42., Article 3.2.2.43., Article 3.2.2.44., Article 3.2.2.45., Article 3.2.2.46., Article 3.2.2.47., Article 3.2.2.48., Article 3.2.2.49., Article 3.2.2.50., Article 3.2.2.51., Article 3.2.2.54., Article 3.2.2.55., Article 3.2.2.57., Article 3.2.2.58., Article 3.2.2.59., Article 3.2.2.61., Article 3.2.2.63., Article 3.2.2.64., Article 3.2.2.65., Article 3.2.2.67., Article 3.2.2.69., Article 3.2.2.70., Article 3.2.2.71., Article 3.2.2.72., Article 3.2.2.74., Article 3.2.2.75., Article 3.2.2.77., Article 3.2.2.79., Article 3.2.2.80., Article 3.2.2.82., Article 3.2.2.84., Article 3.2.2.86. and Article 3.2.2.88.","Except as permitted by Sentence 3.2.2.18.(2), an automatic sprinkler system conforming to the requirements of Articles 3.2.4.7., Article 3.2.4.8., Article 3.2.4.9. and Article 3.2.5.12. shall be installed throughout a building regulated by one or more of Articles 3.2.2.20., Article 3.2.2.21., Article 3.2.2.22., Article 3.2.2.23., Article 3.2.2.24., Article 3.2.2.26., Article 3.2.2.27., Article 3.2.2.29., Article 3.2.2.31., Article 3.2.2.33., Article 3.2.2.36., Article 3.2.2.37., Article 3.2.2.38., Article 3.2.2.39., Article 3.2.2.40., Article 3.2.2.41., Article 3.2.2.42., Article 3.2.2.43., Article 3.2.2.44., Article 3.2.2.45., Article 3.2.2.46., Article 3.2.2.47., Article 3.2.2.48., Article 3.2.2.51., Article 3.2.2.54., Article 3.2.2.55., Article 3.2.2.57., Article 3.2.2.59., Article 3.2.2.61., Article 3.2.2.63., Article 3.2.2.64., Article 3.2.2.65., Article 3.2.2.67., Article 3.2.2.69., Article 3.2.2.70., Article 3.2.2.71., Article 3.2.2.72., Article 3.2.2.74., Article 3.2.2.75., Article 3.2.2.77., Article 3.2.2.79., Article 3.2.2.80., Article 3.2.2.82., Article 3.2.2.84., Article 3.2.2.86. and Article 3.2.2.88.",0.9777777777777777,True
3.3.1.7.(1),"Every floor area above or below the first storey that is not sprinklered throughout and that has a barrier-free path of travel shall be served by an elevator conforming to Sentences 3.2.6.5. to 3.2.6.5.(8), protected against fire in conformance with Clauses 3.2.6.5. or 3.2.6.5.(5), and in a building over 3 storeys in building height, protected against smoke movement so that the hoistway will not contain more than 1% by volume of contaminated air from a fire floor during a period of 2 h after the start of a fire, assuming an outdoor temperature equal to the January design temperature on a 2.5% basis determined in conformance with Subsection 1.1.3., be divided into at least 2 zones by fire separations conforming to Sentences 3.3.1.7.(2), 3.3.1.7. and 3.1.8.5. so that (see Note A-3.3.1.7.(1)(b)) persons with physical disabilities can be accommodated in each zone, and the travel distance from any point in one zone to a doorway leading to another zone shall be not more than the value for travel distance permitted by Sentence 3.4.2.5. for the occupancy classification of the zone, in the case of residential occupancies, be provided with balconies conforming to Sentence 3.3.1.7.(4), except on the storey containing the barrier-free entrance required by Article 3.8.2.2., have an exterior exit at ground level, or have a ramp leading to ground level.","Every floor area above or below the first storey that is not sprinklered throughout and that has a barrier-free path of travel shall be served by an elevator conforming to Sentences 3.2.6.5.(4)to 3.2.6.5.(6), protected against fire in conformance with Clauses 3.2.6.5.(3)(b)or 3.2.6.5.(3)(c), and in a building over 3 storeys in building height, protected against smoke movement so that the hoistway will not contain more than 1% by volume of contaminated air from a fire floor during a period of 2 h after the start of a fire, assuming an outdoor temperature equal to the January design temperature on a 2.5% basis determined in conformance with Subsection 1.1.3., be divided into at least 2 zones by fire separations conforming to Sentences 3.3.1.7.(2), 3.3.1.7.(3)and 3.1.8.5. so that (see Note A-3.3.1.7.(1)(b)) persons with physical disabilities can be accommodated in each zone, and the travel distance from any point in one zone to a doorway leading to another zone shall be not more than the value for travel distance permitted by Sentence 3.4.2.5. for the occupancy classification of the zone, in the case of residential occupancies, be provided with balconies conforming to Sentence 3.3.1.7.(4), except on the storey containing the barrier-free entrance required by Article 3.8.2.2., have an exterior exit at ground level, or have a ramp leading to ground level. (See Note A-3.3.1.7.(1).)",0.9772727272727273,True
3.2.5.10.(5),"Hose connections for 65 mm diam hose are not required in a building that is not more than 25 m high, measured between grade and the ceiling level of the top storey and in which an automatic sprinkler system is not installed.","Hose connections for 64 mm diam hose are not required in a building that is not more than 25 m high, measured between grade and the ceiling level of the top storey and in which an automatic sprinkler system is not installed.",0.9761904761904762,True
9.10.15.3.(1),"Except for the purpose of applying Sentences 9.10.15.2.(2), 9.10.15.4. and 9.10.15.5.(13), a limiting distance equal to half the actual limiting distance shall be used as input to the requirements of this Subsection, where the time from receipt of notification of a fire by the fire department until the first fire department vehicle arrives at the building exceeds 10 min in 10% or more of all calls to the building, and any storey in the building is not sprinklered. (See Notes A-3.2.3. and A-3.2.3.1.(8).)","Except for the purpose of applying Sentences 9.10.15.2.(2), 9.10.15.4.(3)and 9.10.15.5.(13), a limiting distance equal to half the actual limiting distance shall be used as input to the requirements of this Subsection, where the time from receipt of notification of a fire by the fire department until the first fire department vehicle arrives at the building exceeds 10 min in 10% or more of all calls to the building, and any storey in the building is not sprinklered. (See Notes A-3.2.3.and A-3.2.3.1.(8).)",0.9759036144578314,True
9.26.4.4.(2),Counter flashing required in Sentence  shall be embedded not less than 25 mm in the masonry and shall extend not less than 150 mm down the masonry and lap the lower flashing not less than 100 mm.,Counter flashing required in Sentence 9.26.4.4. shall be embedded not less than 25 mm in the masonry and shall extend not less than 150 mm down the masonry and lap the lower flashing not less than 100 mm.,0.9736842105263158,True
9.21.2.2.(1),"Except as required by Article 9.21.2.1., where two or more fuel-burning appliances are connected to the same chimney flue, the connections shall be made as described in Sentences 9.21.2.2. to 9.21.2.2. and an adequate draft shall be provided for the connected appliances in conformance with the requirements of applicable provincial or territorial regulations or municipal bylaws or, in the absence of such regulations or bylaws, with the requirements of the relevant standards listed in Subsection 9.33.10.","Except as required by Article 9.21.2.1., where two or more fuel-burning appliances are connected to the same chimneyflue, the connections shall be made as described in Sentences 9.21.2.2.(2)to 9.21.2.2. and an adequate draft shall be provided for the connected appliances in conformance with the requirements of applicable provincial or territorial regulations or municipal bylaws or, in the absence of such regulations or bylaws, with the requirements of the relevant standards listed in Subsection 9.33.10.",0.9736842105263158,True
3.2.2.81.(2),"The building referred to in Sentence 3.2.2.81. shall be of noncombustible construction, and floor assemblies shall be fire separations with a fire-resistance rating not less than 1 h, mezzanines shall have a fire-resistance rating not less than 1 h, roof assemblies shall have a fire-resistance rating not less than 1 h, and loadbearing walls, columns and arches shall have a fire-resistance rating not less than that required for the supported assembly.","The building referred to in Sentence 3.2.2.44. is permitted to be of combustible construction or noncombustible construction, used singly or in combination, and floor assemblies shall be fire separations with a fire-resistance rating not less than 1 h, mezzanines shall have a fire-resistance rating not less than 1 h, and loadbearing walls, columns and arches shall have a fire-resistance rating not less than that required for the supported assembly.",0.971830985915493,True
