Code Year,Province/Territory,Code Book,National Division,National Sentence Number,National Article Title,National Sentence Text,P/T Document,P/T Division,P/T Sentence Number,P/T Article Title,P/T Sentence Text,Text Difference Tracked,Difference Type,Variation,Variation Label,Exception,Comments,Difference Type Updated,Exception Updated,Variation Updated
2015,ON,NBC,Div B,3.1.10.2.(2),Rating of Firewalls,"A firewall that separates a building or buildings with floor areas containing major occupancies other than Group E or Group F, Division 1 or 2 shall be constructed as a fire separation of noncombustible construction having a fire-resistance rating not less than 2 h.",obc2019_divb,Div B,3.1.10.2.(2),3.1.10.2. Rating of Firewalls,"A firewall that separates a building or buildings with floor areas containing major occupancies other than Group E or Group F, Division 1 or 2 shall be constructed as a fire separation of noncombustible construction having a fire-resistance rating not less than 2 h.",,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.10.2.(3),Rating of Firewalls ,"Except as permitted by Sentence 3.1.10.2.(4), the required fire-resistance rating of a firewall, except for closures, shall be provided by masonry or concrete.",obc2019_divb,Div B,3.1.10.2.(3),3.1.10.2. Rating of Firewalls ,"Except as permitted by Sentence (4), the required fire-resistance rating of a firewall, except for closures, shall be provided by masonry or concrete.",,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.10.2.(4),Rating of Firewalls ,"A firewall permitted to have a fire-resistance rating not more than 2 h need not be constructed of masonry or concrete, provided (a) the assembly providing the fire-resistance rating is protected against damage that would compromise the integrity of the assembly, and (b) the design conforms to Article 4.1.5.17. (See Note A-3.1.10.2.(4).)",obc2019_divb,Div B,3.1.10.2.(4),3.1.10.2. Rating of Firewalls ,"A firewall permitted to have a fire-resistance rating not more than 2 h need not be constructed of masonry or concrete provided, the assembly providing the fire-resistance rating is protected against damage that would compromise the integrity of the assembly, the design conforms to Article 4.1.5.17., the level of performance of the firewall is not less than of masonry or concrete in the areas of, performance during fire conditions, mechanical damage during the normal use of the building, and resistance to damage from moisture, the firewall separates buildings or buildings with floor areas that do not contain, a Group B, Division 1 major occupancy, or a Group B, Division 2 major occupancy, and the firewall does not separate a building regulated by the provisions of Subsection 3.2.6. or a building within the scope of Article 3.2.2.43A. or 3.2.2.50A. from another building unless the buildings on both sides of the firewall are sprinklered.",,Common Sentence,Yes,Fire Containment,,,,,
2015,ON,NBC,Div B,3.1.10.3.(1),Continuity of Firewalls ,"A firewall shall extend from the ground continuously through, or adjacent to, all storeys of a building or buildings so separated, except that a firewall located above a basement storage garage conforming to Article 3.2.1.2. is permitted to commence at the floor assembly immediately above the storage garage. (See also Sentence 3.1.10.1.(3).)",obc2019_divb,Div B,3.1.10.3.(1),3.1.10.3. Continuity of Firewalls ,"A firewall shall extend from the ground continuously through, or adjacent to, all storeys of a building or buildings so separated, except that a firewall located above a basement storage garage conforming to Article 3.2.1.2. is permitted to commence at the floor assembly immediately above the storage garage.",,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.10.3.(2),Continuity of Firewalls,"A firewall is permitted to terminate on the underside of a reinforced concrete roof slab, provided the roof slab on both sides of the firewall has a fire-resistance rating not less than 1 h if the firewall is required to have a fire-resistance rating not less than 2 h, or 2 h if the firewall is required to have a fire-resistance rating not less than 4 h, and there are no concealed spaces within the roof slab in that portion immediately above the firewall.",obc2019_divb,Div B,3.1.10.3.(2),3.1.10.3. Continuity of Firewalls,"A firewall is permitted to terminate on the underside of a reinforced concrete roof slab provided, the roof slab on both sides of the firewall has a fire-resistance rating not less than, 1 h if the firewall is required to have a fire-resistance rating not less than 2 h, or 2 h if the firewall is required to have a fire-resistance rating not less than 4 h, and there are no concealed spaces within the roof slab in that portion immediately above the firewall.",,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.10.4.(1),Parapets ,"Except as permitted by Sentences 3.1.10.4.(2) and 3.1.10.3.(2), a firewall shall extend above the roof surface to form a parapet not less than 150 mm high for a firewall required to have a fire-resistance rating not less than 2 h, and 900 mm high for a firewall required to have a fire-resistance rating not less than 4 h.",obc2019_divb,Div B,3.1.10.4.(1),3.1.10.4. Parapets ,"Except as permitted by Sentences (2) and 3.1.10.3.(2), a firewall shall extend above the roof surface to form a parapet not less than, 150 mm high for a firewall required to have a fire-resistance rating not less than 2 h, and 900 mm high for a firewall required to have a fire-resistance rating not less than 4 h.",,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.10.4.(2),Parapets ,"A firewall that separates 2 buildings with roofs at different elevations need not extend above the upper roof surface to form a parapet, provided the difference in elevation between the roofs is more than 3 m.",obc2019_divb,Div B,3.1.10.4.(2),3.1.10.4. Parapets ,"A firewall that separates two buildings with roofs at different elevations need not extend above the upper roof surface to form a parapet, provided the difference in elevation between the roofs is more than 3 m.",,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.10.5.(1),Maximum Openings,Openings in a firewall shall conform to the size limits described in Article 3.1.8.6. and the aggregate width of openings shall be not more than 25% of the entire length of the firewall.,obc2019_divb,Div B,3.1.10.5.(1),3.1.10.5. Maximum Openings,Openings in a firewall shall conform to the size limits described in Article 3.1.8.6. and the aggregate width of openings shall be not more than 25% of the entire length of the firewall.,,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.10.6.(1),Exposure Protection for Adjacent Walls ,The requirements of Article 3.2.3.14. shall apply to the external walls of 2 buildings that meet at a firewall at an angle less than 135Â°.,obc2019_divb,Div B,3.1.10.6.(1),3.1.10.6. Exposure Protection for Adjacent Walls ,The requirements of Article 3.2.3.14. shall apply to the external walls of two buildings that meet at a firewall at an angle less than 135Ã¯â€šÂ°.,,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.10.7.(1),Combustible Projections,Combustible material shall not extend across the end of a firewall but is permitted to extend across a roof above a firewall that is terminated in conformance with Sentence 3.1.10.3.(2).,obc2019_divb,Div B,3.1.10.7.(1),3.1.10.7. Combustible Projections,Combustible material shall not extend across the end of a firewall but is permitted to extend across a roof above a firewall that is terminated in conformance with Sentence 3.1.10.3.(2).,,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.10.7.(2),Combustible Projections ,"If buildings are separated by a firewall, combustible projections on the exterior of one building, including balconies, platforms, canopies, eave projections and stairs, that extend outward beyond the end of the firewall, shall not be permitted within 2.4 m of combustible projections and window or door openings of the adjacent building. (See also Article 3.2.3.6.) ",obc2019_divb,Div B,3.1.10.7.(2),3.1.10.7. Combustible Projections ,"If buildings are separated by a firewall, combustible projections on the exterior of one building, including balconies, platforms, canopies, eave projections and stairs, that extend outward beyond the end of the firewall, shall not be permitted within 2.4 m of combustible projections and window or door openings of the adjacent building.",,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.11.1.(1),Separation of Concealed Spaces,"Concealed spaces in interior wall, ceiling and crawl spaces shall be separated from concealed spaces in exterior walls and attic or roof spaces by fire blocks conforming to Article 3.1.11.7.",obc2019_divb,Div B,3.1.11.1.(1),3.1.11.1. Separation of Concealed Spaces,"Concealed spaces in interior wall, ceiling and crawl spaces shall be separated from concealed spaces in exterior walls and attic or roof spaces by fire blocks conforming to Article 3.1.11.7.",,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.11.2.(1),Fire Blocks in Wall Assemblies ,"Except as permitted by Sentence 3.1.11.2.(2), fire blocks conforming to Article 3.1.11.7. shall be provided to block off concealed spaces within a wall assembly at every floor level, at every ceiling level where the ceiling forms part of an assembly required to have a fire-resistance rating, and so that the maximum horizontal dimension is not more than 20 m and the maximum vertical dimension is not more than 3 m.",obc2019_divb,Div B,3.1.11.2.(1),3.1.11.2. Fire Blocks in Wall Assemblies ,"Except as permitted by Sentence (2), fire blocks conforming to Article 3.1.11.7. shall be provided to block off concealed spaces within a wall assembly, at every floor level, at every ceiling level where the ceiling forms part of an assembly required to have a fire-resistance rating, and so that the maximum horizontal dimension is not more than 20 m and the maximum vertical dimension is not more than 3 m.",,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.11.2.(2),Fire Blocks in Wall Assemblies ,"Fire blocks conforming to Sentence 3.1.11.2.(1) are not required, provided the wall space is filled with insulation, the exposed construction materials and any insulation within the wall space are noncombustible, the exposed materials within the space, including insulation but not including wiring, piping or similar services, have a flame-spread rating not more than 25 on any exposed surface, or on any surface that would be exposed by cutting through the material in any direction, and fire blocks are installed so that the vertical distance between them is not more than 10 m, or the insulated wall assembly contains not more than one concealed air space, and the horizontal thickness of that air space is not more than 25 mm.",obc2019_divb,Div B,3.1.11.2.(2),3.1.11.2. Fire Blocks in Wall Assemblies ,"Fire blocks conforming to Sentence (1) are not required provided, the wall space is filled with insulation, the exposed construction materials and any insulation within the wall space are noncombustible, the exposed materials within the wall space, including insulation but not including wiring, piping or similar services, have a flame-spread rating not more than 25 on any exposed surface, or on any surface that would be exposed by cutting through the material in any direction, and fire blocks are installed so that the vertical distance between them is not more than 10 m, or the insulated wall assembly contains not more than one concealed air space and the horizontal thickness of that air space is not more than 25 mm.",,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.11.3.(1),Fire Blocks between Nailing and Supporting Elements,"In a building required to be of noncombustible construction, a concealed space in which there is an exposed ceiling finish with a flame-spread rating more than 25 shall be provided with fire blocks conforming to Article 3.1.11.7. between wood nailing elements so that the maximum area of the concealed space is not more than 2 m2.",obc2019_divb,Div B,3.1.11.3.(1),3.1.11.3. Fire Blocks Between Nailing and Supporting Elements,"In a building required to be of noncombustible construction, a concealed space in which there is an exposed ceiling finish with a flame-spread rating more than 25, shall be provided with fire blocks conforming to Article 3.1.11.7. between wood nailing elements, so that the maximum area of the concealed space is not more than 2 m2.",,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.11.3.(2),Fire Blocks between Nailing and Supporting Elements ,"In a building required to be of noncombustible construction, fire blocks conforming to Article 3.1.11.7. shall be provided in the concealed spaces created by the wood members permitted by Sentence 3.1.5.10.(2) so that the maximum area of a concealed space is not more than 10 m 2 .",obc2019_divb,Div B,3.1.11.3.(2),3.1.11.3. Fire Blocks Between Nailing and Supporting Elements ,"In a building required to be of noncombustible construction, fire blocks conforming to Article 3.1.11.7. shall be provided in the concealed spaces created by the wood members permitted by Sentence 3.1.5.8.(2), so that the maximum area of a concealed space is not more than 10 m2.",,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.11.4.(1),Fire Blocks between Vertical and Horizontal Spaces,"Fire blocks conforming to Article 3.1.11.7. shall be provided at all interconnections between concealed vertical and horizontal spaces in interior coved ceilings, drop ceilings and soffits in which the exposed construction materials within the space have a flame-spread rating more than 25, and at the end of each run and at each floor level in concealed spaces between stair stringers in which the exposed construction materials within the space have a flame-spread rating more than 25.",obc2019_divb,Div B,3.1.11.4.(1),3.1.11.4. Fire Blocks Between Vertical and Horizontal Spaces,"Fire blocks conforming to Article 3.1.11.7. shall be provided, at all interconnections between concealed vertical and horizontal spaces in interior coved ceilings, drop ceilings and soffits in which the exposed construction materials within the space have a flame spread rating more than 25, and at the end of each run and at each floor level in concealed spaces between stair stringers in which the exposed construction materials within the space have a flame spread rating more than 25.",,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.11.5.(1),Fire Blocks in Horizontal Concealed Spaces ,"Except for crawl spaces conforming to Sentence 3.1.11.6.(1) and as required in Sentence 3.1.11.5.(3) , horizontal concealed spaces within a floor assembly or roof assembly of combustible construction, in which sprinklers are not installed, shall be separated by construction conforming to Article 3.1.11.7. into compartments not more than 600 m2 in area with no dimension more than 60 m if the exposed construction materials within the space have a flame-spread rating not more than 25, and not more than 300 m2 in area with no dimension more than 20 m if the exposed construction materials within the space have a flame-spread rating more than 25.",obc2019_divb,Div B,3.1.11.5.(1),3.1.11.5. Fire Blocks in Horizontal Concealed Spaces ,"Except for a crawl space conforming to Sentence 3.1.11.6.(1), a horizontal concealed space within a floor assembly or roof assembly of combustible construction, in which sprinklers are not installed, shall be separated by construction conforming to Article 3.1.11.7. into compartments not more than, 600 m2 in area with no dimension more than 60 m, if the exposed construction materials within the space have a flame-spread rating not more than 25, and 300 m2 in area with no dimension more than 20 m, if the exposed construction materials within the space have a flame-spread rating more than 25. ",,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.11.5.(2),Fire Blocks in Horizontal Concealed Spaces,"A concealed space in an exterior cornice, a mansard-style roof, a balcony or a canopy in which exposed construction materials within the space have a flame-spread rating more than 25, shall be separated by construction conforming to Article 3.1.11.7. at locations where the concealed space extends across the ends of required vertical fire separations, and so that the maximum dimension in the concealed space is not more than 20 m.",obc2019_divb,Div B,3.1.11.5.(2),3.1.11.5. Fire Blocks in Horizontal Concealed Spaces,"A concealed space in an exterior cornice, a mansard style roof, a balcony or a canopy in which exposed construction materials within the space have a flame spread rating more than 25, shall be separated by construction conforming to Article 3.1.11.7., at locations where the concealed space extends across the ends of required vertical fire separations, and so that the maximum dimension in the concealed space is not more than 20 m.",,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.11.5.(3),Fire Blocks in Horizontal Concealed Spaces ,"Except as provided in Sentence 3.1.11.5.(4), in buildings conforming to Article 3.2.2.50.or 3.2.2.58., horizontal concealed spaces within a floor assembly or roof assembly of combustible construction shall be separated by construction conforming to Article 3.1.11.7. into compartments that are not more than 600 m2 in area with no dimension more than 60 m, if the exposed construction materials within the space have a flame-spread rating not more than 25, and not more than 300 m2 in area with no dimension more than 20 m, if the exposed construction materials within the space have a flame-spread rating more than 25. (See Note A-3.1.11.5.(3).)",obc2019_divb,Div B,3.1.11.5.(3),3.1.11.5. Fire Blocks in Horizontal Concealed Spaces ,"Except as provided by Sentence (4), a horizontal concealed space within a floor assembly or roof assembly of combustible construction in a building within the scope of Article 3.2.2.43A. or 3.2.2.50A. shall be separated by construction conforming to Article 3.1.11.7. into compartments not more than, 600 m2 in area with no dimension more than 60 m, if the exposed construction materials within the space have a flame-spread rating not more than 25, and 300 m2 in area with no dimension more than 20 m, if the exposed construction materials within the space have a flame-spread rating more than 25. ",,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.11.5.(4),Fire Blocks in Horizontal Concealed Spaces ,Fire blocks conforming to Sentence 3.1.11.5.(3) are not required where the horizontal concealed space within the floor or roof assembly is entirely filled with noncombustible insulation such that any air gap between the top of the insulation and the floor or roof deck does not exceed 50 mm.,obc2019_divb,Div B,3.1.11.5.(4),3.1.11.5. Fire Blocks in Horizontal Concealed Spaces ,Sentence (3) does not apply if the horizontal concealed space within the floor assembly or roof assembly is entirely filled with noncombustible insulation such that any air gap between the top of the insulation and the underside of the floor or roof deck does not exceed 50 mm. ,,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.11.6.(1),Fire Blocks in Crawl Spaces,"A crawl space that is not considered as a basement by Article 3.2.2.9. and in which sprinklers are not installed, shall be separated by construction conforming to Article 3.1.11.7. into compartments not more than 600 m2 in area with no dimension more than 30 m.",obc2019_divb,Div B,3.1.11.6.(1),3.1.11.6. Fire Blocks in Crawl Spaces,"A crawl space that is not considered as a basement by Article 3.2.2.9. and in which sprinklers are not installed, shall be separated by construction conforming to Article 3.1.11.7. into compartments not more than 600 m2 in area with no dimension more than 30 m.",,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.11.7.(1),Fire Block Materials ,"Except as permitted by Sentences 3.1.11.7.(2) to 3.1.11.7.(4) and 3.1.11.7.(7), fire blocks shall remain in place and prevent the passage of flames for not less than 15 min when subjected to the standard fire exposure in ULC CAN/ULC-S101-14 Fire Endurance Tests of Building Construction and Materials",obc2019_divb,Div B,3.1.11.7.(1),3.1.11.7. Fire Block Materials ,"Except as permitted by Sentences (2) to (4) and (7) fire blocks shall remain in place and prevent the passage of flames for not less than 15 min when subjected to the standard fire exposure in CAN/ULC-S101, ""Fire Endurance Tests of Building Construction and Materials"".",,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.11.7.(2),Fire Block Materials ,"Gypsum board not less than 12.7 mm thick and sheet steel not less than 0.38 mm thick need not be tested in conformance with Sentence 3.1.11.7.(1), provided all joints have continuous support.",obc2019_divb,Div B,3.1.11.7.(2),3.1.11.7. Fire Block Materials ,Gypsum board not less than 12.7 mm thick and sheet steel not less than 0.38 mm thick need not be tested in conformance with Sentence (1) provided all joints have continuous support.,,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.11.7.(3),Fire Block Materials ,"In a building required to be of noncombustible construction, wood nailing elements described in Article 3.1.5.8. need not be tested in conformance with Sentence 3.1.11.7.(1). ",obc2019_divb,Div B,3.1.11.7.(3),3.1.11.7. Fire Block Materials ,"In a building required to be of noncombustible construction, wood nailing elements described in Article 3.1.5.6. need not be tested in conformance with Sentence (1).",,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.11.7.(4),Fire Block Materials ,"In a building permitted to be of combustible construction, in a combustible roof system permitted by Sentence 3.1.5.3.(2), and in a raised platform permitted by Sentence 3.1.5.10.(2), fire blocks are permitted to be solid lumber or a structural composite lumber product conforming to ASTM D 5456-10a Evaluation of Structural Composite Lumber Products not less than 38 mm thick, phenolic bonded plywood, waferboard, or oriented strandboard not less than 12.5 mm thick with joints supported, or two thicknesses of lumber or a structural composite lumber product conforming to ASTM D 5456-10a Evaluation of Structural Composite Lumber Products each not less than 19 mm thick with joints staggered, where the width or height of the concealed space requires more than one piece of lumber or structural composite lumber product not less than 38 mm thick to block off the space.",obc2019_divb,Div B,3.1.11.7.(4),3.1.11.7. Fire Block Materials ,"In a building permitted to be of combustible construction, in a combustible roof system permitted by Sentence 3.1.5.3.(2), and in a raised platform permitted by Sentence 3.1.5.8.(2), fire blocks are permitted to be, solid lumber or a structural composite lumber product conforming to ASTM D5456, ""Evaluation of Structural Composite Lumber Products"", not less than 38 mm thick, phenolic bonded plywood, OSB or waferboard not less than 12.5 mm thick with joints supported, or two thicknesses of lumber or a structural composite lumber product conforming to ASTM D5456, ""Evaluation of Structural Composite Lumber Products"", each not less than 19 mm thick with joints staggered, where the width or height of the concealed space requires more than one piece of lumber or structural composite lumber product not less than 38 mm thick to block off the space.",,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.11.7.(5),Fire Block Materials ,Openings through materials referred to in Sentences 3.1.11.7.(1) to 3.1.11.7.(4) shall be protected to maintain the integrity of the construction.,obc2019_divb,Div B,3.1.11.7.(5),3.1.11.7. Fire Block Materials ,Openings through fire blocks shall be protected to maintain the integrity of the construction.,,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.11.7.(6),Fire Block Materials ,"Where materials referred to in Sentences 3.1.11.7.(1) to 3.1.11.7.(4) are penetrated by construction elements or by service equipment, a fire stop shall be used to seal the penetration. (See Note A-3.1.11.7.(6).)",obc2019_divb,Div B,3.1.11.7.(6),3.1.11.7. Fire Block Materials ,"Where fire blocks are penetrated by construction elements or by service equipment, a fire stop shall be used to seal the penetration. (See Appendix A.)",,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.11.7.(7),Fire Block Materials,"In buildings permitted to be of combustible construction, semi-rigid fibre insulation board produced from glass, rock or slag is permitted to be used to block the vertical space in a double stud wall assembly formed at the intersection of the floor assembly and the walls, provided the width of the vertical space does not exceed 25 mm and the insulation board has a density not less than 45 kg/m3, is securely fastened to one set of studs, extends from below the bottom of the top plates in the lower storey to above the top of the bottom plate in the upper storey, and completely fills the portion of the vertical space between the headers and between the wall plates. (See Note A-3.1.11.7.(7).)",obc2019_divb,Div B,3.1.11.7.(7),3.1.11.7. Fire Block Materials,"In a building permitted to be of combustible construction, semi-rigid fibre insulation board, produced from glass, rock or slag, is permitted to be used to block the vertical space in a double wythe wall assembly formed at the intersection of the floor assembly and the walls, provided the insulation board, has a density not less than 45 kg/m3, is securely fastened to one set of studs, extends from below the bottom of the top plates in the lower storey to above the top of the bottom plate in the upper storey, and completely fills the portion of the vertical space between the headers and between the wall plates.",,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.12.1.(1),Determination of Ratings ,"Except as required by Sentence 3.1.12.1.(2) and as permitted by Sentence 3.1.12.1.(3), the flame-spread rating and smoke developed classification of a material, assembly, or structural member shall be determined on the basis of not less than three tests conducted in conformance with ULC CAN/ULC-S102-10 Test for Surface Burning Characteristics of Building Materials and Assemblies",obc2019_divb,Div B,3.1.12.1.(1),3.1.12.1. Determination of Ratings ,"Except as required by Sentence (2) and as permitted by Sentence (3), the flame-spread rating and smoke developed classification of a material, assembly, or structural member shall be determined on the basis of no fewer than three tests conducted in conformance with CAN/ULC-S102, ""Test for Surface Burning Characteristics of Building Materials and Assemblies"".",,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.12.1.(2),Determination of Ratings ,"The flame-spread rating and smoke developed classification of a material or assembly shall be determined on the basis of not less than three tests conducted in conformance with ULC CAN/ULC-S102.2-10 Test for Surface Burning Characteristics of Flooring, Floor Coverings, and Miscellaneous Materials and Assemblies if the material or assembly is designed for use in a relatively horizontal position with only its top surface exposed to air, cannot be tested in conformance with Sentence 3.1.12.1.(1) without the use of supporting material that is not representative of the intended installation, or is thermoplastic.",obc2019_divb,Div B,3.1.12.1.(2),3.1.12.1. Determination of Ratings ,"The flame-spread rating and smoke developed classification of a material or assembly shall be determined on the basis of no fewer than three tests conducted in conformance with CAN/ULC-S102.2, ""Test for Surface Burning Characteristics of Flooring, Floor Coverings, and Miscellaneous Materials and Assemblies"", if the material or assembly, is designed for use in a relatively horizontal position with only its top surface exposed to air, cannot be tested in conformance with Sentence (1) without the use of supporting material that is not representative of the intended installation, or is thermoplastic.",,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.12.1.(3),Determination of Ratings ,"A material, assembly, or structural member is permitted to be assigned a flame-spread rating and smoke developed classification on the basis of .",obc2019_divb,Div B,3.1.12.1.(3),3.1.12.1. Determination of Ratings ,"A material, assembly, or structural member is permitted to be assigned a flame-spread rating and smoke developed classification on the basis of MMAH Supplementary Standard SB-2, ""Fire Performance Ratings"".",,Common Sentence,Yes,Fire Containment,,,,,
