Code Year,Province/Territory,Code Book,National Division,National Sentence Number,National Article Title,National Sentence Text,P/T Document,P/T Division,P/T Sentence Number,P/T Article Title,P/T Sentence Text,Text Difference Tracked,Difference Type,Variation,Variation Label,Exception,Comments,National Article Title (FR),National Sentence Text (FR),P/T Article Title (FR),P/T Sentence Text (FR),Text Difference Tracked (FR),Difference Type Updated,Exception Updated,Variation Updated
2015,ON,NBC,Div B,9.10.12.4.(3),Protection of Soffits ,"Protection required by Sentence (2) shall be provided by a) noncombustible material having a minimum thickness of 0.38 mm and a melting point not below 650�C, b) not less than 12.7 mm thick gypsum soffit board or gypsum board installed according to CSA A82.31-M, �Gypsum Board Application,� c) not less than 11 mm thick plywood, d) not less than 12.5 mm thick OSB or waferboard, or e) not less than 11 mm thick lumber. (See Note A-9.10.12.4.(3).)",obc2019divb,Div B,9.10.12.4.(3),9.10.12.4. Protection of Soffits ,"Protection required by Sentence (2) shall be provided by,(a) noncombustible material having a minimum thickness of 0.38 mm and a melting point not below 650Â°C, (b) not less than 12.7 mm thick gypsum soffit board or gypsum wallboard installed according to CSA A82.31-M, ""Gypsum Board Application,"" (c) not less than 11 mm thick plywood, (d) not less than 12.5 mm thick OSB or waferboard, or (e) not less than 11 mm thick lumber. (See Appendix A.) ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.12.4.(4),Protection of Soffits ,"In the case of a soffit described in Sentence 9.10.12.4.(1) that is at the edge of an attic or roof space and completely separated from the remainder of that attic or roof space by fire blocks, the requirements in Sentence 9.10.12.4.(2) do not apply.",obc2019divb,Div B,9.10.12.4.(4),9.10.12.4. Protection of Soffits ,"In the case of a soffit described in Sentence (1) that is at the edge of an attic or roof space, and completely separated from the remainder of the attic or roof space by fire blocks, the requirements in Sentence (2) do not apply.",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.12.4.(5),Protection of Soffits ,"Where all suites spanned by a common attic or roof space or situated above or
below the projecting floor are sprinklered, the requirements of Sentence (2) do not apply, provided that all rooms, including closets and bathrooms, having openings in the wall beneath the soffit are sprinklered, notwithstanding any exceptions in the sprinkler standards referenced in Article 3.2.5.12.",obc2019divb,Div B,9.10.12.4.(5),9.10.12.4. Protection of Soffits ,"Where all suites spanned by a common attic or roof space or situated above or below the projecting floor are sprinklered, the requirements in Sentence (2) do not apply provided that all rooms, including closets and bathrooms, having openings in the wall beneath the soffit are sprinklered, notwithstanding any exceptions in the sprinkler standards referenced in Article 3.2.5.13. ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.13.10.(1),Self-closing Device ,"Except as described in Sentence 9.10.13.10.(2), every door in a fire separation shall have a self-closing device.",obc2019divb,Div B,9.10.13.10.(1),9.10.13.10. Self-Closing Device ,"Except as described in Sentence (2), every door in a fire separation shall have a self-closing device.",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.13.13.(1),Fire Dampers ,"Except as permitted by Sentences 9.10.13.13.(2) to 9.10.13.13.(5) and Sentence 9.10.5.1.(4), a duct that penetrates an assembly required to be a fire separation with a fire-resistance rating shall be equipped with a fire damper in conformance with Articles 3.1.8.4. and 3.1.8.10. ",obc2019divb,Div B,9.10.13.13.(1),9.10.13.13. Fire Dampers ,"Except as permitted in Sentences (2) to (5) and Sentence 9.10.5.1.(4), a duct that penetrates an assembly required to be a fire separation with a fire-resistance rating shall be equipped with a fire damper in conformance with ArticlesÂ 3.1.8.4. and 3.1.8.9.",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.13.13.(2),Fire Dampers ,"A fire damper is not required where a noncombustible branch duct pierces a required fire separation provided the duct has a melting point not below 760°C, has a cross-sectional area less than 130 cm2 , and supplies only air-conditioning units or combined air-conditioning and heating units discharging air at not more than 1.2 m above the floor.",obc2019divb,Div B,9.10.13.13.(2),9.10.13.13. Fire Dampers ,"A fire damper is not required where a noncombustible branch duct pierces a required fire separation provided the duct,(a) has a melting point not below 760Â°C, (b) has a cross-sectional area less than 130 cmÂ², and (c) supplies only air-conditioning units or combined air-conditioning and heating units discharging air at not more than 1.2 m above the floor. ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.13.13.(3),Fire Dampers ,"A fire damper is not required where a noncombustible branch duct pierces a required fire separation around an exhaust duct riser in which the airflow is upward provided the melting point of the branch duct is not below 760°C, the branch duct is carried up inside the riser not less than 500 mm, and the exhaust duct is under negative pressure as described in Article 9.10.9.18. ",obc2019divb,Div B,9.10.13.13.(3),9.10.13.13. Fire Dampers ,"A fire damper is not required where a noncombustible branch duct pierces a required fire separation around an exhaust duct riser in which the air flow is upward provided,(a) the melting point of the branch duct is not below 760Â°C, (b) the branch duct is carried up inside the riser at least 500 mm, and (c) the exhaust duct is under negative pressure as described in Article 9.10.9.18. ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.13.13.(4),Fire Dampers ,"Noncombustible ducts that penetrate a fire separation separating a vertical service space from the remainder of the building need not be equipped with a fire damper at the fire separation provided the ducts have a melting point above 760°C, and each individual duct exhausts directly to the outside at the top of the vertical service space.",obc2019divb,Div B,9.10.13.13.(4),9.10.13.13. Fire Dampers ,"Noncombustible ducts that penetrate a fire separation separating a vertical service space from the remainder of the building need not be equipped with a fire damper at the fire separation provided,(a) the ducts have a melting point above 760Â°C, and (b) each individual duct exhausts directly to the outside at the top of the vertical service space. ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.13.14.(1),Fire Stop Flaps ,"Fire stop flaps in ceiling membranes referred to in Sentence 9.10.5.1.(4) shall a) conform to CAN/ULC-S112.2, �Fire Test of Ceiling Firestop Flap Assemblies,� and b) activate at a temperature approximately 30�C above the normal maximum temperature that occurs in the ducts, whether the air duct system is operating or shut down.",obc2019divb,Div B,9.10.13.14.(1),9.10.13.14. Fire Stop Flaps ,"Fire stop flaps in ceiling membranes required in Sentence 9.10.5.1.(4) shall(a) conform to CAN/ULC-S112.2, ""Fire Test of Ceiling Firestop Flap Assemblies"", and (b) activate at a temperature approximately 30Â°C above the normal maximum temperature that occurs in the ducts, whether the air duct system is operating or shut down. ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.13.2.(1),Solid Core Wood Door as a Closure ,"A 45 mm thick solid core wood door is permitted to be used where a minimum
fire-protection rating of 20 min is permitted or between a public corridor and a suite provided that the door conforms to CAN/ULC-S113, �Wood Core Doors Meeting the Performance Required by CAN/ULC-S104 for Twenty Minute Fire Rated Closure Assemblies.� (See Note A-9.10.13.2.(1).)",obc2019divb,Div B,9.10.13.2.(1),9.10.13.2. Solid Core Wood Door as a Closure ,"A 45 mm thick solid core wood door is permitted to be used where a minimum fire-protection rating of 20 min is permitted or between a public corridor and a suite provided the door conforms to CAN/ULC-S113, ""Wood Core Doors Meeting the Performance Required by CAN/ULC-S104 for Twenty Minute Fire Rated Closure Assemblies"". (See Appendix A.)",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.13.2.(2),Solid Core Wood Door as a Closure ,Doors described in Sentence 9.10.13.2.(1) shall have not more than a 6 mm clearance beneath and not more than 3 mm at the sides and top.,obc2019divb,Div B,9.10.13.2.(2),9.10.13.2. Solid Core Wood Door as a Closure ,Doors described in Sentence (1) shall have not more than a 6 mm clearance beneath and not more than 3 mm at the sides and top.,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.13.3.(1),Unrated Wood Door Frames ,Doors required to provide a 20 min fire-protection rating or permitted to be 45 mm solid core wood shall be mounted in a wood frame of not less than 38 mm thickness where the frame has not been tested and rated.,obc2019divb,Div B,9.10.13.3.(1),9.10.13.3. Unrated Wood Door Frames ,Doors required to provide a 20 min fire-protection rating or permitted to be 45 mm solid core wood shall be mounted in a wood frame of at least 38 mm thickness where the frame has not been tested and rated.,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.13.4.(1),Doors as a Means of Egress ,Doors forming part of an exit or a public means of egress shall conform to part 9. in addition to this Subsection.,obc2019divb,Div B,9.10.13.4.(1),9.10.13.4. Doors as a Means of Egress ,Doors forming part of an exit or a public means of egress shall conform to Subsection 9.9.6. in addition to this Subsection.,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.13.5.(1),Wired Glass as a Closure ,Wired glass conforming to Article 9.6.1.2. which has not been tested in accordance with Article 9.10.3.1. is permitted as a closure in a vertical fire separation required to have a fire-resistance rating of not more than 1 h provided such glass is not less than 6 mm thick and is mounted in conformance with Sentence 9.10.13.5.(2).,obc2019divb,Div B,9.10.13.5.(1),9.10.13.5. Wired Glass as a Closure ,Wired glass conforming to Article 9.6.1.2. that has not been tested in accordance with Article 9.10.3.1. is permitted as a closure in a vertical fire separation required to have a fire-resistance rating of not more than 1 h provided such glass is not less than 6 mm thick and is mounted in conformance with Sentence (2).,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.13.5.(2),Wired Glass as a Closure ,"Wired glass described in Sentence (1) shall be mounted in fixed steel frames
having a metal thickness of not less than 1.35 mm and a glazing stop of not less than 20 mm on each side of the glass.",obc2019divb,Div B,9.10.13.5.(2),9.10.13.5. Wired Glass as a Closure ,Wired glass described in Sentence (1) shall be mounted in fixed steel frames having a minimum metal thickness of not less than 1.35 mm and a glazing stop of not less than 20 mm on each side of the glass.,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.13.5.(3),Wired Glass as a Closure ,"Individual panes of glass described in Sentence 9.10.13.5.(1) shall not exceed 0.8 m2 in area or 1.4 m in height or width, and the area of glass not structurally supported by mullions shall not exceed 7.5 m2 .",obc2019divb,Div B,9.10.13.5.(3),9.10.13.5. Wired Glass as a Closure ,"Individual panes of glass described in Sentence (1) shall not exceed 0.8 mÂ² in area or 1.4 m in height or width, and the area of glass not structurally supported by mullions shall not exceed 7.5 mÂ². ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.13.6.(1),Steel Door Frames ,"Steel door frames forming part of a closure in a fire separation, including anchorage requirements, shall conform to ULC CAN/ULC-S105-16 Fire Door Frames Meeting the Performance Required by CAN/ULC-S104",obc2019divb,Div B,9.10.13.6.(1),9.10.13.6. Steel Door Frames ,"Steel door frames forming part of a closure in a fire separation, including anchorage requirements, shall conform to CAN/ULC-S105, ""Fire Door Frames Meeting the Performance Required by CAN/ULC-S104"".",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.13.7.(1),Glass Block as a Closure ,Glass block that has not been tested in accordance with Article 9.10.3.1. is permitted as a closure in a fire separation required to have a fire-resistance rating of not more than 1 h. (See Article 9.20.9.6.) ,obc2019divb,Div B,9.10.13.7.(1),9.10.13.7. Glass Block as a Closure ,Glass block that has not been tested in accordance with Article 9.10.3.1. is permitted as a closure in a fire separation required to have a fire-resistance rating of not more than 1 h.,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.13.8.(1),Maximum Size of Opening ,"The size of an opening in an interior fire separation, even where protected with a closure, shall not exceed 11 m2 , with no dimension greater than 3.7 m, when the fire compartments on both sides of the fire separation are not sprinklered.",obc2019divb,Div B,9.10.13.8.(1),9.10.13.8. Maximum Size of Opening ,"The size of an opening in an interior fire separation, even where protected with a closure, shall not exceed 11 mÂ², with no dimension greater than 3.7 m, if a fire compartment on either side of the fire separation is not sprinklered.",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.13.8.(2),Maximum Size of Opening ,"The size of an opening in an interior fire separation, even where protected with a closure, shall not exceed 22 m2 , with no dimension greater than 6 m, when the fire compartments on both sides of the fire separation are sprinklered.",obc2019divb,Div B,9.10.13.8.(2),9.10.13.8. Maximum Size of Opening ,"The size of an opening in an interior fire separation, even where protected with a closure, shall not exceed 22 mÂ², with no dimension greater than 6 m, when the fire compartments on both sides of the fire separation are sprinklered.",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.14.1.(1),Application ,This Subsection applies to buildings other than those to which Subsection 9.10.15.applies.,obc2019divb,Div B,9.10.14.1.(1),9.10.14.1. Application ,"Except as permitted in Subsection 9.10.15., this Subsection applies to all buildings.",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.14.2.(1),Area and Location of Exposing Building Face ,"The area of an exposing building face shall be taken as the exterior wall area facing in one direction on any side of a building, and calculated as the total area measured from the finished ground level to the uppermost ceiling, or the area for each fire compartment, where a building is divided into fire compartments by fire separations with fire-resistance ratings not less than 45 min.",obc2019divb,Div B,9.10.14.2.(1),9.10.14.2. Area and Location of Exposing Building Face ,"The area of an exposing building face shall be,(a) taken as the exterior wall area facing in one direction on any side of a building, and (b) calculated as, (i) the total area measured from the finished ground level to the uppermost ceiling, or (ii) the area for each fire compartment, where a building is divided into fire compartments by fire separations with fire-resistance ratings not less than 45 min. ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.14.4.(6),Openings in Exposing Building Face ,"The maximum aggregate area of unprotected openings shall be not more than twice the area determined according to Sentence 9.10.14.4.(1), where the unprotected openings are glazed with wired glass in steel frames, as described in Article 9.10.13.5., or glass blocks, as described in Article 9.10.13.7. ",obc2019divb,Div B,9.10.14.4.(3),9.10.14.4. Openings in Exposing Building Face ,"The maximum aggregate area of unprotected openings shall be not more than twice the area determined according to Sentence (1) where the unprotected openings are glazed with, (a) wired glass in steel frames as described in Article 9.10.13.5., or (b) glass blocks, as described in Article 9.10.13.7. ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.14.4.(7),Openings in Exposing Building Face ,"Where the building is sprinklered, the maximum aggregate area of unprotected openings shall be not more than twice the area determined according to Sentence 9.10.14.4.(1), provided all rooms, including closets and bathrooms, that are adjacent to the exposing building face and that have unprotected openings are sprinklered, notwithstanding any exemptions in the sprinkler standards referenced in Article 3.2.5.12. ",obc2019divb,Div B,9.10.14.4.(4),9.10.14.4. Openings in Exposing Building Face ,"Where the building is sprinklered, the maximum aggregate area of unprotected openings shall be not more than twice the area determined according to Sentence (1) provided all rooms, including closets and bathrooms, that are adjacent to the exposing building face and that have unprotected openings are sprinklered, notwithstanding any exemptions in the sprinkler standards referenced in Article 3.2.5.13.",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.14.4.(8),Openings in Exposing Building Face ,"The maximum aggregate area of unprotected openings in an exposing building face of a storage garage need not comply with Sentence 9.10.14.4.(1), where all storeys are constructed as open-air storeys, and the storage garage has a limiting distance of not less than 3 m.",obc2019divb,Div B,9.10.14.4.(5),9.10.14.4. Openings in Exposing Building Face ,"The maximum aggregate area of unprotected openings in an exposing building face of a storage garage need not comply with Sentence (1) where, (a) all storeys are constructed as open-air storeys, and (b) the storage garage has a limiting distance of not less than 3 m. ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.14.4.(9),Openings in Exposing Building Face ,"The maximum aggregate area of unprotected openings in an exposing building face of a storey that faces a street and is at the same level as the street need not comply with Sentence 9.10.14.4.(1), where the limiting distance is not less than 9 m.",obc2019divb,Div B,9.10.14.4.(6),9.10.14.4. Openings in Exposing Building Face ,The maximum aggregate area of unprotected openings in an exposing building face of a storey that faces a street and is the same level as the street need not comply with Sentence (1) where the limiting distance is not less than 9 m.,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.14.5.(13),Construction of Exposing Building Face and Walls above Exposing ,"Heavy timber and steel columns need not conform to the requirements of Sentence 9.10.14.5.(1), provided the limiting distance is not less than 3 m.",obc2019divb,Div B,9.10.14.5.(6),9.10.14.5. Construction of Exposing Building Face and Walls ,Heavy timber and steel columns need not conform to the requirements of Sentence (1) provided the limiting distance is not less than 3 m.,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.14.5.(13),Construction of Exposing Building Face and Walls above Exposing ,"Heavy timber and steel columns need not conform to the requirements of
Sentence (1), provided the limiting distance is not less than 3 m.",obc2019divb,Div B,9.10.15.5.(6),9.10.15.5. Construction of Exposing Building Face of Houses ,Heavy timber and steel columns need not conform to the requirements of Sentence (1) provided the limiting distance is not less than 3 m.,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.14.5.(14),Construction of Exposing Building Face and Walls above Exposing ,"Non-loadbearing wall components need not have a minimum fire-resistance rating, where the building is 1 storey in building height, is of noncombustible construction, is classified as a low-hazard industrial occupancy and used only for low fire load occupancies, such as power-generating plants or plants for the manufacture or storage of noncombustible materials, and has a limiting distance of 3 m or more.",obc2019divb,Div B,9.10.14.5.(7),9.10.14.5. Construction of Exposing Building Face and Walls ,"Non-loadbearing wall components need not have a minimum fire-resistance rating where, (a) the building is 1 storey in building height, (b) the building is of noncombustible construction, (c) the building is classified as low hazard industrial occupancy and is used only for low fire load occupancies such as power generating plants or plants for the manufacture or storage of noncombustible materials, and (d) the exposing building face has a limiting distance of 3 m or more. ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.15.2.(3),Area and Location of Exposing Building Face ,"For the purpose of using Table 9.10.15.4. to determine the maximum permitted area of glazed openings in an irregularly shaped or skewed exterior wall, the location of the exposing building face shall be taken as a vertical plane located so that there are no glazed openings between the vertical plane and the line to which the limiting distance is measured. (See Note A-3.2.3.1.(4).)",obc2019divb,Div B,9.10.15.2.(2),9.10.15.2. Area and Location of Exposing Building Face ,"For the purpose of using Table 9.10.15.4. to determine the maximum permitted area of glazed openings in an irregularly-shaped or skewed exterior wall, the location of the exposing building face shall be taken as a vertical plane located so that there are no glazed openings between the vertical plane and the line to which the limiting distance is measured.",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.15.2.(4),Area and Location of Exposing Building Face ,"In determining the required cladding-sheathing assembly and fire-resistance rating for an irregularly shaped or skewed exterior wall, the location of the exposing building face shall be taken as a vertical plane located so that no portion of the actual exposing building face is between the vertical plane and the line to which the limiting distance is measured. (See Article 9.10.15.5. and Note A-3.2.3.1.(4).)",obc2019divb,Div B,9.10.15.2.(3),9.10.15.2. Area and Location of Exposing Building Face ,"In determining the required cladding-sheathing assembly and fire-resistance rating for an irregularly-shaped or skewed exterior wall, the location of the exposing building face shall be taken as a vertical plane located so that no portion of the actual exposing building face is between the vertical plane and the line to which the limiting distance is measured. ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.16.1.(4),Required Fire Blocks in Concealed Spaces ,Fire blocks shall be provided at the top and bottom of each run of stairs where they pass through a floor containing concealed space in which the exposed construction materials within the space have a surface flame-spread rating greater than 25.,obc2019divb,Div B,9.10.16.1.(3),9.10.16.1. Required Fire Blocks in Concealed Spaces ,Fire blocks shall be provided at the top and bottom of each stair where the stair passes through a floor containing concealed space in which the exposed construction materials within the space have a surface flame-spread rating greater than 25. ,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.16.1.(5),Required Fire Blocks in Concealed Spaces ,"Unsprinklered concealed spaces of combustible construction created by a ceiling, roof space or unoccupied attic space shall be separated by fire blocks into compartments not more than 60 m in greatest dimension, and where such space contains exposed construction materials having a surface flame-spread rating greater than 25, not more than 300 m2 in area.",obc2019divb,Div B,9.10.16.1.(4),9.10.16.1. Required Fire Blocks in Concealed Spaces ,"Unsprinklered concealed spaces of combustible construction created by a ceiling, roof space or unoccupied attic space shall be separated by fire blocks into,(a) compartments having no dimension greater than 60 m, if such space contains exposed construction materials having a surface flame-spread rating of 25 or less, and (b) compartments of not more than 300 mÂ² in area, if such space contains exposed construction materials having a surface flame-spread rating greater than 25. ",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.16.1.(6),Required Fire Blocks in Concealed Spaces ,"No dimension of the concealed space described in Clause (5)(b) shall exceed
20 m.",obc2019divb,Div B,9.10.16.1.(5),9.10.16.1. Required Fire Blocks in Concealed Spaces ,No dimension of the compartment described in Clause (4)(b) shall exceed 20 m.,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.16.2.(1),Required Fire Blocks in Wall Assemblies ,"Except as permitted in Sentence 9.10.16.2.(2), fire blocks shall be provided to block off concealed spaces within wall assemblies, including spaces created by furring, at each floor level, at each ceiling level where the ceiling contributes to part of the required fire-resistance rating, and at other locations within the wall, so that the distance between fire blocks does not exceed 20 m horizontally and 3 m vertically.",obc2019divb,Div B,9.10.16.2.(1),9.10.16.2. Required Fire Blocks in Wall Assemblies ,"Except as permitted in Sentence (2), fire blocks shall be provided to block off concealed spaces within wall assemblies, including spaces created by furring,(a) at each floor level, (b) at each ceiling level where the ceiling contributes to part of the required fire-resistance rating, and (c) at other locations within the wall, so that the distance between fire blocks does not exceed 20 m horizontally and 3 m vertically. ",,Common,No,,,,,,,,,,,
