Code Year,Province/Territory,Code Book,National Division,National Sentence Number,National Article Title,National Sentence Text,P/T Document,P/T Division,P/T Sentence Number,P/T Article Title,P/T Sentence Text,Difference Type,Variation,Variation Label,Text Difference Tracked,Exception,Comments,Difference Type Updated,Exception Updated,Variation Updated
2015,AB,NFC,Div B,2.1.3.5.(3),Special Fire Suppression Systems ,"3) The design and installation of a special fire suppression system that is not
water-based shall conform to one of the following standards:
a) NFPA 11, “Low-, Medium-, andHigh-Expansion Foam,”
b) NFPA 12, “Carbon Dioxide Extinguishing Systems,”
c) NFPA 12A, “Halon 1301 Fire Extinguishing Systems” (see
Note A-2.1.3.5.(3)(c) and (d)),
d) NFPA 12B, “Halon 1211 Fire Extinguishing Systems” (see
Note A-2.1.3.5.(3)(c) and (d)),
e) NFPA 17, “Dry Chemical Extinguishing Systems,” or
f) NFPA 17A, “Wet Chemical Extinguishing Systems.”",AFC2019,Div B,2.1.3.5.(3),Special Fire Suppression Systems ,"3) The design and installation of a special fire suppression system that is not
water-based shall conform to one of the following standards:
a) NFPA 11, “Low-, Medium-, andHigh-Expansion Foam,”
b) NFPA 12, “Carbon Dioxide Extinguishing Systems,”
c) NFPA 12A, “Halon 1301 Fire Extinguishing Systems” (see
Note A-2.1.3.5.(3)(c) and (d)),
d) NFPA 12B, “Halon 1211 Fire Extinguishing Systems” (see
Note A-2.1.3.5.(3)(c) and (d)),
e) NFPA 17, “Dry Chemical Extinguishing Systems,”
f) NFPA 17A, “Wet Chemical Extinguishing Systems,”or
g) NFPA 2001, “Standard on Clean Agent Fire Extinguishing Systems.”
water-based shall conform to one of the following standards:
a) NFPA 11, “Low-, Medium-, andHigh-Expansion Foam,”
b) NFPA 12, “Carbon Dioxide Extinguishing Systems,”
c) NFPA 12A, “Halon 1301 Fire Extinguishing Systems” (see
Note A-2.1.3.5.(3)(c) and (d)),
d) NFPA 12B, “Halon 1211 Fire Extinguishing Systems” (see
Note A-2.1.3.5.(3)(c) and (d)),
e) NFPA 17, “Dry Chemical Extinguishing Systems,” or
f) NFPA 17A, “Wet Chemical Extinguishing Systems.”",Common Sentence,Yes,,,,,,,
2015,AB,NFC,Div B,2.1.3.5.(4),Special Fire Suppression Systems ,"4) The design and installation of a water-based special fire suppression system
shall conform to one of the following standards:
a) NFPA 15, “Water Spray Fixed Systems for Fire Protection,” or
b) NFPA 16, “Installation of Foam-Water Sprinkler and Foam-Water Spray
Systems.”",AFC2019,Div B,2.1.3.5.(4),Special Fire Suppression Systems ,"4) The design and installation of a water-based special fire suppression system
shall conform to one of the following standards:
a) NFPA 15, “Water Spray Fixed Systems for Fire Protection,”
b) NFPA 16, “Installation of Foam-Water Sprinkler and Foam-Water Spray
Systems,”or
c) NFPA 750, “Standard on Water Mist Fire Protection Systems.”",Common Sentence,Yes,,,,,,,
2015,AB,NFC,Div B,2.1.3.7.(1),Integrated Life Safety and Fire ,"1) Where life safety and fire protection systems are installed, they shall be tested in accordance with the NBC.",AFC2019,Div B,2.1.3.7.(1),Integrated Life Safety and Fire ,"1) Where life safety and fire protection systems are installed, they shall be tested in accordance with the NBC(AE).",Common Sentence,No,,,,,,,
2015,AB,NFC,Div B,2.1.5.1.(1),Selection and Installation ,1) Portable extinguishers shall be installed in all buildings except dwelling units.,AFC2019,Div B,2.1.5.1.(1),Selection and Installation ,Portable extinguishers shall be installed in all buildings except dwelling units. (See Note A-2.1.5.1.(1).),Common Sentence,No,,,,,,,
2015,AB,NFC,Div B,2.1.5.1.(2),Selection and Installation ,"2) Except as otherwise required by this Code, portable extinguishers shall be
selected and installed in accordance with NFPA 10, “Portable Fire Extinguishers.”",AFC2019,Div B,2.1.5.1.(2),Selection and Installation ,"Except as otherwise required by this Code, portable extinguishers shall be selected and installed in accordance with NFPA 10-2013 Portable Fire Extinguishers (See Note A-2.1.5.1.(2).)",Common Sentence,No,,,,,,,
2015,AB,NFC,Div B,2.10.1.1.(1),Construction ,Daycare centres shall be constructed in conformance with the NBC.,AFC2019,Div B,2.10.1.1.(1),Construction ,Daycare centres shall be constructed in conformance with the NBC(AE).,Common Sentence,No,,,,,,,
2015,AB,NFC,Div B,2.10.2.1.(1),Supervision of Children ,"There shall be at least one staff member for each 10 children 2 years of age and older and, where children under the age of 2 years are cared for, there shall be at least one additional staff member for every 5 such children.",AFC2019,Div B,2.10.2.1.(1),Supervision of Children ,The operators of day-care centres shall provide a staffing ratio for the supervision of children as required by the Child Care Licensing Act and its Regulations.,Common Sentence,Yes,,,,,,,
2015,AB,NFC,Div B,2.11.1.1.(1),Construction ,"Buildings altered or occupied for purposes of providing accommodation for boarders, lodgers or roomers shall conform to the NBC.",AFC2019,Div B,2.11.1.1.(1),Construction ,"Buildings altered or occupied for purposes of providing accommodation for boarders, lodgers or roomers shall conform to the NBC(AE).",Common Sentence,No,,,,,,,
2015,AB,NFC,Div B,2.13.2.1.(1),Fire Separations ,Areas or rooms communicating with the landing area shall be separated therefrom by a fire separation conforming to the NBC.,AFC2019,Div B,2.13.2.1.(1),Fire Separations ,Areas or rooms communicating with the landing area shall be separated therefrom by a fire separation conforming to the NBC(AE).,Common Sentence,No,,,,,,,
2015,AB,NFC,Div B,2.2.1.1.(1),Fire Separations ,"1) Where a building contains more than one major occupancy, such occupancies shall
be separated fromeach other in conformance with the NBC.",AFC2019,Div B,2.2.1.1.(1),Fire Separations ,"Where a building contains more than one major occupancy, such occupancies shall be separated from each other in conformance with the NBC(AE).",Common Sentence,No,,,,,,,
2015,AB,NFC,Div B,2.2.1.1.(2),Fire Separations ,"2) Where rooms or spaces within a building contain a high-hazard industrial
occupancy, such occupancy shall be separated from the remainder of the building by fire
separations in conformance with this Code and the NBC.",AFC2019,Div B,2.2.1.1.(2),Fire Separations ,"Where rooms or spaces within a building contain a high-hazard industrial occupancy, such occupancy shall be separated from the remainder of the building by fire separations in conformance with this Code and the NBC(AE).",Common Sentence,No,,,,,,,
2015,AB,NFC,Div B,2.2.1.1.(3),Fire Separations ,"3) Rooms, corridors, shafts and other spaces shall be separated where practicable
by fire separations conforming to the NBC.",AFC2019,Div B,2.2.1.1.(3),Fire Separations ,"Rooms, corridors, shafts and other spaces shall be separated where practicable by fire separations conforming to the NBC(AE).",Common Sentence,No,,,,,,,
2015,AB,NFC,Div B,2.2.2.1.(1),Openings in Fire Separations ,Openings in fire separations shall be protected with closures in conformance with the NBC.,AFC2019,Div B,2.2.2.1.(1),Openings in Fire Separations ,Openings in fire separations shall be protected with closures in conformance with the NBC(AE).,Common Sentence,No,,,,,,,
2015,AB,NFC,Div B,2.2.2.1.(2),Openings in Fire Separations ,"Where closures in fire separations are replaced, the replacements shall be in conformance with the NBC.",AFC2019,Div B,2.2.2.1.(2),Openings in Fire Separations ,"Where closures in fire separations are replaced, the replacements shall be in conformance with the NBC(AE).",Common Sentence,No,,,,,,,
2015,AB,NFC,Div B,2.2.2.4.(2),Inspection and Maintenance ,"Except where they are equipped with hold-open devices conforming to the NBC, doors in fire separations that are required to be equipped with self-closing devices shall be inspected at intervals not greater than 24 h to ensure that they remain in the closed position when not in use. ",AFC2019,Div B,2.2.2.4.(2),Inspection and Maintenance ,"Except where they are equipped with hold-open devices conforming to the NBC(AE), doors in fire separations that are required to be equipped with self-closing devices shall be inspected at intervals not greater than 24 h to ensure that they remain in the closed position when not in use.",Common Sentence,No,,,,,,,
2015,AB,NFC,Div B,2.3.1.1.(1),Interior Finish ,"The interior finish material that forms part of the interior surface of a floor, wall, partition or ceiling shall conform to the NBC.",AFC2019,Div B,2.3.1.1.(1),Interior Finish ,"The interior finish material that forms part of the interior surface of a floor, wall, partition or ceiling shall conform to the NBC(AE).",Common Sentence,No,,,,,,,
2015,AB,NFC,Div B,2.3.1.3.(1),Decorative Materials ,Decorative materials on walls or ceilings shall have a flame-spread rating not greater than that required for the interior finish of the space in which they are located.,AFC2019,Div B,2.3.1.3.(1),Decorative Materials ,"Except as permitted by Sentences 2.3.1.3.(2) and 2.3.1.3.(3), decorative materials on walls or ceilings of occupanciesshall have a flame-spread rating not greater than that required for the interior finish of the space in which they are located.",Common Sentence,Yes,,,,,,,
2015,AB,NFC,Div B,2.3.1.4.(1),Interconnected Floor Spaces ,"Combustible contents in interconnected floor spaces in which the ceiling is more than 8 m above the floor, shall not exceed the limit specified in Subsection 3.2.8. of Division B of the NBC.",AFC2019,Div B,2.3.1.4.(1),Interconnected Floor Spaces ,"Combustible contents in interconnected floor spaces in which the ceiling is more than 8 m above the floor, shall not exceed the limit specified in Subsection 3.2.8. of Division B of the NBC(AE).",Common Sentence,No,,,,,,,
2015,AB,NFC,Div B,2.3.2.2.(1),Flame-Retardant Treatments ,Flame-retardant treatments shall be renewed as often as is required to ensure that the material will pass the match flame test in NFPA 705-2013 Field Flame Test for Textiles and Films (See Note A-2.3.2.2.(1).),AFC2019,Div B,2.3.2.2.(1),Flame-Retardant Treatments ,Flame-retardant treatments shall be renewed as often as is required to ensure that the material will pass the match flame test in NFPA 705-2018 Recommended Practice for a Field Flame Test for Textiles and Films (See Note A-2.3.2.2.(1).),Common Sentence,No,,,,,,,
2015,AB,NFC,Div B,2.4.1.2.(1),Storage Rooms for Combustible Waste Materials ,"Where rooms are provided for the storage of combustible waste materials, such rooms shall conform to the NBC.",AFC2019,Div B,2.4.1.2.(1),Storage Rooms for Combustible Waste Materials ,"Where rooms are provided for the storage of combustible waste materials, such rooms shall conform to the NBC(AE).",Common Sentence,No,,,,,,,
2015,AB,NFC,Div B,2.4.1.4.(1),Lint Traps for Laundry Equipment ,Lint traps in laundry equipment shall be cleaned after each use of the equipment.,AFC2019,Div B,2.4.1.4.(1),Lint Traps for Laundry Equipment ,"Lint traps, vents and associated piping in laundry equipment shall be cleaned at intervals frequent enough to prevent the lint from accumulating in quantities that will constitute a fire hazard.",Common Sentence,Yes,,,,,,,
2015,AB,NFC,Div B,2.5.1.1.(1),Access to Building ,"Fire department vehicles shall have direct access to at least one face of every building by means of a street, yard or roadway in conformance with the NBC.",AFC2019,Div B,2.5.1.1.(1),Access to Building ,"Fire department vehicles shall have direct access to at least one face of every building by means of a street, yard or roadway in conformance with the NBC(AE).",Common Sentence,No,,,,,,,
