Code Year,Province/Territory,Code Book,National Division,NationalSentenceNumber,National Article Title,National Sentence Text,P/T Document,P/T Division,P/TSentenceNumber,P/T Article Title,P/T Sentence Text,Difference Type,Variation,Variation Label,Text Difference Tracked,Exception,Comments,Difference Type Updated,Exception Updated,Variation Updated
2015,ON,NBC,Div B,3.6.5.5.(2),Insulation and Coverings,"Except as permitted by Sentence (5), where combustible insulation is used on piping in a horizontal service space or a vertical service space, the insulation and coverings
on that piping shall have a flame-spread rating, on any exposed surface and on any surface that would be exposed by cutting through the material in any direction,
a) not more than 25 in a building required to be of noncombustible construction, or
b) not more than 75 in a building permitted to be of combustible construction.",obc2019_divb,Div B,6.2.9.2.(3),6.2.9.2. Insulation and Coverings ,"Except as provided in Sentence (7), where combustible insulation is used on piping in a horizontal or vertical service
space, the insulation and coverings on such pipes shall have a flame-spread rating throughout the material of not more
than 25 in buildings of noncombustible construction and not more than 75 in buildings of combustible construction.",Common Sentence,Yes,Piping for Heating and Cooling Systems,,,,,,
2015,ON,NBC,Div B,3.6.5.5.(3),Insulation and Coverings,"Except as permitted by Sentence (5), insulation and coverings on piping located in rooms and spaces other than the service spaces described in Sentence (2) shall have a
flame-spread rating not more than that required for the interior finish of the ceiling of the room or space.",obc2019_divb,Div B,6.2.9.2.(4),6.2.9.2. Insulation and Coverings ,"Except as provided in Sentence (7), insulation and coverings on piping located in rooms and spaces other than the
service spaces described in Sentence (3) shall have a flame-spread rating of not more than that required for the interior
finish for the ceiling of the room or space.",Common Sentence,No,Piping for Heating and Cooling Systems,,,,,,
2015,ON,NBC,Div B,3.6.5.5.(4),Insulation and Coverings,"Except as permitted by Sentence (5), combustible insulation and covering used on piping in a building within the scope of Subsection 3.2.6. shall have a smoke developed classification not more than 100.",obc2019_divb,Div B,6.2.9.2.(5),6.2.9.2. Insulation and Coverings ,"Except as provided in Sentence (7), where combustible insulation and covering is used on piping in buildings described in Subsection 3.2.6., they shall have a smoke developed classification of not more than 100.",Common Sentence,No,Piping for Heating and Cooling Systems,,,,,,
2015,ON,NBC,Div B,3.6.5.5.(5),Insulation and Coverings,"No flame-spread rating or smoke developed classification limits are required for combustible insulation and coverings used on piping located within a
a) concealed space in a wall,
b) floor slab, or
c) noncombustible enclosure.",obc2019_divb,Div B,6.2.9.2.(7),6.2.9.2. Insulation and Coverings ,"No flame-spread rating or smoke developed classification limitations are required where combustible insulation and
coverings are used on piping when such piping is,
(a) located within a concealed space in a wall,
(b) located in a floor slab, or
(c) enclosed in a noncombustible raceway or conduit.",Common Sentence,No,Piping for Heating and Cooling Systems,,,,,,
2015,ON,NBC,Div B,3.6.5.8.(1),Return-Air System,"Except as required by Sentences 3.6.5.8.(2)and 3.6.5.8.(3), return ducts shall be constructed of material having a flame-spread rating not more than 150.",obc2019_divb,Div B,6.2.4.7.(2),6.2.4.7. Return-Air System,"Except as provided in Sentences (3) and (4), return ducts shall be constructed of material having a surface flame-spread rating of not more than 150.",Common Sentence,Yes,Air Ducts for Low Capacity Systems,,,,,,
2015,ON,NBC,Div B,4.1.1.3.(1),Design Requirements ,"Buildings and their structural members and connections, including formwork and falsework, shall be designed to have sufficient structural capacity and structural integrity to safely and effectively resist all loads, effects of loads and influences that may reasonably be expected, having regard to the expected service life of buildings, and shall in any case satisfy the requirements of this Section. (See Note A-4.1.1.3.(1).)",obc2019_divb,Div B,4.1.1.3.(1),4.1.1.3. Design Requirements ,"Buildings and their structural members and connections including formwork and falsework shall be designed to have sufficient structural capacity and structural integrity to safely and effectively resist all loads, effects of loads and influences that may reasonably be expected, having regard to the expected service life of buildings, and shall in any case satisfy the requirements of this Section. (See Appendix A.)",Common Sentence,No,,,,,,,
2015,ON,NBC,Div B,4.1.1.3.(2),Design Requirements ,"Buildings and their structural members shall be designed for serviceability, in accordance with Articles 4.1.3.4. , 4.1.3.5. and 4.1.3.6. (See Note A-4.1.1.3.(2).)",obc2019_divb,Div B,4.1.1.3.(2),4.1.1.3. Design Requirements ,"Buildings and their structural members shall be designed for serviceability, in accordance with Articles 4.1.3.4. to 4.1.3.6. (See Appendix A.)",Common Sentence,No,,,,,,,
2015,ON,NBC,Div B,4.1.1.3.(3),Design Requirements ,"All permanent and temporary structural members, including the formwork and falsework of a building, shall be protected against loads exceeding the specified loads during the construction period except when, as verified by analysis or test, temporary overloading of a structural member would result in no impairment of that member or any other member.",obc2019_divb,Div B,4.1.1.3.(3),4.1.1.3. Design Requirements ,"All permanent and temporary structural members, including formwork and falsework of a building, shall be protected against loads exceeding the specified loads during the construction period except when, as verified by analysis or test, temporary overloading of a structural member would result in no impairment of that member or any other member.",Common Sentence,No,,,,,,,
2015,ON,NBC,Div B,4.1.1.3.(5),Design Requirements ,Precautions shall be taken during all phases of construction to ensure that the building is not damaged or distorted due to loads applied during construction.,obc2019_divb,Div B,4.1.1.3.(4),4.1.1.3. Design Requirements ,Precautions shall be taken during all stages of construction to ensure that the building is not damaged or distorted due to loads applied during construction.,Common Sentence,No,,,,,,,
2015,ON,NBC,Div B,4.1.1.5.(1),Design Basis ,"Except as provided in Sentence (2), buildings and their structural members shall be designed in conformance with the procedures and practices provided in this Part.",obc2019_divb,Div B,4.1.1.4.(1),4.1.1.4. Design Basis ,"Except as provided in Sentence (2), buildings and their structural members shall be designed in conformance with the procedures and practices provided in this Part.",Common Sentence,No,,,,,,,
2015,ON,NBC,Div B,4.1.1.5.(2),Design Basis ,"Provided the design is carried out by a person especially qualified in the specific methods applied and provided the design demonstrates a level of safety and performance in accordance with the requirements of Part 4, buildings and their structural components falling within the scope of Part 4 that are not amenable to analysis using a generally established theory may be designed by
a) evaluation of a full-scale structure or a prototype by a loading test, or
b) studies of model analogues.
(See Note A-4.1.1.5.(2).)",obc2019_divb,Div B,4.1.1.4.(2),4.1.1.4. Design Basis ,"Provided the design is carried out by a person especially qualified in the specific methods applied and provided the design demonstrates a level of safety and performance in accordance with the requirements of this Part, buildings and their structural components falling within the scope of this Part that are not amenable to analysis using a generally established theory may be designed by, (a) evaluation of a full-scale structure or a prototype by a loading test, or (b) studies of model analogues. (See Appendix A.) ",Common Sentence,No,,,,,,,
2015,ON,NBC,Div B,4.1.2.1.(1),Loads and Effects ,"Except as provided in Article 4.1.2.2., the following categories of loads, specified loads and effects shall be taken into consideration in the design of a  building and its structural members and connections: D ................... dead load –a permanent load due to the weight of building components,
as specified in Subsection 4.1.4.,
E ................... earthquake load and effects – a rare load due to an earthquake, as
specified in Subsection 4.1.8.,
H ................... a permanent load due to lateral earth pressure, including groundwater,
L ................... live load –a variable load due to intended use and occupancy (including
loads due to cranes and the pressure of liquids in containers), as
specified in Subsection 4.1.5.,
LXC ................ live load exclusive of crane loads,
C ................... live load due to cranes including self weight,
Cd ................. self weight of all cranes positioned for maximum effects,
C7 .................. crane bumper impact load,
P ................... permanent effects caused by pre-stress,
S ................... variable load due to snow, including ice and associated rain,
as specified in Article 4.1.6.2., or due to rain, as specified in Article 4.1.6.4.,
T ................... effects due to contraction, expansion, or deflection caused by
temperature changes, shrinkage, moisture changes, creep, ground 
settlement, or a combination thereof (see Note A-4.1.2.1.(1)),and
W .................. wind load – a variable load due to wind, as specified in
Subsection 4.1.7.,
where
a) load means the imposed deformations (i.e. deflections, displacements or
motions that induce deformations and forces in the structure),forces and
pressures applied to the building structure,
b) permanent load is a load that changes very little once it has been applied to
the structure, except during repair,
c) variable load is a load that frequently changes in magnitude, direction or
location, and
d) rare load is a load that occurs infrequently and for a short time only.",obc2019_divb,Div B,4.1.2.1.(1),4.1.2.1. Loads and Effects,"Except as provided in Article 4.1.2.2., the categories of loads, specified loads and effects set out in Table 4.1.2.1.A. shall be taken into consideration in the design of a building and its structural members and connections. (See Appendix A.)",Common Sentence,No,,,,,,,
2015,ON,NBC,Div B,4.1.2.1.(2),Loads and Effects ,"Minimum specified values of the loads described in Sentence (1), as set forth
in Subsections 4.1.4.to 4.1.8.,shall be increased to account for dynamic effects where applicable.",obc2019_divb,Div B,4.1.2.1.(2),4.1.2.1. Loads and Effects,"Minimum specified values of the loads described in Sentence (1), as set forth in Subsections 4.1.4. to 4.1.8., shall be increased to account for dynamic effects where applicable.",Common Sentence,No,,,,,,,
2015,ON,NBC,Div B,4.1.2.1.(3),Loads and Effects ,"For the purpose of determining specified loads S, W or E in Subsections 4.1.6., 4.1.7.and 4.1.8., buildings shall beassigned an Importance Category based on intended use and occupancy,in accordance with Table 4.1.2.1.(See Note A-4.1.2.1.(3).)",obc2019_divb,Div B,4.1.2.1.(3),4.1.2.1. Loads and Effects,"For the purpose of determining specified loads S, W or E in Subsections 4.1.6. to 4.1.8., buildings shall be assigned an Importance Category based on intended use and occupancy, in accordance with Table 4.1.2.1.B. (See Appendix A.)",Common Sentence,No,,,,,,,
2015,ON,NBC,Div B,4.1.2.2.(1),Load Not Listed,"Where a building or structural member can be expected to be subjected to loads, forces or other effects not listed in 
Article 4.1.2.1., such effects shall be taken into account in the design based on the most appropriate information available. ",obc2019_divb,Div B,4.1.2.2.(1),4.1.2.2 Load Not Listed,"Where a building or structural member can be expected to be subjected to loads, forces or other effects not listed in 
Article 4.1.2.1., such effects shall be taken into account in the design based on the most appropriate information available. ",Common Sentence,No,,,,,,,
2015,ON,NBC,Div B,4.1.3.1.(1),Definitions ,"In this Subsection, the term limit states means those conditions of a building structure that result in the building ceasing to fulfill the function for which it was designed (those limit states concerning safety are called ultimate limit states (ULS) and include exceeding the load-carrying capacity, overturning, sliding and fracture; those limit states that restrict the intended use and occupancy of the building are called serviceability limit states (SLS) and include deflection, vibration, permanent deformation and local structural damage such as cracking; and those limit states that represent failure under repeated loading are called fatigue limit states), specified loads (C, D, E, H, L, P, S, T and W) means those loads defined in Article 4.1.2.1., principal load means the specified variable load or rare load that dominates in a given load combination, companion load means a specified variable load that accompanies the principal load in a given load combination, service load means a specified load used for the evaluation of a serviceability limit state, principal-load factor means a factor applied to the principal load in a load combination to account for the variability of the load and load pattern and the analysis of its effects, companion-load factor means a factor that, when applied to a companion load in the load combination, gives the probable magnitude of a companion load acting simultaneously with the factored principal load, importance factor, I, means a factor applied in Subsections 4. , 4. and 4. to obtain the specified load and take into account the consequences of failure as related to the limit state and the use and occupancy of the building, factored load means the product of a specified load and its principal-load factor or companion-load factor, effects refers to forces, moments, deformations or vibrations that occur in the structure, nominal resistance, R, of a member, connection or structure, is based on the geometry and on the specified properties of the structural materials, resistance factor, ?, means a factor applied to a specified material property or to the resistance of a member, connection or structure, and that, for the limit state under consideration, takes into account the variability of dimensions and material properties, workmanship, type of failure and uncertainty in the prediction of resistance, and factored resistance, ?R, means the product of nominal resistance and the applicable resistance factor.",obc2019_divb,Div B,4.1.3.1.(1),4.1.3.1. Definitions ,"In this Part, the term, (a) ""limit states"" means those conditions of a building structure that result in the building ceasing to fulfill the function for which it was designed. (Those limit states concerning safety are called ultimate limit states (ULS) and include exceeding the load-carrying capacity, overturning, sliding and fracture; those limit states that restrict the intended use and occupancy of the building are called serviceability limit states (SLS) and include deflection, vibration, permanent deformation and local structural damage such as cracking; and those limit states that represent failure under repeated loading are called fatigue limit states), (b) ""specified loads (C, D, E, H, L, P, S, T and W)"" mean those loads set out in Table 4.1.2.1.A., (c) ""principal load"" means the specified variable load or rare load that dominates in a given load combination, (d) ""companion load"" means a specified variable load that accompanies the principal load in a given load combination, (e) ""service load"" means a specified load used for the evaluation of a serviceability limit state, (f) ""principal-load factor"" means a factor applied to the principal load in a load combination to account for the variability of the load and load pattern and the analysis of its effects, (g) ""companion-load factor"" means a factor that, when applied to a companion load in the load combination, gives the probable magnitude of a companion load acting simultaneously with the factored principal load, (h) ""importance factor, I,"" means a factor applied in Subsections 4.1.6. to 4.1.8. to obtain the specified load and take into account the consequences of failure as related to the limit state and the use and occupancy of the building, (i) ""factored load"" means the product of a specified load and its principal-load factor or companion-load factor, (j) ""effects"" refers to forces, moments, deformations or vibrations that occur in the structure, (k) ""nominal resistance, R,"" of a member, connection or structure, is based on the geometry and on the specified properties of the structural materials, (l) ""resistance factor, ÃŽÂ¦,"" means a factor applied to a specified material property or to the resistance of a member, connection or structure, and that, for the limit state under consideration, takes into account the variability of dimensions and material properties, workmanship, type of failure and uncertainty in the prediction of resistance, and (m) ""factored resistance, ÃŽÂ¦R,"" means the product of nominal resistance and the applicable resistance factor.",Common Sentence,Yes,Limit States Design,,,,,,
2015,ON,NBC,Div B,4.1.3.2.(1),Strength and Stability ,"A building and its structural components shall be designed to have sufficient strength and stability so that the factored resistance, fR, is greater than or equal to the effect of factored loads, which shall be determined in accordance with Sentence (2).",obc2019_divb,Div B,4.1.3.2.(1),4.1.3.2. Strength and Stability ,"A building and its structural components shall be designed to have sufficient strength and stability so that the factored resistance, fR, is greater than or equal to the effect of factored loads, which shall be determined in accordance with Sentence (2).",Common Sentence,No,,,,,,,
2015,ON,NBC,Div B,4.1.3.2.(10),Strength and Stability ,"Earthquake load, E, in load combination cases 5 of Table 4.1.3.2.-A and 6 of Table 4.1.3.2.-B includes horizontal earth pressure due to earthquake determined in accordance with Sentence 4.1.8.16.(7).",obc2019_divb,Div B,4.1.3.2.(10),4.1.3.2. Strength and Stability ,"Earthquake load, E, in load combination case 5 of Table 4.1.3.2.A. and case 6 of Table 4.1.3.2.B. includes horizontal earth pressure due to earthquake determined in accordance with Sentence 4.1.8.16.(4).",Common Sentence,Yes,Limit States Design,,,,,,
2015,ON,NBC,Div B,4.1.3.2.(11),Strength and Stability ,"Provision shall be made to ensure adequate stability of the structure as a whole and adequate lateral, torsional and local stability of all structural parts.",obc2019_divb,Div B,4.1.3.2.(11),4.1.3.2. Strength and Stability ,"Provision shall be made to ensure adequate stability of the structure as a whole and adequate lateral, torsional and local stability of all structural parts.",Common Sentence,No,,,,,,,
2015,ON,NBC,Div B,4.1.3.2.(12),Strength and Stability ,Sway effects produced by vertical loads acting on the structure in its displaced configuration shall be taken into account in the design of buildings and their structural members.,obc2019_divb,Div B,4.1.3.2.(12),4.1.3.2. Strength and Stability ,Sway effects produced by vertical loads acting on the structure in its displaced configuration shall be taken into account in the design of buildings and their structural members.,Common Sentence,No,,,,,,,
2015,ON,NBC,Div B,4.1.3.2.(2),Strength and Stability ,"Except as provided in Sentence (3), the effect of factored loads for a building or structural component shall be determined in accordance with the requirements of this Article and the following load combination cases, the applicable combination being that which results in the most critical effect: (a) for load cases without crane loads, the load combinations listed in Table 4.1.3.2.-A., and  (b) for load cases with crane loads, the load combinations listed in Table 4.1.3.2.-B.  that which results in the most critical effect: for load cases without crane loads, the load combinations listed in Table 4.1.3.2.-A, and for load cases with crane loads, the load combinations listed in Table 4.1.3.2.-B.",obc2019_divb,Div B,4.1.3.2.(2),4.1.3.2. Strength and Stability ,"Except as provided in Sentence (3), the effect of factored loads for a building or structural component shall be determined in accordance with the requirements of this Article and the following load combination cases, the applicable combination being that which results in the most critical effect: (a) for load cases without crane loads, the load combinations listed in Table 4.1.3.2.A., and (b) for load cases with crane loads, the load combinations listed in Table 4.1.3.2.B. (See Appendix A.)",Common Sentence,No,,,,,,,
2015,ON,NBC,Div B,4.1.3.2.(3),Strength and Stability ,Other load combinations that must also be considered are the principal loads acting with the companion loads taken as zero.,obc2019_divb,Div B,4.1.3.2.(3),4.1.3.2. Strength and Stability ,Other load combinations that must also be considered are the principal loads acting with the companion loads taken as zero.,Common Sentence,No,,,,,,,
2015,ON,NBC,Div B,4.1.3.2.(4),Strength and Stability ,"Where the effects due to lateral earth pressure, H, restraint effects from pre-stress, P, and imposed deformation, T, affect the structural safety, they shall be taken into account in the calculations, with load factors of 1.5, 1.0 and 1.25 assigned to H, P and T respectively. (See Note A-4.1.3.2.(4).)",obc2019_divb,Div B,4.1.3.2.(4),4.1.3.2. Strength and Stability ,"Where the effects due to lateral earth pressure, H, restraint effects from pre-stress, P, and imposed deformation, T, affect the structural safety, they shall be taken into account in the calculations, with load factors of 1.5, 1.0 and 1.25 assigned to H, P and T respectively. (See Appendix A.)",Common Sentence,No,,,,,,,
2015,ON,NBC,Div B,4.1.3.2.(5),Strength and Stability ,"Except as provided in Sentence 4.1.8.16.(2), the counteracting factored dead load - 0.9D in load combination cases 2, 3 and 4 and 1.0D in load combination case 5 in Table 4.1.3.2.-A, and 0.9D in load combination cases 1 to 5 and 1.0D in load combination case 6 in Table 4.1.3.2.- shall be used when the dead load acts to resist overturning, uplift, sliding, failure due to stress reversal, and to determine anchorage requirements and the factored resistance of members. (See Note A-4.1.3.2.(5).)",obc2019_divb,Div B,4.1.3.2.(5),4.1.3.2. Strength and Stability ,"Except as provided in Sentence 4.1.8.16.(1), the counteracting factored dead load, 0.9D in load combination cases 2, 3 and 4 and 1.0D in load combination case 5 of Table 4.1.3.2.A. and 0.9D in load combination cases 1 to 5 and 1.0D in load combination case 6 of Table 4.1.3.2.B., shall be used when the dead load acts to resist overturning, uplift, sliding, failure due to stress reversal, and to determine anchorage requirements and the factored resistance of members. (See Appendix A.)",Common Sentence,No,,,,,,,
2015,ON,NBC,Div B,4.1.3.2.(6),Strength and Stability ,"The principal-load factor 1.5 for live loads, L in Table 4.1.3.2.-A. and LXC in Table 4.1.3.2.-B. may be reduced to 1.25 for liquids in tanks.",obc2019_divb,Div B,4.1.3.2.(6),4.1.3.2. Strength and Stability ,"The principal-load factor 1.5 for live loads, L in Table 4.1.3.2.A. and LXC in Table 4.1.3.2.B. may be reduced to 1.25 for liquids in tanks.",Common Sentence,No,,,,,,,
2015,ON,NBC,Div B,4.1.3.2.(7),Strength and Stability ,"The companion-load factor for live loads L in Table 4.1.3.2.-A and LXC in Table 4.1.3.2.-B shall be increased by 0.5 for storage areas, and equipment areas and service rooms referred to in Table 4.1.5.3. ",obc2019_divb,Div B,4.1.3.2.(7),4.1.3.2. Strength and Stability ,"The companion-load factor for live loads, L in Table 4.1.3.2.A. and LXC in Table 4.1.3.2.B. shall be increased by 0.5 for storage areas and for equipment areas and service rooms referred to in Table 4.1.5.3.",Common Sentence,No,,,,,,,
2015,ON,NBC,Div B,4.1.3.2.(8),Strength and Stability ,"Except as provided in Sentence (9), the load factor 1.25 for dead load, D, for soil, superimposed earth, plants and trees given in Tables 4.1.3.2.-A and 4.1.3.2.-B shall be increased to 1.5, except that when the soil depth exceeds 1.2 m, the factor may be reduced to 1 + 0.6/hs but not less than 1.25, where hs is the depth of soil in metres supported by the structure.",obc2019_divb,Div B,4.1.3.2.(8),4.1.3.2. Strength and Stability ,"Except as provided in Sentence (9), the load factor 1.25 for dead load, D, for soil, superimposed earth, plants and trees given in Tables 4.1.3.2.A. and 4.1.3.2.B. shall be increased to 1.5, except that when the soil depth exceeds 1.2 m, the factor may be reduced to 1 + 0.6/hs but not less than 1.25, where hs is the depth of soil in metres supported by the structure.",Common Sentence,No,,,,,,,
2015,ON,NBC,Div B,4.1.3.2.(9),Strength and Stability,A principal-load factor of 1.5 shall be applied to the weight of saturated soil used in load combination case 1 of Table 4.1.3.2.-A.,obc2019_divb,Div B,4.1.3.2.(9),4.1.3.2. Strength and Stability ,A principal-load factor of 1.5 shall be applied to the weight of saturated soil used in load combination case 1 of Table 4.1.3.2.A.,Common Sentence,No,,,,,,,
2015,ON,NBC,Div B,4.1.3.3.(1),Fatigue ,"A building and its structural components, including connections, shall be checked for fatigue failure under the effect of the cyclical loads, as required in the standards listed in Section 4.3. (See Note A-4.1.3.3.(1).)",obc2019_divb,Div B,4.1.3.3.(1),4.1.3.3. Fatigue ,"A building and its structural components, including connections, shall be checked for fatigue failure under the effect of the cyclical loads, as required in the standards listed in Section 4.3. (See Appendix A.)",Common Sentence,No,,,,,,,
2015,ON,NBC,Div B,4.1.3.3.(2),Fatigue ,"Where vibration effects, such as resonance and fatigue resulting from machinery and equipment, are likely to be significant, a dynamic analysis shall be carried out. (See Note A-4.1.3.3.(2).)",obc2019_divb,Div B,4.1.3.3.(2),4.1.3.3. Fatigue ,"Where vibration effects, such as resonance and fatigue resulting from machinery and equipment, are likely to be significant, a dynamic analysis shall be carried out. (See Appendix A.)",Common Sentence,No,,,,,,,
2015,ON,NBC,Div B,4.1.3.4.(1),Serviceability ,A building and its structural components shall be checked for serviceability limit states as defined in Sentence 4.1.3.1.(1) under the effect of service loads for serviceability criteria specified or recommended in Articles 4.1.3.5. and 4.1.3.6. and in the standards listed in part 4. (See Note A-4.1.3.4.(1).),obc2019_divb,Div B,4.1.3.4.(1),4.1.3.4. Serviceability ,A building and its structural components shall be checked for serviceability limit states as defined in Clause 4.1.3.1.(1)(a) under the effect of service loads for serviceability criteria specified or recommended in Articles 4.1.3.5. and 4.1.3.6. and in the standards listed in Section 4.3. (See Appendix A.),Common Sentence,No,,,,,,,
