Full Index,ID,SEQ,DOCTYPE,DOCID,IDWITHINDOC,DIVISION,PROVISION,ARTICLE_TITLE,FRAG_DOCUMENT,FRAG_DOCUMENT_NOWHITESPACE,WORDCOUNT,PARTNUM,SECTIONNUM,SUBSECTIONNUM,ARTICLENUM,SENTENCENUM
13510,1345858,309859.0,P,npc2015_divb,178.0,B,2.3.2.4.(1),Soldered Joints,Soldered joints shall be made in accordance with ASTM B 828-16 Making Capillary Joints by Soldering of Copper and Copper Alloy Tube and Fittings,solderedjointsshallbemadeinaccordancewithastmb828-16makingcapillaryjointsbysolderingofcopperandcopperalloytubeandfittings,24.0,2.0,3,2,4,1
13511,1345875,309843.0,P,npc2015_divb,162.0,B,2.2.10.13.(1),Solar Domestic Hot Water,Equipment for solar heating of potable water shall conform to CSA CAN/CSA-F379SERIES-09 (excluding Supplement F379S1-11) Packaged Solar Domestic Hot Water Systems (Liquid-to-Liquid Heat Transfer),equipmentforsolarheatingofpotablewatershallconformtocsacan/csa-f379series-09(excludingsupplementf379s1-11)packagedsolardomestichotwatersystems(liquid-to-liquidheattransfer),24.0,2.0,2,10,13,1
13512,1346472,310114.0,P,npc2015_divb,433.0,B,2.5.8.2.(2),Individual Vents and Dual Vents,"When sizing an individual vent or a dual vent, the length is not taken into consideration.","whensizinganindividualventoradualvent,thelengthisnottakenintoconsideration.",16.0,2.0,5,8,2,2
13513,1346518,310078.0,P,npc2015_divb,397.0,B,2.5.5.2.(4),Venting of Oil Interceptors,"The vent pipes referred to in Sentence 2.5.5.2.(1) are permitted to be one size smaller than the largest connected drainage pipe but not less than 1¼ inches in size, or can be sized in accordance with the manufacturer's recommendations.","theventpipesreferredtoinsentence2.5.5.2.(1)arepermittedtobeonesizesmallerthanthelargestconnecteddrainagepipebutnotlessthan1¼inchesinsize,orcanbesizedinaccordancewiththemanufacturer'srecommendations.",39.0,2.0,5,5,2,4
13514,1346529,310003.0,P,npc2015_divb,322.0,B,2.4.7.2.(4),Size and Spacing of Cleanouts,The developed length of a building sewer between the building and the first manhole to which the building sewer connects shall not exceed 75 m.,thedevelopedlengthofabuildingsewerbetweenthebuildingandthefirstmanholetowhichthebuildingsewerconnectsshallnotexceed75m.,25.0,2.0,4,7,2,4
13516,1347109,309913.0,P,npc2015_divb,232.0,B,2.3.6.1.(3),Tests and Inspection of Drainage or Venting Systems,"Where a prefabricated system is assembled off the building site in such a manner that it cannot be inspected and tested on site, off-site inspections and tests shall be conducted.","whereaprefabricatedsystemisassembledoffthebuildingsiteinsuchamannerthatitcannotbeinspectedandtestedonsite,off-siteinspectionsandtestsshallbeconducted.",30.0,2.0,3,6,1,3
13518,1347203,310043.0,P,npc2015_divb,362.0,B,2.4.10.10.(1),Hydraulic Loads to Roof Gutters,The hydraulic load that is drained to a roof gutter shall conform to Table 2.4.10.10.,thehydraulicloadthatisdrainedtoaroofguttershallconformtotable2.4.10.10.,15.0,2.0,4,10,10,1
13519,1347212,309987.0,P,npc2015_divb,306.0,B,2.4.6.4.(6),Protection from Backflow,A subsoil drainage pipe that drains into a sanitary drainage system that is subject to surcharge shall be connected in such a manner that sewage cannot back up into the subsoil drainage pipe. (See Note A-2.4.6.4.(6).),asubsoildrainagepipethatdrainsintoasanitarydrainagesystemthatissubjecttosurchargeshallbeconnectedinsuchamannerthatsewagecannotbackupintothesubsoildrainagepipe.(seenotea-2.4.6.4.(6).),36.0,2.0,4,6,4,6
13520,1347808,310136.0,P,npc2015_divb,455.0,B,2.6.1.3.(1),Shut-off Valves,Water service pipes shall be provided with an accessible shut-off valve located as close as possible to where the water service pipe enters the building.,waterservicepipesshallbeprovidedwithanaccessibleshut-offvalvelocatedascloseaspossibletowherethewaterservicepipeentersthebuilding.,25.0,2.0,6,1,3,1
13521,1347815,309795.0,P,npc2015_divb,114.0,B,2.2.6.15.(1),Stainless Steel Pipe and Tube,The use of stainless steel pipe and tube shall conform to Table 2.2.6.15.,theuseofstainlesssteelpipeandtubeshallconformtotable2.2.6.15.,13.0,2.0,2,6,15,1
13524,1349076,309798.0,P,npc2015_divb,117.0,B,2.2.7.2.(1),Brass or Bronze Pipe Flanges and Flanged Fittings,"Brass or bronze pipe flanges and flanged fittings shall conform to ASME B16.24-2016 Cast Copper Alloy Pipe Flanges and Flanged Fittings: Classes 150, 300, 600, 900, 1500, and 2500","brassorbronzepipeflangesandflangedfittingsshallconformtoasmeb16.24-2016castcopperalloypipeflangesandflangedfittings:classes150,300,600,900,1500,and2500",29.0,2.0,2,7,2,1
13525,1349645,309950.0,P,npc2015_divb,269.0,B,2.4.3.6.(1),Drains Serving Elevator Pits,"Where a drain is provided in an elevator pit, it shall be connected directly to a sump located outside the elevator pit, and the drain pipe that connects the sump to the drainage system shall have a backwater valve.","whereadrainisprovidedinanelevatorpit,itshallbeconnecteddirectlytoasumplocatedoutsidetheelevatorpit,andthedrainpipethatconnectsthesumptothedrainagesystemshallhaveabackwatervalve.",39.0,2.0,4,3,6,1
13526,1349655,309965.0,P,npc2015_divb,284.0,B,2.4.5.2.(1),Traps for Storm Drainage Systems,"Where a storm drainage system is connected to a combined building sewer or a public combined sewer, a trap shall be installed between any opening in the system and the drain or sewer, except that no trap is required if the opening is the upper end of a leader that terminates (See Note A-2.4.5.2.(1).)) at a roof that is used only for weather protection, not less than 1 m above or not less than 3.5 m in any other direction from any air inlet, openable window or door, and not less than 1.8 m from a property line.","whereastormdrainagesystemisconnectedtoacombinedbuildingsewerorapubliccombinedsewer,atrapshallbeinstalledbetweenanyopeninginthesystemandthedrainorsewer,exceptthatnotrapisrequirediftheopeningistheupperendofaleaderthatterminates(seenotea-2.4.5.2.(1).))ataroofthatisusedonlyforweatherprotection,notlessthan1maboveornotlessthan3.5minanyotherdirectionfromanyairinlet,openablewindowordoor,andnotlessthan1.8mfromapropertyline.",98.0,2.0,4,5,2,1
13527,1349757,309776.0,P,npc2015_divb,95.0,B,2.2.6.6.(3),Screwed Malleable Iron Water Fittings,Screwed malleable iron water fittings shall not be used in a drainage system.,screwedmalleableironwaterfittingsshallnotbeusedinadrainagesystem.,13.0,2.0,2,6,6,3
13531,1350404,310066.0,P,npc2015_divb,385.0,B,2.5.4.2.(3),Vent Stacks,The vent stack required by Sentence 2.5.4.2.(1) shall be connected to a vertical section of the soil-or-waste stack at or immediately below the lowest soil-or-waste pipe connected to the soil-or-waste stack.,theventstackrequiredbysentence2.5.4.2.(1)shallbeconnectedtoaverticalsectionofthesoil-or-wastestackatorimmediatelybelowthelowestsoil-or-wastepipeconnectedtothesoil-or-wastestack.,31.0,2.0,5,4,2,3
13532,1350457,310035.0,P,npc2015_divb,354.0,B,2.4.10.4.(3),Hydraulic Loads from Roofs or Paved Surfaces,"Hydraulic loads, in litres per second, for flow control roof drains and restricted paved area drains shall be determined according to rain intensity-duration frequency curves as compiled by Environment Canada using 25-year frequencies.","hydraulicloads,inlitrespersecond,forflowcontrolroofdrainsandrestrictedpavedareadrainsshallbedeterminedaccordingtorainintensity-durationfrequencycurvesascompiledbyenvironmentcanadausing25-yearfrequencies.",33.0,2.0,4,10,4,3
13533,1350483,310147.0,P,npc2015_divb,466.0,B,2.6.1.6.(3),Flushing Devices,"Except as provided in Sentence 2.6.1.6.(4), water closets and urinals shall have an integral means of limiting the maximum amount of water used in each flush cycle to that specified in Table 2.6.1.6.","exceptasprovidedinsentence2.6.1.6.(4),waterclosetsandurinalsshallhaveanintegralmeansoflimitingthemaximumamountofwaterusedineachflushcycletothatspecifiedintable2.6.1.6.",33.0,2.0,6,1,6,3
13535,1351067,309964.0,P,npc2015_divb,283.0,B,2.4.5.1.(6),Traps for Sanitary Drainage Systems,"Where a domestic dishwashing machine equipped with a drainage pump discharges through a direct connection into the fixture outlet pipe of an adjacent kitchen sink or disposal unit, the pump discharge line shall rise as high as possible to just under the counter and connect on the inlet side of the sink trap by means of a Y fitting, or to the disposal unit.","whereadomesticdishwashingmachineequippedwithadrainagepumpdischargesthroughadirectconnectionintothefixtureoutletpipeofanadjacentkitchensinkordisposalunit,thepumpdischargelineshallriseashighaspossibletojustunderthecounterandconnectontheinletsideofthesinktrapbymeansofayfitting,ortothedisposalunit.",64.0,2.0,4,5,1,6
13536,1351155,309873.0,P,npc2015_divb,192.0,B,2.3.3.4.(2),Unions and Slip Joints,"Slip joints shall not be used in a venting system, or in a drainage system, except to connect a fixture trap to a fixture drain in an accessible location.","slipjointsshallnotbeusedinaventingsystem,orinadrainagesystem,excepttoconnectafixturetraptoafixturedraininanaccessiblelocation.",29.0,2.0,3,3,4,2
13537,1351171,310006.0,P,npc2015_divb,325.0,B,2.4.7.3.(1),Manholes,"A manhole, including the cover, shall be designed to support all loads imposed upon it.","amanhole,includingthecover,shallbedesignedtosupportallloadsimposeduponit.",15.0,2.0,4,7,3,1
13538,1351173,310158.0,P,npc2015_divb,477.0,B,2.6.1.7.(9),Relief Valves,"Storage-type service water heaters that are located in a ceiling or roof space, or over a floor of wood construction, shall be installed within a corrosion-resistant watertight drain pan, as described in Sentence 2.6.1.7.(10).","storage-typeservicewaterheatersthatarelocatedinaceilingorroofspace,oroverafloorofwoodconstruction,shallbeinstalledwithinacorrosion-resistantwatertightdrainpan,asdescribedinsentence2.6.1.7.(10).",34.0,2.0,6,1,7,9
13541,1351683,309934.0,P,npc2015_divb,253.0,B,2.4.1.1.(1),General,"This Section applies to sanitary drainage systems, storm drainage systems, combined building drains or combined building sewers.","thissectionappliestosanitarydrainagesystems,stormdrainagesystems,combinedbuildingdrainsorcombinedbuildingsewers.",17.0,2.0,4,1,1,1
13543,1351782,309854.0,P,npc2015_divb,173.0,B,2.3.2.2.(1),Wiped Joints,"Wiped joints shall not be used except for sheet lead or lead pipe, or between such pipe and copper pipe or a ferrule.","wipedjointsshallnotbeusedexceptforsheetleadorleadpipe,orbetweensuchpipeandcopperpipeoraferrule.",23.0,2.0,3,2,2,1
13545,1352402,309782.0,P,npc2015_divb,101.0,B,2.2.6.8.(2),Corrugated Steel Pipe and Couplings,Corrugated steel pipe shall only be used underground outside a building in a storm drainage system.,corrugatedsteelpipeshallonlybeusedundergroundoutsideabuildinginastormdrainagesystem.,16.0,2.0,2,6,8,2
13549,1354208,310206.0,P,npc2015_divb,525.0,B,2.7.3.2.(1),Outlets,"An outlet from a non-potable water system shall not be located where it can discharge into (See Note A-2.7.3.2.(1).)) a sink or lavatory, a fixture into which an outlet from a potable water system is discharged, or a fixture that is used for the preparation, handling or dispensing of food, drink or products that are intended for human consumption.","anoutletfromanon-potablewatersystemshallnotbelocatedwhereitcandischargeinto(seenotea-2.7.3.2.(1).))asinkorlavatory,afixtureintowhichanoutletfromapotablewatersystemisdischarged,orafixturethatisusedforthepreparation,handlingordispensingoffood,drinkorproductsthatareintendedforhumanconsumption.",59.0,2.0,7,3,2,1
13550,1354313,310122.0,P,npc2015_divb,441.0,B,2.5.8.4.(3),Vent Stacks or Stack Vents,The minimum size of a vent stack or stack vent shall be one-half the size of the soil-or-waste stack at its base.,theminimumsizeofaventstackorstackventshallbeone-halfthesizeofthesoil-or-wastestackatitsbase.,22.0,2.0,5,8,4,3
13551,1354361,310153.0,P,npc2015_divb,472.0,B,2.6.1.7.(4),Relief Valves,"Indirect service water heaters shall be equipped with a pressure-relief valve, and a temperature-relief valve on every storage tank that forms part of the system.","indirectservicewaterheatersshallbeequippedwithapressure-reliefvalve,andatemperature-reliefvalveoneverystoragetankthatformspartofthesystem.",25.0,2.0,6,1,7,4
13552,1354902,309915.0,P,npc2015_divb,234.0,B,2.3.6.1.(5),Tests and Inspection of Drainage or Venting Systems,"When requested, a ball test shall be made to any pipe in a drainage system.","whenrequested,aballtestshallbemadetoanypipeinadrainagesystem.",15.0,2.0,3,6,1,5
13553,1354970,310089.0,P,npc2015_divb,408.0,B,2.5.6.3.(2),Location of Vent Pipes,"The trap arm of water closets, of S-trap standards or of any other fixture that also discharges vertically and depends on siphonic action for its proper functioning shall not have a cumulative change in direction of more than 225°. (See Note A-2.5.6.3.(2).)","thetraparmofwaterclosets,ofs-trapstandardsorofanyotherfixturethatalsodischargesverticallyanddependsonsiphonicactionforitsproperfunctioningshallnothaveacumulativechangeindirectionofmorethan225°.(seenotea-2.5.6.3.(2).)",42.0,2.0,5,6,3,2
13554,1354972,310131.0,P,npc2015_divb,450.0,B,2.5.9.3.(4),Installation Conditions,"Installed air admittance valves shall be accessible, and located in a space that allows air to enter the valve.","installedairadmittancevalvesshallbeaccessible,andlocatedinaspacethatallowsairtoenterthevalve.",19.0,2.0,5,9,3,4
13555,1355014,310027.0,P,npc2015_divb,346.0,B,2.4.9.5.(2),Offset in Leaders,"If the horizontal offset is more than 6 m long, the leader shall conform to Table 2.4.10.9.","ifthehorizontaloffsetismorethan6mlong,theleadershallconformtotable2.4.10.9.",17.0,2.0,4,9,5,2
13558,1355609,309786.0,P,npc2015_divb,105.0,B,2.2.6.10.(2),Stainless Steel Pipe,Only grade 304/304L or 316/316L stainless steel pipe shall be used.,onlygrade304/304lor316/316lstainlesssteelpipeshallbeused.,11.0,2.0,2,6,10,2
13559,1355616,309818.0,P,npc2015_divb,137.0,B,2.2.10.1.(1),Brass Floor Flanges,"Brass floor flanges shall conform to CSA B158.1-1976 Cast Brass Solder Joint Drainage, Waste and Vent Fittings","brassfloorflangesshallconformtocsab158.1-1976castbrasssolderjointdrainage,wasteandventfittings",17.0,2.0,2,10,1,1
13560,1355618,309824.0,P,npc2015_divb,143.0,B,2.2.10.5.(1),Saddle Hubs,"A saddle hub or fitting shall not be installed in drainage, venting or water systems. (See Note A-2.2.10.5.(1).)","asaddlehuborfittingshallnotbeinstalledindrainage,ventingorwatersystems.(seenotea-2.2.10.5.(1).)",18.0,2.0,2,10,5,1
13563,1356183,309951.0,P,npc2015_divb,270.0,B,2.4.4.1.(1),Sewage Treatment,"Where a fixture or equipment discharges sewage or waste that may damage or impair the sanitary drainage system or the functioning of a public or private sewage disposal system, provision shall be made for treatment of the sewage or waste before it is discharged to the sanitary drainage system.","whereafixtureorequipmentdischargessewageorwastethatmaydamageorimpairthesanitarydrainagesystemorthefunctioningofapublicorprivatesewagedisposalsystem,provisionshallbemadefortreatmentofthesewageorwastebeforeitisdischargedtothesanitarydrainagesystem.",49.0,2.0,4,4,1,1
13564,1356253,309876.0,P,npc2015_divb,195.0,B,2.3.3.7.(1),Connection of Roof Drain to Leader,Roof drains shall be securely connected to a leader and provision shall be made for expansion.,roofdrainsshallbesecurelyconnectedtoaleaderandprovisionshallbemadeforexpansion.,16.0,2.0,3,3,7,1
13569,1358238,310107.0,P,npc2015_divb,426.0,B,2.5.7.6.(1),Vent Pipes for Manholes,The minimum size of a vent pipe that serves a manhole within a building shall be 2 inches.,theminimumsizeofaventpipethatservesamanholewithinabuildingshallbe2inches.,18.0,2.0,5,7,6,1
13570,1358239,309800.0,P,npc2015_divb,119.0,B,2.2.7.3.(2),Brass or Bronze Threaded Water Fittings,Brass or bronze threaded water fittings shall not be used in a drainage system.,brassorbronzethreadedwaterfittingsshallnotbeusedinadrainagesystem.,14.0,2.0,2,7,3,2
13571,1358269,309869.0,P,npc2015_divb,188.0,B,2.3.3.2.(1),Extracted Tees,"Tees may be extracted from the wall thickness of Types K and L copper tube used in a water distribution system provided that a tool specifically designed for the purpose is used, the branch is at least one size smaller than the tube in which the tee is formed, the end of the branch incorporates a means to prevent it from penetrating into the run and thereby obstructing flow, and the joint at the tee is brazed with a filler metal having a melting point not below 540°C.","teesmaybeextractedfromthewallthicknessoftypeskandlcoppertubeusedinawaterdistributionsystemprovidedthatatoolspecificallydesignedforthepurposeisused,thebranchisatleastonesizesmallerthanthetubeinwhichtheteeisformed,theendofthebranchincorporatesameanstopreventitfrompenetratingintotherunandtherebyobstructingflow,andthejointattheteeisbrazedwithafillermetalhavingameltingpointnotbelow540°c.",88.0,2.0,3,3,2,1
13572,1358938,309779.0,P,npc2015_divb,98.0,B,2.2.6.7.(3),Steel Pipe,"Galvanized steel pipe and fittings shall not be used in a water distribution system except (See Note A-2.2.6.7.(3).)) in buildings of industrial occupancy as described in the NBC, or for the repair of existing galvanized steel piping systems.","galvanizedsteelpipeandfittingsshallnotbeusedinawaterdistributionsystemexcept(seenotea-2.2.6.7.(3).))inbuildingsofindustrialoccupancyasdescribedinthenbc,orfortherepairofexistinggalvanizedsteelpipingsystems.",38.0,2.0,2,6,7,3
13576,1359549,310088.0,P,npc2015_divb,407.0,B,2.5.6.3.(1),Location of Vent Pipes,"Except as provided in Sentences 2.5.6.3.(2) and 2.5.6.3.(3), vent pipes that protect a fixture trap shall be located so that (See Note A-2.5.6.3.(1).)) the developed length of the trap arm is not less than twice the size of the fixture drain, the total fall of the trap arm is not greater than its inside diameter, and the trap arm does not have a cumulative change in direction of more than 135°.","exceptasprovidedinsentences2.5.6.3.(2)and2.5.6.3.(3),ventpipesthatprotectafixturetrapshallbelocatedsothat(seenotea-2.5.6.3.(1).))thedevelopedlengthofthetraparmisnotlessthantwicethesizeofthefixturedrain,thetotalfallofthetraparmisnotgreaterthanitsinsidediameter,andthetraparmdoesnothaveacumulativechangeindirectionofmorethan135°.",71.0,2.0,5,6,3,1
13578,1359565,309712.0,P,npc2015_divb,31.0,B,2.2.2.3.(3),Showers,"Where 2 or more shower heads are served by a shower drain, the floor shall be sloped and the drain located so that water from one head cannot flow over the area that serves another head. (See Note A-2.2.2.3.(3).)","where2ormoreshowerheadsareservedbyashowerdrain,thefloorshallbeslopedandthedrainlocatedsothatwaterfromoneheadcannotflowovertheareathatservesanotherhead.(seenotea-2.2.2.3.(3).)",39.0,2.0,2,2,3,3
13582,1360164,310062.0,P,npc2015_divb,381.0,B,2.5.3.1.(11),Circuit Venting,"The hydraulic load on a circuit vent shall include the hydraulic load from fixtures connected to the branch served by the circuit vent, but shall not include the hydraulic load from fixtures permitted by Sentences 2.5.3.1.(3), 2.5.3.1.(4) and 2.5.3.1.(5).","thehydraulicloadonacircuitventshallincludethehydraulicloadfromfixturesconnectedtothebranchservedbythecircuitvent,butshallnotincludethehydraulicloadfromfixturespermittedbysentences2.5.3.1.(3),2.5.3.1.(4)and2.5.3.1.(5).",39.0,2.0,5,3,1,11
13585,1360236,309985.0,P,npc2015_divb,304.0,B,2.4.6.4.(4),Protection from Backflow,"Where the fixture is a floor drain, a removable screw cap is permitted to be installed on the upstream side of the trap.","wherethefixtureisafloordrain,aremovablescrewcapispermittedtobeinstalledontheupstreamsideofthetrap.",23.0,2.0,4,6,4,4
13586,1360258,309707.0,P,npc2015_divb,26.0,B,2.2.1.6.(1),Working Pressure of a Water Service Pipe,The working pressure rating of a water service pipe shall not be less than the maximum water main pressure at their point of connection as established by the water supply authority.,theworkingpressureratingofawaterservicepipeshallnotbelessthanthemaximumwatermainpressureattheirpointofconnectionasestablishedbythewatersupplyauthority.,31.0,2.0,2,1,6,1
13587,1360834,309963.0,P,npc2015_divb,282.0,B,2.4.5.1.(5),Traps for Sanitary Drainage Systems,An interceptor with an effective water seal of not less than 38 mm is permitted to serve as a trap. (See Note A-2.4.5.1.(5).),aninterceptorwithaneffectivewatersealofnotlessthan38mmispermittedtoserveasatrap.(seenotea-2.4.5.1.(5).),23.0,2.0,4,5,1,5
13588,1360927,309844.0,P,npc2015_divb,163.0,B,2.2.10.14.(1),Vent Pipe Flashing,"Flashing fabricated on-site for vent pipes shall be fabricated from copper sheet not less than 0.33 mm thick, aluminum sheet not less than 0.48 mm thick, alloyed zinc sheet not less than 0.35 mm thick, lead sheet not less than 1.73 mm thick, galvanized steel sheet not less than 0.33 mm thick, or polychloroprene (neoprene) not less than 2.89 mm thick.","flashingfabricatedon-siteforventpipesshallbefabricatedfromcoppersheetnotlessthan0.33mmthick,aluminumsheetnotlessthan0.48mmthick,alloyedzincsheetnotlessthan0.35mmthick,leadsheetnotlessthan1.73mmthick,galvanizedsteelsheetnotlessthan0.33mmthick,orpolychloroprene(neoprene)notlessthan2.89mmthick.",61.0,2.0,2,10,14,1
13589,1360946,310002.0,P,npc2015_divb,321.0,B,2.4.7.2.(3),Size and Spacing of Cleanouts,"The spacing between manholes serving a building sewer 24 inches or less in size shall not exceed 90 m, and over 24 inches in size shall not exceed 150 m.","thespacingbetweenmanholesservingabuildingsewer24inchesorlessinsizeshallnotexceed90m,andover24inchesinsizeshallnotexceed150m.",30.0,2.0,4,7,2,3
13591,1361457,310194.0,P,npc2015_divb,513.0,B,2.6.3.2.(3),Hydraulic Load,"Where fixtures are supplied with both hot and cold water, the hydraulic loads for maximum separate demands shall be 75% of the hydraulic load of the fixture units given in Tables 2.6.3.2.A and 2.6.3.2.D when using a detailed engineering design method.","wherefixturesaresuppliedwithbothhotandcoldwater,thehydraulicloadsformaximumseparatedemandsshallbe75%ofthehydraulicloadofthefixtureunitsgivenintables2.6.3.2.aand2.6.3.2.dwhenusingadetailedengineeringdesignmethod.",41.0,2.0,6,3,2,3
13592,1361587,310030.0,P,npc2015_divb,349.0,B,2.4.10.2.(2),Hydraulic Loads for Fixtures,"Except as provided in Sentence 2.4.10.2.(1), the hydraulic load from a fixture that is not listed in Table 2.4.9.3. is the number of fixture units set forth in Table 2.4.10.2. for the trap of the size that serves the fixture.","exceptasprovidedinsentence2.4.10.2.(1),thehydraulicloadfromafixturethatisnotlistedintable2.4.9.3.isthenumberoffixtureunitssetforthintable2.4.10.2.forthetrapofthesizethatservesthefixture.",40.0,2.0,4,10,2,2
13593,1362181,309939.0,P,npc2015_divb,258.0,B,2.4.2.1.(5),Connections to Sanitary Drainage Systems,"Where a vent pipe is connected into the suds pressure zone referred to in Sentence 2.4.2.1.(4), no other vent pipe shall be connected to that vent pipe within the height of the suds pressure zone. (See Note A-2.4.2.1.(4).)","whereaventpipeisconnectedintothesudspressurezonereferredtoinsentence2.4.2.1.(4),nootherventpipeshallbeconnectedtothatventpipewithintheheightofthesudspressurezone.(seenotea-2.4.2.1.(4).)",38.0,2.0,4,2,1,5
13594,1362270,309756.0,P,npc2015_divb,75.0,B,2.2.5.11.(1),Polyethylene/Aluminum/Polyethylene Composite Pipe and Fittings,PE/AL/PE composite pipe and fittings shall conform to CSA B137.9-17 Polyethylene/Aluminum/Polyethylene (PE-AL-PE) Composite Pressure-Pipe Systems (See Note A-2.2.5.11.(1).),pe/al/pecompositepipeandfittingsshallconformtocsab137.9-17polyethylene/aluminum/polyethylene(pe-al-pe)compositepressure-pipesystems(seenotea-2.2.5.11.(1).),18.0,2.0,2,5,11,1
13595,1362294,309772.0,P,npc2015_divb,91.0,B,2.2.6.5.(2),Screwed Cast-Iron Water Fittings,Screwed cast-iron water fittings used in a water system shall be cement-mortar lined or galvanized.,screwedcast-ironwaterfittingsusedinawatersystemshallbecement-mortarlinedorgalvanized.,15.0,2.0,2,6,5,2
