Division,P/T Section ID,Section Number,P/T Subsection ID,Subsection Number,P/T Article Title,P/T Sentence Number,P/T Sentence Text
A,ep001005.4,1.4,ep001005.4.1,1.4.1,Non-defined Terms,es008675,"Where alternative solutions are referred to in this Code, they shall be the alternative solutions mentioned in es007176b."
A,ep001005.4,1.4,ep001005.4.1,1.4.1,Non-defined Terms,es022060,"For words not defined by es008674, reference should be made to the oup_cod."
A,ep001005.4,1.4,ep001005.4.1,1.4.1,Defined Terms,es007307,"The words and terms in italics in this Code shall have the following meanings: Access to exit means that part of a means of egress within a floor area that provides access to an exit serving the floor area. Air-supported structure means a structure consisting of a pliable membrane that achieves and maintains its shape and support by internal air pressure. Appliance means a device to convert fuel into energy and includes all components, controls, wiring and piping required to be part of the device by the applicable standard referred to in this Code. Approved means acceptable to the Provincial Fire Administrator. Assembly occupancy (Group A) means the occupancy or the use of a building or part thereof by a gathering of persons for civic, political, travel, religious, social, educational, recreational or like purposes, or for the consumption of food or drink. Atmospheric storage tank means a storage tank designed to operate at pressures from atmospheric to 3.5 kPa (gauge). Authority having jurisdiction means a safety codes officer in the fire discipline exercising authority pursuant to designation of powers and terms of employment in accordance with the rsa2000a. Basement means a storey or storeys of a building located below the first storey. Breeching means a flue pipe or chamber for receiving flue gases from one or more flue connections and for discharging these gases through a single flue connection. Building means any structure used or intended for supporting or sheltering any use or occupancy. Business and personal services occupancy (Group D) means the occupancy or use of a building or part thereof for the transaction of business or the rendering or receiving of professional or personal services. Care means the provision of services other than treatment by or through care facility management to residents who require these services because of cognitive, physical or behavioural limitations. Care occupancy (Group B, Division 3) means the occupancy or use of a building or part thereof, other than a home-type care occupancy, where care is provided to residents. (See en001097.ca-cc.) Chimney means a primarily vertical shaft enclosing at least one flue for conducting flue gases to the outdoors. Closed container means a container sealed by means of a lid or other device such that neither liquid nor vapour will escape from it at ordinary temperatures. Closure means a device or assembly for closing an opening through a fire separation or an exterior wall, such as a door, a shutter, wired glass or glass block, and includes all components such as hardware, closing devices, frames and anchors. Combustible construction means that type of construction that does not meet the requirements for noncombustible construction or encapsulated mass timber construction. Combustible dusts means dusts and particles that are ignitable and liable to produce an explosion. Combustible fibres means finely divided, combustible vegetable or animal fibres and thin sheets or flakes of such materials which, in a loose, unbaled condition, present a flash fire hazard, including cotton, wool, hemp, sisal, jute, kapok, paper and cloth. Combustible liquid means a liquid having a flash point at or above 37.8°C and below 93.3°C. (See ep001016.1.2.) Dangerous goods means products, materials or substances that are regulated by tc_sor95 (see et001080), or classified as controlled products under hc_sor15-17 (see en000710).(See en001097.dngr-gd.) Detention occupancy (Group B, Division 1) means the occupancy by persons who are restrained from or are incapable of evacuating to a safe location without the assistance of another person because of security measures not under their control. Dispenser sump means a liquid-tight container intended for installation under a dispensing unit for the collection of any internal leakage of flammable liquid and combustible liquid from the dispensing unit. Distilled beverage alcohol means a beverage that is produced by fermentation and contains more than 20% by volume of water-miscible alcohol. Distillery means a process plant where distilled beverage alcohols are produced, concentrated or otherwise processed, and includes facilities on the same site where the concentrated products may be blended, mixed, stored or packaged. Dwelling unit means a suite operated as a housekeeping unit, used or intended to be used by one or more persons and usually containing cooking, eating, living, sleeping and sanitary facilities. Encapsulated mass timber construction means that type of construction in which a degree of fire safety is attained by the use of encapsulated mass timber elements with an encapsulation rating and minimum dimensions for structural members and other building assemblies. Encapsulation rating means the time in minutes that a material or assembly of materials will delay the ignition and combustion of encapsulated mass timber elements when it is exposed to fire under specified conditions of test and performance criteria, or as otherwise prescribed by this Code. Exit means that part of a means of egress, including doorways, that leads from the floor area it serves to a separate building, an open public thoroughfare, or an exterior open space protected from fire exposure from the building and having access to an open public thoroughfare. (See en001097.xt.) Fire compartment means an enclosed space in a building that is separated from all other parts of the building by enclosing construction providing a fire separation having a required fire-resistance rating. Fire damper means a closure consisting of a damper that is installed in an air distribution system or a wall or floor assembly and that is normally held open but designed to close automatically in the event of a fire in order to maintain the integrity of the fire separation. Fire-protection rating means the time in minutes or hours that a closure will withstand the passage of flame when exposed to fire under specified conditions of test and performance criteria, or as otherwise prescribed in the nrcc-nbcae23. Fire-resistance rating means the time in minutes or hours that a material or assembly of materials will withstand the passage of flame and the transmission of heat when exposed to fire under specified conditions of test and performance criteria, or as determined by extension or interpretation of information derived therefrom as prescribed in the nrcc-nbcae23. (See en001097.fr-rtnc-.) Fire separation means a construction assembly that acts as a barrier against the spread of fire. (See en001097.fr-prtn.) Fire stop flap means a device intended for use in horizontal assemblies required to have a fire-resistance rating and incorporating protective ceiling membranes that operates to close off a duct opening through the membrane in the event of a fire. Firewall means a type of fire separation of noncombustible construction that subdivides a building or separates adjoining buildings to resist the spread of fire and that has a fire-resistance rating as prescribed in this Code and has structural stability to remain intact under fire conditions for the required fire-rated time. First storey means the uppermost storey having its floor level not more than 2 m above grade. Flame-spread rating means an index or classification indicating the extent of spread-of-flame on the surface of a material or an assembly of materials as determined in a standard fire test as prescribed in the nrcc-nbcae23. Flammable liquid means a liquid having a flash point below 37.8°C and having a vapour pressure not more than 275.8 kPa (absolute) at 37.8°C as determined by astmd323. (See ep001016.1.2.) Flash point means the minimum temperature at which a liquid within a container gives off vapour in sufficient concentration to form an ignitable mixture with air near the surface of the liquid. (See ep001016.1.3.) Floor area means the space on any storey of a building between exterior walls and required firewalls, including the space occupied by interior walls and partitions, but not including exits, vertical service spaces, and their enclosing assemblies. Flue means an enclosed passageway for conveying flue gases. Flue collar means the portion of a fuel-fired appliance designed for the attachment of the flue pipe or breeching. Flue pipe means the pipe connecting the flue collar of an appliance to a chimney. Fuel-dispensing station means any premises or part thereof at which flammable liquids or combustible liquids are dispensed from fixed equipment into the fuel tanks of motor vehicles, watercraft or aircraft. Grade means the lowest of the average levels of finished ground adjoining each exterior wall of a building, except that localized depressions need not be considered in the determination of average levels of finished ground. (See First storey and en001097.grade.) High-hazard industrial occupancy (Group F, Division 1) means an industrial occupancy containing sufficient quantities of highly combustible and flammable or explosive materials which, because of their inherent characteristics, constitute a special fire hazard. Home-type care occupancy (Group B, Division 4) means the occupancy or use of a building consisting of a single detached housekeeping unit where care is provided to residents and may include the living space of the caregiver and their family. (See en001097.hm-tp-ccpnc.) Individual storage area (ISA) means the area occupied by piles, bin boxes, racks or shelves, including subsidiary aisles providing access to the stored products, and separated from adjacent storage by aisles not less than 2.4 m in width. (See en001097.ndvdl-tr.) Industrial occupancy (Group F) means the occupancy or use of a building or part thereof for the assembling, fabricating, manufacturing, processing, repairing or storing of goods and materials. Interconnected floor space means superimposed floor areas or parts of floor areas in which floor assemblies that are required to be fire separations are penetrated by openings that are not provided with closures. Lower explosive limit means the minimum concentration of vapour in air at which the propagation of flame occurs on contact with a source of ignition. Low-hazard industrial occupancy (Group F, Division 3) means an industrial occupancy in which the combustible content is not more than 50 kg/m2 or 1 200 MJ/m2 of floor area. Low pressure storage tank means a storage tank designed to operate at pressures greater than 3.5 kPa (gauge) and up to 100 kPa (gauge). Major occupancy means the principal occupancy for which a building or part thereof is used or intended to be used, and shall be deemed to include the subsidiary occupancies that are an integral part of the principal occupancy. The major occupancy classifications used in this Code are as follows: Marine fuel-dispensing station means a fuel-dispensing station at which flammable liquids or combustible liquids are dispensed into the fuel tanks of watercraft or aircraft. Means of egress means a continuous path of travel provided for the escape of persons from any point in a building or contained open space to a separate building, an open public thoroughfare, or an exterior open space protected from fire exposure from the building and having access to an open public thoroughfare. Means of egress includes exits and access to exits. Medium-hazard industrial occupancy (Group F, Division 2) means an industrial occupancy in which the combustible content is more than 50 kg/m2 or 1 200 MJ/m2 of floor area and not classified as a high-hazard industrial occupancy. Mercantile occupancy (Group E) means the occupancy or use of a building or part thereof for the displaying or selling of retail goods, wares or merchandise. Noncombustible construction means that type of construction in which a degree of fire safety is attained by the use of noncombustible materials for structural members and other building assemblies. Occupancy means the use or intended use of a building or part thereof for the shelter or support of persons, animals or property. Occupant load means the number of persons for which a building or part thereof is designed. Overfill protection device means a device or combination of components that is installed in a storage tank, fill tube or vent that prevents a storage tank from being overfilled when product is being delivered to the storage tank. Partition means an interior wall 1 storey or part-storey in height that is not loadbearing. Pressure vessel means a storage tank designed to operate at pressures greater than 100 kPa (gauge). Process plant means an industrial occupancy where materials, including flammable liquids, combustible liquids or gases, are produced or used in a process. (See et001080.) Provincial Fire Administrator means a person in the fire discipline appointed as an Administrator under the rsa2000a. Rack means any combination of vertical, horizontal or diagonal members that support stored materials on solid or open shelves, including both fixed and portable units. Refinery means any process plant in which flammable liquids or combustible liquids are produced from crude petroleum, including areas on the same site where the resulting products are blended, packaged or stored on a commercial scale. Residential occupancy (Group C) means the occupancy or use of a building or part thereof by persons for whom sleeping accommodation is provided but who are not harboured for the purpose of receiving care or treatment and are not involuntarily detained. Secondary containment means containment that prevents any materials spilled or leaked from the primary storage tank system from reaching the land or water outside the containment area before cleanup occurs and includes double-walled storage tank systems and impermeable membranes or liners. Self-service outlet means a fuel-dispensing station other than a marine fuel-dispensing station where the public handles the dispenser. Service room means a room provided in a building to contain equipment associated with building services. (See en001097.rvc-rm.) Service space means space provided in a building to facilitate or conceal the installation of building service facilities such as chutes, ducts, pipes, shafts or wires. Smoke alarm means a combined smoke detector and audible alarm device designed to sound an alarm within the room or suite in which it is located upon the detection of smoke within that room or suite. Spill containment sump means a liquid-tight container intended to catch, retain and provide for the evacuation of any product at the time of filling. Sprinklered (as applying to a building or part thereof) means that the building or part thereof is equipped with a system of automatic sprinklers. Storage tank means a vessel for flammable liquids or combustible liquids having a capacity of more than 230 L, and designed to be installed in a fixed location. Storage tank system means a system for the storage and dispensing of flammable liquids and combustible liquids and is not limited to storage tanks, associated piping, vents, pumps and dispensing equipment. Storey means that portion of a building that is situated between the top of any floor and the top of the floor next above it, and if there is no floor above it, that portion between the top of such floor and the ceiling above it. Street means any highway, road, boulevard, square or other improved thoroughfare 9 m or more in width, that has been dedicated or deeded for public use and is accessible to fire department vehicles and equipment. Suite means a single room or series of rooms of complementary use, operated under a single tenancy, and includes dwelling units, individual guest rooms in motels, hotels, boarding houses, rooming houses and dormitories as well as individual stores and individual or complementary rooms for assembly occupancies, business and personal services occupancies, medium-hazard industrial occupancies, and low-hazard industrial occupancies. (See en001097.t.) Supervisory staff means those occupants of a building who have some delegated responsibility for the fire safety of other occupants under the fire safety plan. Tank vehicle means any vehicle, other than railroad tank cars and boats, with a cargo tank having a capacity of more than 450 L, mounted or built as an integral part of the vehicle and used for the transportation of flammable liquids or combustible liquids and including tank trucks, trailers and semi-trailers. Transition sump means an underground liquid-tight container intended for installation where mechanical connection or transition takes place for the collection of any internal leakage of flammable liquid and combustible liquid. Treatment means the provision of medical or other health-related intervention to persons, where the administration or lack of administration of these interventions may render them incapable of evacuating to a safe location without the assistance of another person. (See en001097.trtm.) Treatment occupancy (Group B, Division 2) means the occupancy or use of a building or part thereof for the provision of treatment, and where overnight accommodation is available to facilitate the treatment. (See en001097.trtm-cc.) Turbine sump means a container designed to provide access to equipment and to contain minor leakage, and installed to prevent water ingress. Underground storage tank system means a system for storing and dispensing flammable liquids or combustible liquids including one or more storage tanks, installed at least partially underground, and all piping, pumps and dispensing equipment connected to the system. Unstable liquid means a liquid, including flammable liquids and combustible liquids, that is chemically reactive to the extent that it will vigorously react or decompose at or near normal temperature and pressure conditions or that is chemically unstable when subject to impact. Vertical service space means a shaft oriented essentially vertically that is provided in a building to facilitate the installation of building services including mechanical, electrical and plumbing installations and facilities such as elevators, refuse chutes and linen chutes."
A,ep001005.4,1.4,ep001005.4.2,1.4.2,Symbols and Other Abbreviations,es003848,The symbols and other abbreviations in this Code shall have the meanings assigned to them in this Article and ea004124.cmcentimetre(s) cStcentistoke(s) °Cdegree(s) Celsius hhour(s) kgkilogram(s) kPakilopascal(s) Llitre(s) mmetre(s) max.maximum min.minimum minminute(s) MJmegajoule(s) mmmillimetre(s) No.number(s) pS/mpico Siemens per metre ssecond(s) Ststoke(s) >greater than <less than ≤less than or equal to %per cent
A,ep001005.5,1.5,ep001005.5.1,1.5.1,Application of Referenced Documents,es007174,"Except as provided in es007807, the provisions of documents referenced in this Code, and of any documents referenced within those documents, apply only to the extent that they relate to buildings and facilities, and the objectives and functional statements attributed to the applicable acceptable solutions in Division B where the documents are referenced. (See en001003.)"
A,ep001005.5,1.5,ep001005.5.1,1.5.1,Application of Referenced Documents,es007807,"Where a provision of this Code references the nrcc-necb, nrcc-nbcae23 or nrcc-npc, the applicable objectives and functional statements shall include those found in that referenced Code."
A,ep001005.5,1.5,ep001005.5.1,1.5.1,Conflicting Requirements,es005424,"In case of conflict between the provisions of this Code and those of a referenced document, the provisions of this Code shall govern."
A,ep001005.5,1.5,ep001005.5.1,1.5.1,Applicable Editions,es007265,"Where documents are referenced in this Code, they shall be the editions designated in ep001013.3.1."
A,ep001005.5,1.5,ep001005.5.2,1.5.2,Abbreviations of Proper Names,es007266,The abbreviations of proper names in this Code shall have the meanings assigned to them in ea004124.
A,ep001006.1,2.1,ep001006.1.1,2.1.1,Application,es007175,This Part applies to all buildings and facilities covered in this Code. (See ea004094)
A,ep001006.1,2.1,ep001006.1.1,2.1.1,Application of Objectives,es007178,"Except as provided in es013726, the objectives described in this Part apply to all buildings and facilities covered in this Code (see ea004094), and only to the extent that they relate to compliance with this Code as required in ea004103"
A,ep001006.1,2.1,ep001006.1.1,2.1.1,Application of Objectives,es013726,"Objective OP, Fire Protection of Buildings and Facilities (including Sub-Objectives OP1, Fire Protection of the Building or Facility, and OP3, Protection of Adjacent Buildings or Facilities from Fire), does not apply to farm buildings."
A,ep001006.2,2.2,ep001006.2.1,2.2.1,Objectives,es007179,"The objectives of this Code are as follows (see en001140): Safety An objective of this Code is to limit the probability that, as a result of specific circumstances related to the building or facility, a person in or adjacent to the building or facility will be exposed to an unacceptable risk of injury. Fire Safety An objective of this Code is to limit the probability that, as a result of activities related to the construction, use or demolition of the building or facility, the condition of specific elements of the building or facility, the design or construction of specific elements of the facility related to certain hazards, or inadequate built-in protection measures for the current or intended use of the building, a person in or adjacent to the building or facility will be exposed to an unacceptable risk of injury due to fire. The risks of injury due to fire addressed in this Code are those caused by— fire or explosion occurring fire or explosion impacting areas beyond its point of origin collapse of physical elements due to a fire or explosion fire safety systems failing to function as expected persons being delayed in or impeded from moving to a safe place during a fire emergency Safety in Use An objective of this Code is to limit the probability that, as a result of activities related to the construction, use or demolition of the building or facility, the condition of specific elements of the building or facility, the design or construction of specific elements of the facility related to certain hazards, or inadequate built-in protection measures for the current or intended use of the building,a person in or adjacent to the building or facility will be exposed to an unacceptable risk of injury due to hazards. The risks of injury due to hazards addressed in this Code are those caused by— tripping, slipping, falling, contact, drowning or collision contact with hot surfaces or substances contact with energized equipment exposure to hazardous substances persons being delayed in or impeded from moving to a safe place during an emergency (see en001140) Health An objective of this Code is to limit the probability that, as a result of specific circumstances related to the building or facility, a person will be exposed to an unacceptable risk of illness. Hazardous Substances Containment An objective of this Code is to limit the probability that, as a result of activities related to the construction, use or demolition of the building or facility, the condition of specific elements of the building or facility, the design or construction of specific elements of the facility related to certain hazards, or inadequate built-in protection measures for the current or intended use of the building,the public will be exposed to an unacceptable risk of illness due to the release of hazardous substances from the building or facility. Fire Protection of Buildings and Facilities An objective of this Code is to limit the probability that, as a result of specific circumstances related to the building or facility, the building or facility will be exposed to an unacceptable risk of damage due to fire. Fire Protection of the Building or Facility An objective of this Code is to limit the probability that, as a result ofactivities related to the construction, use or demolition of the building or facility, the condition of specific elements of the building or facility, the design or construction of specific elements of the facility related to certain hazards, or inadequate built-in protection measures for the current or intended use of the building,the building or facility will be exposed to an unacceptable risk of damage due to fire. The risks of damage due to fire addressed in this Code are those caused by— fire or explosion occurring fire or explosion impacting areas beyond its point of origin collapse of physical elements due to a fire or explosion fire safety systems failing to function as expected Protection of Adjacent Buildings or Facilities from Fire An objective of this Code is to limit the probability that, as a result of activities related to the construction, use or demolition of the building or facility, the condition of specific elements of the building or facility, the design or construction of specific elements of the facility related to certain hazards, or inadequate built-in protection measures for the current or intended use of the building,adjacent buildings or facilities will be exposed to an unacceptable risk of damage due to fire. The risks of damage to adjacent buildings and facilities due to fire addressed in this Code are those caused by— fire or explosion impacting areas beyond the building or facility of origin"
A,ep001007.1,3.1,ep001007.1.1,3.1.1,Application,es007180,This Part applies to all buildings and facilities covered in this Code. (See ea004094)
A,ep001007.1,3.1,ep001007.1.1,3.1.1,Application of Functional Statements,es007181,"The functional statements described in this Part apply to all buildings and facilities covered in this Code (see ea004094), and only to the extent that they relate to compliance with this Code as required in ea004103"
A,ep001007.2,3.2,ep001007.2.1,3.2.1,Functional Statements,es007182,"The objectives of this Code are achieved by measures, such as those described in the acceptable solutions in Division B, that are intended to allow the building or facility or its elements to perform the following functions (see en001288): To minimize the risk of accidental ignition. To limit the severity and effects of fire or explosions. To retard the effects of fire on areas beyond its point of origin. To retard failure or collapse due to the effects of fire. To retard the effects of fire on emergency egress facilities. To retard the effects of fire on facilities for notification, suppression and emergency response. To facilitate the timely movement of persons to a safe place in an emergency. To notify persons, in a timely manner, of the need to take action in an emergency. To facilitate emergency response. To notify emergency responders, in a timely manner, of the need to take action in an emergency. To support and withstand expected loads and forces. To limit or accommodate dimensional change. To limit movement under expected loads and forces. To minimize the risk of injury to persons as a result of tripping, slipping, falling, contact, drowning or collision. To minimize the risk of injury to persons as a result of contact with hot surfaces or substances. To minimize the risk of injury to persons as a result of contact with energized equipment. To resist or discourage unwanted access or entry. To minimize the risk that persons will be trapped in confined spaces. To limit the level of contaminants. To minimize the risk of release of hazardous substances. To limit the spread of hazardous substances beyond their point of release. To maintain appropriate air and surface temperatures. To maintain appropriate relative humidity. To maintain appropriate indoor/outdoor air pressure differences. To resist deterioration resulting from expected service conditions. To minimize the risk of malfunction, interference, damage, tampering, lack of use or misuse. To minimize the risk of inadequate performance due to improper maintenance or lack of maintenance."
B,ep001013.1,1.1,ep001013.1.1,1.1.1,Application,es007203,This Part applies to all buildings and facilities covered in this Code. (See ea004094.)
B,ep001013.1,1.1,ep001013.1.2,1.1.2,Attribution to Acceptable Solutions,es007204,"For the purposes of compliance with this Code as required in es007176b, the objectives and functional statements attributed to the acceptable solutions in Division B shall be the objectives and functional statements identified in Sections ep001014.14, ep001015.4, ep001016.12, ep001017.7, ep001018.8and ep001019.4 (See en001178.)"
B,ep001013.2,1.2,ep001013.2.1,1.2.1,Non-defined Terms,es007205,"Words and phrases used in Division B that are not included in the list of definitions in ea004241 shall have the meanings defined in the rsa2000a, or the meanings that are commonly assigned to them in the context in which they are used, taking into account the specialized use of terms by the various trades and professions to which the terminology applies."
B,ep001013.2,1.2,ep001013.2.1,1.2.1,Non-defined Terms,es007206,"Where objectives and functional statements are referred to in Division B, they shall be the objectives and functional statements described in Parts 2 and 3 of Division A."
B,ep001013.2,1.2,ep001013.2.1,1.2.1,Non-defined Terms,es007207,"Where acceptable solutions are referred to in Division B, they shall be the provisions stated in Parts 2 to 7."
B,ep001013.2,1.2,ep001013.2.1,1.2.1,Non-defined Terms,es022061,"For words not defined by es007205, reference should be made to theoup_cod."
B,ep001013.2,1.2,ep001013.2.1,1.2.1,Defined Terms,es007208,The words and terms in italics in Division B shall have the meanings assigned to them in ea004241.
B,ep001013.2,1.2,ep001013.2.2,1.2.2,Symbols and Other Abbreviations,es007209,The symbols and other abbreviations in Division B shall have the meanings assigned to them in ea001995 and ea004124
B,ep001013.3,1.3,ep001013.3.1,1.3.1,Effective Date,es007210,"Unless otherwise specified herein, the documents referenced in this Code shall include all amendments, revisions, reaffirmations, reapprovals, addenda and supplements effective to 15 July 2019."
B,ep001013.3,1.3,ep001013.3.1,1.3.1,Applicable Editions,es007211,"Where documents are referenced in this Code, they shall be the editions designated in et001008"
B,ep001013.3,1.3,ep001013.3.2,1.3.2,Abbreviations of Proper Names,es007212,The abbreviations of proper names in this Code shall have the meanings assigned to them in this Article.ACGIHAmerican Conference of Governmental Industrial Hygienists (www.acgih.org) ANSIAmerican National Standards Institute (www.ansi.org) APIAmerican Petroleum Institute (www.api.org) ARPMAssociation for Rubber Products Manufacturers (www.arpminc.com) ASABEAmerican Society of Agricultural and Biological Engineers (www.asabe.org) ASCAAlberta Safety Codes Authority (www.safetycodes.ab.ca) AERAlberta Energy Regulator (www.aer.ca) ASMEAmerican Society of Mechanical Engineers (www.asme.org) ASTMASTM International (www.astm.org) CANNational Standard of Canada designation (www.scc.ca) CCBFCCanadian Commission on Building and Fire Codes (see NRC) CCMECanadian Council of Ministers of the Environment (www.ccme.ca) CFACanadian Fuels Association (www.canadianfuels.ca) CGACompressed Gas Association (www.cganet.com) CGSBCanadian General Standards Board (www.tpsgc-pwgsc.gc.ca/ongc-cgsb/index-eng.html) CNSCCanadian Nuclear Safety Commission (nuclearsafety.gc.ca/eng) CSACSA Group (www.csagroup.org) EPAEnvironmental Protection Agency (U.S.) (www.epa.gov) FM GlobalFM Global (www.fmglobal.com) HCHealth Canada (www.hc-sc.gc.ca) IMOInternational Maritime Organization (www.imo.org) NACENACE International (www.nace.org) NBCNational Building Code of Canada 2020 NBC(AE)National Building Code – 2023 Alberta Edition NFCNational Fire Code of Canada 2020 NFC(AE)National Fire Code – 2023 Alberta Edition NFPANational Fire Protection Association (www.nfpa.org) NRCNational Research Council of Canada (nrc.canada.ca) NRCanNatural Resources Canada (www.nrcan.gc.ca) OCIMFOil Companies International Marine Forum (www.ocimf.com) SFPESociety of Fire Protection Engineers (www.sfpe.org) STI/SPFASteel Tank Institute/Steel Plate Fabricators Association (www.steeltank.com) TCTransport Canada (www.tc.canada.ca) ULUnderwriters' Laboratories Inc. (www.ul.com) ULCULC Standards (canada.ul.com/ulcstandards) UNUnited Nations (www.un.org)
B,ep001014.1,2.1,ep001014.1.1,2.1.1,Application,es003849,"This Part provides for the safety of the occupants in existing buildings, the elimination or control of fire hazards in and around buildings, the installation and maintenance of certain life safety systems in buildings, the installation and maintenance of posted signs and information, and the establishing of a fire safety plan for locations identified in ea002061"
B,ep001014.1,2.1,ep001014.1.2,2.1.2,Classification,es003850,"For the purpose of applying this Code, every building or part thereof shall be classified according to its major occupancy in conformance with the nrcc-nbcae23. (See en000548.)"
B,ep001014.1,2.1,ep001014.1.2,2.1.2,Hazardous Activities,es003851,Activities that create a hazard and that are not allowed for in the original design shall not be carried out in a building unless provisions are made to control the hazard in conformance with this Code. (See en000549.)
B,ep001014.1,2.1,ep001014.1.2,2.1.2,Hazardous Activities,es003852,"No major occupancy of Group F, Division 1 shall be contained within a building with any occupancy classified as an assembly, care, home-type care, treatment, detention or residential occupancy."
B,ep001014.1,2.1,ep001014.1.2,2.1.2,Hazardous Activities,es013727,"No occupancy of Group A, Division 1 or 3, or Group B shall be contained within a building with any major occupancy classified as an agricultural occupancy."
B,ep001014.1,2.1,ep001014.1.2,2.1.2,Hazardous Activities,es013728,"No occupancy of Group A, Division 2 or 4, or Group C shall be contained within a building with any major occupancy classified as Group G, Division 1 or 4."
B,ep001014.1,2.1,ep001014.1.3,2.1.3,"Fire Alarm, Standpipe and Sprinkler Systems",es003853,"Except as otherwise provided in this Code, where fire alarm, standpipe and sprinkler systems are provided, they shall be designed and installed in conformance with the nrcc-nbcae23. (See en000550.)"
B,ep001014.1,2.1,ep001014.1.3,2.1.3,"Fire Alarm, Standpipe and Sprinkler Systems",es003854,"When changes in the use of buildings or floor areas create a hazard exceeding the criteria for which the fire protection systems were designed, such fire protection systems shall be upgraded to accommodate the increased hazard."
B,ep001014.1,2.1,ep001014.1.3,2.1.3,Voice Communication Systems,es003855,A voice communication system or systems integrated with the general fire alarm system shall be provided in buildings as specified in Subsection 3.2.6. of Division B of the nrcc-nbcae23.
B,ep001014.1,2.1,ep001014.1.3,2.1.3,Smoke Alarms,es003856,"Smoke alarms conforming to ulcs531 shall be installed in each home-type care occupancy and dwelling unit, except where the building has a residential fire warning system installed in conformance with the nrcc-nbcae23, and in each sleeping room not within a dwelling unit, except for care, treatment or detention occupancies required to have a fire alarm system."
