ID,Division,Article Title,Sentence Number,Sentence Text
ID252,A,Application of Part 8,1.1.2.3.(1),"Subject to Article 1.1.2.6., Part 8 of Division B applies to the design, construction, operation and maintenance of all sewage systems and to the construction of buildings in the vicinity of sewage systems."
ID261,A,Application of Part 9,1.1.2.4.(1),"Subject to Article 1.1.2.6 Part 9 of Division B applies to all buildings, (a) of three or fewer storeys in building height, (b) having a building area not exceeding 600 m 2, and (c) used for major occupancies classified as, (i) Group C, residential occupancies other than buildings used for retirement homes, (ii) Group D, business and personal services occupancies, (iii) Group E, mercantile occupancies, or (iv) Group F, Divisions 2 and 3, medium hazard industrial occupancies and low hazard industrial occupancies."
ID286,A,Application of Part 10,1.1.2.5.(1),Part 10 of Division B applies to existing buildings requiring a permit under section 10 of the Act.
ID291,A,Application of Part 11,1.1.2.6.(1),"Except as provided in Sentence (2), Part 11 of Division B applies to the design and construction of existing buildings, or parts of existing buildings, that have been in existence for at least five years."
ID296,A,Application of Part 11,1.1.2.6.(2),"If a building has been in existence for at least five years but includes an addition that has been in existence for less than five years, Part 11 of Division B applies to the entire building."
ID302,A,Existing Buildings,1.1.2.7.(1),"Except as provided in Section 3.17. of Division B, Section 9.40. of Division B and Part 11 of Division B, if an existing building is extended or is subject to material alteration or repair, this Code applies only to the design and construction of the extensions and those parts of the building that are subject to the material alteration or repair."
ID307,A,Existing Buildings,1.1.2.7.(2),"If an existing previously occupied building is moved from its original location to be installed elsewhere, or is dismantled at its original location and moved to be reconstituted elsewhere, this Code applies only to changes to the design and construction of the building required as a result of moving the building. 1.1.3. Building Size Determination"
ID317,A,Building Size Determination of Building Divided by Firewalls,1.1.3.1.(1),"Where a firewall divides a building, each portion of the building that is divided shall be considered as a separate building, except for the purposes of, (a) a determination of gross area in Section 1.2. of Division C, (b) a fire alarm and detection system in Sentence 3.2.4.2.(1) of Division B or Article 9.10.18.1. of Division B, and (c) a plumbing system interconnected through a firewall."
ID331,A,Building Size Determination of Building Divided by Vertical Fire Separations,1.1.3.2.(1),"Except as permitted in Sentence (2), if portions of a building are completely separated by a vertical fire separation that has a fire-resistance rating of at least 1 h and that extends through all storeys and service spaces of the separate portions, each separated portion may be considered to be a separate building for the purpose of determining building height if, (a) each separated portion is not more than three storeys in building height and is used only for residential occupancies other than a retirement home, and (b) the unobstructed path of travel for a firefighter from the nearest street to one entrance to each separated portion is not more than 45 m."
ID348,A,Building Size Determination of Building Divided by Vertical Fire Separations,1.1.3.2.(2),The vertical fire separation in Sentence (1) may terminate at the floor assembly immediately above a basement if the basement conforms to Article 3.2.1.2. of Division B. Section 1.2. Compliance 1.2.1. Compliance with Division B 1.2.1.1 Compliance with Division B
ID359,A,Building Size Determination of Building Divided by Vertical Fire Separations,1.1.3.2.(1),"Compliance with Division B shall be achieved, (a) by complying with the applicable acceptable solutions in Division B, or (b) by using alternative solutions that will achieve the level of performance required by the applicable acceptable solutions in respect of the objectives and functional statements attributed to the applicable acceptable solutions in MMAH Supplementary Standard SA-1, “Objectives and Functional Statements Attributed to the Acceptable Solutions”."
ID369,A,Building Size Determination of Building Divided by Vertical Fire Separations,1.1.3.2.(2),"For the purposes of Clause (1)(b), the level of performance in respect of a functional statement refers to the performance of the functional statement as it relates to the objective with which it is associated in MMAH Supplementary Standard SA-1, “Objectives and Functional Statements Attributed to the Acceptable Solutions”. 1.2.2. Materials, Appliances, Systems and Equipment"
ID380,A,"Characteristics of Materials, Appliances, Systems and Equipment",1.2.2.1.(1),"All materials, appliances, systems and equipment installed to meet the requirements of this Code shall possess the necessary characteristics to perform their intended functions when installed in a building."
ID386,A,"Used Materials, Appliances and Equipment",1.2.2.2.(1),"Unless otherwise specified, recycled materials in building products may be used and used materials, appliances and equipment may be reused when they meet the requirements of this Code for new materials and are satisfactory for their intended use. Section 1.3. Interpretation 1.3.1. Interpretation"
ID396,A,Designated Structures,1.3.1.1.(1),"The following structures are designated for the purposes of clause (d) of the definition of building in subsection 1 (1) of the Act: (a) a retaining wall exceeding 1 000 mm in exposed height adjacent to, (i) public property, (ii) access to a building, or (iii) private property to which the public is admitted, (b) a pedestrian bridge appurtenant to a building, (c) a crane runway, (d) an exterior storage tank and its supporting structure that is not regulated by the Technical Standards and Safety Act, 2000, (e) signs regulated by Section 3.15. of Division B that are not structurally supported by a building, (f) a solar collector that is mounted on a building and has a face area equal to or greater than 5 m², (g) a structure that supports a wind turbine generator having a rated output of more than 3 kW, (h) a dish antenna that is mounted on a building and has a face area equal to or greater than 5 m², (i) an outdoor pool, (j) an outdoor public spa, (k) a permanent solid nutrient storage facility with supporting walls exceeding 1 000 mm in exposed height, (l) a demountable stage, and (m) a demountable support structure."
ID429,A,Farm Buildings,1.3.1.2.(1),"Except as provided in Sentences (2) to (7), farm buildings shall conform to the requirements in the CCBFC NRCC 38732, “National Farm Building Code of Canada”."
ID432,A,Farm Buildings,1.3.1.2.(2),"Articles 1.1.1.2. and 3.1.8.1. and Subsections 3.1.4. and 4.1.4. in the CCBFC NRCC 38732, “National Farm Building Code of Canada” do not apply to farm buildings."
ID435,A,Farm Buildings,1.3.1.2.(3),"In the CCBFC NRCC 38732, “National Farm Building Code of Canada”, references in Articles 1.1.1.3., 2.2.2.1., 2.2.2.2., 2.3.1.1., 2.3.2.1., 3.1.1.1., 3.1.1.2., 3.1.2.1. and 3.1.6.1. to the CCBFC NRCC 38726, “National Building Code of Canada”, are deemed to be references to Ontario Regulation 403/97 (Building Code), as it read on December 30, 2006."
ID437,A,Farm Buildings,1.3.1.2.(4),"A farm building of low human occupancy having a building area not exceeding 600 m 2 and not more than three storeys in building height is deemed to comply with the structural requirements of the CCBFC NRCC 38732, “National Farm Building Code of Canada” if it is designed and constructed in conformance with MMAH Supplementary Standard SB-11, “Construction of Farm Buildings”."
ID445,A,Farm Buildings,1.3.1.2.(5),"A liquid manure storage tank shall comply with the requirements of Part 4 of Division B of this Code and the requirements of Part 4 of the CCBFC NRCC 38732, “National Farm Building Code of Canada”."
ID448,A,Farm Buildings,1.3.1.2.(6),A permanent solid nutrient storage facility shall comply with the requirements of Part 4 of Division B of this Code.
ID451,A,Farm Buildings,1.3.1.2.(7),"Where a floor area or portion of a floor area within a farm building is intended to contain a hazardous extraction operation involving cannabis, the floor area or portion of the floor area shall be designed and constructed to comply with, (a) the requirements for locking, latching and other fastening devices for doors set out in Article 2.7.2.2. of Division B of the Fire Code made under the Fire Protection and Prevention Act, 199 7, (b) the ventilation requirements set out in Articles 4.1.7.2. to 4.1.7.6. of Division B of the Fire Code, where the hazardous extraction operation is intended to involve the use of flammable liqui ds or combustible liquids, and (c) the ventilation requirements set out in Clauses 5.1.4.2.(1)(a) to (d) and (g) of Division B of the Fire Code, where the hazardous extraction operation is intended to involve the use of flammable gases. Section 1.4. Terms and Abbreviations 1.4.1. Definitions of Words and Phrases"
ID475,A,Non-defined Terms,1.4.1.1.(1),"Definitions of words and phrases used in this Code that are not included in the list of definitions in Articles 1.4.1.2., 1.4.1.3. and 1.4.1.4. and are not defined in another provision of this Code shall have the meanings that are commonly assigned to them in the context in which they are used, taking into account the specialized use of terms by the various trades and professions to which the terminology applies."
