DOCTYPE,PT,Code Year,Code Book,Division,Language,DOCID,DIVISION,PT Sentence Number,ARTICLE_TITLE,PT Sentence Text,PARTNUM,SECTIONNUM,SUBSECTIONNUM,ARTICLENUM,SENTENCENUM
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,3.2.7.12.(1),Fire Department Access,"Except as provided in Sentences 3.2.7.12.(2)and 3.2.7.12.(3), fire department access to buildings described in Article 3.2.7.1. shall be in conformance with part 2.",3.0,2,7,12,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.1.8.3.(2),Transfer,"Except as provided in part 4., the transfer of flammable liquids or combustible liquids by means of pressure applied to a container or storage tank shall not be permitted.",4.0,1,8,3,2
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.2.4.4.(1),Exterior Balconies,Flammable liquids and combustible liquids shall not be stored on exterior balconies.,4.0,2,4,4,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,5.5.4.2.(2),Power-Ventilated Enclosure,"A power-ventilated enclosure required in Sentence 5.5.4.2.(1) shall not be used for the storage of dangerous goods, and any quantity in excess of the supply necessary for normal operations shall conform to part 5.",5.0,5,4,2,2
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.9.3.3.(1),Basements and Pits,Process plants where Class I and II liquids are handled shall not have basements or covered pits.,4.0,9,3,3,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.11.3.7.(3),Unloading,"A tank vehicle shall not be parked on a street, shoulder or sidewalk while unloading at a fuel-dispensing station.",4.0,11,3,7,3
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.11.2.3.(1),Parking inside Buildings,"A tank vehicle shall not be parked inside a building unless the building is specifically designed for that purpose, there is sufficient space in the tank vehicle compartment to accommodate the thermal expansion of the flammable liquid or combustible liquid, and the tank vehicle has no leaks of flammable liquid or combustible liquid.",4.0,11,2,3,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,3.2.8.1.(1),Application,"Except as provided in part 3., this Subsection applies to the indoor storage of dangerous goods classified as compressed gases.",3.0,2,8,1,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.2.2.2.(2),Storage Arrangement and Conditions,"Flammable liquids and combustible liquids shall not be stored in areas where they may be subject to temperature extremes or atmospheric pressure that could cause their containers to become deformed or rupture, or physical impact or temperature extremes that could cause a chemical reaction or chemical instability such that a fire could occur.",4.0,2,2,2,2
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,6.7.1.1.(3),"Inspection, Testing and Maintenance","Carbon monoxide alarms shall be inspected, tested and maintained in conformance with the manufacturer's instructions.",6.0,7,1,1,3
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.5.5.2.(1),Welded Piping,"Welding of piping for flammable liquids or combustible liquids shall conform to part 5. and to the appropriate provincial or territorial regulations or municipal bylaws, or in the absence of such regulations, to API 1104-2013 Welding of Pipelines and Related Facilities",4.0,5,5,2,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.6.8.6.(3),Fuel-Dispensing Procedures,Class I and II liquids shall not be dispensed at a fuel-dispensing station into the fuel tank of a motor vehicle while any part of the motor vehicle or any vehicle attached to it is on a street.,4.0,6,8,6,3
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.7.5.1.(1),Portable Extinguishers,"At least 2 portable extinguishers, each having a rating of not less than 80-B:C, shall be provided at hazardous locations in bulk storage plants for flammable liquids and combustible liquids.",4.0,7,5,1,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,5.3.3.2.(1),Conveying Equipment,"Belt conveyors and bucket elevator legs shall be equipped with safety devices to detect excessive misalignment, blockage, slipping or slow-down of the conveying equipment, and prevent conditions described in Sentence 5.3.3.2.(1) from creating a fire or explosion hazard by alerting personnel trained in taking appropriate actions, or automatically stopping the conveying equipment.",5.0,3,3,2,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,3.2.6.3.(2),Loose Combustible Fibres,Quantities of loose combustible fibres exceeding 3 m3 but not exceeding 15 m3 shall be stored in rooms separated from the remainder of the building by a fire separation having a fire-resistance rating of not less than 1 h.,3.0,2,6,3,2
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,2.7.1.4.(3),Signs,Signs required in Sentences 2.7.1.4.(1)and 2.7.1.4.(2) shall have lettering not less than 50 mm high with a 12 mm stroke.,2.0,7,1,4,3
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.4.2.1.(6),Definition and Performance of Leak Detection Testing and Monitoring,A continuous in-tank leak detection system shall conform to good engineering practice and meet the requirements of a precision leak detection test. (See Note A-4.4.2.1.(6).),4.0,4,2,1,6
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.6.4.2.(2),Self-service Outlets,"At card- or key-activated self-service outlets, the emergency shut-off switch required in Sentence 4.6.4.2.(1) shall be readily accessible to the customer.",4.0,6,4,2,2
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.8.3.1.(2),Installation,Storage tanks are permitted to be located in buildings on piers and wharves of solid-fill or noncombustible construction provided they conform to Subsections 4.to 4.,4.0,8,3,1,2
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,2.16.1.1.(1),Attribution to Acceptable Solutions,"For the purposes of compliance with this Code as required in Sentence 1.2.1.1.(1), the objectives and functional statements attributed to the acceptable solutions in this Part shall be the objectives and functional statements listed in Table 2.16.1.1. (See Note A-1.1.2.1.(1).)",2.0,16,1,1,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.7.3.2.(1),Dispensing into Vehicles,Dispensers used by the general public to dispense flammable liquids or combustible liquids into the fuel tanks of vehicles shall not be located at a bulk plant unless separated by a fence or equivalent barrier from the area in which the bulk storage operations are conducted.,4.0,7,3,2,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,5.3.1.6.(1),Explosion Venting,"Except as provided in Article 5.3.1.7., an activity that creates an atmosphere containing significant concentrations of combustible dusts shall be located only in a building provided with explosion venting to the outdoors.",5.0,3,1,6,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,2.6.1.5.(1),Clearances,"Required clearances between chimneys, flue pipes or appliances and combustible construction shall be maintained in conformance with the British Columbia Building Code.",2.0,6,1,5,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,2.7.3.1.(2),Installation and Maintenance,Exit lighting and exit signs shall be illuminated during times when the building is occupied.,2.0,7,3,1,2
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,3.2.7.14.(4),Placards,"Where the dangerous goods identified in Sentence 3.2.7.14.(1) consist of more than one class of products, a placard for each individual class, or the ""Danger"" placard shown in TC SOR/2016-95 Transportation of Dangerous Goods Regulations (TDGR) shall be posted at the entrance to the storage area.",3.0,2,7,14,4
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.2.11.5.(1),Fencing,An outdoor area used for the container storage of flammable liquids or combustible liquids shall be fenced in conformance with Article 3.3.2.6.,4.0,2,11,5,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,6.3.1.4.(3),Voice Communication Systems,Loudspeakers operated from the central alarm and control facility shall be tested to ensure they can be heard in all parts of the building.,6.0,3,1,4,3
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.5.8.3.(1),Electrical Heating Cables,Electrical heating cables including electrical induction heating shall conform to part 4.,4.0,5,8,3,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.7.4.5.(5),Bonding and Grounding,The bonding connection required in Sentence 4.7.4.5.(1) shall be fixed to the tank vehicle or storage tank before dome covers are raised and shall remain in place until filling is completed and all dome covers have been closed and secured.,4.0,7,4,5,5
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,5.2.2.2.(2),Inspection,Leaks or defects found in hot work equipment shall be repaired prior to use.,5.0,2,2,2,2
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,3.1.3.1.(3),Industrial Trucks,Battery-powered industrial trucks shall conform to ULC ULC/ORD-C583-14 Guide for the Investigation of Electric Battery Powered Industrial Trucks,3.0,1,3,1,3
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,3.1.4.1.(1),Hazardous Locations,"Where wiring or electrical equipment is located in areas in which flammable gases or vapours, combustible dusts or combustible fibres are present in quantities sufficient to create a hazard, such wiring and electrical equipment shall conform to Sentence 3.3.6.2.(4) of Division B of the British Columbia Building Code..",3.0,1,4,1,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.3.13.5.(1),Storage Tank Construction,"Storage tanks with an individual capacity exceeding 2 500 L but not exceeding 20 000 L that are used in conformance with Table 4.3.13.4.-B shall be of double-walled construction in conformance with Sentence 4.3.1.2.(1) or a minimum of 300 deg. secondarily contained construction, and monitored for leakage in conformance with Sentence 4.4.2.1.(7).",4.0,3,13,5,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,2.2.2.2.(1),Damage to Closures,"Where closures are damaged so as to affect the integrity of their fire-protection rating, they shall be repaired so that their integrity is maintained in conformance with Article 2.2.2.1.",2.0,2,2,2,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,3.3.4.1.(3),Application,"Where a product has multiple classes, the applicable small quantity exemption referred to in Sentence 3.3.4.1.(2) shall be determined using Column A of Table 3.2.7.1. based on the class having precedence, as established in Section 2.8 of TC SOR/2016-95 Transportation of Dangerous Goods Regulations (TDGR) Column B of Table 3.2.7.1. based on the class having precedence, as established in Table A-3.2.7.1.(3)(b), for controlled products under the HC Hazardous Products Act, Part II Workplace Hazardous Materials Information System (WHMIS) as classified in Part 7 of HC SOR/2015-17 Hazardous Products Regulations or when the class having precedence cannot be established, Column C of Table 3.2.7.1. based on the lesser of the two small quantity exemptions.",3.0,3,4,1,3
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.3.1.10.(1),Reuse,"A storage tank that has been taken out of service shall not be reused for the storage of flammable liquids or combustible liquids unless it has been refurbished so as to conform to one of the standards listed in Sentence 4.3.1.2.(1), or refurbished in conformance with Sentence 4.3.1.10.(2)or 4.3.1.10.(3).",4.0,3,1,10,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.8.4.3.(1),Guards,"In areas where general cargo is handled or where piping might be subject to physical damage from vehicles, watercraft or floatplanes, the piping shall be protected by means of guarding devices.",4.0,8,4,3,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,5.2.2.1.(1),Maintenance,Hot work equipment shall be maintained in good operating condition.,5.0,2,2,1,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,5.3.3.3.(1),Separators,Separators shall be provided at grain receiving points ahead of the conveying equipment. (See Article 5.3.1.9.),5.0,3,3,3,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,2.9.2.1.(1),Flame-Retardant Treatments,Flame-retardant treatments shall be renewed as often as is required to ensure that the material will pass the match flame test in NFPA 705-2013 Field Flame Test for Textiles and Films (See Note A-2.3.2.2.(1).),2.0,9,2,1,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,3.3.2.8.(2),Ignition Sources,"Except as provided in part 2., smoking shall not be permitted in an outdoor storage area.",3.0,3,2,8,2
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.1.6.3.(1),Spills and Leaks,Maintenance and operating procedures shall be established to prevent the escape of flammable liquids or combustible liquids to areas where they could create a fire or explosion hazard.,4.0,1,6,3,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.2.5.1.(1),Application,This Subsection applies to the storage and handling of flammable liquids and combustible liquids in mercantile occupancies.,4.0,2,5,1,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,6.4.2.1.(12),Specifications,"Rubber washers that are made to fit the standard female fire-hose coupling shall be 3 1/4 inches outside diameter, 2 9/16 inches inside diameter and 1 1/4 inches in thickness.",6.0,4,2,1,12
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.5.6.12.(2),Supports for Overhead Piping,Anchors of the expansion shield type used to suspend piping shall not be used to suspend piping from unsound or lightweight concrete or from gypsum assemblies.,4.0,5,6,12,2
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,5.5.5.3.(3),Compressed Gases,"Each point of supply and each point of use of cylinders or piping systems for dangerous goods classified as compressed gases shall be provided with a label identifying the gas being supplied, and a manual shut-off valve.",5.0,5,5,3,3
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,6.1.1.4.(1),Protection during Shutdown,"When any portion of a fire protection system is temporarily shut down, alternative measures shall be taken to ensure that protection is maintained. (See Note A-6.1.1.4.(1).)",6.0,1,1,4,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.5.10.2.(2),Training,"Employees engaged in the operation of equipment for the transfer of flammable liquids or combustible liquids shall be trained in the location, function and operation of valves used for the operation of fire protection equipment and manual emergency shut-off valves.",4.0,5,10,2,2
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,3.2.3.1.(2),Application,"When flammable liquids or combustible liquids are stored with products covered by this Subsection, the liquids shall meet the requirements of the applicable provisions of Part 4.",3.0,2,3,1,2
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.6.8.5.(3),Duties of Attendants,Attendants shall be trained on how to conduct their duties.,4.0,6,8,5,3
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.6.9.1.(1),Portable Extinguishers,"At least 2 portable extinguishers, each having a rating of not less than 40-B:C, shall be provided at every fuel-dispensing station.",4.0,6,9,1,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.3.8.6.(3),Installation,Underground storage tanks shall not be placed in direct contact with reinforced concrete slabs but shall be separated by not less than 150 mm of sand or other suitable material to evenly distribute the weight of the tank on the supporting base.,4.0,3,8,6,3
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,5.4.7.1.(1),Application,This Subsection applies to process plants where ethanol is produced for fuel purposes.,5.0,4,7,1,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.6.3.5.(1),Marine Fuel-Dispensing Stations,"Dispensers at marine fuel-dispensing stations shall be in a location that will prevent watercraft or floatplane impact, or other physical damage.",4.0,6,3,5,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,2.5.1.2.(1),Access Panels and Windows,Access panels or windows provided to facilitate access for firefighting operations shall be maintained free of obstruction.,2.0,5,1,2,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,7.2.2.1.(3),Testing Elevators,"At intervals not greater than 12 months, the building emergency power systems shall be operated and all elevators supplied with emergency power shall be tested as provided in Sentence 7.2.2.1.(1) with no other source of electrical power.",7.0,2,2,1,3
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.3.2.5.(1),Fire Protection Systems,"Where the diameter of a storage tank exceeds 45 m, the storage tank shall be provided with protection against fires or explosions in conformance with Sentence 4.3.2.5.(2).",4.0,3,2,5,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.3.12.3.(2),Fill Piping and Discharge Piping,The fill point of an underground storage tank shall not be located higher than the discharge point of the tank's vent.,4.0,3,12,3,2
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.2.10.3.(3),Maximum Quantity per Fire Compartment,"In care, treatment or detention occupancies, the total quantity of flammable liquids and combustible liquids stored in cabinets in a single fire compartment shall not exceed the quantity permitted for one cabinet.",4.0,2,10,3,3
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,1.2.1.1.(2),Non-defined Terms,"Where objectives and functional statements are referred to in Division B, they shall be the objectives and functional statements described in Parts 2 and 3 of Division A.",1.0,2,1,1,2
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,5.5.5.3.(5),Compressed Gases,"Except as provided in Sentence 5.5.5.3.(7), where cylinders of dangerous goods classified as toxic gases are used in a laboratory, they shall be located in a continuously mechanically ventilated gas storage cabinet, all exhaust shall be directed to a treatment system designed to process the accidental release of gas (see Note A-5.5.5.3.(5)(b)), and the gas levels in the air shall be monitored by a gas detection system designed to emit an audible and visual signal within the laboratory and at a central station when gas levels exceed the exposure limit values established by provincial regulations or, in the absence of such regulations or bylaws, when they exceed the exposure limit values stated in the Safety Data Sheet.",5.0,5,5,3,5
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,5.5.5.2.(1),Containers for Flammable and Combustible Liquids,"Except as provided in Sentences 5.5.5.2.(2)and 5.5.5.2.(4), containers used for the storage or dispensing of flammable liquids or combustible liquids in a laboratory shall conform to part 4.",5.0,5,5,2,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.5.9.5.(5),Hydraulic Transfer Systems,Hydraulic transfer systems referred to in Sentence 4.5.9.5.(1) shall be arranged so that there is no water pressure on the system except when liquid is being discharged.,4.0,5,9,5,5
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.5.10.6.(1),Operational Tests,"To ensure proper operation, frequent inspections and tests shall be made of all safety shut-off valves and other fire safety devices, with particular attention directed to normally open, fusible-link-operated valves, float valves and automatic controls.",4.0,5,10,6,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,5.4.3.2.(2),Notification,The occupants of any premises adjacent to that in which fumigation or thermal insecticidal fogging is to take place shall be given prior notice.,5.0,4,3,2,2
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,3.2.2.5.(5),Fire Safety Plan,"When the products stored include Group A plastics, rubber products, Level 2 or 3 aerosols, or dangerous goods, the fire safety plan shall identify the location and maximum quantity of product that is being stored.",3.0,2,2,5,5
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.4.3.4.(6),Protocols for Liquid Media Leak Detection Testing of Piping,Test pressures exceeding 700 kPa (gauge) shall not be permitted unless the piping system is designed for such pressures.,4.0,4,3,4,6
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.2.7.10.(1),Separation from Combustible Products,"Except for Class I commodities, flammable liquids and combustible liquids shall not be stored in the same individual storage area with other products listed in Sentence 3.2.1.1.(1).",4.0,2,7,10,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,5.5.3.6.(2),Inspection and Maintenance,"The ventilation systems serving a laboratory shall be inspected and cleaned to prevent the accumulation of combustible or reactive deposits, and the intervals between inspections shall be not greater than 12 months for the ventilation systems of the laboratory and dangerous goods storage areas, and 6 months for the ventilation system of a power-ventilated enclosure required in Article 5.5.4.2.",5.0,5,3,6,2
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.6.6.4.(1),Pump Location,"Pumps installed aboveground and outside buildings shall be located not less than 3 m from any property line, and 1.5 m from any building opening.",4.0,6,6,4,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.7.4.2.(1),Multi-purpose Facilities,"When piping and pumping systems have been used for the transfer of either flammable liquids or combustible liquids at loading or unloading facilities, the system shall be cleaned of vapours before the other class of liquid is introduced.",4.0,7,4,2,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.8.6.2.(1),Training,Operating personnel shall be trained on how to summon the nearest fire department in the event of fire.,4.0,8,6,2,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,5.1.2.1.(1),Hazardous Locations,"Where wiring or electrical equipment is located in areas in which flammable gases or vapours, combustible dusts or combustible fibres are present in quantities sufficient to create a hazard, such wiring and electrical equipment shall conform to the British Columbia Electrical Safety Regulation requirements for hazardous locations. (See Note A-5.1.2.1.(1).)",5.0,1,2,1,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,5.2.2.4.(2),Compressed Gas Equipment,Unalloyed copper piping shall not be used for acetylene gas.,5.0,2,2,4,2
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,5.2.3.2.(1),Protection of Combustible and Flammable Materials,"Any combustible and flammable material, dust or residue shall be removed from the area where hot work is carried out, or except as provided in Sentence 5.2.3.2.(2), protected against ignition by the use of noncombustible materials.",5.0,2,3,2,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,3.1.1.4.(3),Compressed Gases,"Except as provided in this Part, the storage and handling of natural gas shall conform to the British Columbia Gas Safety Regulation",3.0,1,1,4,3
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.3.8.2.(1),Location,Underground storage tanks shall be located so that loads from building foundations and supports are not transmitted to the tank.,4.0,3,8,2,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,3.3.1.1.(2),Application,"This Section shall not apply to a site where the total storage area is not more than 100 m 2, except for distance requirements between stored products and a building, and requirements for dangerous goods classified as compressed gases in part 3., Class I and II commodities, as classified in part 3., intermodal shipping containers, except when containing dangerous goods (see Note A-3.3.1.1.(2)(c)), buried products and landfill operations, products stored on the roof of a building, vehicles in parking areas or parking lots, logs and similar untreated forest products in ranked piles (see Note A-3.3.1.1.(2)(g)), or bulk products, except as described in Sentence 3.3.1.1.(1).",3.0,3,1,1,2
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,2.1.1.1.(1),Application,"This Part provides for the safety of the occupants in existing buildings, the elimination or control of fire hazards in and around buildings, the installation and maintenance of certain life safety systems in buildings, the installation and maintenance of posted signs and information, and the establishing of a fire safety plan in those occupancies where it is considered necessary.",2.0,1,1,1,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.5.6.1.(1),Construction,"Except for vent risers and vertical fill piping systems, underground piping systems shall be of double-walled construction.",4.0,5,6,1,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.5.6.2.(2),Location,"Where piping for flammable liquids or combustible liquids is installed within a building, the length of piping shall be as direct and as short as practicable.",4.0,5,6,2,2
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.8.9.1.(1),Pressure Relief,Cargo pumps capable of producing pressures in excess of the safe working pressure of the cargo hose shall be provided with pressure relief devices such as return lines or relief valves.,4.0,8,9,1,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.3.8.1.(1),Construction,Storage tanks installed underground shall be of double-walled construction and shall be built in conformance with the underground storage tank standards identified in Sentence 4.3.1.2.(1).,4.0,3,8,1,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,6.5.1.6.(3),Inspection of Unit Equipment,"After completion of the test required in Sentence 6.5.1.6.(2), the charging conditions for voltage and current and the recovery period shall be tested to ensure that the charging system is functioning in accordance with the manufacturer's specifications.",6.0,5,1,6,3
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,5.3.2.1.(2),Exhaust Systems,Operations or machines that generate sparks or combustible vapours shall not be served by exhaust systems connected to woodworking machines referred to in Sentence 5.3.2.1.(1).,5.0,3,2,1,2
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,2.4.3.2.(1),Flaming Meals and Drinks,"In Group B, Divisions 2 and 3 care and treatment occupancies, flaming meals or drinks shall not be served.",2.0,4,3,2,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,2.6.1.6.(2),Operation and Maintenance Procedures,"Except for self-contained systems within dwelling units, disconnect switches for mechanical air-conditioning and ventilating systems shall be operated at intervals not greater than 12 months to establish that the system can be shut down in an emergency.",2.0,6,1,6,2
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,3.3.2.5.(1),Fire Department Access,"Except as provided in Sentence 3.3.2.5.(2), an access route constructed in conformance with Subsection 3.2.5. of Division B of the British Columbia Building Code shall be provided to permit the approach of fire department vehicles to within 60 m travelling distance of any part of an individual storage area.",3.0,3,2,5,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.2.4.2.(3),Maximum Quantities,"When 2 or more classes of flammable liquid or combustible liquid are stored in the same building, the total quantity permitted for each class of liquid shall be calculated as follows: qI30+qII150+qIIIA600 1where qI= the actual quantity of Class I liquids present, qII= the actual quantity of Class II liquids present, qIIIA= the actual quantity of Class IIIA liquids present.",4.0,2,4,2,3
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.6.6.5.(5),Marine Fuel-Dispensing Stations,"Where storage tanks at a marine fuel-dispensing station are elevated above the dispenser, an automatically operated valve that is designed to open only when the dispenser is being operated, so as to prevent gravity draining of the tank in the event of a rupture of the supply line to the dispenser, shall be provided at the storage tank outlet, positioned adjacent to and outside the valve specified in Article 4.3.6.1.",4.0,6,6,5,5
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.6.8.2.(4),Self-service Outlets,A 2-way communication system between the control console and each pump island shall be provided at self-service outlets.,4.0,6,8,2,4
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.8.7.3.(1),Hose Connections,"Except as provided in Sentence 4.8.7.3.(2), hose connections on piping shall be of the bolted flange type, and all such connections shall be provided with shut-off valves.",4.0,8,7,3,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,2.7.1.3.(1),Occupant Load,"The maximum permissible occupant load for any room shall be calculated on the basis of the lesser of 0.4 m2 of net floor space per occupant, or the occupant load for which means of egress are provided.",2.0,7,1,3,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.3.8.3.(2),Ground Cover,"Except as required in Sentence 4.3.8.3.(3), storage tanks subjected to vehicular traffic shall be installed not less than 1 m below finished ground level.",4.0,3,8,3,2
