Full Index,BC Full,BC Variations,Similarity
9494,"Except as provided in Sentences (4) and (5), the construction described in Sentence (1) shall have no unprotected openings and shall be protected in accordance with Sentence (3), where the soffit encloses a common attic or roof space that spans more than 2 suites of residential occupancy and projects beyond the exterior wall of the building, a floor space where an upper storey projects beyond the exterior wall of a lower storey and a fire separation is required at the floor between the two, or reserved, or a floor space where an upper storey projects beyond the exterior wall of a lower storey, and the projection is continuous across a vertical fire separation separating two suites., or reserved.","Except as provided in Sentences (4) and (5), the construction described in Sentence (1) shall have no unprotected openings and shall be protected in accordance with Sentence (3), where the soffit encloses a common attic or roof space that spans more than 2 suites of residential occupancy and projects beyond the exterior wall of the building, a floor space where an upper storey projects beyond the exterior wall of a lower storey and a fire separation is required at the floor between the two, or reserved, or a floor space where an upper storey projects beyond the exterior wall of a lower storey, and the projection is continuous across a vertical fire separation separating two suites., or reserved.",1.0
7584,"Except for head joints left open for weep holes and ventilation, solid masonry units shall be laid with full head and bed joints.","Except for head joints left open for weep holes and ventilation, solid masonry units shall be laid with full head and bed joints.",1.0
10801,"Totally enclosed non-metallic raceways used in a plenum in a building required to be of noncombustible construction shall exhibit a horizontal flame distance of not more than 1.5 m, an average optical smoke density of not more than 0.15, and a peak optical smoke density of not more than 0.5 when tested in conformance with CAN/ULC-S102.4, ""Standard Method of Test for Fire and Smoke Characteristics of Electrical Wiring, Cables and Non-Metallic Raceways,"" (FT6 rating).","Totally enclosed non-metallic raceways used in a plenum in a building required to be of noncombustible construction shall exhibit a horizontal flame distance of not more than 1.5 m, an average optical smoke density of not more than 0.15, and a peak optical smoke density of not more than 0.5 when tested in conformance with CAN/ULC-S102.4, ""Standard Method of Test for Fire and Smoke Characteristics of Electrical Wiring, Cables and Non-Metallic Raceways,"" (FT6 rating).",1.0
8482,"A visible warning system shall be installed in the rooms and spaces required by Section 3.8. and shall conform to Sentence (4) where a fire alarm system is provided, and Sentence (5) where a fire alarm system is not provided","A visible warning system shall be installed in the rooms and spaces required by Section 3.8. and shall conform to Sentence (4) where a fire alarm system is provided, and Sentence (5) where a fire alarm system is not provided",1.0
12252,"The power-ventilated enclosure required in Article 5.5.4.2. and its exhaust duct system shall conform to Article 6.3.4.4. of Division B of the British Columbia Building Code and be provided with instructions for its use and the operation of the ventilation system, and be provided with means to control accidental spillage.","The power-ventilated enclosure required in Article 5.5.4.2. and its exhaust duct system shall conform to Article 6.3.4.4. of Division B of the British Columbia Building Code and be provided with instructions for its use and the operation of the ventilation system, and be provided with means to control accidental spillage.",1.0
7037,"Where sleeping rooms or bed spaces are provided in an addition, the percentage of accessible sleeping rooms or bed spaces required by Subsection 3.8.2. to conform to Article 3.8.3.22. shall be based on the sum of sleeping rooms or bed spaces in the addition and in the existing building.","Where sleeping rooms or bed spaces are provided in an addition, the percentage of accessible sleeping rooms or bed spaces required by Subsection 3.8.2. to conform to Article 3.8.3.22. shall be based on the sum of sleeping rooms or bed spaces in the addition and in the existing building.",1.0
11730,"The sign or symbol required by Sentence (4) shall be at least 100 mm in height and width and shall be designed in accordance with NFPA 170, ""Standard for Fire Safety and Emergency Symbols.""","The sign or symbol required by Sentence (4) shall be at least 100 mm in height and width and shall be designed in accordance with NFPA 170, ""Standard for Fire Safety and Emergency Symbols.""",1.0
7423,"The continuity of a fire separation shall be maintained where it abuts another fire separation, a floor, a ceiling, a roof, or an exterior wall assembly. (See Note A-3.1.8.3.(4).)","The continuity of a fire separation shall be maintained where it abuts another fire separation, a floor, a ceiling, a roof, or an exterior wall assembly. (See Note A-3.1.8.3.(4).)",1.0
8985,The exterior wall of each fire compartment referred to in Sentence (1) within the 1.2 m distance shall have a fire-resistance rating not less than that required for the interior vertical fire separation between the compartment and the remainder of the building.,The exterior wall of each fire compartment referred to in Sentence (1) within the 1.2 m distance shall have a fire-resistance rating not less than that required for the interior vertical fire separation between the compartment and the remainder of the building.,1.0
9647,"Unprotected openings in exterior walls of the building shall be protected with wired glass in fixed steel frames or glass block conforming to Articles 9.10.13.5. and 9.10.13.7., where an unenclosed exterior exit stair or ramp provides the only means of egress from a suite and is exposed to fire from unprotected openings in the exterior walls of another fire compartment, or another dwelling unit, and unprotected openings in the exterior walls of the building are within 3 m horizontally and less than 10 m below or less than 5 m above the exit stair or ramp.","Unprotected openings in exterior walls of the building shall be protected with wired glass in fixed steel frames or glass block conforming to Articles 9.10.13.5. and 9.10.13.7., where an unenclosed exterior exit stair or ramp provides the only means of egress from a suite and is exposed to fire from unprotected openings in the exterior walls of another fire compartment, or another dwelling unit, and unprotected openings in the exterior walls of the building are within 3 m horizontally and less than 10 m below or less than 5 m above the exit stair or ramp.",1.0
6794,"Except as permitted by Sentence (2), access from the accessible entrances required by Sentences 3.8.2.2.(1) and (2) shall be provided throughout the entrance storey or storeys and within all other normally occupied floor areas as required by Sentence 3.8.2.1.(1).","Except as permitted by Sentence (2), access from the accessible entrances required by Sentences 3.8.2.2.(1) and (2) shall be provided throughout the entrance storey or storeys and within all other normally occupied floor areas as required by Sentence 3.8.2.1.(1).",1.0
7952,Fire safety plans shall conform to the British Columbia Fire Code.,Fire safety plans shall conform to the British Columbia Fire Code.,1.0
8630,"In buildings in which a sprinkler system has been installed in accordance with NFPA 13D, ""Installation of Sprinkler Systems in One- and Two-Family Dwellings and Manufactured Homes,"" a fire alarm system need not be installed.","In buildings in which a sprinkler system has been installed in accordance with NFPA 13D, ""Installation of Sprinkler Systems in One- and Two-Family Dwellings and Manufactured Homes,"" a fire alarm system need not be installed.",1.0
10280,Locations requiring radon rough-ins shall be determined in accordance with Article 1.1.3.3. of Division A.,Locations requiring radon rough-ins shall be determined in accordance with Article 1.1.3.3. of Division A.,1.0
12645,"The interior finish material that forms part of the interior surface of a floor, wall, partition or ceiling shall conform to the British Columbia Building Code.","The interior finish material that forms part of the interior surface of a floor, wall, partition or ceiling shall conform to the British Columbia Building Code.",1.0
9304,"Where an unenclosed exterior exit stair or ramp provides the only means of egress from a dwelling unit in a building that contains a secondary suite and the stair is exposed to the hazards of fire from unprotected openings inthe exterior wall of another fire compartment, the openings shall be protected in conformance with Articles 9.10.13.5. to 9.10.13.7. (See Note A-9.37.2.8.(1).)","Where an unenclosed exterior exit stair or ramp provides the only means of egress from a dwelling unit in a building that contains a secondary suite and the stair is exposed to the hazards of fire from unprotected openings inthe exterior wall of another fire compartment, the openings shall be protected in conformance with Articles 9.10.13.5. to 9.10.13.7. (See Note A-9.37.2.8.(1).)",1.0
7709,"Where required by the British Columbia Fire Code, cylinders of anhydrous ammonia or dangerous goods classified as toxic or oxidizing gases stored indoors shall be located in a room that is separated from the remainder of the building by a gas-tight fire separation having a fire-resistance rating of at least 1 h, that is located on an exterior wall of the building, that can be entered from the exterior, and whose closures leading to the interior of the building are equipped with self-closing devices that keep the closures closed when not in use, and constructed so as to prevent the migration of gases from the room into other parts of the building.","Where required by the British Columbia Fire Code, cylinders of anhydrous ammonia or dangerous goods classified as toxic or oxidizing gases stored indoors shall be located in a room that is separated from the remainder of the building by a gas-tight fire separation having a fire-resistance rating of at least 1 h, that is located on an exterior wall of the building, that can be entered from the exterior, and whose closures leading to the interior of the building are equipped with self-closing devices that keep the closures closed when not in use, and constructed so as to prevent the migration of gases from the room into other parts of the building.",1.0
9871,Buildings and facilities required to be accessible in accordance with Subsection 3.8.2. shall be designed in accordance with Subsection 3.8.3.,Buildings and facilities required to be accessible in accordance with Subsection 3.8.2. shall be designed in accordance with Subsection 3.8.3.,1.0
12646,The threaded end of the male fire-hose coupling shall be 29/32 of an inch in length.,The threaded end of the male fire-hose coupling shall be 29/32 of an inch in length.,1.0
8314,"This Subsection applies to wall, roof and floor assemblies separating conditioned space from the ground, and the rough-in of a radon vent pipe to allow the future protection of conditioned space that is separated from the ground by a wall, roof or floor assembly.","This Subsection applies to wall, roof and floor assemblies separating conditioned space from the ground, and the rough-in of a radon vent pipe to allow the future protection of conditioned space that is separated from the ground by a wall, roof or floor assembly.",1.0
7025,"Windows need not be protected in accordance with Sentence (4), where reserved, reserved, the only opening greater than 100 mm by 380 mm is a horizontal opening at the top of the window, the window sill is located more than 450 mm above the finished floor on one side of the window, or the window is located in a room or space with the finished floor described in Clause (d) located less than 1 800 mm above the floor or ground on the other side of the window. (See Note A-9.8.8.1.(4).)","Windows need not be protected in accordance with Sentence (4), where reserved, reserved, the only opening greater than 100 mm by 380 mm is a horizontal opening at the top of the window, the window sill is located more than 450 mm above the finished floor on one side of the window, or the window is located in a room or space with the finished floor described in Clause (d) located less than 1 800 mm above the floor or ground on the other side of the window. (See Note A-9.8.8.1.(4).)",1.0
11492,"All buildings served by one or more elevators shall have, at each elevator entrance on each floor level, a permanently mounted fire safety sign or symbol indicating that the elevator is not to be used in case of fire.","All buildings served by one or more elevators shall have, at each elevator entrance on each floor level, a permanently mounted fire safety sign or symbol indicating that the elevator is not to be used in case of fire.",1.0
10115,"A daycare facility for children shall be classified as a Group A, Division 2 assembly occupancy. (See also Article 3.3.2.17.)","A daycare facility for children shall be classified as a Group A, Division 2 assembly occupancy. (See also Article 3.3.2.17.)",1.0
11895,Temporary electrical installations shall be installed in conformance with the requirements of the British Columbia Electrical Safety Regulation.,Temporary electrical installations shall be installed in conformance with the requirements of the British Columbia Electrical Safety Regulation.,1.0
10586,The construction of adaptable dwelling units and the building in which they are located shall conform to the requirements in this Subsection and to access requirements for residential occupancy buildings elsewhere in this Code.,The construction of adaptable dwelling units and the building in which they are located shall conform to the requirements in this Subsection and to access requirements for residential occupancy buildings elsewhere in this Code.,1.0
11497,Community care facilities shall be constructed in conformance with the British Columbia Building Code.,Community care facilities shall be constructed in conformance with the British Columbia Building Code.,1.0
11725,Internal combustion engines used to power supplementary blowers required by the British Columbia Building Code shall be operated and maintained in conformance with part 6.,Internal combustion engines used to power supplementary blowers required by the British Columbia Building Code shall be operated and maintained in conformance with part 6.,1.0
7434,"In case of conflict between the provisions of this Code and instructions referred to in Sentence (1), the provisions of this Code shall govern.","In case of conflict between the provisions of this Code and instructions referred to in Sentence (1), the provisions of this Code shall govern.",1.0
12116,"Where a standpipe system is to be installed in a building under construction or alteration, the system shall be installed progressively in conformance with Subsection 3.2.5. of Division B of the British Columbia Building Code in areas permitted to be occupied.","Where a standpipe system is to be installed in a building under construction or alteration, the system shall be installed progressively in conformance with Subsection 3.2.5. of Division B of the British Columbia Building Code in areas permitted to be occupied.",1.0
10999,Interior doors shall be undercut by a minimum of 12 mm above the finished floor or the rooms shall be provided with an air-transfer grille with an unobstructed vent area that is not less than 100 cm2.,Interior doors shall be undercut by a minimum of 12 mm above the finished floor or the rooms shall be provided with an air-transfer grille with an unobstructed vent area that is not less than 100 cm2.,1.0
7698,Buildings shall be tested for airtightness to an induced test pressure of not less than 50 Pa.,Buildings shall be tested for airtightness to an induced test pressure of not less than 50 Pa.,1.0
13250,The use of stainless steel pipe and tube shall conform to Table 2.2.6.16.,The use of stainless steel pipe and tube shall conform to Table 2.2.6.16.,1.0
10045,"Where a rough-in referred to in Clause (1)(b) is provided, the rough-in shall include a gas-permeable layer, consisting of not less than 100 mm of clean granular material containing not more than 10% of material that will pass a 4 mm sieve, installed below the floor-on-ground, and a radon vent pipe not less than 100 mm in diameter that is constructed so as to be airtight and installed through the floor-on-ground, such that it opens into each contiguous area of the granular layer required by Clause (a) and not less than 100 mm of granular material projects beyond the terminus of the pipe measured along its axis (see Note A-9.13.4.3.(2)(c)(i) and (3)(b)(i)), it terminates not less than 1 m above and not less than 3.5 m in any other direction from any air inlet, door or openable window, it terminates not less than 2 m above and not less than 3.5 m in any other direction from a roof that supports an occupancy, it terminates not less than 1.8 m from a property line, it is shielded from the weather in accordance with Sentence 6.3.2.9.(4), it is protected from frost closure by insulating the pipe or by some other manner, if subject to frost closure, the accumulation of moisture in the pipe is prevented, and it is clearly labelled ""RADON VENT PIPE"" every 1.2 m and at every change in direction. (See Note A-9.13.4.3.(3))","Where a rough-in referred to in Clause (1)(b) is provided, the rough-in shall include a gas-permeable layer, consisting of not less than 100 mm of clean granular material containing not more than 10% of material that will pass a 4 mm sieve, installed below the floor-on-ground, and a radon vent pipe not less than 100 mm in diameter that is constructed so as to be airtight and installed through the floor-on-ground, such that it opens into each contiguous area of the granular layer required by Clause (a) and not less than 100 mm of granular material projects beyond the terminus of the pipe measured along its axis (see Note A-9.13.4.3.(2)(c)(i) and (3)(b)(i)), it terminates not less than 1 m above and not less than 3.5 m in any other direction from any air inlet, door or openable window, it terminates not less than 2 m above and not less than 3.5 m in any other direction from a roof that supports an occupancy, it terminates not less than 1.8 m from a property line, it is shielded from the weather in accordance with Sentence 6.3.2.9.(4), it is protected from frost closure by insulating the pipe or by some other manner, if subject to frost closure, the accumulation of moisture in the pipe is prevented, and it is clearly labelled ""RADON VENT PIPE"" every 1.2 m and at every change in direction. (See Note A-9.13.4.3.(3))",1.0
9116,"Where mirrors are provided in an accessible washroom, at least one mirror shall comply with Subsection 3.8.3.","Where mirrors are provided in an accessible washroom, at least one mirror shall comply with Subsection 3.8.3.",1.0
11392,"Except as provided in Sentence 3.3.2.5.(2), an access route constructed in conformance with Subsection 3.2.5. of Division B of the British Columbia Building Code shall be provided to permit the approach of fire department vehicles to within 60 m travelling distance of any part of an individual storage area.","Except as provided in Sentence 3.3.2.5.(2), an access route constructed in conformance with Subsection 3.2.5. of Division B of the British Columbia Building Code shall be provided to permit the approach of fire department vehicles to within 60 m travelling distance of any part of an individual storage area.",1.0
9118,"Except as permitted by Article 9.36.2.11., where mechanical, plumbing or electrical system components, such as pipes, ducts, conduits, cabinets, chases, panels or recessed heaters, are placed within and parallel to a wall assembly required to be insulated, the effective thermal resistance of that wall at the projected area of the system component shall be not less than that required by Tables 9.36.2.6.-A, 9.36.2.6.-B, 9.36.2.8.-A and 9.36.2.8.-B (See Note A-9.36.2.5.(6).)","Except as permitted by Article 9.36.2.11., where mechanical, plumbing or electrical system components, such as pipes, ducts, conduits, cabinets, chases, panels or recessed heaters, are placed within and parallel to a wall assembly required to be insulated, the effective thermal resistance of that wall at the projected area of the system component shall be not less than that required by Tables 9.36.2.6.-A, 9.36.2.6.-B, 9.36.2.8.-A and 9.36.2.8.-B (See Note A-9.36.2.5.(6).)",1.0
11576,"During construction and in addition to the means of access required by Sentences 5.6.1.4.(2)and 5.6.1.4.(3), at least one stairway shall be provided that consists of treads and risers complying with the dimensional requirements of Article 3.4.6.8. of Division B of the British Columbia Building Code, is equipped with one handrail conforming to Sentences 3.4.6.5.(5), (6), (7), (11), (13), and (14) of Division B of the British Columbia Building Code, is not less than 900 mm wide, and is equipped with guards that are not less than 920 mm high when measured vertically to the top of the guard from a line drawn through the outside edges of the stair nosings, and not less than 1070 mm high around landings.","During construction and in addition to the means of access required by Sentences 5.6.1.4.(2)and 5.6.1.4.(3), at least one stairway shall be provided that consists of treads and risers complying with the dimensional requirements of Article 3.4.6.8. of Division B of the British Columbia Building Code, is equipped with one handrail conforming to Sentences 3.4.6.5.(5), (6), (7), (11), (13), and (14) of Division B of the British Columbia Building Code, is not less than 900 mm wide, and is equipped with guards that are not less than 920 mm high when measured vertically to the top of the guard from a line drawn through the outside edges of the stair nosings, and not less than 1070 mm high around landings.",1.0
12366,"Rooms, corridors, shafts and other spaces shall be separated where practicable by fire separations conforming to the British Columbia Building Code..","Rooms, corridors, shafts and other spaces shall be separated where practicable by fire separations conforming to the British Columbia Building Code..",1.0
7583,It shall be possible to travel from the required area ofone room to the required areas of all other rooms within a secondary suite without reduction of the room height as required in Sentence (1).,It shall be possible to travel from the required area ofone room to the required areas of all other rooms within a secondary suite without reduction of the room height as required in Sentence (1).,1.0
10395,Only the active leaf in a multiple-leaf door in an accessible path of travel need conform to the requirements of this Article.,Only the active leaf in a multiple-leaf door in an accessible path of travel need conform to the requirements of this Article.,1.0
6876,"In addition to other requirements in this Code for the installation of automatic fire extinguishing systems, an appropriate fire extinguishing system shall be installed in every industrial occupancy floor area to provide protection if required by provincial regulations or municipal bylaws, or the British Columbia Fire Code, in the absence of the regulations or bylaws referred to in Clause (a).","In addition to other requirements in this Code for the installation of automatic fire extinguishing systems, an appropriate fire extinguishing system shall be installed in every industrial occupancy floor area to provide protection if required by provincial regulations or municipal bylaws, or the British Columbia Fire Code, in the absence of the regulations or bylaws referred to in Clause (a).",1.0
6902,"Where provided, tactile walking surface indicators shall be slip-resistant, be durable, be not more than 3 mm above or below the surrounding surface, be detectable when walked upon, as being different from the surrounding surface, be in a contrasting colour to the surrounding surface, and when provided at stairs, be located one tread width back from the top riser, and measure 600 mm to 650 mm by the full width of the stair, and when provided on ramps or platforms, be located 150 mm to 200 mm back from the lower end of the ramp or edge of platform, and measure 600 mm to 650 mm by the full width of the ramp or platform, but not including flared sides of the ramp. (See Note A-3.8.3.9.(5).)","Where provided, tactile walking surface indicators shall be slip-resistant, be durable, be not more than 3 mm above or below the surrounding surface, be detectable when walked upon, as being different from the surrounding surface, be in a contrasting colour to the surrounding surface, and when provided at stairs, be located one tread width back from the top riser, and measure 600 mm to 650 mm by the full width of the stair, and when provided on ramps or platforms, be located 150 mm to 200 mm back from the lower end of the ramp or edge of platform, and measure 600 mm to 650 mm by the full width of the ramp or platform, but not including flared sides of the ramp. (See Note A-3.8.3.9.(5).)",1.0
8498,"For the purpose of this Subsection, the term ""Step"" shall meanaStep referredto in Tables9.36.6.3.-A to 9.36.6.3.-G.","For the purpose of this Subsection, the term ""Step"" shall meanaStep referredto in Tables9.36.6.3.-A to 9.36.6.3.-G.",1.0
11784,An adequate water supply for firefighting shall be provided as soon as combustible construction materials arrive on the site. (See Note A-5.6.3.5.(1).) (See also Note A-3.2.5.7.(1) of Division B of the British Columbia Building Code.),An adequate water supply for firefighting shall be provided as soon as combustible construction materials arrive on the site. (See Note A-5.6.3.5.(1).) (See also Note A-3.2.5.7.(1) of Division B of the British Columbia Building Code.),1.0
7975,"Except as provided in Sentences (2) and (3), the accumulation factor, Ca, for areas adjacent to roof-mounted vertical projections shall be calculated in accordance with Sentence 4.1.6.5.(1) using the following values for the peak accumulation factor, Ca0, and the drift length, xd: Ca0 shall be taken as the lesser of xd shall be taken as the lesser of 3.35h and (2/3)l0, where h = height of the projection, and l0 = longest horizontal dimension of the projection. (See Note A-4.1.6.7.(1).)","Except as provided in Sentences (2) and (3), the accumulation factor, Ca, for areas adjacent to roof-mounted vertical projections shall be calculated in accordance with Sentence 4.1.6.5.(1) using the following values for the peak accumulation factor, Ca0, and the drift length, xd: Ca0 shall be taken as the lesser of xd shall be taken as the lesser of 3.35h and (2/3)l0, where h = height of the projection, and l0 = longest horizontal dimension of the projection. (See Note A-4.1.6.7.(1).)",1.0
6903,"Where an addition is required to be accessible, facilities located in the existing building that are necessary to the operation of the addition shall be accessible.","Where an addition is required to be accessible, facilities located in the existing building that are necessary to the operation of the addition shall be accessible.",1.0
6691,"Where provided, an intercom system shall be installed at the principal entrance to an apartment or condominium building conforming to Sentence (1).","Where provided, an intercom system shall be installed at the principal entrance to an apartment or condominium building conforming to Sentence (1).",1.0
8996,"Where the exposing building face of any section of an exterior wall enclosing a single room or space, or combination room and space, has a limiting distance of 2 m or less, that section of the exposing building face serving the room or space shall not be divided into portions for the purpose of calculating area of exposing building face. (See Sentence 9.10.15.4.(5) and Note A-9.10.15.4.(2).)","Where the exposing building face of any section of an exterior wall enclosing a single room or space, or combination room and space, has a limiting distance of 2 m or less, that section of the exposing building face serving the room or space shall not be divided into portions for the purpose of calculating area of exposing building face. (See Sentence 9.10.15.4.(5) and Note A-9.10.15.4.(2).)",1.0
10824,"Where an exhaust duct passes through or is located adjacent to a space that is not conditioned space, the duct shall conform to Article 9.36.3.2., except that in no case shall such a duct be insulated to less than RSI 0.75.","Where an exhaust duct passes through or is located adjacent to a space that is not conditioned space, the duct shall conform to Article 9.36.3.2., except that in no case shall such a duct be insulated to less than RSI 0.75.",1.0
11147,Only the active leaf in a multiple leaf door in an accessible path of travel need conform to the requirements of this Article.,Only the active leaf in a multiple leaf door in an accessible path of travel need conform to the requirements of this Article.,1.0
10825,Each dwelling unit in an apartment or condominium building designed primarily for senior citizens shall be provided with special outlet boxes and cover plates as described in Sentence 3.2.4.19.(6). (See also Sentence 3.2.4.19.(7).),Each dwelling unit in an apartment or condominium building designed primarily for senior citizens shall be provided with special outlet boxes and cover plates as described in Sentence 3.2.4.19.(6). (See also Sentence 3.2.4.19.(7).),1.0
7714,"Emergency lighting shall be provided to an average level of illumination not less than 10 lx at floor or tread level in exits, principal routes providing access to exit in open floor areas and in service rooms, corridors used by the public, corridors serving sleeping rooms in a treatment occupancy, corridors serving sleeping rooms in a care occupancy, except corridors serving sleeping rooms within individual suites of care occupancy, corridors serving classrooms, underground walkways, public corridors, floor areas or parts thereof where the public may congregate in Group A, Division 1 occupancies, or in Group A, Division 2 and 3 occupancies having an occupant load of 60 or more, floor areas or parts thereof where persons are cared for that are within daycare facilities, including daycare facilities for children, food preparation areas in commercial kitchens, and public washrooms.","Emergency lighting shall be provided to an average level of illumination not less than 10 lx at floor or tread level in exits, principal routes providing access to exit in open floor areas and in service rooms, corridors used by the public, corridors serving sleeping rooms in a treatment occupancy, corridors serving sleeping rooms in a care occupancy, except corridors serving sleeping rooms within individual suites of care occupancy, corridors serving classrooms, underground walkways, public corridors, floor areas or parts thereof where the public may congregate in Group A, Division 1 occupancies, or in Group A, Division 2 and 3 occupancies having an occupant load of 60 or more, floor areas or parts thereof where persons are cared for that are within daycare facilities, including daycare facilities for children, food preparation areas in commercial kitchens, and public washrooms.",1.0
7849,"Individual treads in winders shall turn through an angle of 30° with no deviation above or below 30°, or 45° with no deviation above or below 45°.","Individual treads in winders shall turn through an angle of 30° with no deviation above or below 30°, or 45° with no deviation above or below 45°.",1.0
9876,"Every doorway that is located in an accessible path of travel shall have a clear width not less than 850 mm for swinging doors, when measured from the face of the active leaf, in the open position of 90° to the doorway, to the outside edge of the stop on the door frame, and for sliding doors, when measured from the edge of the door, in the open position, to the outside edge of the stop on the door frame. (See Note A-3.8.3.6.(2).)","Every doorway that is located in an accessible path of travel shall have a clear width not less than 850 mm for swinging doors, when measured from the face of the active leaf, in the open position of 90° to the doorway, to the outside edge of the stop on the door frame, and for sliding doors, when measured from the edge of the door, in the open position, to the outside edge of the stop on the door frame. (See Note A-3.8.3.6.(2).)",1.0
7048,"Unless equipped with a power door operator complying with Sentence (6), a door in an accessible path of travel shall have a clear and level space extending the height of the doorway and not less than 1 500 mm deep by the width of the door assembly plus not less than 600 mm beside the latching jamb of the door on any side of the assembly into which a swinging door swings, 1 200 mm deep by the width of the door assembly plus not less than 300 mm beside the latching jamb of the door on any side of the assembly into which a swinging door does not swing, 1 200 mm deep by a width not less than 900 mm, including not less than 50 mm on the latching jamb side where the approach is perpendicular to a sliding door, and 1 050 mm deep by a width not less than 1 390 mm, including not less than 540 mm on the latching jamb side where the approach is parallel to a sliding door. (See Note A-3.8.3.6.(11).)","Unless equipped with a power door operator complying with Sentence (6), a door in an accessible path of travel shall have a clear and level space extending the height of the doorway and not less than 1 500 mm deep by the width of the door assembly plus not less than 600 mm beside the latching jamb of the door on any side of the assembly into which a swinging door swings, 1 200 mm deep by the width of the door assembly plus not less than 300 mm beside the latching jamb of the door on any side of the assembly into which a swinging door does not swing, 1 200 mm deep by a width not less than 900 mm, including not less than 50 mm on the latching jamb side where the approach is perpendicular to a sliding door, and 1 050 mm deep by a width not less than 1 390 mm, including not less than 540 mm on the latching jamb side where the approach is parallel to a sliding door. (See Note A-3.8.3.6.(11).)",1.0
