Full Index,AB Full,AB Variations,Similarity
2501,"Walls made of logs placed horizontally shall have interlocking intersections that will prevent the collection of water in the joints, or butt against and be firmly attached to a vertical corner post.","Walls made of logs placed horizontally shall have interlocking intersections that will prevent the collection of water in the joints, or butt against and be firmly attached to a vertical corner post.",1.0
1449,A smoke alarm conforming to ULC CAN/ULC-S531-14 Smoke Alarms shall be installed on the ceiling of every room providing sleeping accommodation.,A smoke alarm conforming to ULC CAN/ULC-S531-14 Smoke Alarms shall be installed on the ceiling of every room providing sleeping accommodation.,1.0
1448,"Hose bibcocks that are not less than 19 mm in diameter shall be provided so that all parts of a swimming pool or water spray park deck area, dressing rooms, shower and toilet areas are within reach of a 30 m hose.","Hose bibcocks that are not less than 19 mm in diameter shall be provided so that all parts of a swimming pool or water spray park deck area, dressing rooms, shower and toilet areas are within reach of a 30 m hose.",1.0
2171,"Exhaust air from a ventilation system required in Sentence 6.9.1.2.(3) shall be discharged outdoors and shall be taken from a point within 300 mm of the floor near a wall, with at least one makeup air inlet located near the opposite wall.","Exhaust air from a ventilation system required in Sentence 6.9.1.2.(3) shall be discharged outdoors and shall be taken from a point within 300 mm of the floor near a wall, with at least one makeup air inlet located near the opposite wall.",1.0
2481,"If dressing room facilities are required to be at a different elevation from the swimming pool deck or water spray park area, a ramp with a slip-resistant surface and a slope not more than 1:12 shall be provided.","If dressing room facilities are required to be at a different elevation from the swimming pool deck or water spray park area, a ramp with a slip-resistant surface and a slope not more than 1:12 shall be provided.",1.0
4825,"Around the portion of a diving board or platform that is not above the water, a top guardrail that extends not less than 760 mm above the diving board or platform shall be provided if the diving board or platform is more than 1 m above the water surface.","Around the portion of a diving board or platform that is not above the water, a top guardrail that extends not less than 760 mm above the diving board or platform shall be provided if the diving board or platform is more than 1 m above the water surface.",1.0
4522,"The material used on the floors, walls and ceilings of a personal service facility shall provide surfaces that can be easily cleaned.","The material used on the floors, walls and ceilings of a personal service facility shall provide surfaces that can be easily cleaned.",1.0
954,"Except as permitted by Articles 3.2.4.10. and 3.2.4.19., fire alarm systems, including the voice communication capability where provided, shall be installed in conformance with ULC CAN/ULC-S524-14 Installation of Fire Alarm Systems","Except as permitted by Articles 3.2.4.10. and 3.2.4.19., fire alarm systems, including the voice communication capability where provided, shall be installed in conformance with ULC CAN/ULC-S524-14 Installation of Fire Alarm Systems",1.0
1447,"Where roughed-in plumbing is installed for the future installation of a bathroom or water closet room, provision shall be made for the future installation of the required ventilation.","Where roughed-in plumbing is installed for the future installation of a bathroom or water closet room, provision shall be made for the future installation of the required ventilation.",1.0
1582,"An emergency lighting system that automatically operates whenever the main lighting system fails shall be provided for an indoor swimming pool or water spray park, or an outdoor swimming pool or water spray park with lighting for night use.","An emergency lighting system that automatically operates whenever the main lighting system fails shall be provided for an indoor swimming pool or water spray park, or an outdoor swimming pool or water spray park with lighting for night use.",1.0
2479,"An electrical equipment vault that contains a dielectric-liquid filled piece of electrical equipment shall not be drained to a storm drain, a sanitary drainage system or a private sewage disposal system, and shall have a floor that drains to a sump with sufficient capacity for all the liquid in the transformers, or a curb of sufficient height around each transformer so that all the liquid in the transformer can be contained within the curb system.","An electrical equipment vault that contains a dielectric-liquid filled piece of electrical equipment shall not be drained to a storm drain, a sanitary drainage system or a private sewage disposal system, and shall have a floor that drains to a sump with sufficient capacity for all the liquid in the transformers, or a curb of sufficient height around each transformer so that all the liquid in the transformer can be contained within the curb system.",1.0
3731,Installation and fastening of insulation shall ensure that it cannot be displaced during transportation.,Installation and fastening of insulation shall ensure that it cannot be displaced during transportation.,1.0
3730,Walls or partitions of wood construction shall be mounted not less than 200 mm above the finished floor.,Walls or partitions of wood construction shall be mounted not less than 200 mm above the finished floor.,1.0
6178,It is permitted to use movable tanks for dispensing flammable liquids or combustible liquids into the fuel tanks of vehicles or other motorized equipment provided such movable tanks are used in conformance with the requirements of this Part for storage tanks. (See Note A-4.1.8.4.(1).),It is permitted to use movable tanks for dispensing flammable liquids or combustible liquids into the fuel tanks of vehicles or other motorized equipment provided such movable tanks are used in conformance with the requirements of this Part for storage tanks. (See Note A-4.1.8.4.(1).),1.0
6169,"Dispensers at marine fuel-dispensing stations shall be in a location that will prevent watercraft or aircraft impact, or other physical damage.","Dispensers at marine fuel-dispensing stations shall be in a location that will prevent watercraft or aircraft impact, or other physical damage.",1.0
6168,"The operator of a self-service outlet, a fuel-dispensing station or a marine fuel-dispensing station shall ensure that immediate corrective action is taken when a condition is identified that contravenes Sentences 4.6.10.1.(1) and 4.6.10.1.(2).","The operator of a self-service outlet, a fuel-dispensing station or a marine fuel-dispensing station shall ensure that immediate corrective action is taken when a condition is identified that contravenes Sentences 4.6.10.1.(1) and 4.6.10.1.(2).",1.0
2172,"If special fittings, fixtures or provisions are needed to comply with the tie-down instructions, they shall be supplied with the module.","If special fittings, fixtures or provisions are needed to comply with the tie-down instructions, they shall be supplied with the module.",1.0
5804,This Subsection applies only to buildings conforming to Articles 3.2.2.50. and 3.2.2.58. of Division B of the NBC(AE).,This Subsection applies only to buildings conforming to Articles 3.2.2.50. and 3.2.2.58. of Division B of the NBC(AE).,1.0
3725,"Spaces designated for use by persons using wheelchairs referred to in Sentence 3.8.2.3.(3) shall be clear and level, or level with removable seats, not less than 900 mm wide and 1 525 mm long to allow a person using a wheelchair to enter from a side approach and 1 220 mm long where the person using a wheelchair enters from the front or rear of the space, arranged so that at least 2 designated spaces are side by side, located adjoining a barrier-free path of travel without infringing on egress from any row of seating or any aisle requirements, and situated, as part of the designated seating plan, to provide a choice of viewing location and a clear view of the event taking place.","Spaces designated for use by persons using wheelchairs referred to in Sentence 3.8.2.3.(3) shall be clear and level, or level with removable seats, not less than 900 mm wide and 1 525 mm long to allow a person using a wheelchair to enter from a side approach and 1 220 mm long where the person using a wheelchair enters from the front or rear of the space, arranged so that at least 2 designated spaces are side by side, located adjoining a barrier-free path of travel without infringing on egress from any row of seating or any aisle requirements, and situated, as part of the designated seating plan, to provide a choice of viewing location and a clear view of the event taking place.",1.0
5800,This Subsection applies to the storage and handling of flammable liquids and combustible liquids in self-service storage buildings within the scope of Section 3.9. of Division B of the NBC(AE).,This Subsection applies to the storage and handling of flammable liquids and combustible liquids in self-service storage buildings within the scope of Section 3.9. of Division B of the NBC(AE).,1.0
1866,"Except as permitted by Sentence 9.36.3.1.(3), this Subsection is concerned with the efficient use of energy by systems and equipment used for heating, ventilating and air-conditioning (HVAC).","Except as permitted by Sentence 9.36.3.1.(3), this Subsection is concerned with the efficient use of energy by systems and equipment used for heating, ventilating and air-conditioning (HVAC).",1.0
6538,"No person shall sell, offer for sale, purchase, lease or otherwise distribute 65 mm or 38 mm hose couplings or fittings intended for use on firefighting hose or fire hydrants by a municipal fire department or fire brigade, unless the couplings and fittings comply with this Section.","No person shall sell, offer for sale, purchase, lease or otherwise distribute 65 mm or 38 mm hose couplings or fittings intended for use on firefighting hose or fire hydrants by a municipal fire department or fire brigade, unless the couplings and fittings comply with this Section.",1.0
1868,Buildings or portions of buildings that are not required to be conditioned spaces are exempted from the requirements of this Section. (See Note A-9.36.1.3.(5).) (See also Article 9.25.2.1.),Buildings or portions of buildings that are not required to be conditioned spaces are exempted from the requirements of this Section. (See Note A-9.36.1.3.(5).) (See also Article 9.25.2.1.),1.0
6181,"Fire emergency procedures conforming to this Section shall be provided for every building containing an assembly, care, treatment or detention occupancy, every building required by the NBC(AE) to have a fire alarm system, demolition and construction sites regulated under part 5., storage areas required to have a fire safety plan in conformance with Articles 3.2.2.5.and 3.3.2.9., areas where flammable liquids or combustible liquids are stored or handled, in conformance with Article 4.1.5.5., and areas where hazardous processes or operations occur, in conformance with Article 5.1.5.1.","Fire emergency procedures conforming to this Section shall be provided for every building containing an assembly, care, treatment or detention occupancy, every building required by the NBC(AE) to have a fire alarm system, demolition and construction sites regulated under part 5., storage areas required to have a fire safety plan in conformance with Articles 3.2.2.5.and 3.3.2.9., areas where flammable liquids or combustible liquids are stored or handled, in conformance with Article 4.1.5.5., and areas where hazardous processes or operations occur, in conformance with Article 5.1.5.1.",1.0
1583,"Except as permitted by Sentence 10.4.6.1.(2), every floor area shall be served by not less than 2 exits.","Except as permitted by Sentence 10.4.6.1.(2), every floor area shall be served by not less than 2 exits.",1.0
5791,Areas or rooms communicating with the landing area shall be separated therefrom by a fire separation conforming to the NBC(AE).,Areas or rooms communicating with the landing area shall be separated therefrom by a fire separation conforming to the NBC(AE).,1.0
6167,Emergency planning measures conforming to part 2. shall be provided for storage areas described in Article 3.3.6.1.,Emergency planning measures conforming to part 2. shall be provided for storage areas described in Article 3.3.6.1.,1.0
5844,Smoke alarms shall be installed in conformance with ULC CAN/ULC-S553-14 Installation of Smoke Alarms (See Note A-2.1.3.3.(3).),Smoke alarms shall be installed in conformance with ULC CAN/ULC-S553-14 Installation of Smoke Alarms (See Note A-2.1.3.3.(3).),1.0
4120,"Floors that are wet traffic areas for bathers, including dressing rooms, shall have a smooth but slip-resistant finish, be impervious to moisture with no open cracks or joints, be drained with no pooling of water, have a slope not less than 1:50 and not more than 1:25 in the direction of the closest drain, and have rounded corners for ease of cleaning where floors intersect with walls and partitions.","Floors that are wet traffic areas for bathers, including dressing rooms, shall have a smooth but slip-resistant finish, be impervious to moisture with no open cracks or joints, be drained with no pooling of water, have a slope not less than 1:50 and not more than 1:25 in the direction of the closest drain, and have rounded corners for ease of cleaning where floors intersect with walls and partitions.",1.0
6496,"Access to heavy-duty equipment, such as bulldozers, front-end loaders and similar equipment, shall be included in the fire safety plan.","Access to heavy-duty equipment, such as bulldozers, front-end loaders and similar equipment, shall be included in the fire safety plan.",1.0
4291,"Except as permitted by Sentence 9.13.2.5.(2) and required by Sentence 9.25.2.1.(3), thermal insulation conforming with Table 9.25.2.1. shall be provided for attached garages and heated detached garages serving a building of residential occupancy.","Except as permitted by Sentence 9.13.2.5.(2) and required by Sentence 9.25.2.1.(3), thermal insulation conforming with Table 9.25.2.1. shall be provided for attached garages and heated detached garages serving a building of residential occupancy.",1.0
2522,"This Part applies to a one-storeybuilding without sleeping accommodation, that is not more than 1 200 m2 in building area, and if sprinklered, is not more than 2 400 m2 in building area, and with sleeping accommodation, that is not more than 600 m2 in building area, and if sprinklered, is not more than 1 200 m2 in building area, and a two-storeybuilding without sleeping accommodation, that is not more than 600 m2 in building area, and if sprinklered, is not more than 1 200 m2 in building area, and with sleeping accommodation, that is not more than 300 m2 in building area, and if sprinklered, is not more than 600 m2 in building area.","This Part applies to a one-storeybuilding without sleeping accommodation, that is not more than 1 200 m2 in building area, and if sprinklered, is not more than 2 400 m2 in building area, and with sleeping accommodation, that is not more than 600 m2 in building area, and if sprinklered, is not more than 1 200 m2 in building area, and a two-storeybuilding without sleeping accommodation, that is not more than 600 m2 in building area, and if sprinklered, is not more than 1 200 m2 in building area, and with sleeping accommodation, that is not more than 300 m2 in building area, and if sprinklered, is not more than 600 m2 in building area.",1.0
5789,The operators of day-care centres shall provide a staffing ratio for the supervision of children as required by the Child Care Licensing Act and its Regulations.,The operators of day-care centres shall provide a staffing ratio for the supervision of children as required by the Child Care Licensing Act and its Regulations.,1.0
4119,A whirlpool or group of whirlpools shall be designed to be served by an independent circulation system.,A whirlpool or group of whirlpools shall be designed to be served by an independent circulation system.,1.0
4118,"In the application of Tables 11.2.1.2.-A to 11.2.1.2.-D and Table 11.2.1.3., each component includes the total of all elements or assemblies of the exterior envelope of the room or space that are of the same type, and the combined area of those elements or assemblies is to be used as the component area.","In the application of Tables 11.2.1.2.-A to 11.2.1.2.-D and Table 11.2.1.3., each component includes the total of all elements or assemblies of the exterior envelope of the room or space that are of the same type, and the combined area of those elements or assemblies is to be used as the component area.",1.0
2523,"The smoke alarm in Sentence 10.6.3.5.(1) shall be installed by permanent connection to an electrical circuit, shall be equipped to show that it is in operating condition, shall have no disconnect switches between the overcurrent device and the smoke alarm, and is permitted to be tied into the building fire alarm system.","The smoke alarm in Sentence 10.6.3.5.(1) shall be installed by permanent connection to an electrical circuit, shall be equipped to show that it is in operating condition, shall have no disconnect switches between the overcurrent device and the smoke alarm, and is permitted to be tied into the building fire alarm system.",1.0
5849,Storage areas shall be maintained free of combustible vegetation for at least 4.5 m from the stored material and shall be not less than 30 m from brush and forested areas.,Storage areas shall be maintained free of combustible vegetation for at least 4.5 m from the stored material and shall be not less than 30 m from brush and forested areas.,1.0
4115,All piping that is part of a recirculating service water heating loop shall be covered with piping insulation that is at least 12 mm thick.,All piping that is part of a recirculating service water heating loop shall be covered with piping insulation that is at least 12 mm thick.,1.0
168,Electrical installations for a swimming pool or water spray park shall comply with the Electrical Code Regulation made pursuant to the Safety Codes Act.,Electrical installations for a swimming pool or water spray park shall comply with the Electrical Code Regulation made pursuant to the Safety Codes Act.,1.0
6184,"Where rooms or spaces within a building contain a high-hazard industrial occupancy, such occupancy shall be separated from the remainder of the building by fire separations in conformance with this Code and the NBC(AE).","Where rooms or spaces within a building contain a high-hazard industrial occupancy, such occupancy shall be separated from the remainder of the building by fire separations in conformance with this Code and the NBC(AE).",1.0
5777,Industrial relocatable accommodation shall conform with the requirements of the NBC(AE).,Industrial relocatable accommodation shall conform with the requirements of the NBC(AE).,1.0
275,All aspects of chlorine storage and handling shall conform to the Occupational Health and Safety Act and its Regulations.,All aspects of chlorine storage and handling shall conform to the Occupational Health and Safety Act and its Regulations.,1.0
1432,Every plumbing system and private sewage disposal system shall be designed and installed in conformance with the Plumbing Code Regulation and Private Sewage Disposal Systems Regulation made pursuant to the Safety Codes Act.,Every plumbing system and private sewage disposal system shall be designed and installed in conformance with the Plumbing Code Regulation and Private Sewage Disposal Systems Regulation made pursuant to the Safety Codes Act.,1.0
5763,The occupancy classification of buildings intended for the storage of ammonium nitrate shall conform to Sentence 3.3.6.6.(1) of Division B of the NBC(AE).,The occupancy classification of buildings intended for the storage of ammonium nitrate shall conform to Sentence 3.3.6.6.(1) of Division B of the NBC(AE).,1.0
6497,"All firefighting hose couplings shall meet the test requirements of ULC CAN/ULC-S513-11 Threaded Couplings for 38 mm and 65 mm Fire Hose for pull, compression, hardness, and corrosion resistance.","All firefighting hose couplings shall meet the test requirements of ULC CAN/ULC-S513-11 Threaded Couplings for 38 mm and 65 mm Fire Hose for pull, compression, hardness, and corrosion resistance.",1.0
2542,"The fence and gate around a swimming pool or a private swimming pool shall be constructed so that all horizontal and diagonal members are located on the swimming pool side, and not permit the passage of a sphere whose diameter is more than 100 mm.","The fence and gate around a swimming pool or a private swimming pool shall be constructed so that all horizontal and diagonal members are located on the swimming pool side, and not permit the passage of a sphere whose diameter is more than 100 mm.",1.0
5759,"If a fire alarm and detection system, or part thereof, is inoperative for more than 2 hours for any reason, the owner shall notify the fire department, and when directed, provide acceptable surveillance within the building continuously until the fire alarm and detection system is restored to operating condition.","If a fire alarm and detection system, or part thereof, is inoperative for more than 2 hours for any reason, the owner shall notify the fire department, and when directed, provide acceptable surveillance within the building continuously until the fire alarm and detection system is restored to operating condition.",1.0
5758,A voice communication system or systems integrated with the general fire alarm system shall be provided in buildings as specified in Subsection 3.2.6. of Division B of the NBC(AE).,A voice communication system or systems integrated with the general fire alarm system shall be provided in buildings as specified in Subsection 3.2.6. of Division B of the NBC(AE).,1.0
795,"The circulation system includes the piping, pumps, hair catchers, filters, flow meters, water heaters, thermometers, pressure and vacuum gauges, suction cleaners and all appurtenances.","The circulation system includes the piping, pumps, hair catchers, filters, flow meters, water heaters, thermometers, pressure and vacuum gauges, suction cleaners and all appurtenances.",1.0
862,"Where Class IA or IB liquids specified in Subsection 4.1.2. of Division B of the NFC(AE) are dispensed within a storage room, the room shall be designed to prevent critical structural and mechanical damage from an internal explosion in conformance with good engineering practice such as that described in NFPA 68-2013 Explosion Protection by Deflagration Venting (See Note A-3.3.6.4.(2).)","Where Class IA or IB liquids specified in Subsection 4.1.2. of Division B of the NFC(AE) are dispensed within a storage room, the room shall be designed to prevent critical structural and mechanical damage from an internal explosion in conformance with good engineering practice such as that described in NFPA 68-2013 Explosion Protection by Deflagration Venting (See Note A-3.3.6.4.(2).)",1.0
282,"The principal ventilation system shall incorporate the following components: a principal ventilation fan complying with this Article, and provision for the introduction of outdoor air to the dwelling unit, in conformance with Article 9.32.3.4. or 9.32.3.5.","The principal ventilation system shall incorporate the following components: a principal ventilation fan complying with this Article, and provision for the introduction of outdoor air to the dwelling unit, in conformance with Article 9.32.3.4. or 9.32.3.5.",1.0
1424,Additional outside access for public swimming pools shall be provided to the equipment and mechanical room.,Additional outside access for public swimming pools shall be provided to the equipment and mechanical room.,1.0
2564,"Fixed access shall be provided to rooftop heating, ventilating or air-conditioning equipment that is installed on a sloped roof.","Fixed access shall be provided to rooftop heating, ventilating or air-conditioning equipment that is installed on a sloped roof.",1.0
2152,"Hypochlorinators or other adjustable output rate chemical feeding equipment shall conform to the requirements of NSF/ANSI 50-2017 Equipment and Chemicals for Swimming Pools, Spas, Hot Tubs and Other Recreational Water Facilities bear the seal of an approved testing laboratory, have no cross-connection with any domestic water supply, and include positive features to prevent siphoning if installed above the swimming pool.","Hypochlorinators or other adjustable output rate chemical feeding equipment shall conform to the requirements of NSF/ANSI 50-2017 Equipment and Chemicals for Swimming Pools, Spas, Hot Tubs and Other Recreational Water Facilities bear the seal of an approved testing laboratory, have no cross-connection with any domestic water supply, and include positive features to prevent siphoning if installed above the swimming pool.",1.0
3547,Roof design shall allow for the effects of drifting snow.,Roof design shall allow for the effects of drifting snow.,1.0
714,"Where a building is divided into more than one fire compartment with respect to Sentence 3.2.1.7.(1), the compartments shall be divided by fire separations having a fire-resistance rating of not less than 1 h.","Where a building is divided into more than one fire compartment with respect to Sentence 3.2.1.7.(1), the compartments shall be divided by fire separations having a fire-resistance rating of not less than 1 h.",1.0
6103,"In areas where general cargo is handled or where piping might be subject to physical damage from vehicles, watercraft or aircraft, the piping shall be protected by means of guarding devices.","In areas where general cargo is handled or where piping might be subject to physical damage from vehicles, watercraft or aircraft, the piping shall be protected by means of guarding devices.",1.0
4829,"The requirements regarding fire-resistance rating and type of cladding-sheathing assembly shall not apply to the exposing building face or projections from an exposing building face of a dwelling unit facing a detached garage or accessory building, or a garage or accessory building facing a dwelling unit, where the detached garage or accessory building serves only one dwelling unit or a house with a secondary suite, the detached garage or accessory building is located on the same property as that dwelling unit, and the dwelling unit served by the detached garage or accessory building is the only major occupancy on the property.","The requirements regarding fire-resistance rating and type of cladding-sheathing assembly shall not apply to the exposing building face or projections from an exposing building face of a dwelling unit facing a detached garage or accessory building, or a garage or accessory building facing a dwelling unit, where the detached garage or accessory building serves only one dwelling unit or a house with a secondary suite, the detached garage or accessory building is located on the same property as that dwelling unit, and the dwelling unit served by the detached garage or accessory building is the only major occupancy on the property.",1.0
6430,"All flooring in storage areas shall be constructed of noncombustible materials, as stated in Sentence 3.3.6.6.(5) of Division B of the NBC(AE).","All flooring in storage areas shall be constructed of noncombustible materials, as stated in Sentence 3.3.6.6.(5) of Division B of the NBC(AE).",1.0
4136,Stairs or ramps used in a swimming pool shall have a slip-resistant surface sufficiently sloped toward the swimming pool to prevent an accumulation of settleable solids.,Stairs or ramps used in a swimming pool shall have a slip-resistant surface sufficiently sloped toward the swimming pool to prevent an accumulation of settleable solids.,1.0
5734,"Where a building or part of building is designed for the storage of flammable liquids or combustible liquids, there is no limit on the total quantity of storage per fire compartment provided the building or part of building is separated from adjacent buildings or parts of buildings by a firewall having a fire-resistance rating of at least 4 h, or spatial separation in conformance with the NBC(AE).","Where a building or part of building is designed for the storage of flammable liquids or combustible liquids, there is no limit on the total quantity of storage per fire compartment provided the building or part of building is separated from adjacent buildings or parts of buildings by a firewall having a fire-resistance rating of at least 4 h, or spatial separation in conformance with the NBC(AE).",1.0
2578,"A sign used to direct traffic shall be diamond-shaped and of material not less rigid than 6 mm thick plywood, not less than 450 mm by 450 mm in size and mounted at one corner on a substantial pole not less than 1.2 m long, red on one side with black corner areas so that the red area is a regular 8-sided figure, and with the word ""STOP"" in clearly distinguishable white letters not less than 150 mm high located centrally on the sign, yellow on the other side with the word ""SLOW"" in clearly distinguishable black letters not less than 150 mm high located centrally on the sign, or symbols recognized by the International Traffic Code, and maintained in a clean condition when being used.","A sign used to direct traffic shall be diamond-shaped and of material not less rigid than 6 mm thick plywood, not less than 450 mm by 450 mm in size and mounted at one corner on a substantial pole not less than 1.2 m long, red on one side with black corner areas so that the red area is a regular 8-sided figure, and with the word ""STOP"" in clearly distinguishable white letters not less than 150 mm high located centrally on the sign, yellow on the other side with the word ""SLOW"" in clearly distinguishable black letters not less than 150 mm high located centrally on the sign, or symbols recognized by the International Traffic Code, and maintained in a clean condition when being used.",1.0
1872,"Where batt/loose-fill insulation is used in a wall assembly, not less than full-cavity insulation shall be provided.","Where batt/loose-fill insulation is used in a wall assembly, not less than full-cavity insulation shall be provided.",1.0
1873,All steam room and sauna room floor finishes shall be slip-resistant when wet.,All steam room and sauna room floor finishes shall be slip-resistant when wet.,1.0
2588,Capacity requirements under Sentence 3.2.5.7.(1) do not apply to a building that is sprinklered in conformance with NFPA 13-2013 Installation of Sprinkler Systems NFPA 13R-2013 Installation of Sprinkler Systems in Low-Rise Residential Occupancies or NFPA 13D-2016 Installation of Sprinkler Systems in One- and Two-Family Dwellings and Manufactured Homes,Capacity requirements under Sentence 3.2.5.7.(1) do not apply to a building that is sprinklered in conformance with NFPA 13-2013 Installation of Sprinkler Systems NFPA 13R-2013 Installation of Sprinkler Systems in Low-Rise Residential Occupancies or NFPA 13D-2016 Installation of Sprinkler Systems in One- and Two-Family Dwellings and Manufactured Homes,1.0
1464,"Except as provided in Sentence 3.9.3.1.(5) or unless the building is sprinklered throughout, each individual tenancy in a multiple-tenant self-storage warehouse classified as an industrial occupancy shall be separated from the remainder of the building by a fire separation having a fire-resistance rating not less than 45 min.","Except as provided in Sentence 3.9.3.1.(5) or unless the building is sprinklered throughout, each individual tenancy in a multiple-tenant self-storage warehouse classified as an industrial occupancy shall be separated from the remainder of the building by a fire separation having a fire-resistance rating not less than 45 min.",1.0
249,"If adaptable dwelling units or barrier-free dwelling units are provided, one parking stall per dwelling unit shall be provided for use by persons with physical disabilities.","If adaptable dwelling units or barrier-free dwelling units are provided, one parking stall per dwelling unit shall be provided for use by persons with physical disabilities.",1.0
2589,"If the resistance to overturning, calculated as the sum of the stabilizing moment of dead load only, is less than twice the overturning moment due to the live loads acting on the building, provision for the attachment of tie-down devices shall be made in the construction of the modules.","If the resistance to overturning, calculated as the sum of the stabilizing moment of dead load only, is less than twice the overturning moment due to the live loads acting on the building, provision for the attachment of tie-down devices shall be made in the construction of the modules.",1.0
1832,"If a fire alarm system is required by Sentence 10.6.3.1.(1), heat detectors conforming to ULC CAN/ULC-S530-M91 Heat Actuated Fire Detectors for Fire Alarm Systems shall be placed in each service room, storage room, kitchen and clothes drying area.","If a fire alarm system is required by Sentence 10.6.3.1.(1), heat detectors conforming to ULC CAN/ULC-S530-M91 Heat Actuated Fire Detectors for Fire Alarm Systems shall be placed in each service room, storage room, kitchen and clothes drying area.",1.0
3812,Thermostatic control of the heat supply shall be provided in each dwelling unit.,Thermostatic control of the heat supply shall be provided in each dwelling unit.,1.0
5721,Reset capability for emergency shut-off switches required by Sentence 4.6.4.2.(1) shall be restricted to manual operation.,Reset capability for emergency shut-off switches required by Sentence 4.6.4.2.(1) shall be restricted to manual operation.,1.0
3546,Sentence 10.4.9.1.(1) applies to the space beneath the module and to a roof space in addition to other parts of the building.,Sentence 10.4.9.1.(1) applies to the space beneath the module and to a roof space in addition to other parts of the building.,1.0
6429,"Rooms, corridors, shafts and other spaces shall be separated where practicable by fire separations conforming to the NBC(AE).","Rooms, corridors, shafts and other spaces shall be separated where practicable by fire separations conforming to the NBC(AE).",1.0
