Full Index,ON Full,ON Variations,Similarity
48172,"The bottom layer of roofing required in Sentence (4) shall consist of not less than Type S smooth roll roofing or Type M mineral surface roll roofing (mineral surface not less than 457 mm wide, centred in the valley and fastened with nails spaced not more than 450 mm o.c. located 25 mm away from the edges.","The bottom layer of roofing required in Sentence (4) shall consist of not less than Type S smooth roll roofing or TypeÃ M mineral surface roll roofing (mineral surface not less than 457 mm wide, centred in the valley and fastened with nails spaced not more than 450 mm o.c. located 25 mm away from the edges.",1.0
48173,No dimension of the compartment described in Clause (4)(b) shall exceed 20 m.,No dimension of the compartment described in Clause (4)(b) shall exceed 20 m.,1.0
52109,"Fixed noncombustible ladders, steps or grab rails shall be provided to permit access to the doors or panels required in Sentence (2).","Fixed noncombustible ladders, steps or grab rails shall be provided to permit access to the doors or panels required in Sentence (2).",1.0
50520,Portable extinguishers for Class A fires shall be provided on vehicles operating on chip piles in addition to the units for Class B fires normally required for the vehicles.,Portable extinguishers for Class A fires shall be provided on vehicles operating on chip piles in addition to the units for Class B fires normally required for the vehicles.,1.0
51080,Vacant buildings shall be secured against unauthorized entry.,Vacant buildings shall be secured against unauthorized entry.,1.0
51081,Stickered lumber piles in storage yards shall be located at least 15 m from property lines and buildings.,Stickered lumber piles in storage yards shall be located at least 15 m from property lines and buildings.,1.0
52108,One person shall be on duty at each entrance to the premises undergoing fumigation or thermal insecticidal fogging to prevent any unauthorized person from entering until such premises have been ventilated.,One person shall be on duty at each entrance to the premises undergoing fumigation or thermal insecticidal fogging to prevent any unauthorized person from entering until such premises have been ventilated.,1.0
48174,"Except as permitted in Article 9.10.19.8., within dwelling units, sufficient smoke alarms shall be installed so that,(a) there is at least one smoke alarm installed on each storey, including basements, and (b) on any storey of a dwelling unit containing sleeping rooms, a smoke alarm is installed, (i) in each sleeping room, and (ii) in a location between the sleeping rooms and the remainder of the storey, and if the sleeping rooms are served by a hallway, the smoke alarm shall be located in the hallway. (See Appendix A.)","Except as permitted in Article 9.10.19.8., within dwelling units, sufficient smoke alarms shall be installed so that,(a) there is at least one smoke alarm installed on each storey, including basements, and (b) on any storey of a dwelling unit containing sleeping rooms, a smoke alarm is installed, (i) in each sleeping room, and (ii) in a location between the sleeping rooms and the remainder of the storey, and if the sleeping rooms are served by a hallway, the smoke alarm shall be located in the hallway. (See Appendix A.)",1.0
47263,"Where combination smoke and fire dampers are used as a closure in a duct, they shall be installed within 610 mm of the plane of the fire separation, provided there is no inlet or outlet opening between the fire separation and the damper.","Where combination smoke and fire dampers are used as a closure in a duct, they shall be installed within 610 mm of the plane of the fire separation, provided there is no inlet or outlet opening between the fire separation and the damper.",1.0
47262,"Except as provided in Sentences (2) and (3) and Article 9.10.21.2., suites in residential occupancies shall be separated from adjacent rooms and suites by a fire separation having a fire-resistance rating of not less than 45 min.","Except as provided in Sentences (2) and (3) and Article 9.10.21.2., suites in residential occupancies shall be separated from adjacent rooms and suites by a fire separation having a fire-resistance rating of not less than 45 min.",1.0
48179,"Except as provided in Sentence (14), where cantilever parapet walls, other cantilever walls, exterior ornamentation and appendages, towers, chimneys or penthouses are connected to or form part of a building, they shall be designed, along with their connections, for a lateral force, Vsp, distributed according to the distribution of mass of the element and acting in the lateral direction that results in the most critical loading for design using the following equation:Vsp = 0.1FsIEWp where Wp is the weight of a portion of a structure as defined in Article 4.1.8.2.","Except as provided in Sentence (14), where cantilever parapet walls, other cantilever walls, exterior ornamentation and appendages, towers, chimneys or penthouses are connected to or form part of a building, they shall be designed, along with their connections, for a lateral force, Vsp, distributed according to the distribution of mass of the element and acting in the lateral direction that results in the most critical loading for design using the following equation:Vsp = 0.1FsIEWp where Wp is the weight of a portion of a structure as defined in Article 4.1.8.2.",1.0
45607,"Smoke detectors required by Clause (1)(g) shall, upon actuation, recall the elevators served by machinery located in the machine room or machinery space in which the smoke detector is installed.","Smoke detectors required by Clause (1)(g) shall, upon actuation, recall the elevators served by machinery located in the machine room or machinery space in which the smoke detector is installed.",1.0
52509,A tank vehicle shall be provided with at least one portable extinguisher having a minimum rating of 80B:C.,A tank vehicle shall be provided with at least one portable extinguisher having a minimum rating of 80B:C.,1.0
50517,At least one main aisle having a width equal to at least half the height of the highest adjacent pile and extending the length of the structure shall be provided but in no case shall the width of the aisle be less than 2.4 m.,At least one main aisle having a width equal to at least half the height of the highest adjacent pile and extending the length of the structure shall be provided but in no case shall the width of the aisle be less than 2.4 m.,1.0
50521,Articles 5.16.2.1. and 5.16.2.2. do not apply to industries that conduct frequent fumigation operations on a routine basis where approved prior to the conducting of the operations.,Articles 5.16.2.1. and 5.16.2.2. do not apply to industries that conduct frequent fumigation operations on a routine basis where approved prior to the conducting of the operations.,1.0
44929,The hydrostatic design loads shall be determined in accordance with Subsection 5.2.2.,The hydrostatic design loads shall be determined in accordance with Subsection 5.2.2.,1.0
44379,"Except as provided for in Sentence (2), every trap shall,(a) have a trap seal depth of at least 38 mm, (b) be so designed that failure of the seal walls will cause exterior leakage, and (c) have a water seal that does not depend on the action of moving parts.","Except as provided for in Sentence (2), every trap shall,(a) have a trap seal depth of at least 38 mm, (b) be so designed that failure of the seal walls will cause exterior leakage, and (c) have a water seal that does not depend on the action of moving parts.",1.0
44768,Material that is susceptible to changes in volume due to variations in moisture content or chemical-microbiological oxidation shall not be used as fill beneath floors-on-ground in a concentration that will damage the building to a degree that would adversely affect its stability or the performance of assemblies separating dissimilar environments.,Material that is susceptible to changes in volume due to variations in moisture content or chemical-microbiological oxidation shall not be used as fill beneath floors-on-ground in a concentration that will damage the building to a degree that would adversely affect its stability or the performance of assemblies separating dissimilar environments.,1.0
51079,This Section applies to that portion of a property where flammable liquids or combustible liquids are received in bulk quantities and are stored or handled for the purpose of being distributed.,This Section applies to that portion of a property where flammable liquids or combustible liquids are received in bulk quantities and are stored or handled for the purpose of being distributed.,1.0
47541,A plumbing fixture that is not located in a Group B occupancy need not comply with Sentence (4) if the building is sprinklered.,A plumbing fixture that is not located in a Group B occupancy need not comply with Sentence (4) if the building is sprinklered.,1.0
47540,"ABS floor flanges shall be certified to CAN/CSA-B181.1, ""Acrylonitrile-Butadiene-Styrene (ABS) Drain, Waste, and Vent Pipe and Pipe Fittings"".","ABS floor flanges shall be certified to CAN/CSA-B181.1, ""Acrylonitrile-Butadiene-Styrene (ABS) Drain, Waste, and Vent Pipe and Pipe Fittings"".",1.0
48180,"In locations where the seismic spectral response acceleration, Sa(0.2), is greater than 0.35, but less than or equal to 0.55, loadbearing elements of masonry buildings 3 storeys in building height shall be reinforced with not less than the minimum amount of reinforcement as required in Subsection 9.20.15.","In locations where the seismic spectral response acceleration, Sa(0.2), is greater than 0.35, but less than or equal to 0.55, loadbearing elements of masonry buildings 3 storeys in building height shall be reinforced with not less than the minimum amount of reinforcement as required in Subsection 9.20.15.",1.0
44557,Fire escapes are permitted to be used as exits on existing buildings provided they are designed and installed in conformance with Subsection 3.4.7.,Fire escapes are permitted to be used as exits on existing buildings provided they are designed and installed in conformance with Subsection 3.4.7.,1.0
45606,"Except as provided in Sentence (2) and Article 9.20.7.4., no chase or recess shall be constructed in any wall 190 mm or less in thickness.","Except as provided in Sentence (2) and Article 9.20.7.4., no chase or recess shall be constructed in any wall 190 mm or less in thickness.",1.0
52510,"Where it is not practical to locate bulk transfer stations on separate piers and wharves, such stations may be located on general purpose piers and wharves provided that guards or fences are installed around valves or pumping equipment to prevent entry of unauthorized personnel.","Where it is not practical to locate bulk transfer stations on separate piers and wharves, such stations may be located on general purpose piers and wharves provided that guards or fences are installed around valves or pumping equipment to prevent entry of unauthorized personnel.",1.0
48157,"Except for a modified pool and wave action pool and except as provided in Sentence (11), a public pool shall be surrounded by a hard-surfaced pool deck that shall, except for a pool described in Sentence 3.11.5.2.(1), be not less than 1 800 mm wide, in the case of an outdoor pool, be sloped away from the pool to waste drains or to adjacent lower ground at a slope of between 2% and 4%, and in the case of an indoor pool, be impervious and sloped away from the pool to waste drains at a slope of between 1% and 4%.","Except for a modified pool and wave action pool and except as provided in Sentence (11), a public pool shall be surrounded by a hard-surfaced pool deck that shall, except for a pool described in Sentence 3.11.5.2.(1), be not less than 1 800 mm wide, in the case of an outdoor pool, be sloped away from the pool to waste drains or to adjacent lower ground at a slope of between 2% and 4%, and in the case of an indoor pool, be impervious and sloped away from the pool to waste drains at a slope of between 1% and 4%.",1.0
46220,Screws shall be located not less than 10 mm from the side or edge of the board.,Screws shall be located not less than 10 mm from the side or edge of the board.,1.0
46221,Nails used to comply with Table 9.23.3.4. shall have a diameter not less than that required by Table 9.23.3.1.,Nails used to comply with Table 9.23.3.4. shall have a diameter not less than that required by Table 9.23.3.1.,1.0
50950,"The installation of insulation, including the replacement of insulation, shall be carried out in accordance with the Building Code.","The installation of insulation, including the replacement of insulation, shall be carried out in accordance with the Building Code.",1.0
48153,"Except as provided in Sentence 9.15.3.4.(2), where the span of the supported joists exceeds 4.9 m, footings shall be designed in accordance with Section 4.2.","Except as provided in Sentence 9.15.3.4.(2), where the span of the supported joists exceeds 4.9 m, footings shall be designed in accordance with Section 4.2.",1.0
47267,Local locking devices permitted by Sentence (6) shall be operable by a key from both sides of the door.,Local locking devices permitted by Sentence (6) shall be operable by a key from both sides of the door.,1.0
44555,"Where a chimney flue serves only one solid fuel-burning appliance, the flue area shall be at least equal to that of the flue pipe connected to it.","Where a chimney flue serves only one solid fuel-burning appliance, the flue area shall be at least equal to that of the flue pipe connected to it.",1.0
48154,"Exterior surfaces of concrete block foundation walls above ground level shall have tooled joints, or shall be rendered, parged or otherwise suitably finished.","Exterior surfaces of concrete block foundation walls above ground level shall have tooled joints, or shall be rendered, parged or otherwise suitably finished.",1.0
45613,"The buildings described in Sentence (1) shall comply with all the requirements of this Part, except where they are specifically exempted in this Section.","The buildings described in Sentence (1) shall comply with all the requirements of this Part, except where they are specifically exempted in this Section.",1.0
44931,"Where a heat recovery ventilator is installed to provide all or part of the requirements of this Subsection, this Article shall apply.","Where a heat recovery ventilator is installed to provide all or part of the requirements of this Subsection, this Article shall apply.",1.0
50511,Pneumatic leakage tests shall not be performed on storage tanks with flammable liquids or combustible liquids in the tanks.,Pneumatic leakage tests shall not be performed on storage tanks with flammable liquids or combustible liquids in the tanks.,1.0
46342,The flame-spread rating limits specified in Sentence (5) do not apply to a corridor in which the flame-spread rating is not more than 150 provided the floor area is sprinklered.,The flame-spread rating limits specified in Sentence (5) do not apply to a corridor in which the flame-spread rating is not more than 150 provided the floor area is sprinklered.,1.0
50514,"In buildings containing a hotel, the intervals referred to in Articles 6.6.3.3. and 6.6.3.4. are permitted to be once per month.","In buildings containing a hotel, the intervals referred to in Articles 6.6.3.3. and 6.6.3.4. are permitted to be once per month.",1.0
47546,"Lintels referred to in Sentence (2),(a) shall be not less than 50 mm greater in depth than those shown in Tables A-12 to A-16 for the maximum spans shown, and (b) shall not exceed 2.24 m in length.","Lintels referred to in Sentence (2),(a) shall be not less than 50 mm greater in depth than those shown in Tables A-12 to A-16 for the maximum spans shown, and (b) shall not exceed 2.24 m in length.",1.0
50523,The requirements in Section 5.13 for dip tanks shall also apply to roll-coating processes described in Sentence (1).,The requirements in Section 5.13 for dip tanks shall also apply to roll-coating processes described in Sentence (1).,1.0
44930,"Where two or more wythes are tied together with metal ties of the individual rod type, the ties shall conform to the requirements in Sentences (3) to (6).","Where two or more wythes are tied together with metal ties of the individual rod type, the ties shall conform to the requirements in Sentences (3) to (6).",1.0
46222,A mezzanine need not conform to Sentence (1) provided Article 3.2.8.2. does not require it to terminate at a vertical fire separation.,A mezzanine need not conform to Sentence (1) provided Article 3.2.8.2. does not require it to terminate at a vertical fire separation.,1.0
45614,"A leaching bed shall not be located,(a) in an area that has an average slope that exceeds one unit vertically to four units horizontally, (b) in soil or leaching bed fill having a percolation time of, (i) less than one minute, or greater than 125 minutes if constructed as a shallow buried trench, or (ii) less than one minute, or greater than 50 minutes for all other leaching beds, or (c) in or on an area that is subject to flooding that may be expected to cause damage to the leaching bed or impair the operation of the leaching bed.","A leaching bed shall not be located,(a) in an area that has an average slope that exceeds one unit vertically to four units horizontally, (b) in soil or leaching bed fill having a percolation time of, (i) less than one minute, or greater than 125 minutes if constructed as a shallow buried trench, or (ii) less than one minute, or greater than 50 minutes for all other leaching beds, or (c) in or on an area that is subject to flooding that may be expected to cause damage to the leaching bed or impair the operation of the leaching bed.",1.0
48151,"A building classified as Group A, Division 2 is permitted to conform to Sentence (2) provided, except as permitted by Sentence 3.2.2.7.(1), the building is sprinklered, it is not more than 2 storeys in building height, and it has a building area not more than, 4 800 m2 if 1 storey in building height, or 2 400 m2 if 2 storeys in building height.","A building classified as Group A, Division 2 is permitted to conform to Sentence (2) provided, except as permitted by Sentence 3.2.2.7.(1), the building is sprinklered, it is not more than 2 storeys in building height, and it has a building area not more than, 4 800 m2 if 1 storey in building height, or 2 400 m2 if 2 storeys in building height.",1.0
47261,"The building referred to in Sentence (1) shall be of noncombustible construction, and, except as permitted by Sentence (3), floor assemblies shall be fire separations with a fire-resistance rating not less than 1 h, mezzanines shall have a fire-resistance rating not less than 1 h, roof assemblies shall have a fire-resistance rating not less than 1 h, and loadbearing walls, columns and arches shall have a fire-resistance rating not less than that required for the supported assembly.","The building referred to in Sentence (1) shall be of noncombustible construction, and, except as permitted by Sentence (3), floor assemblies shall be fire separations with a fire-resistance rating not less than 1 h, mezzanines shall have a fire-resistance rating not less than 1 h, roof assemblies shall have a fire-resistance rating not less than 1 h, and loadbearing walls, columns and arches shall have a fire-resistance rating not less than that required for the supported assembly.",1.0
47268,"Where make-up air facilities are intended to introduce air directly from the outdoors to occupied parts of the building in winter, they shall incorporate means of tempering that air to maintain the indoor design temperature.","Where make-up air facilities are intended to introduce air directly from the outdoors to occupied parts of the building in winter, they shall incorporate means of tempering that air to maintain the indoor design temperature.",1.0
44932,Resistance to forced entry into dwelling units shall conform to the applicable requirements in Articles 9.7.5.2. and 9.7.5.3.,Resistance to forced entry into dwelling units shall conform to the applicable requirements in Articles 9.7.5.2. and 9.7.5.3.,1.0
50509,The clearance between sprinkler head deflectors and the top of any storage shall not be less than 457 mm.,The clearance between sprinkler head deflectors and the top of any storage shall not be less than 457 mm.,1.0
50524,"Except as required in Article 3.5.1.8., where a municipal hydrant system exists and is adjacent to the yard, the hydrant system shall be extended into the yard area so that all parts of the salvage yard can be reached by using not more than 60 m of hose.","Except as required in Article 3.5.1.8., where a municipal hydrant system exists and is adjacent to the yard, the hydrant system shall be extended into the yard area so that all parts of the salvage yard can be reached by using not more than 60 m of hose.",1.0
46343,"The deflections described in Sentence (10) shall be used to calculate the largest interstorey deflection, which shall not exceed, (a) 0.01hs for post-disaster buildings, (b) 0.02hs for High Importance Category buildings, and (c) 0.025hs for all other buildings, where hs is the interstorey height as defined in Article 4.1.8.2.","The deflections described in Sentence (10) shall be used to calculate the largest interstorey deflection, which shall not exceed, (a) 0.01hs for post-disaster buildings, (b) 0.02hs for High Importance Category buildings, and (c) 0.025hs for all other buildings, where hs is the interstorey height as defined in Article 4.1.8.2.",1.0
47547,"Gypsum products shall conform to,(a) CAN/CSA-A82.27-M, ""Gypsum Board"", (b) ASTM C1178 / C1178M, ""Coated Glass Mat Water-Resistant Gypsum Backing Panel"", or (c) ASTM C1396 / C1396M, ""Gypsum Board"".","Gypsum products shall conform to,(a) CAN/CSA-A82.27-M, ""Gypsum Board"", (b) ASTM C1178 / C1178M, ""Coated Glass Mat Water-Resistant Gypsum Backing Panel"", or (c) ASTM C1396 / C1396M, ""Gypsum Board"".",1.0
44495,A leaching bed shall not be covered with any material having a hydraulic conductivity less than 0.01 m/day.,A leaching bed shall not be covered with any material having a hydraulic conductivity less than 0.01 m/day.,1.0
47260,"Where floor framing is designed in accordance with Clause (1)(b) or (c) and where supporting wall framing and fastenings, or footings, are designed according to Clause (1)(a), the specified live load on the floor according to Table 4.1.5.3. shall not exceed 2.4 kPa.","Where floor framing is designed in accordance with Clause (1)(b) or (c) and where supporting wall framing and fastenings, or footings, are designed according to Clause (1)(a), the specified live load on the floor according to Table 4.1.5.3. shall not exceed 2.4 kPa.",1.0
47259,Exits are not required directly from rooftop enclosures that are provided with access to exits in conformance with Sentences 3.3.1.3.(5) and (6).,Exits are not required directly from rooftop enclosures that are provided with access to exits in conformance with Sentences 3.3.1.3.(5) and (6).,1.0
45886,"Rib lath or expanded metal stucco mesh shall be,(a) copper-alloy steel coated with rust-inhibitive paint after fabrication, or (b) galvanized.","Rib lath or expanded metal stucco mesh shall be,(a) copper-alloy steel coated with rust-inhibitive paint after fabrication, or (b) galvanized.",1.0
47258,"Except within the floor area of a storage garage, the minimum headroom clearance in every access to exit shall conform to the requirements of Article 3.4.3.5. for exits.","Except within the floor area of a storage garage, the minimum headroom clearance in every access to exit shall conform to the requirements of Article 3.4.3.5. for exits.",1.0
52104,The requirements of Section 2.8 shall apply to buildings and open areas where the quantities of flammable liquids and combustible liquids exceeds 500 L in total or exceeds 250 L of Class I liquids.,The requirements of Section 2.8 shall apply to buildings and open areas where the quantities of flammable liquids and combustible liquids exceeds 500 L in total or exceeds 250 L of Class I liquids.,1.0
52512,The revised fire safety plan prepared under Sentence (4) or (5) shall be implemented.,The revised fire safety plan prepared under Sentence (4) or (5) shall be implemented.,1.0
52513,Devices having open flames shall be securely supported in noncombustible holders and located or protected so as to prevent accidental contact of the flame with combustible materials.,Devices having open flames shall be securely supported in noncombustible holders and located or protected so as to prevent accidental contact of the flame with combustible materials.,1.0
48183,"In applying Sentence (2), the thickness of cavity walls shall be taken as the greater of,(a) two-thirds of the sum of the thicknesses of the wythes, or (b) the thickness of the thicker wythe.","In applying Sentence (2), the thickness of cavity walls shall be taken as the greater of,(a) two-thirds of the sum of the thicknesses of the wythes, or (b) the thickness of the thicker wythe.",1.0
52102,Fire pumps shall be operated at least once per week at rated speed.,Fire pumps shall be operated at least once per week at rated speed.,1.0
47256,"Except as permitted in Sentences (2) and (3), fire blocks shall be constructed of materials that will remain in place and prevent the passage of flames for not less than 15 min when subjected to the standard fire exposure in CAN/ULC-S101, ""Fire Endurance Tests of Building Construction and Materials"".","Except as permitted in Sentences (2) and (3), fire blocks shall be constructed of materials that will remain in place and prevent the passage of flames for not less than 15 min when subjected to the standard fire exposure in CAN/ULC-S101, ""Fire Endurance Tests of Building Construction and Materials"".",1.0
45887,No openings shall occur within 1.2 m of interior and exterior corners of exterior non-loadbearing flat insulating concrete form walls.,No openings shall occur within 1.2 m of interior and exterior corners of exterior non-loadbearing flat insulating concrete form walls.,1.0
48184,"The design of deep foundations shall be determined on the basis of geotechnical considerations taking into account, (a) the method of installation, (b) the degree of inspection, (c) the spacing of foundation units and group effects, (d) other requirements of this Subsection, and (e) the appropriate structural requirements of Section 4.1. and Subsections 4.3.1., 4.3.3. and 4.3.4.","The design of deep foundations shall be determined on the basis of geotechnical considerations taking into account, (a) the method of installation, (b) the degree of inspection, (c) the spacing of foundation units and group effects, (d) other requirements of this Subsection, and (e) the appropriate structural requirements of Section 4.1. and Subsections 4.3.1., 4.3.3. and 4.3.4.",1.0
47255,"Firebrick liners shall be laid with high temperature cement mortar conforming to CAN/CGSB-10.3, ""Air Setting Refractory Mortar"".","Firebrick liners shall be laid with high temperature cement mortar conforming to CAN/CGSB-10.3, ""Air Setting Refractory Mortar"".",1.0
47254,Metal siding consisting of sheets of metal is considered to meet the requirements of Sentence (1) where the joints between sheets are of the locked-seam type.,Metal siding consisting of sheets of metal is considered to meet the requirements of Sentence (1) where the joints between sheets are of the locked-seam type.,1.0
44558,"Windows need not be protected in accordance with Sentence (5), where,(a) the window serves a dwelling unit that is not located above another suite, (b) the only opening having greater dimensions than those allowed by Clause (5)(b) is a horizontal opening at the top of the window, (c) the top surface of the window sill is located more than 480 mm above the finished floor on one side of the window, or (d) the window is located in a room or space with the finished floor described in Clause (c) located less than 1 800 mm above the floor or ground on the other side of the window.","Windows need not be protected in accordance with Sentence (5), where,(a) the window serves a dwelling unit that is not located above another suite, (b) the only opening having greater dimensions than those allowed by Clause (5)(b) is a horizontal opening at the top of the window, (c) the top surface of the window sill is located more than 480 mm above the finished floor on one side of the window, or (d) the window is located in a room or space with the finished floor described in Clause (c) located less than 1 800 mm above the floor or ground on the other side of the window.",1.0
50507,Areas where unstable liquids are handled or where small-scale unit chemical processes are carried out shall be separated from the remainder of the building by a fire separation having a fire-resistance rating not less than 2 h.,Areas where unstable liquids are handled or where small-scale unit chemical processes are carried out shall be separated from the remainder of the building by a fire separation having a fire-resistance rating not less than 2 h.,1.0
46344,"Except as permitted by Sentence (4), door release hardware shall be operable by one hand and the door shall be openable with not more than one releasing operation.","Except as permitted by Sentence (4), door release hardware shall be operable by one hand and the door shall be openable with not more than one releasing operation.",1.0
51077,"Despite Sentence (1), existing ventilation systems need not conform with Articles 4.1.7.3., 4.1.7.4. and 4.12.8.2. to 4.12.8.5.","Despite Sentence (1), existing ventilation systems need not conform with Articles 4.1.7.3., 4.1.7.4. and 4.12.8.2. to 4.12.8.5.",1.0
51078,Lettering on warning signs shall be red or white letters 114 mm high with a 19 mm stroke on a contrasting background.,Lettering on warning signs shall be red or white letters 114 mm high with a 19 mm stroke on a contrasting background.,1.0
47551,"Combustible roof covering that has an A, B or C classification determined in conformance with Subsection 3.1.15. is permitted on a building required to be of noncombustible construction.","Combustible roof covering that has an A, B or C classification determined in conformance with Subsection 3.1.15. is permitted on a building required to be of noncombustible construction.",1.0
52380,Portable extinguishers provided in conformance with Sentence (3) shall be in addition to those provided on board the marine vessels.,Portable extinguishers provided in conformance with Sentence (3) shall be in addition to those provided on board the marine vessels.,1.0
45604,"Except as otherwise specified in this Part, the areas, dimensions and heights of rooms or spaces shall be measured between finished wall surfaces and between finished floor and ceiling surfaces.","Except as otherwise specified in this Part, the areas, dimensions and heights of rooms or spaces shall be measured between finished wall surfaces and between finished floor and ceiling surfaces.",1.0
52514,Dip tanks of over 2300 L liquid capacity shall be equipped with bottom drains capable of being operated both automatically and manually to drain the tank quickly in the event of fire.,Dip tanks of over 2300 L liquid capacity shall be equipped with bottom drains capable of being operated both automatically and manually to drain the tank quickly in the event of fire.,1.0
48186,The number of water closets required for establishments used primarily for the consumption of alcoholic beverages that provide limited or no food service shall conform to Table 3.7.4.3.E.,The number of water closets required for establishments used primarily for the consumption of alcoholic beverages that provide limited or no food service shall conform to Table 3.7.4.3.E.,1.0
48187,"Fixture drains from fixtures that are listed in Subclauses 7.4.2.1.(1)(d)(iii) to (vi) may be directly connected to a pipe that,(a) is terminated to form an air break above the flood level rim of a fixture that is directly connected to a storm drainage system, and (b) is extended through the roof when fixtures that are on 3 or more storeys are connected to it.","Fixture drains from fixtures that are listed in Subclauses 7.4.2.1.(1)(d)(iii) to (vi) may be directly connected to a pipe that,(a) is terminated to form an air break above the flood level rim of a fixture that is directly connected to a storm drainage system, and (b) is extended through the roof when fixtures that are on 3 or more storeys are connected to it.",1.0
48188,"Except as provided in Sentence (3), oil interceptors shall be provided as follows:(a) service stations, repair shops and garages or any establishment where motor vehicles are repaired, lubricated or maintained shall be provided with an oil interceptor, and (b) establishments which use oily or flammable liquids or have such wastes as a result of an industrial process shall be provided with an engineered oil interceptor.","Except as provided in Sentence (3), oil interceptors shall be provided as follows:(a) service stations, repair shops and garages or any establishment where motor vehicles are repaired, lubricated or maintained shall be provided with an oil interceptor, and (b) establishments which use oily or flammable liquids or have such wastes as a result of an industrial process shall be provided with an engineered oil interceptor.",1.0
