ID,SEQ,DOCTYPE,DOCID,IDWITHINDOC,DIVISION,PROVISION,ARTICLE_TITLE,FRAG_DOCUMENT,FRAG_DOCUMENT_NOWHITESPACE,WORDCOUNT,PARTNUM,SECTIONNUM,SUBSECTIONNUM,ARTICLENUM,SENTENCENUM
1346242,157569.0,E,necb2015_divb,403.0,B,6.2.6.2.(1),Lavatories,"Except for lavatories in health care facilities and emergency eye washes, lavatories shall have an integral means of limiting the maximum water flow rate to 5.7 L/min for private use and 1.9 L/min for public use, when tested in accordance with ASME/CSA ASME A112.18.1-2012/CSA B125.1-12 Plumbing Supply Fittings","exceptforlavatoriesinhealthcarefacilitiesandemergencyeyewashes,lavatoriesshallhaveanintegralmeansoflimitingthemaximumwaterflowrateto5.7l/minforprivateuseand1.9l/minforpublicuse,whentestedinaccordancewithasme/csaasmea112.18.1-2012/csab125.1-12plumbingsupplyfittings",48.0,6.0,2,6,2,1
1346668,157314.0,E,necb2015_divb,146.0,B,4.2.2.1.(23),Interior Lighting Controls,"Lighting need not be controlled in accordance with Sentence 4.2.2.1.(20) where it is required to operate continuously due to operational requirements, located in spaces where patient care is rendered, or located in spaces where automatic shut-off would endanger the safety or security of the building occupants.","lightingneednotbecontrolledinaccordancewithsentence4.2.2.1.(20)whereitisrequiredtooperatecontinuouslyduetooperationalrequirements,locatedinspaceswherepatientcareisrendered,orlocatedinspaceswhereautomaticshut-offwouldendangerthesafetyorsecurityofthebuildingoccupants.",46.0,4.0,2,2,1,23
1346907,157681.0,E,necb2015_divb,515.0,B,8.4.3.6.(1),Outdoor Air,"For the purpose of compliance calculations, the peak outdoor air ventilation rates shall be set to the minimum rates required by the applicable ventilation standard, based on the proposed building’s specifications. (See Note A-8.4.3.6.(1).)","forthepurposeofcompliancecalculations,thepeakoutdoorairventilationratesshallbesettotheminimumratesrequiredbytheapplicableventilationstandard,basedontheproposedbuilding’sspecifications.(seenotea-8.4.3.6.(1).)",34.0,8.0,4,3,6,1
1346911,157433.0,E,necb2015_divb,265.0,B,5.2.2.8.(5),Cooling by Direct Use of Outdoor Air (Air Economizer System),"Systems described in Sentence 5.2.2.8.(1) with cooling capacities of more than 25 kW but less than 70 kW shall incorporate cooling equipment that can operate at less than full capacity, with the lowest stage providing no more than 50% of the full capacity of each system.","systemsdescribedinsentence5.2.2.8.(1)withcoolingcapacitiesofmorethan25kwbutlessthan70kwshallincorporatecoolingequipmentthatcanoperateatlessthanfullcapacity,withtheloweststageprovidingnomorethan50%ofthefullcapacityofeachsystem.",46.0,5.0,2,2,8,5
1346912,157436.0,E,necb2015_divb,268.0,B,5.2.2.9.(2),Cooling by Indirect Use of Outdoor Air (Water Economizer System),HVAC systems that reduce mechanical cooling energy use by using outdoor air to chill cooling distribution fluid by sensible heat transfer shall be capable of cooling supply air so as to provide 100% of the cooling load when the outdoor air dry-bulb temperature is 10°C or lower.,hvacsystemsthatreducemechanicalcoolingenergyusebyusingoutdoorairtochillcoolingdistributionfluidbysensibleheattransfershallbecapableofcoolingsupplyairsoastoprovide100%ofthecoolingloadwhentheoutdoorairdry-bulbtemperatureis10°corlower.,47.0,5.0,2,2,9,2
1346913,157360.0,E,necb2015_divb,192.0,B,4.3.2.3.(2),Determination of Daylighted Area,"Where a space is illuminated by both sidelighting and toplighting, the daylighted area provided by only one of these daylight supplies shall be determined and used in the daylighting calculations in this Section. (See Note A-4.3.2.3.(2).)","whereaspaceisilluminatedbybothsidelightingandtoplighting,thedaylightedareaprovidedbyonlyoneofthesedaylightsuppliesshallbedeterminedandusedinthedaylightingcalculationsinthissection.(seenotea-4.3.2.3.(2).)",36.0,4.0,3,2,3,2
1346923,157604.0,E,necb2015_divb,438.0,B,7.4.1.1.(1),Scope,"Where electrical power systems and motors do not comply with the requirements of Section 7.2., they shall comply with Part 8.","whereelectricalpowersystemsandmotorsdonotcomplywiththerequirementsofsection7.2.,theyshallcomplywithpart8.",21.0,7.0,4,1,1,1
1347587,157718.0,E,necb2015_divb,552.0,B,8.4.4.6.(1),Purchased Energy,"Where a primary heating system of the proposed building uses purchased energy, the reference building’s corresponding system shall be modeled in accordance with the requirements of Article 8.4.4.9. adjusted as follows: one gas-fired modulating boiler complying with Section 5.2. shall be used to represent the purchased energy equipment, and the total capacity of the boiler, relative to the reference building’s total heating capacity, shall correspond to the ratio of the proposed building’s purchased energy capacity divided by its total heating capacity.","whereaprimaryheatingsystemoftheproposedbuildingusespurchasedenergy,thereferencebuilding’scorrespondingsystemshallbemodeledinaccordancewiththerequirementsofarticle8.4.4.9.adjustedasfollows:onegas-firedmodulatingboilercomplyingwithsection5.2.shallbeusedtorepresentthepurchasedenergyequipment,andthetotalcapacityoftheboiler,relativetothereferencebuilding’stotalheatingcapacity,shallcorrespondtotheratiooftheproposedbuilding’spurchasedenergycapacitydividedbyitstotalheatingcapacity.",81.0,8.0,4,4,6,1
1347588,157735.0,E,necb2015_divb,569.0,B,8.4.4.9.(8),Heating System,Heating equipment performance characteristics as a function of part-load shall be modeled in accordance with the part-load performance curves found in Table 8.4.4.21.-A.,heatingequipmentperformancecharacteristicsasafunctionofpart-loadshallbemodeledinaccordancewiththepart-loadperformancecurvesfoundintable8.4.4.21.-a.,23.0,8.0,4,4,9,8
1347589,157745.0,E,necb2015_divb,579.0,B,8.4.4.11.(1),Cooling Tower Systems,"Where applicable, water-cooled systems shall be paired to an axial-fan, direct-contact cooling tower that has a capacity equal to the nominal heat rejection rate of the equipment, inlet and outlet water temperatures of 35°C and 29°C, respectively, and an inlet outside air wet bulb temperature of 24°C.","whereapplicable,water-cooledsystemsshallbepairedtoanaxial-fan,direct-contactcoolingtowerthathasacapacityequaltothenominalheatrejectionrateoftheequipment,inletandoutletwatertemperaturesof35°cand29°c,respectively,andaninletoutsideairwetbulbtemperatureof24°c.",47.0,8.0,4,4,11,1
1347590,157343.0,E,necb2015_divb,175.0,B,4.2.4.1.(1),Requirements,"Except as provided in Sentences 4.2.4.1.(2)and 4.2.4.1.(3), exterior lighting shall be controlled by astronomical time controls, photosensors, a combination of photosensors and timer shut-off switch, or other types of controls that perform the same function as those referred to in Clauses 4.2.4.1.(1)(a)to 4.2.4.1.(1)(c).","exceptasprovidedinsentences4.2.4.1.(2)and4.2.4.1.(3),exteriorlightingshallbecontrolledbyastronomicaltimecontrols,photosensors,acombinationofphotosensorsandtimershut-offswitch,orothertypesofcontrolsthatperformthesamefunctionasthosereferredtoinclauses4.2.4.1.(1)(a)to4.2.4.1.(1)(c).",43.0,4.0,2,4,1,1
1347981,157300.0,E,necb2015_divb,132.0,B,4.2.2.1.(9),Interior Lighting Controls,"The general lighting in spaces requiring ""Bi-Level"" lighting control in accordance with Table 4.2.1.6. shall have controls that allow at least one intermediate level of lighting, in addition to ""full on"" and ""full off,"" that is between 30% and 70% full lighting power, or continuous dimming.","thegenerallightinginspacesrequiring""bi-level""lightingcontrolinaccordancewithtable4.2.1.6.shallhavecontrolsthatallowatleastoneintermediateleveloflighting,inadditionto""fullon""and""fulloff,""thatisbetween30%and70%fulllightingpower,orcontinuousdimming.",46.0,4.0,2,2,1,9
1347984,157238.0,E,necb2015_divb,70.0,B,3.2.3.2.(1),Thermal Characteristics of Roofs in Contact with the Ground,"Except as provided in Sentence 3.2.3.2.(2), the overall thermal transmittance of below-ground roofs that are part of the building envelope and are less than 1.2 m below the exterior ground level shall be not greater than that shown in Table 3.2.3.1. for the applicable heating-degree-day category taken at 18°C. (See Note A-3.2.3.2.(1).)","exceptasprovidedinsentence3.2.3.2.(2),theoverallthermaltransmittanceofbelow-groundroofsthatarepartofthebuildingenvelopeandarelessthan1.2mbelowtheexteriorgroundlevelshallbenotgreaterthanthatshownintable3.2.3.1.fortheapplicableheating-degree-daycategorytakenat18°c.(seenotea-3.2.3.2.(1).)",52.0,3.0,2,3,2,1
1347987,157252.0,E,necb2015_divb,84.0,B,3.2.4.3.(4),Fenestration,"Operable windows and skylights that act as environmental separators shall have an air leakage rate not greater than 0.5 L/(s·m2) when tested in accordance with CSA AAMA/WDMA/CSA 101/I.S.2/A440-11 NAFS – North American Fenestration Standard/Specification for Windows, Doors, and Skylights at a pressure differential of 75 Pa.","operablewindowsandskylightsthatactasenvironmentalseparatorsshallhaveanairleakageratenotgreaterthan0.5l/(s·m2)whentestedinaccordancewithcsaaama/wdma/csa101/i.s.2/a440-11nafs–northamericanfenestrationstandard/specificationforwindows,doors,andskylightsatapressuredifferentialof75pa.",46.0,3.0,2,4,3,4
1348220,157447.0,E,necb2015_divb,279.0,B,5.2.4.1.(4),Required Dampers,"Where the duct or opening does not exceed 0.08 m2 in cross-sectional area, air intake dampers required by Sentence 5.2.4.1.(1) are permitted to be manually operated and air outlet dampers required by Sentence 5.2.4.1.(1) are permitted to consist of gravity or spring-operated backflow dampers.","wheretheductoropeningdoesnotexceed0.08m2incross-sectionalarea,airintakedampersrequiredbysentence5.2.4.1.(1)arepermittedtobemanuallyoperatedandairoutletdampersrequiredbysentence5.2.4.1.(1)arepermittedtoconsistofgravityorspring-operatedbackflowdampers.",44.0,5.0,2,4,1,4
1348841,157582.0,E,necb2015_divb,416.0,B,6.3.2.1.(1),SWH Trade-off Index,"The service water heating trade-off index, SWH-TOI, for an SWH-1 tank system shall be calculated using the following equation: SWH-TOI=2.813 2.813 PDRToV1 1-0.6514 ToV 6 e-0.312 ToV6+0.11667 AnormToV2+2.4322 ToV3+0.00677ToV4 ToV5-1-2.813 2 .813href+0.11667  Anorm2.222+3.3515+0.0 141-1wherePDR= peak daily flow ratio, determined as per Article 6.3.2.2., ToV1= service water heating equipment efficiency, determined as per Article 6.3.2.5., ToV2= tank insulation value, determined as per Article 6.3.2.5., ToV3= piping insulation value, determined as per Article 6.3.2.5., ToV4= pump motor efficiency, determined as per Article 6.3.2.5., ToV5= pump efficiency, determined as per Article 6.3.2.5., ToV6= heat recovery ratio, determined as per Article 6.3.2.5., Anorm= normalized tank area, determined as per Article 6.3.2.3., and  ref= reference heat generator efficiency, determined as per Article 6.3.2.6.","theservicewaterheatingtrade-offindex,swh-toi,foranswh-1tanksystemshallbecalculatedusingthefollowingequation:swh-toi=2.813?2.813?pdrtov1?1-0.6514?tov6?e-0.312?tov6+0.11667?anormtov2+2.4322tov3+0.00677tov4?tov5-1-2.813?2.813href+0.11667?anorm2.222+3.3515+0.0141-1wherepdr=peakdailyflowratio,determinedasperarticle6.3.2.2.,tov1=servicewaterheatingequipmentefficiency,determinedasperarticle6.3.2.5.,tov2=tankinsulationvalue,determinedasperarticle6.3.2.5.,tov3=pipinginsulationvalue,determinedasperarticle6.3.2.5.,tov4=pumpmotorefficiency,determinedasperarticle6.3.2.5.,tov5=pumpefficiency,determinedasperarticle6.3.2.5.,tov6=heatrecoveryratio,determinedasperarticle6.3.2.5.,anorm=normalizedtankarea,determinedasperarticle6.3.2.3.,and?ref=referenceheatgeneratorefficiency,determinedasperarticle6.3.2.6.",109.0,6.0,3,2,1,1
1349228,157246.0,E,necb2015_divb,78.0,B,3.2.4.2.(1),Opaque Building Assemblies,All opaque building assemblies that act as environmental separators shall include an air barrier assemblyconforming to Sentence 3.2.4.2.(2)or 3.2.4.2.(3).,allopaquebuildingassembliesthatactasenvironmentalseparatorsshallincludeanairbarrierassemblyconformingtosentence3.2.4.2.(2)or3.2.4.2.(3).,19.0,3.0,2,4,2,1
1349473,157427.0,E,necb2015_divb,259.0,B,5.2.2.6.(2),Protection of Duct Insulation,Duct insulation installed in areas where it may be subject to mechanical damage or weathering shall be protected.,ductinsulationinstalledinareaswhereitmaybesubjecttomechanicaldamageorweatheringshallbeprotected.,18.0,5.0,2,2,6,2
1350602,157190.0,E,necb2015_divb,22.0,B,3.1.1.5.(4),Thermal Characteristics of Building Assemblies,The overall thermal transmittance of fenestration and doors that are not within the scope of the standards listed in Sentence 3.1.1.5.(3) shall be determined from calculations carried out using the procedures described in the ASHRAE 2013 ASHRAE Handbook – Fundamentals or laboratory tests performed in accordance with ASTM C 1363-11 Thermal Performance of Building Materials and Envelope Assemblies by Means of a Hot Box Apparatus using an indoor air temperature of 21±1°C and an outdoor air temperature of –18±1°C measured at the mid-height of the fenestration or door.,theoverallthermaltransmittanceoffenestrationanddoorsthatarenotwithinthescopeofthestandardslistedinsentence3.1.1.5.(3)shallbedeterminedfromcalculationscarriedoutusingtheproceduresdescribedintheashrae2013ashraehandbook–fundamentalsorlaboratorytestsperformedinaccordancewithastmc1363-11thermalperformanceofbuildingmaterialsandenvelopeassembliesbymeansofahotboxapparatususinganindoorairtemperatureof21±1°candanoutdoorairtemperatureof–18±1°cmeasuredatthemid-heightofthefenestrationordoor.,88.0,3.0,1,1,5,4
1350603,157195.0,E,necb2015_divb,27.0,B,3.1.1.6.(4),Calculation of Fenestration and Door Areas,"The calculation of allowable fenestration and door area in additions shall be based upon the addition being considered by itself, or the addition being considered together with the existing building, provided that the combined overall thermal transmittance of the addition and existing building meets the prescriptive or trade-off requirements.","thecalculationofallowablefenestrationanddoorareainadditionsshallbebasedupontheadditionbeingconsideredbyitself,ortheadditionbeingconsideredtogetherwiththeexistingbuilding,providedthatthecombinedoverallthermaltransmittanceoftheadditionandexistingbuildingmeetstheprescriptiveortrade-offrequirements.",49.0,3.0,1,1,6,4
1350869,157666.0,E,necb2015_divb,500.0,B,8.4.3.2.(1),"Operating Schedules, Internal Loads, Service Water Heating Loads and Set-point Temperature","The operating schedules relating to the presence of occupants and of loads due to the operation of lighting, receptacle equipment, and heating, cooling and service water heating systems shall be representative of the proposed building’s type or space functions. (See Note A-8.4.3.2.(1).)","theoperatingschedulesrelatingtothepresenceofoccupantsandofloadsduetotheoperationoflighting,receptacleequipment,andheating,coolingandservicewaterheatingsystemsshallberepresentativeoftheproposedbuilding’stypeorspacefunctions.(seenotea-8.4.3.2.(1).)",42.0,8.0,4,3,2,1
1350873,157699.0,E,necb2015_divb,533.0,B,8.4.4.3.(4),Building Envelope Components,Permanent fenestration shading devices and projections shall not be modeled in the reference building.,permanentfenestrationshadingdevicesandprojectionsshallnotbemodeledinthereferencebuilding.,14.0,8.0,4,4,3,4
1350878,157369.0,E,necb2015_divb,201.0,B,4.3.2.7.(2),Determination of Factor for Daylight Harvesting,"For spaces where sidelighting is the primary daylight supply, the daylight supply factor, CDL,sup,i, shall be determined in accordance with Article 4.3.2.8.","forspaceswheresidelightingistheprimarydaylightsupply,thedaylightsupplyfactor,cdl,sup,i,shallbedeterminedinaccordancewitharticle4.3.2.8.",22.0,4.0,3,2,7,2
1350883,157591.0,E,necb2015_divb,425.0,B,6.4.1.2.(1),Limitations,"Notwithstanding use of the performance path, all service water heating appliances and equipment shall comply with the applicable appliance or equipment energy efficiency act or, in the absence of such an act or where the appliance or equipment is not covered by such an act, with the applicable performance standard.","notwithstandinguseoftheperformancepath,allservicewaterheatingappliancesandequipmentshallcomplywiththeapplicableapplianceorequipmentenergyefficiencyactor,intheabsenceofsuchanactorwheretheapplianceorequipmentisnotcoveredbysuchanact,withtheapplicableperformancestandard.",50.0,6.0,4,1,2,1
1351291,157181.0,E,necb2015_divb,13.0,B,1.3.1.2.(1),Applicable Editions,"Where documents are referenced in this Code, they shall be the editions designated in Table 1.3.1.2. (See also Note A-1.5.1.1.(1).)","wheredocumentsarereferencedinthiscode,theyshallbetheeditionsdesignatedintable1.3.1.2.(seealsonotea-1.5.1.1.(1).)",20.0,1.0,3,1,2,1
1351517,157462.0,E,necb2015_divb,294.0,B,5.2.5.4.(1),Protection of Piping Insulation,"Insulation on piping conveying chilled fluid shall be provided with vapour barrier protection to prevent condensation, where the surface temperature of the pipe is below the dew point of the air.","insulationonpipingconveyingchilledfluidshallbeprovidedwithvapourbarrierprotectiontopreventcondensation,wherethesurfacetemperatureofthepipeisbelowthedewpointoftheair.",31.0,5.0,2,5,4,1
1351523,157628.0,E,necb2015_divb,462.0,B,8.4.2.2.(3),Calculation Methods,Operating schedules and climatic data input in the energy model shall use a time interval no greater than one hour.,operatingschedulesandclimaticdatainputintheenergymodelshalluseatimeintervalnogreaterthanonehour.,20.0,8.0,4,2,2,3
1352160,157329.0,E,necb2015_divb,161.0,B,4.2.2.4.(1),Determination of Daylighted Area Under Roof Monitors,The daylighted area under roof monitors shall refer to the combined daylighted area under each roof monitor without double-counting overlapping areas. (See Note A-4.2.2.4.(1) and 4.2.2.5.(1).),thedaylightedareaunderroofmonitorsshallrefertothecombineddaylightedareaundereachroofmonitorwithoutdouble-countingoverlappingareas.(seenotea-4.2.2.4.(1)and4.2.2.5.(1).),26.0,4.0,2,2,4,1
1352524,157180.0,E,necb2015_divb,12.0,B,1.3.1.1.(1),Effective Date,"Unless otherwise specified herein, the documents referenced in this Code shall include all amendments, revisions, reaffirmations, reapprovals, addenda and supplements effective to 30 June 2014.","unlessotherwisespecifiedherein,thedocumentsreferencedinthiscodeshallincludeallamendments,revisions,reaffirmations,reapprovals,addendaandsupplementseffectiveto30june2014.",25.0,1.0,3,1,1,1
1352758,157729.0,E,necb2015_divb,563.0,B,8.4.4.9.(2),Heating System,"Where the proposed building uses purchased energy, Article 8.4.4.6. shall apply to the reference building.","wheretheproposedbuildingusespurchasedenergy,article8.4.4.6.shallapplytothereferencebuilding.",15.0,8.0,4,4,9,2
1353183,157263.0,E,necb2015_divb,95.0,B,3.3.1.1.(6),Application and Limitations,"Where the construction techniques used result in increased performance compared to those required to be used by Articles 3.2.1.1. and Article 3.2.2.1. and Subsection 3.2.4., that difference in performance levels shall not be used in trade-off calculations. (See Note A-3.3.1.1.(6).)","wheretheconstructiontechniquesusedresultinincreasedperformancecomparedtothoserequiredtobeusedbyarticles3.2.1.1.andarticle3.2.2.1.andsubsection3.2.4.,thatdifferenceinperformancelevelsshallnotbeusedintrade-offcalculations.(seenotea-3.3.1.1.(6).)",40.0,3.0,3,1,1,6
1354058,157646.0,E,necb2015_divb,480.0,B,8.4.2.8.(5),Building Envelope,"The insulated surface areas of above-ground roof assemblies shall be calculated along the plane of the insulation using dimensions measured to the interior surfaces of intersecting exterior walls, and exclude openings for skylights and chimneys as measured to the surfaces of structural framing surrounding such openings.","theinsulatedsurfaceareasofabove-groundroofassembliesshallbecalculatedalongtheplaneoftheinsulationusingdimensionsmeasuredtotheinteriorsurfacesofintersectingexteriorwalls,andexcludeopeningsforskylightsandchimneysasmeasuredtothesurfacesofstructuralframingsurroundingsuchopenings.",46.0,8.0,4,2,8,5
1354061,157725.0,E,necb2015_divb,559.0,B,8.4.4.7.(4),HVAC System Selection,"For each thermal block of the proposed building having an HVAC system that includes a heat pump, the corresponding thermal blocks of the reference building shall be modeled with a type of HVAC system determined in accordance with Article 8.4.4.13. (See Note A-8.4.4.8.)","foreachthermalblockoftheproposedbuildinghavinganhvacsystemthatincludesaheatpump,thecorrespondingthermalblocksofthereferencebuildingshallbemodeledwithatypeofhvacsystemdeterminedinaccordancewitharticle8.4.4.13.(seenotea-8.4.4.8.)",43.0,8.0,4,4,7,4
1354063,157358.0,E,necb2015_divb,190.0,B,4.3.2.2.(1),Determination of Lighting Power Density,"The lighting power density for a space, pi, in W/m2, shall be calculated using the following equation: pi=PiA iwherePi= lighting power in the space, in W, and Ai= gross interior floor area of that space, in m2.","thelightingpowerdensityforaspace,pi,inw/m2,shallbecalculatedusingthefollowingequation:pi=piaiwherepi=lightingpowerinthespace,inw,andai=grossinteriorfloorareaofthatspace,inm2.",37.0,4.0,3,2,2,1
1354747,157381.0,E,necb2015_divb,213.0,B,4.3.2.10.(2),Determination of Factors for Occupancy Control and Personal Control,"Except as provided in Sentence 4.3.2.10.(3), the factor for personal control, Fpers,i, shall be calculated using the following equation: Fpers,i=1-Cpers,ctrl,iwhereCpers,ctrl,i= factor to account for personal control determined using Table 4.3.2.10.-A.","exceptasprovidedinsentence4.3.2.10.(3),thefactorforpersonalcontrol,fpers,i,shallbecalculatedusingthefollowingequation:fpers,i=1-cpers,ctrl,iwherecpers,ctrl,i=factortoaccountforpersonalcontroldeterminedusingtable4.3.2.10.-a.",30.0,4.0,3,2,10,2
