Full Index,National Full,National in ON,Similarity
13037,This Subsection applies to the outdoor storage of products other than dangerous goods.,This Subsection applies to the outdoor storage of products other than dangerous goods.,1.0
13032,Pipe volumes greater than 500 L but less than 1 000 L shall be pressurized for at least 2 h after stabilization.,Pipe volumes greater than 500 L but less than 1 000 L shall be pressurized for at least 2 h after stabilization.,1.0
6399,"Combustible drain, waste and vent piping is permitted to penetrate a fire separation required to have a fire-resistance rating or a membrane that forms part of an assembly required to have a fire-resistance rating, provided the piping is sealed at the penetration by a fire stop that has an F rating not less than the fire-resistance rating required for the fire separation when subjected to the fire test method in ULC CAN/ULC-S115-11 Fire Tests of Firestop Systems with a pressure differential of 50 Pa between the exposed and unexposed sides, with the higher pressure on the exposed side, and the piping is not located in a vertical service space.","Combustible drain, waste and vent piping is permitted to penetrate a fire separation required to have a fire-resistance rating or a membrane that forms part of an assembly required to have a fire-resistance rating, provided the piping is sealed at the penetration by a fire stop that has an F rating not less than the fire-resistance rating required for the fire separation when subjected to the fire test method in ULC CAN/ULC-S115-11 Fire Tests of Firestop Systems with a pressure differential of 50 Pa between the exposed and unexposed sides, with the higher pressure on the exposed side, and the piping is not located in a vertical service space.",1.0
13031,"Liquids, debris and precipitation shall not accumulate in the contained space created by the secondary containment.","Liquids, debris and precipitation shall not accumulate in the contained space created by the secondary containment.",1.0
13030,Dangerous goods shall be stored in stable piles such that they will not collapse under normal operating conditions.,Dangerous goods shall be stored in stable piles such that they will not collapse under normal operating conditions.,1.0
13519,A subsoil drainage pipe that drains into a sanitary drainage system that is subject to surcharge shall be connected in such a manner that sewage cannot back up into the subsoil drainage pipe. (See Note A-2.4.6.4.(6).),A subsoil drainage pipe that drains into a sanitary drainage system that is subject to surcharge shall be connected in such a manner that sewage cannot back up into the subsoil drainage pipe. (See Note A-2.4.6.4.(6).),1.0
4920,"Except as described in Sentence 9.10.13.10.(2), every door in a fire separation shall have a self-closing device.","Except as described in Sentence 9.10.13.10.(2), every door in a fire separation shall have a self-closing device.",1.0
5731,"In a dwelling unit in which there is no storey without a bedroom, if an exhaust air intake for the principal ventilation fan is located in the principal living area and the principal ventilation fan has no more than 2 exhaust air intakes located in other rooms, distribution of outdoor air to the principal living area is not required.","In a dwelling unit in which there is no storey without a bedroom, if an exhaust air intake for the principal ventilation fan is located in the principal living area and the principal ventilation fan has no more than 2 exhaust air intakes located in other rooms, distribution of outdoor air to the principal living area is not required.",1.0
7658,"Handrails are not required for stairs and ramps serving a single dwelling unit, where interior stairs have not more than 2 risers, exterior stairs have not more than 3 risers, or ramps rise not more than 400 mm.","Handrails are not required for stairs and ramps serving a single dwelling unit, where interior stairs have not more than 2 risers, exterior stairs have not more than 3 risers, or ramps rise not more than 400 mm.",1.0
13857,"Where a lead water-closet stub is used, the length of the stub below the floor flange shall be not less than 75 mm.","Where a lead water-closet stub is used, the length of the stub below the floor flange shall be not less than 75 mm.",1.0
2448,The second plane of protection shall consist of a drainage plane having an appropriate inner boundary and flashing to dissipate rainwater to the exterior.,The second plane of protection shall consist of a drainage plane having an appropriate inner boundary and flashing to dissipate rainwater to the exterior.,1.0
7656,"Where the facility is not equipped with staff trained to provide instructions over the loudspeakers, a pre-recorded message shall be provided.","Where the facility is not equipped with staff trained to provide instructions over the loudspeakers, a pre-recorded message shall be provided.",1.0
12764,Storage cabinets required in this Part shall conform to ULC ULC/ORD-C1275-84 Guide for the Investigation of Storage Cabinets for Flammable Liquid Containers,Storage cabinets required in this Part shall conform to ULC ULC/ORD-C1275-84 Guide for the Investigation of Storage Cabinets for Flammable Liquid Containers,1.0
9412,"Where daylight-dependent controls are provided, daylighting calculations shall be performed for the lighting fixtures controlled by the daylight-dependent controls, and where the energy model is unable to perform detailed daylighting calculations, by multiplying the installed interior lighting power in the daylighted area by the factor for daylight harvesting, FDL,i, as calculated in accordance with Article 4.3.2.7.","Where daylight-dependent controls are provided, daylighting calculations shall be performed for the lighting fixtures controlled by the daylight-dependent controls, and where the energy model is unable to perform detailed daylighting calculations, by multiplying the installed interior lighting power in the daylighted area by the factor for daylight harvesting, FDL,i, as calculated in accordance with Article 4.3.2.7.",1.0
6387,"OSB conforming to O-1 grade, waferboard conforming to R-1 grade and particleboard shall be not less than 6.35 mm thick on supports not more than 400 mm o.c., not less than 9.5 mm thick on supports not more than 600 mm o.c., and not less than 6.35 mm thick on supports not more than 600 mm o.c. in walls where blocking is provided at midwall height.","OSB conforming to O-1 grade, waferboard conforming to R-1 grade and particleboard shall be not less than 6.35 mm thick on supports not more than 400 mm o.c., not less than 9.5 mm thick on supports not more than 600 mm o.c., and not less than 6.35 mm thick on supports not more than 600 mm o.c. in walls where blocking is provided at midwall height.",1.0
5333,"Where the distance between the framing over the opening referred to in Sentence 9.24.2.4.(3) and the top runner exceeds 400 mm in such walls, intermediate support shall be installed at intervals of not more than 400 mm above the opening.","Where the distance between the framing over the opening referred to in Sentence 9.24.2.4.(3) and the top runner exceeds 400 mm in such walls, intermediate support shall be installed at intervals of not more than 400 mm above the opening.",1.0
6403,"Where there is eccentricity or inclination of loading in foundation units, this effect shall be fully investigated and provided for in the design.","Where there is eccentricity or inclination of loading in foundation units, this effect shall be fully investigated and provided for in the design.",1.0
12916,Liquid fuel storage tanks shall be drained and refilled with fresh fuel at intervals not greater than 12 months. (See Note A-6.5.1.5.(1).),Liquid fuel storage tanks shall be drained and refilled with fresh fuel at intervals not greater than 12 months. (See Note A-6.5.1.5.(1).),1.0
12910,This Article applies to mercantile occupancies.,This Article applies to mercantile occupancies.,1.0
111,Dead-end aisles shall be not more than 6 m long.,Dead-end aisles shall be not more than 6 m long.,1.0
12412,Loose shavings and sawdust shall be collected at frequent intervals and deposited in receptacles described in Article 2.4.1.3.,Loose shavings and sawdust shall be collected at frequent intervals and deposited in receptacles described in Article 2.4.1.3.,1.0
13859,Interceptors shall have sufficient capacity to perform the service for which it is provided.,Interceptors shall have sufficient capacity to perform the service for which it is provided.,1.0
2447,"If a building contains fewer than 9 sprinklers, the water supply for these sprinklers is permitted to be supplied from the domestic water system for the building provided the required flow for the sprinklers can be met by the domestic system.","If a building contains fewer than 9 sprinklers, the water supply for these sprinklers is permitted to be supplied from the domestic water system for the building provided the required flow for the sprinklers can be met by the domestic system.",1.0
9413,"Where piping insulation has a thermal conductivity that is lower than the ranges given in Table 5.2.5.3., the insulation thickness given in the Table may be decreased by the ratio u2/u1, where u1 is the value at lower end of the conductivity range for the operating temperature and u2 is the measured thermal conductivity of the insulation at the mean rating temperature.","Where piping insulation has a thermal conductivity that is lower than the ranges given in Table 5.2.5.3., the insulation thickness given in the Table may be decreased by the ratio u2/u1, where u1 is the value at lower end of the conductivity range for the operating temperature and u2 is the measured thermal conductivity of the insulation at the mean rating temperature.",1.0
7655,"Mechanical ventilation systems provided in accordance with Sentence 6.3.1.4.(1) shall be designed such that the pressure in the storage garage is less than the pressure in adjoining buildings of other occupancy, or in adjacent portions of the same building having a different occupancy.","Mechanical ventilation systems provided in accordance with Sentence 6.3.1.4.(1) shall be designed such that the pressure in the storage garage is less than the pressure in adjoining buildings of other occupancy, or in adjacent portions of the same building having a different occupancy.",1.0
3739,Structures not classified as irregular according to Sentence 4.1.8.6.(1) may be considered regular.,Structures not classified as irregular according to Sentence 4.1.8.6.(1) may be considered regular.,1.0
7654,"Locked doors intended to prevent entry into a floor area from an exit stair shall be identified by a sign on the stairway side to indicate the location of the nearest unlocked door in each direction of travel, and be openable with a master key that fits all locking devices and is kept in a designated location accessible to firefighters or be provided with a wired glass panel not less than 0.0645 m2 in area and located not more than 300 mm from the door opening hardware.","Locked doors intended to prevent entry into a floor area from an exit stair shall be identified by a sign on the stairway side to indicate the location of the nearest unlocked door in each direction of travel, and be openable with a master key that fits all locking devices and is kept in a designated location accessible to firefighters or be provided with a wired glass panel not less than 0.0645 m2 in area and located not more than 300 mm from the door opening hardware.",1.0
2459,"Penetrations of a fire separation in conformance with Sentence 3.6.4.2.(2) shall be sealed by a fire stop that, when subjected to the fire test method in ULC CAN/ULC-S115-11 Fire Tests of Firestop Systems has an FT rating not less than the fire-resistance rating for the fire separation of the assembly.","Penetrations of a fire separation in conformance with Sentence 3.6.4.2.(2) shall be sealed by a fire stop that, when subjected to the fire test method in ULC CAN/ULC-S115-11 Fire Tests of Firestop Systems has an FT rating not less than the fire-resistance rating for the fire separation of the assembly.",1.0
5380,"Earthquake forces shall be assumed to act in any horizontal direction, except that the following shall be considered to provide adequate design force levels in the structure: where components of the SFRS are oriented along a set of orthogonal axes, independent analyses about each of the principal axes of the structure shall be performed, where the components of the SFRS are not oriented along a set of orthogonal axes and IEFaSa(0.2) is less than 0.35, independent analyses about any two orthogonal axes is permitted, or where the components of the SFRS are not oriented along a set of orthogonal axes and IEFaSa(0.2) is equal to or greater than 0.35, analysis of the structure independently in any two orthogonal directions for 100% of the prescribed earthquake loads applied in one direction plus 30% of the prescribed earthquake loads in the perpendicular direction, with the combination requiring the greater element strength being used in the design.","Earthquake forces shall be assumed to act in any horizontal direction, except that the following shall be considered to provide adequate design force levels in the structure: where components of the SFRS are oriented along a set of orthogonal axes, independent analyses about each of the principal axes of the structure shall be performed, where the components of the SFRS are not oriented along a set of orthogonal axes and IEFaSa(0.2) is less than 0.35, independent analyses about any two orthogonal axes is permitted, or where the components of the SFRS are not oriented along a set of orthogonal axes and IEFaSa(0.2) is equal to or greater than 0.35, analysis of the structure independently in any two orthogonal directions for 100% of the prescribed earthquake loads applied in one direction plus 30% of the prescribed earthquake loads in the perpendicular direction, with the combination requiring the greater element strength being used in the design.",1.0
2458,A door in a fire separation required by Sentence 3.3.3.5.(8) is permitted to be equipped with a roller latch.,A door in a fire separation required by Sentence 3.3.3.5.(8) is permitted to be equipped with a roller latch.,1.0
9417,The overall thermal transmittance of building envelope assemblies that have radiant heating cables or heating or cooling pipes or membranes embedded in them shall not be increased to more than the overall thermal transmittance permitted by Sentence 3.2.2.2.(4).,The overall thermal transmittance of building envelope assemblies that have radiant heating cables or heating or cooling pipes or membranes embedded in them shall not be increased to more than the overall thermal transmittance permitted by Sentence 3.2.2.2.(4).,1.0
4606,The requirement for a fire separation stated in Sentence 3.3.2.6.(1) is permitted to be waived if the distance from any point in the floor area to an exit measured along the path of travel to the exit does not exceed the travel distance permitted by Article 3.4.2.5.,The requirement for a fire separation stated in Sentence 3.3.2.6.(1) is permitted to be waived if the distance from any point in the floor area to an exit measured along the path of travel to the exit does not exceed the travel distance permitted by Article 3.4.2.5.,1.0
1066,"Tapered treads in a curved flight that is not required as an exit shall have a minimum run of 150 mm, a run not less than 280 mm when measured at a point 300 mm from the centre line of the handrail at the narrow end of the tread, and a riser conforming to Sentence 3.4.6.8.(2).","Tapered treads in a curved flight that is not required as an exit shall have a minimum run of 150 mm, a run not less than 280 mm when measured at a point 300 mm from the centre line of the handrail at the narrow end of the tread, and a riser conforming to Sentence 3.4.6.8.(2).",1.0
6414,"The swing of doors described in Sentence 9.9.6.1.(1) shall not reduce the width of the path of travel to less than the required exit width in exit corridors and passageways, and 750 mm on exit stairs or landings.","The swing of doors described in Sentence 9.9.6.1.(1) shall not reduce the width of the path of travel to less than the required exit width in exit corridors and passageways, and 750 mm on exit stairs or landings.",1.0
12409,"Except as permitted in Sentence 4.5.9.7.(2), the transfer of flammable liquids or combustible liquids in a closed piping system by means of compressed air or other non-inert gas pressure shall not be permitted.","Except as permitted in Sentence 4.5.9.7.(2), the transfer of flammable liquids or combustible liquids in a closed piping system by means of compressed air or other non-inert gas pressure shall not be permitted.",1.0
137,Indication of a supervisory signal in accordance with Sentence 3.2.4.9.(3) shall be transmitted to the fire department in conformance with Sentence 3.2.4.7.(4).,Indication of a supervisory signal in accordance with Sentence 3.2.4.9.(3) shall be transmitted to the fire department in conformance with Sentence 3.2.4.7.(4).,1.0
12410,The device required in Sentence 4.3.7.2.(1) shall be clearly identified and readily accessible to attendants and emergency responders.,The device required in Sentence 4.3.7.2.(1) shall be clearly identified and readily accessible to attendants and emergency responders.,1.0
794,The permission in Sentence 3.2.4.2.(4) to consider separated portions of a building as separate buildings does not apply to service rooms and storage rooms.,The permission in Sentence 3.2.4.2.(4) to consider separated portions of a building as separate buildings does not apply to service rooms and storage rooms.,1.0
14107,Individual pressure-balanced or thermostatic-mixing valves shall not be required for shower heads having a single tempered water supply that is controlled by an automatic compensating valve conforming to CSA B125.3-12 Plumbing Fittings,Individual pressure-balanced or thermostatic-mixing valves shall not be required for shower heads having a single tempered water supply that is controlled by an automatic compensating valve conforming to CSA B125.3-12 Plumbing Fittings,1.0
12411,"Processing equipment shall be designed and arranged to prevent the unintentional escape of liquids and vapours, and minimize the quantity escaping in the event of accidental release.","Processing equipment shall be designed and arranged to prevent the unintentional escape of liquids and vapours, and minimize the quantity escaping in the event of accidental release.",1.0
6404,Spiral stairs conforming to Sentence 9.8.4.7.(1) are permitted to be used as the only means of egress where they serve not more than 3 persons.,Spiral stairs conforming to Sentence 9.8.4.7.(1) are permitted to be used as the only means of egress where they serve not more than 3 persons.,1.0
13862,There shall be no unused open ends in a drainage system and dead ends shall be so graded that water will not collect in them.,There shall be no unused open ends in a drainage system and dead ends shall be so graded that water will not collect in them.,1.0
