Full Index,National Full,National in AB,Similarity
11277,"Where vehicular, watercraft or floatplane impact or physical damage is possible, protective guarding devices shall be provided for aboveground outdoor piping.","Where vehicular, watercraft or floatplane impact or physical damage is possible, protective guarding devices shall be provided for aboveground outdoor piping.",1.0
12992,Tents and air-supported structures shall be designed and installed in conformance with the NBC.,Tents and air-supported structures shall be designed and installed in conformance with the NBC.,1.0
2709,"When work on a construction site is suspended or ceases so that it will not be occupied during normal working hours, the hazardous part of the construction site shall be protected by covering all windows, doors and other openings located within 3 m of the ground which may give access to the building with a securely fastened barricade, or a fence or barricade constructed according to the requirements of Article 8.2.1.3.","When work on a construction site is suspended or ceases so that it will not be occupied during normal working hours, the hazardous part of the construction site shall be protected by covering all windows, doors and other openings located within 3 m of the ground which may give access to the building with a securely fastened barricade, or a fence or barricade constructed according to the requirements of Article 8.2.1.3.",1.0
11282,"Combustible contents in interconnected floor spaces in which the ceiling is more than 8 m above the floor, shall not exceed the limit specified in Subsection 3.2.8. of Division B of the NBC.","Combustible contents in interconnected floor spaces in which the ceiling is more than 8 m above the floor, shall not exceed the limit specified in Subsection 3.2.8. of Division B of the NBC.",1.0
5833,A field review shall be carried out by the designer or by another suitably qualified person to ascertain that the subsurface conditions are consistent with the design and that construction is carried out in accordance with the design and good engineering practice. (See Note A-4.2.2.3.(1).),A field review shall be carried out by the designer or by another suitably qualified person to ascertain that the subsurface conditions are consistent with the design and that construction is carried out in accordance with the design and good engineering practice. (See Note A-4.2.2.3.(1).),1.0
12392,"Floors in areas where dangerous goods are stored shall be constructed in conformance with Sentence 3.3.6.7.(1) of Division B of the NBC, and maintained as an impervious membrane.","Floors in areas where dangerous goods are stored shall be constructed in conformance with Sentence 3.3.6.7.(1) of Division B of the NBC, and maintained as an impervious membrane.",1.0
4827,Construction camp buildings shall be separated from each other by a distance of not less than 10 m except as otherwise permitted in Subsections 9.10.14. and 9.10.15.,Construction camp buildings shall be separated from each other by a distance of not less than 10 m except as otherwise permitted in Subsections 9.10.14. and 9.10.15.,1.0
5680,"In a building in which there is no dwelling unit above another dwelling unit, the fire-resistance rating for floor assemblies entirely within the dwelling unit is waived.","In a building in which there is no dwelling unit above another dwelling unit, the fire-resistance rating for floor assemblies entirely within the dwelling unit is waived.",1.0
324,Every construction camp building providing sleeping accommodation for more than 30 persons shall be provided with a hose station that is protected from freezing and is equipped with a hose of sufficient length so that every portion of the building is within reach of a hose stream.,Every construction camp building providing sleeping accommodation for more than 30 persons shall be provided with a hose station that is protected from freezing and is equipped with a hose of sufficient length so that every portion of the building is within reach of a hose stream.,1.0
7236,Fire safety at construction and demolition sites shall conform to Section 5.6. of Division B of the NFC.,Fire safety at construction and demolition sites shall conform to Section 5.6. of Division B of the NFC.,1.0
10752,"For the purpose of applying this Code, every building or part thereof shall be classified according to its major occupancy in conformance with the NBC. (See Note A-2.1.2.1.(1).)","For the purpose of applying this Code, every building or part thereof shall be classified according to its major occupancy in conformance with the NBC. (See Note A-2.1.2.1.(1).)",1.0
10293,"The minimum distance required in Sentence 4.3.2.1.(2) from a storage tank containing only Class II or IIIA liquids to a building on the same property is permitted to be reduced to 1.5 m provided the tank capacity is not more than 50 000 L, or zero provided the tank capacity is not more than 2 500 L.","The minimum distance required in Sentence 4.3.2.1.(2) from a storage tank containing only Class II or IIIA liquids to a building on the same property is permitted to be reduced to 1.5 m provided the tank capacity is not more than 50 000 L, or zero provided the tank capacity is not more than 2 500 L.",1.0
12985,"When piping referred to in Sentence 4.5.6.10.(1) contains Class I liquids, the trench shall be provided with ventilation designed to prevent the accumulation of flammable vapours in accordance with Sentence 6.9.1.2.(2) of Division B of the NBC.","When piping referred to in Sentence 4.5.6.10.(1) contains Class I liquids, the trench shall be provided with ventilation designed to prevent the accumulation of flammable vapours in accordance with Sentence 6.9.1.2.(2) of Division B of the NBC.",1.0
13086,"Fire department vehicles shall have direct access to at least one face of every building by means of a street, yard or roadway in conformance with the NBC.","Fire department vehicles shall have direct access to at least one face of every building by means of a street, yard or roadway in conformance with the NBC.",1.0
13321,Daycare centres shall be constructed in conformance with the NBC.,Daycare centres shall be constructed in conformance with the NBC.,1.0
7663,"Exterior walks that form part of a barrier-free path of travel shall have a slip-resistant, continuous and even surface, be not less than 1 100 mm wide, and have a level area conforming to Clause 3.8.3.5.(1)(c) adjacent to an entrance doorway.","Exterior walks that form part of a barrier-free path of travel shall have a slip-resistant, continuous and even surface, be not less than 1 100 mm wide, and have a level area conforming to Clause 3.8.3.5.(1)(c) adjacent to an entrance doorway.",1.0
11793,Portable extinguishers shall be installed in all buildings except dwelling units.,Portable extinguishers shall be installed in all buildings except dwelling units.,1.0
279,"At a barrier-free entrance that includes more than one doorway, only one of the doorways is required to be designed in accordance with Subsection 3.8.3.","At a barrier-free entrance that includes more than one doorway, only one of the doorways is required to be designed in accordance with Subsection 3.8.3.",1.0
13323,"The removal, abandonment in place, disposal or temporary taking out of service of an underground storage tank shall be in conformance with good engineering practice. (See Note A-4.3.16.1.(1).)","The removal, abandonment in place, disposal or temporary taking out of service of an underground storage tank shall be in conformance with good engineering practice. (See Note A-4.3.16.1.(1).)",1.0
11453,"Except as provided in Sentence 4.6.8.6.(2), flammable liquids and combustible liquids shall not be dispensed into the fuel tank of a motor vehicle, watercraft or floatplane while the engine is running.","Except as provided in Sentence 4.6.8.6.(2), flammable liquids and combustible liquids shall not be dispensed into the fuel tank of a motor vehicle, watercraft or floatplane while the engine is running.",1.0
12306,Smoke alarms shall be installed in conformance with ULC CAN/ULC-S553-14 Installation of Smoke Alarms,Smoke alarms shall be installed in conformance with ULC CAN/ULC-S553-14 Installation of Smoke Alarms,1.0
5566,"A building classified as Group C is permitted to conform to Sentence 3.2.2.53.(2) provided it is not more than 3 storeys in building height, and it has a building area not more than the value in Table 3.2.2.53.","A building classified as Group C is permitted to conform to Sentence 3.2.2.53.(2) provided it is not more than 3 storeys in building height, and it has a building area not more than the value in Table 3.2.2.53.",1.0
5933,"Except as provided in Subsection 6.3.4., systems serving spaces that contain hazardous gases, dusts or liquids shall be designed, constructed and installed to conform to the requirements of the applicable provincial or territorial regulations or municipal bylaws or, in the absence of such regulations or bylaws, to good engineering practice such as that described in the publications of the National Fire Protection Association and in the NFC. (See Note A-6.9.1.2.(1).)","Except as provided in Subsection 6.3.4., systems serving spaces that contain hazardous gases, dusts or liquids shall be designed, constructed and installed to conform to the requirements of the applicable provincial or territorial regulations or municipal bylaws or, in the absence of such regulations or bylaws, to good engineering practice such as that described in the publications of the National Fire Protection Association and in the NFC. (See Note A-6.9.1.2.(1).)",1.0
12386,Smoke alarms are permitted to be battery operated.,Smoke alarms are permitted to be battery operated.,1.0
1217,"Operations such as the hoisting of major components onto a tall building or other overhead activities that constitute a hazard to pedestrians below from which the public cannot be protected by barricades, covered ways or similar means shall not be carried out until the street or other public way is closed.","Operations such as the hoisting of major components onto a tall building or other overhead activities that constitute a hazard to pedestrians below from which the public cannot be protected by barricades, covered ways or similar means shall not be carried out until the street or other public way is closed.",1.0
7067,"In addition to the barrier-free entrances required by Sentence 3.8.2.2.(2), not less than 50% of the pedestrian entrances of a building referred to in Sentence 3.8.2.1.(1) shall be barrier-free and shall lead from the outdoors at sidewalk level, or a ramp that complies with Subsection 3.8.3. and leads from a sidewalk.","In addition to the barrier-free entrances required by Sentence 3.8.2.2.(2), not less than 50% of the pedestrian entrances of a building referred to in Sentence 3.8.2.1.(1) shall be barrier-free and shall lead from the outdoors at sidewalk level, or a ramp that complies with Subsection 3.8.3. and leads from a sidewalk.",1.0
4276,"In a building that contains dwelling units that have more than one storey, subject to the requirements of Sentence 3.3.4.2.(3), the floor assemblies, including floors over basements, which are entirely contained within these dwelling units, shall have a fire-resistance rating not less than 45 min but need not be constructed as fire separations.","In a building that contains dwelling units that have more than one storey, subject to the requirements of Sentence 3.3.4.2.(3), the floor assemblies, including floors over basements, which are entirely contained within these dwelling units, shall have a fire-resistance rating not less than 45 min but need not be constructed as fire separations.",1.0
12069,An adequate water supply for firefighting shall be provided as soon as combustible construction materials arrive on the site. (See Note A-5.6.3.5.(1).) (See also Note A-3.2.5.7.(1) of Division B of the NBC.),An adequate water supply for firefighting shall be provided as soon as combustible construction materials arrive on the site. (See Note A-5.6.3.5.(1).) (See also Note A-3.2.5.7.(1) of Division B of the NBC.),1.0
10898,"All flooring in storage areas shall be constructed of noncombustible materials, as stated in Sentence 3.3.6.6.(5) of Division B of the NBC.","All flooring in storage areas shall be constructed of noncombustible materials, as stated in Sentence 3.3.6.6.(5) of Division B of the NBC.",1.0
9952,"Each point of supply and each point of use of cylinders or piping systems for dangerous goods classified as compressed gases shall be provided with a label identifying the gas being supplied, and a manual shut-off valve.","Each point of supply and each point of use of cylinders or piping systems for dangerous goods classified as compressed gases shall be provided with a label identifying the gas being supplied, and a manual shut-off valve.",1.0
1666,The thermal characteristics of log walls shall be determined by calculation in accordance with Section 305 of ICC 400-2012 Design and Construction of Log Structures (See Note A-9.36.2.2.(5).),The thermal characteristics of log walls shall be determined by calculation in accordance with Section 305 of ICC 400-2012 Design and Construction of Log Structures (See Note A-9.36.2.2.(5).),1.0
4635,"Except as provided in Sentence 6.3.2.14.(1), the outdoor air quality conditions of the geographic area of the building site to be used in designing ventilation systems shall conform to appropriate provincial or territorial requirements or, in the absence of such requirements, shall be equal to or less than the maximum acceptable levels stated in the Canada-wide Standards for Particulate Matter (PM) and Ozone as follows: a 24 hour average of 30 µg/m3 for particulate matter that is 2.5 µm or less in diameter (PM2.5), and an 8 hour average of 65 ppb for ground-level ozone. (See Note A-6.2.1.2.(2).)","Except as provided in Sentence 6.3.2.14.(1), the outdoor air quality conditions of the geographic area of the building site to be used in designing ventilation systems shall conform to appropriate provincial or territorial requirements or, in the absence of such requirements, shall be equal to or less than the maximum acceptable levels stated in the Canada-wide Standards for Particulate Matter (PM) and Ozone as follows: a 24 hour average of 30 µg/m3 for particulate matter that is 2.5 µm or less in diameter (PM2.5), and an 8 hour average of 65 ppb for ground-level ozone. (See Note A-6.2.1.2.(2).)",1.0
116,Structural and fire safety requirements in other Parts of the NBC shall apply.,Structural and fire safety requirements in other Parts of the NBC shall apply.,1.0
13447,Areas or rooms communicating with the landing area shall be separated therefrom by a fire separation conforming to the NBC.,Areas or rooms communicating with the landing area shall be separated therefrom by a fire separation conforming to the NBC.,1.0
1664,"Except in dwelling units and except as provided in Sentence 9.10.21.6.(2), the surface flame-spread rating of wall and ceiling surfaces in corridors and walkways, exclusive of doors, shall not exceed 25 over not less than 90% of the exposed surface area and not more than 150 over the remaining surface area.","Except in dwelling units and except as provided in Sentence 9.10.21.6.(2), the surface flame-spread rating of wall and ceiling surfaces in corridors and walkways, exclusive of doors, shall not exceed 25 over not less than 90% of the exposed surface area and not more than 150 over the remaining surface area.",1.0
9906,Ventilation shall be provided for hazardous locations and processes in conformance with the NBC and with this Part.,Ventilation shall be provided for hazardous locations and processes in conformance with the NBC and with this Part.,1.0
10261,"Where wiring or electrical equipment is located in areas in which flammable gases or vapours, combustible dusts or combustible fibres are present in quantities sufficient to create a hazard, such wiring and electrical equipment shall conform to CSA C22.1-12 Canadian Electrical Code, Part I for hazardous locations. (See Note A-5.1.2.1.(1).)","Where wiring or electrical equipment is located in areas in which flammable gases or vapours, combustible dusts or combustible fibres are present in quantities sufficient to create a hazard, such wiring and electrical equipment shall conform to CSA C22.1-12 Canadian Electrical Code, Part I for hazardous locations. (See Note A-5.1.2.1.(1).)",1.0
1215,"The limits on the area of glazed openings shall not apply to the exposing building face of a dwelling unit facing a detached garage or accessory building, where the detached garage or accessory building serves only one dwelling unit, the detached garage or accessory building is located on the same property as that dwelling unit, and the dwelling unit served by the detached garage or accessory building is the only major occupancy on the property.","The limits on the area of glazed openings shall not apply to the exposing building face of a dwelling unit facing a detached garage or accessory building, where the detached garage or accessory building serves only one dwelling unit, the detached garage or accessory building is located on the same property as that dwelling unit, and the dwelling unit served by the detached garage or accessory building is the only major occupancy on the property.",1.0
6390,A ventilation system required by this Subsection shall be maintained in conformance with Article 5.5.4.1. of Division B of the NFC.,A ventilation system required by this Subsection shall be maintained in conformance with Article 5.5.4.1. of Division B of the NFC.,1.0
11790,Signs required by the NBC to indicate the occupant load for a floor area shall be posted in conspicuous locations near the principal entrances to the floor area. (See Note A-2.7.1.4.(2).),Signs required by the NBC to indicate the occupant load for a floor area shall be posted in conspicuous locations near the principal entrances to the floor area. (See Note A-2.7.1.4.(2).),1.0
11456,"Cleaning equipment required in Sentence 5.3.1.2.(1) that is used in an atmosphere containing combustible dusts shall conform to CSA C22.1-12 Canadian Electrical Code, Part I","Cleaning equipment required in Sentence 5.3.1.2.(1) that is used in an atmosphere containing combustible dusts shall conform to CSA C22.1-12 Canadian Electrical Code, Part I",1.0
12206,"Except where they are equipped with hold-open devices conforming to the NBC, doors in fire separations that are required to be equipped with self-closing devices shall be inspected at intervals not greater than 24 h to ensure that they remain in the closed position when not in use.","Except where they are equipped with hold-open devices conforming to the NBC, doors in fire separations that are required to be equipped with self-closing devices shall be inspected at intervals not greater than 24 h to ensure that they remain in the closed position when not in use.",1.0
10026,"Fixed dispensers for Class I liquids shall be installed outside buildings and not less than 3 m from any right-of-way and any property line, 3 m from any propane gas dispenser, 1.5 m from any natural gas dispenser, 6 m horizontally from any fixed source of ignition, 6 m horizontally from any liquefied petroleum gas cylinder or storage tank, and 3 m from any building openings, other than those that serve as shelter for operating personnel and in which electrical installations conform to Article 4.1.4.1.","Fixed dispensers for Class I liquids shall be installed outside buildings and not less than 3 m from any right-of-way and any property line, 3 m from any propane gas dispenser, 1.5 m from any natural gas dispenser, 6 m horizontally from any fixed source of ignition, 6 m horizontally from any liquefied petroleum gas cylinder or storage tank, and 3 m from any building openings, other than those that serve as shelter for operating personnel and in which electrical installations conform to Article 4.1.4.1.",1.0
12623,"Smoke alarms within dwelling units shall be installed between each sleeping area and the remainder of the dwelling unit, and where the sleeping areas are served by hallways, the smoke alarms shall be installed in the hallways.","Smoke alarms within dwelling units shall be installed between each sleeping area and the remainder of the dwelling unit, and where the sleeping areas are served by hallways, the smoke alarms shall be installed in the hallways.",1.0
6361,Geotechnical components of service loads and geotechnical reactions for SLS shall be determined by a suitably qualified and experienced professional engineer.,Geotechnical components of service loads and geotechnical reactions for SLS shall be determined by a suitably qualified and experienced professional engineer.,1.0
108,"If the first storey of a building is not required to be sprinklered, sprinklers are not required in the storey immediately below the first storey provided the storey below contains only residential occupancies, and has at least one unobstructed access opening conforming to Sentence 3.2.5.1.(2) installed on that storey for each 15 m of wall length in at least one wall required by this Subsection to face a street.","If the first storey of a building is not required to be sprinklered, sprinklers are not required in the storey immediately below the first storey provided the storey below contains only residential occupancies, and has at least one unobstructed access opening conforming to Sentence 3.2.5.1.(2) installed on that storey for each 15 m of wall length in at least one wall required by this Subsection to face a street.",1.0
7658,"Handrails are not required for stairs and ramps serving a single dwelling unit, where interior stairs have not more than 2 risers, exterior stairs have not more than 3 risers, or ramps rise not more than 400 mm.","Handrails are not required for stairs and ramps serving a single dwelling unit, where interior stairs have not more than 2 risers, exterior stairs have not more than 3 risers, or ramps rise not more than 400 mm.",1.0
10676,"In addition to the requirements in Sentence 4.6.8.5.(1), attendants on duty at marine fuel-dispensing stations shall activate the controls to permit the dispensing of fuel at an individual dispenser only after all ports and hatches on the watercraft have been closed, and ensure that containers for flammable liquids and combustible liquids, are not filled beyond their safe filling level, and are filled only after they have been removed from the watercraft or floatplane.","In addition to the requirements in Sentence 4.6.8.5.(1), attendants on duty at marine fuel-dispensing stations shall activate the controls to permit the dispensing of fuel at an individual dispenser only after all ports and hatches on the watercraft have been closed, and ensure that containers for flammable liquids and combustible liquids, are not filled beyond their safe filling level, and are filled only after they have been removed from the watercraft or floatplane.",1.0
1696,"Where required by the NFC, cylinders of anhydrous ammonia or dangerous goods classified as toxic or oxidizing gases stored indoors shall be located in a room that is separated from the remainder of the building by a gas-tight fire separation having a fire-resistance rating of at least 1 h, that is located on an exterior wall of the building, that can be entered from the exterior, and whose closures leading to the interior of the building are equipped with self-closing devices that keep the closures closed when not in use, and constructed so as to prevent the migration of gases from the room into other parts of the building.","Where required by the NFC, cylinders of anhydrous ammonia or dangerous goods classified as toxic or oxidizing gases stored indoors shall be located in a room that is separated from the remainder of the building by a gas-tight fire separation having a fire-resistance rating of at least 1 h, that is located on an exterior wall of the building, that can be entered from the exterior, and whose closures leading to the interior of the building are equipped with self-closing devices that keep the closures closed when not in use, and constructed so as to prevent the migration of gases from the room into other parts of the building.",1.0
569,Escalators and moving walkways shall conform to the appropriate requirements in Part 3.,Escalators and moving walkways shall conform to the appropriate requirements in Part 3.,1.0
9921,"Temporary electrical installations shall be installed in conformance with the requirements of CSA C22.1-12 Canadian Electrical Code, Part I","Temporary electrical installations shall be installed in conformance with the requirements of CSA C22.1-12 Canadian Electrical Code, Part I",1.0
6486,"The service building required by Sentence 3.7.2.4.(1) shall contain at least one water closet for each sex if the service building facilities serve not more than 10 mobile homes, and an additional water closet for each sex for each additional 10 mobile homes.","The service building required by Sentence 3.7.2.4.(1) shall contain at least one water closet for each sex if the service building facilities serve not more than 10 mobile homes, and an additional water closet for each sex for each additional 10 mobile homes.",1.0
11436,"Portable electrical equipment used in atmospheres containing combustible dusts shall conform to CSA C22.1-12 Canadian Electrical Code, Part I","Portable electrical equipment used in atmospheres containing combustible dusts shall conform to CSA C22.1-12 Canadian Electrical Code, Part I",1.0
412,"The outdoor air quality conditions of the local area of the building site to be used in designing ventilation systems shall conform to appropriate provincial or territorial requirements or, in the absence of such requirements, to the requirements of Sentence 6.3.2.14.(2). (See Note A-6.2.1.2.(3).)","The outdoor air quality conditions of the local area of the building site to be used in designing ventilation systems shall conform to appropriate provincial or territorial requirements or, in the absence of such requirements, to the requirements of Sentence 6.3.2.14.(2). (See Note A-6.2.1.2.(3).)",1.0
3295,A passenger-elevating device referred to in Article 3.8.2.3. shall conform to CSA B355-09 Lifts for Persons with Physical Disabilities,A passenger-elevating device referred to in Article 3.8.2.3. shall conform to CSA B355-09 Lifts for Persons with Physical Disabilities,1.0
6587,Shingles and shakes shall conform to CSA O118.1-08 Western Red Cedar Shakes and Shingles or CSA O118.2-08 Eastern White Cedar Shingles,Shingles and shakes shall conform to CSA O118.1-08 Western Red Cedar Shakes and Shingles or CSA O118.2-08 Eastern White Cedar Shingles,1.0
9828,"Where flammable liquids and combustible liquids are processed, handled, stored, dispensed or used within rooms or enclosed spaces, ventilation shall conform to the appropriate provincial or territorial regulations or municipal bylaws, or in the absence of such legislation, to this Part and the NBC. (See Note A-4.1.7.1.(1).)","Where flammable liquids and combustible liquids are processed, handled, stored, dispensed or used within rooms or enclosed spaces, ventilation shall conform to the appropriate provincial or territorial regulations or municipal bylaws, or in the absence of such legislation, to this Part and the NBC. (See Note A-4.1.7.1.(1).)",1.0
854,Every doorway that is located in a barrier-free path of travel shall have a clear width not less than 800 mm when the door is in the open position. (See Note A-3.8.3.6.(2).),Every doorway that is located in a barrier-free path of travel shall have a clear width not less than 800 mm when the door is in the open position. (See Note A-3.8.3.6.(2).),1.0
4049,"For the purposes of this Part, the term ""storage tank"" shall mean a vessel for flammable liquids or combustible liquids having a capacity of more than 230 L and designed to be installed in a fixed location.","For the purposes of this Part, the term ""storage tank"" shall mean a vessel for flammable liquids or combustible liquids having a capacity of more than 230 L and designed to be installed in a fixed location.",1.0
11973,Areas where unstable liquids are handled or where small scale unit chemical processes occur shall conform to Article 3.3.6.8. of Division B of the NBC.,Areas where unstable liquids are handled or where small scale unit chemical processes occur shall conform to Article 3.3.6.8. of Division B of the NBC.,1.0
1978,"Where required by the NFC, cylinders of dangerous goods classified as flammable gases stored indoors shall be located in a room that is separated from the remainder of the building by a gas-tight fire separation having a fire-resistance rating of at least 2 h, that is located on an exterior wall of the building, that can be entered from the exterior, and whose closures leading to the interior of the building are equipped with self-closing devices that keep the closures closed when not in use, and constructed so as to prevent the migration of gases from the room into other parts of the building.","Where required by the NFC, cylinders of dangerous goods classified as flammable gases stored indoors shall be located in a room that is separated from the remainder of the building by a gas-tight fire separation having a fire-resistance rating of at least 2 h, that is located on an exterior wall of the building, that can be entered from the exterior, and whose closures leading to the interior of the building are equipped with self-closing devices that keep the closures closed when not in use, and constructed so as to prevent the migration of gases from the room into other parts of the building.",1.0
12749,"Except as provided in Sentence 5.5.3.5.(3), electrical equipment located in areas where the concentration of flammable vapours is sufficient to create a hazard shall conform to CSA C22.1-12 Canadian Electrical Code, Part I for the hazardous locations. (See Note A-5.5.3.4.(1).)","Except as provided in Sentence 5.5.3.5.(3), electrical equipment located in areas where the concentration of flammable vapours is sufficient to create a hazard shall conform to CSA C22.1-12 Canadian Electrical Code, Part I for the hazardous locations. (See Note A-5.5.3.4.(1).)",1.0
5483,"Except as otherwise provided by this Subsection, interior finishes, furnishings and decorative materials shall conform to Section 2.3. of Division B of the NFC.","Except as otherwise provided by this Subsection, interior finishes, furnishings and decorative materials shall conform to Section 2.3. of Division B of the NFC.",1.0
8058,"Where collective venting of multiple installations of laundry-drying equipment is used, the ventilation system shall be connected to a common exhaust duct that is vented by one central exhaust fan and incorporates one central lint trap, include an interlock to activate the central exhaust fan when laundry-drying equipment is in use, and be provided with make-up air. (See Note A-6.3.2.10.(7) and (8).)","Where collective venting of multiple installations of laundry-drying equipment is used, the ventilation system shall be connected to a common exhaust duct that is vented by one central exhaust fan and incorporates one central lint trap, include an interlock to activate the central exhaust fan when laundry-drying equipment is in use, and be provided with make-up air. (See Note A-6.3.2.10.(7) and (8).)",1.0
12729,"Smoke alarms conforming to ULC CAN/ULC-S531-14 Smoke Alarms shall be installed in each dwelling unit and, except for care, treatment or detention occupancies required to have a fire alarm system, in each sleeping room not within a dwelling unit.","Smoke alarms conforming to ULC CAN/ULC-S531-14 Smoke Alarms shall be installed in each dwelling unit and, except for care, treatment or detention occupancies required to have a fire alarm system, in each sleeping room not within a dwelling unit.",1.0
13008,"Where rooms are provided for the storage of combustible waste materials, such rooms shall conform to the NBC.","Where rooms are provided for the storage of combustible waste materials, such rooms shall conform to the NBC.",1.0
