Full Index,National Full,National in BC,Similarity
7017,"Where a duct carrying outdoor air that is not tempered and not mixed with indoor air passes through heated space, it shall be insulated to not less than RSI 0.5, and provided with a vapour barrier.","Where a duct carrying outdoor air that is not tempered and not mixed with indoor air passes through heated space, it shall be insulated to not less than RSI 0.5, and provided with a vapour barrier.",1.0
7793,"A landing may be omitted at the top of an exterior flight serving a secondary entrance to a single dwelling unit or a house with a secondary suite, provided the stair does not contain more than 3 risers, the principal door is a sliding door or swings away from the stair, and only a storm or screen door, if any, swings over the stair and is equipped with hardware to hold it open.","A landing may be omitted at the top of an exterior flight serving a secondary entrance to a single dwelling unit or a house with a secondary suite, provided the stair does not contain more than 3 risers, the principal door is a sliding door or swings away from the stair, and only a storm or screen door, if any, swings over the stair and is equipped with hardware to hold it open.",1.0
8606,"Where a barrier-free path of travel required in Article 9.5.2.1. is provided to any storey above the first storey, the requirements in Article 3.3.1.7. shall apply.","Where a barrier-free path of travel required in Article 9.5.2.1. is provided to any storey above the first storey, the requirements in Article 3.3.1.7. shall apply.",1.0
6825,At least one water-closet stall or enclosure in a washroom required to be barrier-free shall comply with Subsection 3.8.3.,At least one water-closet stall or enclosure in a washroom required to be barrier-free shall comply with Subsection 3.8.3.,1.0
13368,"Except as provided in this Part, the storage and handling of natural gas shall conform to CSA B149.1-10 Natural Gas and Propane Installation Code","Except as provided in this Part, the storage and handling of natural gas shall conform to CSA B149.1-10 Natural Gas and Propane Installation Code",1.0
1837,The height above grade of SFRS designed in accordance with CSA S136-16 North American Specification for the Design of Cold-Formed Steel Structural Members (using the Appendix B provisions applicable to shall be less than 15 m.,The height above grade of SFRS designed in accordance with CSA S136-16 North American Specification for the Design of Cold-Formed Steel Structural Members (using the Appendix B provisions applicable to shall be less than 15 m.,1.0
573,"Self-service storage buildings shall be classified as Group F, Division 2 major occupancies.","Self-service storage buildings shall be classified as Group F, Division 2 major occupancies.",1.0
2979,"Smoke detectors permitted to be installed in lieu of smoke alarms as stated in Sentence 3.2.4.20.(8) are permitted to sound localized alarms within individual suites, and need not sound an alarm throughout the rest of the building.","Smoke detectors permitted to be installed in lieu of smoke alarms as stated in Sentence 3.2.4.20.(8) are permitted to sound localized alarms within individual suites, and need not sound an alarm throughout the rest of the building.",1.0
13118,"Disposal chutes described in Clause 8.2.5.2.(1)(b) of Division B of the NBC shall be constructed of noncombustible material, or terminate not less than 2 m above the disposal bin they serve.","Disposal chutes described in Clause 8.2.5.2.(1)(b) of Division B of the NBC shall be constructed of noncombustible material, or terminate not less than 2 m above the disposal bin they serve.",1.0
11510,"Except as provided in Sentence 2.8.3.2.(2), fire drills as described in Sentence 2.8.3.1.(1) shall be held at intervals not greater than 12 months for the supervisory staff, except that in day-care centres and in Group B major occupancies, such drills shall be held at intervals not greater than one month, in schools attended by children, total evacuation fire drills shall be held at least 3 times in each of the fall and spring school terms, and in buildings within the scope of Subsection 3.2.6. of Division B of the NBC, such drills shall be held at intervals not greater than 2 months.","Except as provided in Sentence 2.8.3.2.(2), fire drills as described in Sentence 2.8.3.1.(1) shall be held at intervals not greater than 12 months for the supervisory staff, except that in day-care centres and in Group B major occupancies, such drills shall be held at intervals not greater than one month, in schools attended by children, total evacuation fire drills shall be held at least 3 times in each of the fall and spring school terms, and in buildings within the scope of Subsection 3.2.6. of Division B of the NBC, such drills shall be held at intervals not greater than 2 months.",1.0
7244,"Except as provided in Sentence 9.27.13.1.(2), this Subsection applies to exterior insulation finish systems (EIFS) that are covered in the scope of ULC CAN/ULC-S716.1-12 Exterior Insulation and Finish Systems (EIFS) - Materials and Systems and have a geometrically defined drainage cavity with a minimum cavity depth of 10 mm and an open area equal to not less than 13% of the area of a full-size EIFS panel. (See Note A-9.27.13.1.(1).)","Except as provided in Sentence 9.27.13.1.(2), this Subsection applies to exterior insulation finish systems (EIFS) that are covered in the scope of ULC CAN/ULC-S716.1-12 Exterior Insulation and Finish Systems (EIFS) - Materials and Systems and have a geometrically defined drainage cavity with a minimum cavity depth of 10 mm and an open area equal to not less than 13% of the area of a full-size EIFS panel. (See Note A-9.27.13.1.(1).)",1.0
4636,"A building that is wholly constructed in accordance with the building area and construction requirements of Article 3.2.2.50. shall not contain Group A, Division 2 and Group E major occupancies above the second storey, or a storage garage above the third storey (see also Sentence 4.4.2.1.(1)).","A building that is wholly constructed in accordance with the building area and construction requirements of Article 3.2.2.50. shall not contain Group A, Division 2 and Group E major occupancies above the second storey, or a storage garage above the third storey (see also Sentence 4.4.2.1.(1)).",1.0
4937,"For each suite of residential occupancy that shares a wall or floor/ceiling assembly with a storage garage or that is adjacent to an attic or crawl space to which the storage garage is also adjacent, a CO alarm shall be installed inside each bedroom, or outside each bedroom, within 5 m of each bedroom door, measured following corridors and doorways.","For each suite of residential occupancy that shares a wall or floor/ceiling assembly with a storage garage or that is adjacent to an attic or crawl space to which the storage garage is also adjacent, a CO alarm shall be installed inside each bedroom, or outside each bedroom, within 5 m of each bedroom door, measured following corridors and doorways.",1.0
7796,"Light-frame walls, columns, arches and beams as well as loadbearing steel elements that support floors between dwelling units in a house with a secondary suite including their common spaces shall be protected by not less than 12.7 mm thick gypsum board. (See Note A-9.10.8.3.(2).)","Light-frame walls, columns, arches and beams as well as loadbearing steel elements that support floors between dwelling units in a house with a secondary suite including their common spaces shall be protected by not less than 12.7 mm thick gypsum board. (See Note A-9.10.8.3.(2).)",1.0
7556,The requirements in Part 3 regarding occupant load shall not apply to self-service storage buildings.,The requirements in Part 3 regarding occupant load shall not apply to self-service storage buildings.,1.0
6017,"This Subsection applies to fire separations required between rooms and spaces in buildings, and smoke-tight barriers required in houses with a secondary suite including their common spaces.","This Subsection applies to fire separations required between rooms and spaces in buildings, and smoke-tight barriers required in houses with a secondary suite including their common spaces.",1.0
8365,"Except as provided in Sentence 9.6.1.3.(2), glass shall be designed in conformance with CGSB CAN/CGSB-12.20-M89 Structural Design of Glass for Buildingsor ASTM E 1300-12ae1 Determining Load Resistance of Glass in Buildings (See also Article 4.3.6.1.).","Except as provided in Sentence 9.6.1.3.(2), glass shall be designed in conformance with CGSB CAN/CGSB-12.20-M89 Structural Design of Glass for Buildingsor ASTM E 1300-12ae1 Determining Load Resistance of Glass in Buildings (See also Article 4.3.6.1.).",1.0
218,The distance from the bottom of an exhaust outlet to finished ground or to any nearer and lower permanent horizontal surface shall be not less than 100 mm.,The distance from the bottom of an exhaust outlet to finished ground or to any nearer and lower permanent horizontal surface shall be not less than 100 mm.,1.0
4473,This Article shall apply to heat recovery ventilators installed to provide one or more of the fans required by this Subsection.,This Article shall apply to heat recovery ventilators installed to provide one or more of the fans required by this Subsection.,1.0
5880,This Subsection applies to all exits except those serving not more than one dwelling unit or a house with a secondary suite.,This Subsection applies to all exits except those serving not more than one dwelling unit or a house with a secondary suite.,1.0
5711,"Except as provided in Sentence 9.32.3.11.(6), ventilation ducts and their fittings shall conform to the requirements of Article 9.33.6.2., except that exhaust ducts serving only a bathroom or water-closet room are permitted to be of combustible material, provided they are reasonably airtight and constructed of a material impervious to water.","Except as provided in Sentence 9.32.3.11.(6), ventilation ducts and their fittings shall conform to the requirements of Article 9.33.6.2., except that exhaust ducts serving only a bathroom or water-closet room are permitted to be of combustible material, provided they are reasonably airtight and constructed of a material impervious to water.",1.0
8366,"Except as provided in Article 9.9.4.5., where exterior walls of a building meet at an external angle of 135° or less, the horizontal distance from an unprotected opening in one exterior wall to an unprotected opening in the other exterior wall shall be not less than 1.2 m, where these openings are in different fire compartments, or in different dwelling units, ancillary spaces or common spaces in a house with a secondary suite.","Except as provided in Article 9.9.4.5., where exterior walls of a building meet at an external angle of 135° or less, the horizontal distance from an unprotected opening in one exterior wall to an unprotected opening in the other exterior wall shall be not less than 1.2 m, where these openings are in different fire compartments, or in different dwelling units, ancillary spaces or common spaces in a house with a secondary suite.",1.0
1163,"Where air intake and exhaust openings are in exposed locations, provision shall be made to protect them from the entry of precipitation by the use of louvres, weather cowls or other suitable protection.","Where air intake and exhaust openings are in exposed locations, provision shall be made to protect them from the entry of precipitation by the use of louvres, weather cowls or other suitable protection.",1.0
7823,Smoke alarms in a house with a secondary suite shall be wirelessly interconnected or interconnected by hard-wiring so that the activation of any one smoke alarm causes all smoke alarms within the house with a secondary suite to sound. (See Note A-9.10.19.5.(2).),Smoke alarms in a house with a secondary suite shall be wirelessly interconnected or interconnected by hard-wiring so that the activation of any one smoke alarm causes all smoke alarms within the house with a secondary suite to sound. (See Note A-9.10.19.5.(2).),1.0
487,"Except as required in Sentence 9.10.22.1.(2), natural gas and propane cooktops and ovens shall be installed in accordance with the applicable provincial or territorial regulations or municipal bylaws or, in the absence of such regulations or bylaws, with CSA B149.1-10 Natural Gas and Propane Installation Code (See also Article 9.34.1.1.)","Except as required in Sentence 9.10.22.1.(2), natural gas and propane cooktops and ovens shall be installed in accordance with the applicable provincial or territorial regulations or municipal bylaws or, in the absence of such regulations or bylaws, with CSA B149.1-10 Natural Gas and Propane Installation Code (See also Article 9.34.1.1.)",1.0
11509,"Exit lighting, exit signs and emergency lighting shall be provided in buildings in conformance with the NBC. (See Note A-2.7.3.1.(1).)","Exit lighting, exit signs and emergency lighting shall be provided in buildings in conformance with the NBC. (See Note A-2.7.3.1.(1).)",1.0
10529,The location of dispensers of Class I liquids within a building shall conform to Subsection 3.3.5. of Division B of the NBC.,The location of dispensers of Class I liquids within a building shall conform to Subsection 3.3.5. of Division B of the NBC.,1.0
8554,"The ventilation system for a power-ventilated enclosure required by Sentence 5.5.4.2.(1) of Division B of the NFC shall conform to NFPA 91-2010 Exhaust Systems for Air Conveying of Vapors, Gases, Mists, and Noncombustible Particulate Solids provide continuous exhaust ventilation at an air velocity sufficient to prevent the accumulation of combustible or reactive deposits in the power-ventilated enclosure and its exhaust duct system, confine dangerous goods vapours and particles to the area where they are generated and exhaust them to the outdoors, not return the exhausted air to the building, and be provided with well identified control switches that are located outside of the power-ventilated enclosure, and readily accessible in case of an emergency.","The ventilation system for a power-ventilated enclosure required by Sentence 5.5.4.2.(1) of Division B of the NFC shall conform to NFPA 91-2010 Exhaust Systems for Air Conveying of Vapors, Gases, Mists, and Noncombustible Particulate Solids provide continuous exhaust ventilation at an air velocity sufficient to prevent the accumulation of combustible or reactive deposits in the power-ventilated enclosure and its exhaust duct system, confine dangerous goods vapours and particles to the area where they are generated and exhaust them to the outdoors, not return the exhausted air to the building, and be provided with well identified control switches that are located outside of the power-ventilated enclosure, and readily accessible in case of an emergency.",1.0
4957,"Ventilation equipment shall be accessible for inspection, maintenance, repair and cleaning.","Ventilation equipment shall be accessible for inspection, maintenance, repair and cleaning.",1.0
681,"This Subsection applies to wall, roof and floor assemblies separating conditioned space from the ground, and the rough-in to allow the future protection of conditioned space that is separated from the ground by a wall, roof or floor assembly.","This Subsection applies to wall, roof and floor assemblies separating conditioned space from the ground, and the rough-in to allow the future protection of conditioned space that is separated from the ground by a wall, roof or floor assembly.",1.0
13366,"Where a standpipe system is to be installed in a building under construction or alteration, the system shall be installed progressively in conformance with Subsection 3.2.5. of Division B of the NBC in areas permitted to be occupied.","Where a standpipe system is to be installed in a building under construction or alteration, the system shall be installed progressively in conformance with Subsection 3.2.5. of Division B of the NBC in areas permitted to be occupied.",1.0
3429,Make-up water connections shall be equipped with backflow prevention devices that conform to Article 2.6.2.1. of Division B of the NPC.,Make-up water connections shall be equipped with backflow prevention devices that conform to Article 2.6.2.1. of Division B of the NPC.,1.0
10776,"Combustible materials, such as artwork and teaching materials, that are attached to walls shall not exceed 20% of the area of such walls.","Combustible materials, such as artwork and teaching materials, that are attached to walls shall not exceed 20% of the area of such walls.",1.0
11790,Signs required by the NBC to indicate the occupant load for a floor area shall be posted in conspicuous locations near the principal entrances to the floor area. (See Note A-2.7.1.4.(2).),Signs required by the NBC to indicate the occupant load for a floor area shall be posted in conspicuous locations near the principal entrances to the floor area. (See Note A-2.7.1.4.(2).),1.0
1501,The number of water closets required for primary schools and daycare centres shall be at least one for each 30 males and one for each 25 females.,The number of water closets required for primary schools and daycare centres shall be at least one for each 30 males and one for each 25 females.,1.0
3005,The protection of window and door openings to protect persons from falling through them shall conform to Article 9.8.8.1.,The protection of window and door openings to protect persons from falling through them shall conform to Article 9.8.8.1.,1.0
6404,Spiral stairs conforming to Sentence 9.8.4.7.(1) are permitted to be used as the only means of egress where they serve not more than 3 persons.,Spiral stairs conforming to Sentence 9.8.4.7.(1) are permitted to be used as the only means of egress where they serve not more than 3 persons.,1.0
7663,"Exterior walks that form part of a barrier-free path of travel shall have a slip-resistant, continuous and even surface, be not less than 1 100 mm wide, and have a level area conforming to Clause 3.8.3.5.(1)(c) adjacent to an entrance doorway.","Exterior walks that form part of a barrier-free path of travel shall have a slip-resistant, continuous and even surface, be not less than 1 100 mm wide, and have a level area conforming to Clause 3.8.3.5.(1)(c) adjacent to an entrance doorway.",1.0
8494,"Where outdoor air is to be introduced to the dwelling unit through means other than a forced air heating system, the provision of outdoor air shall comply with this Article.","Where outdoor air is to be introduced to the dwelling unit through means other than a forced air heating system, the provision of outdoor air shall comply with this Article.",1.0
8227,"Where the facility is not equipped with staff trained to provide instructions over the loudspeakers, a pre-recorded message shall be provided.","Where the facility is not equipped with staff trained to provide instructions over the loudspeakers, a pre-recorded message shall be provided.",1.0
5056,"Except as provided in Sentence 9.8.5.2.(2), ramps shall be not less than 1 100 mm wide.","Except as provided in Sentence 9.8.5.2.(2), ramps shall be not less than 1 100 mm wide.",1.0
570,The outdoor air supply duct required by Sentence 9.32.3.5.(4) shall incorporate a flow-regulating damper.,The outdoor air supply duct required by Sentence 9.32.3.5.(4) shall incorporate a flow-regulating damper.,1.0
4959,"Except as provided in Sentence 9.10.9.14.(4), dwelling units that contain 2 or more storeys including basements shall be separated from the remainder of the building by a fire separation having a fire-resistance rating of not less than 1 h. (See Note A-3.3.4.4.(1).)","Except as provided in Sentence 9.10.9.14.(4), dwelling units that contain 2 or more storeys including basements shall be separated from the remainder of the building by a fire separation having a fire-resistance rating of not less than 1 h. (See Note A-3.3.4.4.(1).)",1.0
8492,"The principal ventilation fan control required by Sentence 9.32.3.3.(5) shall be wired in such a way that activation of the principal ventilation fan automatically activates the outdoor air supply fan required by Sentence 9.32.3.5.(2), and the outdoor air supply fan does not operate when the principal ventilation fan is not operating.","The principal ventilation fan control required by Sentence 9.32.3.3.(5) shall be wired in such a way that activation of the principal ventilation fan automatically activates the outdoor air supply fan required by Sentence 9.32.3.5.(2), and the outdoor air supply fan does not operate when the principal ventilation fan is not operating.",1.0
2066,"With the principal ventilation fan operating at its normal operating exhaust capacity, the airflow in the outdoor air supply duct shall be measured and the flow-regulating damper required by Sentence 9.32.3.4.(6) shall be adjusted and permanently fixed so that the airflow in the outdoor air supply duct is within ±10% of the actual normal operating exhaust capacity of the principal ventilation fan.","With the principal ventilation fan operating at its normal operating exhaust capacity, the airflow in the outdoor air supply duct shall be measured and the flow-regulating damper required by Sentence 9.32.3.4.(6) shall be adjusted and permanently fixed so that the airflow in the outdoor air supply duct is within ±10% of the actual normal operating exhaust capacity of the principal ventilation fan.",1.0
5313,"Floors-on-ground shall be provided with a rough-in for subfloor depressurization consisting of a gas-permeable layer, an inlet and an outlet as described in Sentence 9.13.4.3.(2), or clean granular material and a pipe as described in Sentence 9.13.4.3.(3).","Floors-on-ground shall be provided with a rough-in for subfloor depressurization consisting of a gas-permeable layer, an inlet and an outlet as described in Sentence 9.13.4.3.(2), or clean granular material and a pipe as described in Sentence 9.13.4.3.(3).",1.0
531,"Service water heaters shall conform to appropriate provincial or territorial requirements or, in the absence of such requirements, to the NPC.","Service water heaters shall conform to appropriate provincial or territorial requirements or, in the absence of such requirements, to the NPC.",1.0
6279,The space above a mezzanine conforming to Sentence 3.2.1.1.(3) is permitted to include an enclosed space whose area does not exceed 10% of the open area of the room in which the mezzanine is located provided the enclosed space does not obstruct visual communication between the open space above the mezzanine and the room in which it is located. (See Note A-3.2.1.1.(3)(a).),The space above a mezzanine conforming to Sentence 3.2.1.1.(3) is permitted to include an enclosed space whose area does not exceed 10% of the open area of the room in which the mezzanine is located provided the enclosed space does not obstruct visual communication between the open space above the mezzanine and the room in which it is located. (See Note A-3.2.1.1.(3)(a).),1.0
1342,"Except as permitted by Sentence 9.8.5.3.(2), the clear height over ramps shall be not less than 2 050 mm.","Except as permitted by Sentence 9.8.5.3.(2), the clear height over ramps shall be not less than 2 050 mm.",1.0
8493,"The principal ventilation fan shall be controlled by a manual switch located within the living area of the dwelling unit and clearly marked ""VENTILATION FAN."" (See Note A-9.32.3.3.(5).)","The principal ventilation fan shall be controlled by a manual switch located within the living area of the dwelling unit and clearly marked ""VENTILATION FAN."" (See Note A-9.32.3.3.(5).)",1.0
11035,"Where closures in fire separations are replaced, the replacements shall be in conformance with the NBC.","Where closures in fire separations are replaced, the replacements shall be in conformance with the NBC.",1.0
6640,"Where there is a conflict between the requirements of this Section and other requirements in Part 3, this Section shall govern.","Where there is a conflict between the requirements of this Section and other requirements in Part 3, this Section shall govern.",1.0
7826,"Wooden stair stringers shall have a minimum effective depth of 90 mm, measured perpendicularly to the bottom of the stringer at the point of minimum cross-section, and an overall depth of not less than 235 mm, be supported and secured top and bottom, be not less than 25 mm actual thickness if supported along their length and 38 mm actual thickness if unsupported along their length, and except as permitted in Sentence 9.8.9.4.(2), be spaced not more than 900 mm o.c. in stairs serving not more than one dwelling unit or a house with a secondary suite including their common spaces, and 600 mm o.c. in other stairs.","Wooden stair stringers shall have a minimum effective depth of 90 mm, measured perpendicularly to the bottom of the stringer at the point of minimum cross-section, and an overall depth of not less than 235 mm, be supported and secured top and bottom, be not less than 25 mm actual thickness if supported along their length and 38 mm actual thickness if unsupported along their length, and except as permitted in Sentence 9.8.9.4.(2), be spaced not more than 900 mm o.c. in stairs serving not more than one dwelling unit or a house with a secondary suite including their common spaces, and 600 mm o.c. in other stairs.",1.0
13062,The fire safety plan for a building within the scope of Subsection 3.2.6. of Division B of the NBC shall be kept at the central alarm and control facility.,The fire safety plan for a building within the scope of Subsection 3.2.6. of Division B of the NBC shall be kept at the central alarm and control facility.,1.0
10203,An access route not less than 6 m wide constructed in conformance with Subsection 3.2.5. of Division B of the NBC shall be provided in outdoor storage areas to permit the approach of fire department vehicles to within 60 m of any part of a pile.,An access route not less than 6 m wide constructed in conformance with Subsection 3.2.5. of Division B of the NBC shall be provided in outdoor storage areas to permit the approach of fire department vehicles to within 60 m of any part of a pile.,1.0
6663,Sprinklers in elevator machine rooms shall have a temperature rating not less than that required for an intermediate temperature classification and shall be protected against physical damage. (See Note A-3.2.5.12.(8).),Sprinklers in elevator machine rooms shall have a temperature rating not less than that required for an intermediate temperature classification and shall be protected against physical damage. (See Note A-3.2.5.12.(8).),1.0
9890,"A laboratory shall be provided with continuous mechanical ventilation that is designed in conformance with Article 6.3.4.2. of Division B of the NBC, and maintained to ensure it fulfills the function for which it was designed.","A laboratory shall be provided with continuous mechanical ventilation that is designed in conformance with Article 6.3.4.2. of Division B of the NBC, and maintained to ensure it fulfills the function for which it was designed.",1.0
8193,A vestibule located in a barrier-free path of travel shall be arranged to allow the movement of wheelchairs between doors and shall provide a distance between 2 doors in series of not less than 1 200 mm plus the width of any door that swings into the space in the path of travel from one door to another.,A vestibule located in a barrier-free path of travel shall be arranged to allow the movement of wheelchairs between doors and shall provide a distance between 2 doors in series of not less than 1 200 mm plus the width of any door that swings into the space in the path of travel from one door to another.,1.0
6560,"Except as required by Sentence 9.10.4.2.(1), the space above a mezzanine is permitted to be excluded from the calculation of building height, provided the aggregate area of mezzanines that are not superimposed does not exceed 40% of the open area of the room in which they are located (see Note A-3.2.1.1.(3)(a)), and except as permitted in Sentence 9.10.4.1.(3), the space above the mezzanine floor is used as an open area without partitions or subdividing walls higher than 1 070 mm above the mezzanine floor.","Except as required by Sentence 9.10.4.2.(1), the space above a mezzanine is permitted to be excluded from the calculation of building height, provided the aggregate area of mezzanines that are not superimposed does not exceed 40% of the open area of the room in which they are located (see Note A-3.2.1.1.(3)(a)), and except as permitted in Sentence 9.10.4.1.(3), the space above the mezzanine floor is used as an open area without partitions or subdividing walls higher than 1 070 mm above the mezzanine floor.",1.0
3373,"Granular material need not be installed under slabs in garages, carports or accessory buildings, or buildings of industrial occupancy where the nature of the process contained therein permits or requires the use of large openings in the building envelope even during the winter.","Granular material need not be installed under slabs in garages, carports or accessory buildings, or buildings of industrial occupancy where the nature of the process contained therein permits or requires the use of large openings in the building envelope even during the winter.",1.0
13717,"PVC water pipe and fittings referred to in Sentences 2.2.5.6.(1), 2.2.5.6.(2) and 2.2.5.6.(3) shall not be used in a hot water system.","PVC water pipe and fittings referred to in Sentences 2.2.5.6.(1), 2.2.5.6.(2) and 2.2.5.6.(3) shall not be used in a hot water system.",1.0
10752,"For the purpose of applying this Code, every building or part thereof shall be classified according to its major occupancy in conformance with the NBC. (See Note A-2.1.2.1.(1).)","For the purpose of applying this Code, every building or part thereof shall be classified according to its major occupancy in conformance with the NBC. (See Note A-2.1.2.1.(1).)",1.0
9897,Buildings used for the storage of ammonium nitrate shall incorporate spatial separation and exposure protection in conformance with Subsection 3.2.3. of Division B of the NBC. (See Note A-3.2.9.2.(5).),Buildings used for the storage of ammonium nitrate shall incorporate spatial separation and exposure protection in conformance with Subsection 3.2.3. of Division B of the NBC. (See Note A-3.2.9.2.(5).),1.0
3674,"Where materials used for the preparation of the substrate for roofing are covered in the scope of a standard listed in Table 9.26.2.1.-A, they shall conform to that standard.","Where materials used for the preparation of the substrate for roofing are covered in the scope of a standard listed in Table 9.26.2.1.-A, they shall conform to that standard.",1.0
9780,"In buildings not required to be equipped with a standpipe and hose system by the NBC, hose stations shall be provided in the vicinity of the storage room, such that all parts of the room are within reach of a hose stream. (See Note A-4.3.14.4.(1).)","In buildings not required to be equipped with a standpipe and hose system by the NBC, hose stations shall be provided in the vicinity of the storage room, such that all parts of the room are within reach of a hose stream. (See Note A-4.3.14.4.(1).)",1.0
