Code Year,Province/Territory,Code Book,National Division,National Sentence Number,National Article Title,National Sentence Text,National Article Title (FR),National Sentence Text (FR),P/T Document,P/T Division,P/T Sentence Number,P/T Article Title,P/T Sentence Text,P/T Sentence Text (FR),Difference Type,Variation,Variation Label,Text Difference Tracked,P/T Article Title (FR),Exception,Comments,Text Difference Tracked (FR),Difference Type Updated,Exception Updated,Variation Updated
2015,BC,NPC,Div B,,,,,,bcpc2018_divb_terms,Div B,,,"Authority having jurisdiction - means the governmental body responsible for the enforcement of any part of this Code or the official or agency designated by that body to exercise such a function. Notwithstanding this definition, the Chief Inspector of Mines has the sole responsibility for administration and enforcement in respect to all buildings, structures and site services used at a mine, as defined in the Mines Act.",,P/T Only,Yes,,,,,,,,,
2015,BC,NPC,Div B,,,,,,bcpc2018_divb_terms,Div B,,,"Field review - means a review of the work at a building site, andwhere applicable, at locations where building components are fabricated for use at the building sitethat a registered professional in his or her professional discretion considers necessary to ascertain whether the work substantially complies in all material respects with the plans and supporting documents prepared by a registered professional.",,P/T Only,Yes,,,,,,,,,
2015,BC,NPC,Div B,,,,,,bcpc2018_divb_terms,Div B,,,"Registered professional - means person who is registered or licensed to practise as an architect under the Architects Act, ora person who is registered or licensed to practise as a professional engineer under the Engineers and Geoscientists Act.",,P/T Only,Yes,,,,,,,,,
2015,BC,NPC,Div B,,,,,,bcpc2018_divb_terms,Div B,,,Registered professional of record - means a registered professional retained to undertake design work and field reviews in accordance with Subsection 2.2.7. of Division C.,,P/T Only,Yes,,,,,,,,,
2015,BC,NPC,Div B,1.3.2.1.(1),Abbreviations of Proper Names ,"The abbreviations of proper names in this Code shall have the meanings assigned to them in this Article.ANSIAmerican National Standards Institute (www.ansi.org)ASHRAEAmerican Society of Heating, Refrigerating and Air-Conditioning Engineers (www.ashrae.org)ASMEAmerican Society of Mechanical Engineers (www.asme.org)ASPEAmerican Society of Plumbing Engineers (www.aspe.org)ASSEAmerican Society of Sanitary Engineering (www.asse-plumbing.org)ASTMAmerican Society for Testing and Materials International (www.astm.org)AWSAmerican Welding Society (www.aws.org)AWWAAmerican Water Works Association (www.awwa.org)CANNational Standard of Canada designationCCBFCCanadian Commission on Building and Fire Codes (see NRC)CGSBCanadian General Standards Board(www.tpsgc-pwgsc.gc.ca/ongc-cgsb/index-eng.html)CSACSA Group (www.csagroup.org)NBCNational Building Code of Canada 2015NFCNational Fire Code of Canada 2015NFPANational Fire Protection Association (www.nfpa.org)NISTNational Institute of Standards and Technology (www.nist.gov)NPCNational Plumbing Code of Canada 2015NRCNational Research Council of Canada (Ottawa, Ontario K1A 0R6; www.nrc-cnrc.gc.ca)NRC-IRCNational Research Council of Canada, Institute for Research in Construction (former name of the NRC Construction Research Centre)ULCULC Standards (canada.ul.com/ulcstandards)",,,bcpc2018_divb,Div B,1.3.2.1.(1),Abbreviations of Proper Names ,"The abbreviations of proper names in this Code shall have the meanings assigned to them in this Article.ANSIAmerican National Standards Institute (www.ansi.org)ASHRAEAmerican Society of Heating, Refrigerating and Air-Conditioning Engineers (www.ashrae.org)ASMEAmerican Society of Mechanical Engineers (www.asme.org)ASPEAmerican Society of Plumbing Engineers (www.aspe.org)ASSEAmerican Society of Sanitary Engineering (www.asse-plumbing.org)ASTMAmerican Society for Testing and Materials International (www.astm.org)AWSAmerican Welding Society (www.aws.org)AWWAAmerican Water Works Association (www.awwa.org)CANNational Standard of Canada designationCCBFCCanadian Commission on Building and Fire Codes (see NRC)CGSBCanadian General Standards Board(www.tpsgc-pwgsc.gc.ca/ongc-cgsb/index-eng.html)CSACSA Group (www.csagroup.org)NBCNational Building Code of Canada 2015NFPANational Fire Protection Association (www.nfpa.org)NISTNational Institute of Standards and Technology (www.nist.gov)NRCNational Research Council of Canada (Ottawa, Ontario K1A 0R6; www.nrc-cnrc.gc.ca)NRC-IRCNational Research Council of Canada, Institute for Research in Construction (former name of the NRC Construction Research Centre)ULCULC Standards (canada.ul.com/ulcstandards)",,Common Sentence,No,,,,,,,,,
2015,BC,NPC,Div B,2.1.3.1.(1),Lighting and Ventilation Requirements ,"Plumbing fixtures shall not be installed in a room that is not lighted and ventilated in accordance with the appropriate requirements in Parts 3, 6 and 9 of Division B of the NBC.",,,bcpc2018_divb,Div B,2.1.3.1.(1),Lighting and Ventilation Requirements ,"Plumbing fixtures shall not be installed in a room that is not lighted and ventilated in accordance with the appropriate requirements in Parts 3, 6 and 9 of Division B of the Book I (General) of the British Columbia Building Code.",,Common Sentence,No,,,,,,,,,
2015,BC,NPC,Div B,2.2.5.10.(2),"Plastic Pipe, Fittings and Solvent Cement Used in Buildings ","Requirements for combustible piping in relation to fire safety shall conform to Sentences 3.1.5.19.(1) and 9.10.9.6.(3) to (11), and Articles 3.1.9.5. and 9.10.9.7. of Division B of the NBC.",,,bcpc2018_divb,Div B,2.2.5.11.(2),"Plastic Pipe, Fittings and Solvent Cement Used in Buildings ","Requirements for combustible piping in relation to fire safety shall conform to Sentences 3.1.5.19.(1) and 9.10.9.6.(3) to (11), and Articles 3.1.9.5. and 9.10.9.7. of Division B of Book I (General) of this Code.",,Common Sentence,No,,,,,,,,,
2015,BC,NPC,Div B,2.2.5.10.(3),"Plastic Pipe, Fittings and Solvent Cement Used in Buildings ","Where noncombustible piping pierces a fire separation or a fire stop, the requirements of fire stopping of Subsection 3.1.9., Sentence 9.10.9.6.(1) and Article 9.10.16.4. of Division B of the NBC shall apply.",,,bcpc2018_divb,Div B,2.2.5.11.(3),"Plastic Pipe, Fittings and Solvent Cement Used in Buildings ","Where noncombustible piping pierces a fire separation or a fire stop, the requirements of fire stopping of Subsection 3.1.9., Sentence 9.10.9.6.(1) and Article 9.10.16.4. of Division B of the Book I (General) of this Code shall apply.",,Common Sentence,No,,,,,,,,,
2015,BC,NPC,Div B,2.2.6.7.(3),Steel Pipe ,"Galvanized steel pipe and fittings shall not be used in a water distribution system except in buildings of industrial occupancy as described in the NBC, or for the repair of existing galvanized steel piping systems.",,,bcpc2018_divb,Div B,2.2.6.8.(3),Steel Pipe ,"Galvanized steel pipe and fittings shall not be used in a water distribution system except in buildings of industrial occupancy as described in Book I (General) of this Code, or for the repair of existing galvanized steel piping systems.",,Common Sentence,No,,,,,,,,,
2015,BC,NPC,Div B,2.3.5.2.(1),Isolation from Loads ,"Where piping passes through or under a wall, it shall be installed so that the wall does not bear on the pipe.",,,bcpc2018_divb,Div B,2.3.5.3.(1),Isolation from Loads ,"Where piping passes through or under a wall, it shall be installed so that the wall does not bear on the pipe.",,Common Sentence,No,,,,,,,,,
2015,BC,NPC,Div B,2.4.3.1.(1),Urinals ,Urinals shall not be installed adjacent to wall and floor surfaces that are pervious to water. (See Article 3.7.2.6. of Division B of the NBC.),,,bcpc2018_divb,Div B,2.4.3.1.(1),Urinals ,Urinals shall not be installed adjacent to wall and floor surfaces that are pervious to water. (See Article 3.7.2.6. of Division B of Book I (General) of this Code.),,Common Sentence,No,,,,,,,,,
2015,BC,NPC,Div B,2.4.10.4.(1),Hydraulic Loads from Roofs or Paved Surfaces ,"Except as provided in Sentence 2.4.10.4.(2), the hydraulic load in litres from a roof or paved surface is the maximum 15 min rainfall determined in conformance with Subsection 1.1.3. of Division B of the NBC, multiplied by the sum of the area in square metres of the horizontal projection of the surface drained, and one-half the area in square metres of the largest adjoining vertical surface.",,,bcpc2018_divb,Div B,2.4.10.4.(1),Hydraulic Loads from Roofs or Paved Surfaces ,"Except as provided in Sentence 2.4.10.4.(2), the hydraulic load in litres from a roof or paved surface is the maximum 15 min rainfall determined in conformance with Subsection 1.1.3. of Division B of Book I (General) of this Code, multiplied by the sum of the area in square metres of the horizontal projection of the surface drained, and one-half the area in square metres of the largest adjoining vertical surface.",,Common Sentence,No,,,,,,,,,
2015,BC,NPC,Div B,2.2.5.6.(4),PVC Pipe and Fittings ,"PVC water pipe and fittings referred to in Sentences 2.2.5.6.(1), 2.2.5.6.(2) and 2.2.5.6.(3) shall not be used in a hot water system.",,,bcpc2018_divb,Div B,2.2.5.7.(4),PVC Pipe and Fittings ,"PVC water pipe and fittings referred to in Sentences 2.2.5.7.(1), 2.2.5.7.(2)and 2.2.5.7.(3) shall not be used in a hot water system.",,Common Sentence,No,,,,,,,,,
2015,BC,NPC,Div B,2.2.5.7.(2),"CPVC Pipe, Fittings and Solvent Cements ",The design temperature and design pressure of a CPVC piping system shall conform to Table 2.2.5.7.,,,bcpc2018_divb,Div B,2.2.5.8.(2),"CPVC Pipe, Fittings and Solvent Cements ",The design temperature and design pressure of a CPVC piping system shall conform to Table 2.2.5.8.,,Common Sentence,No,,,,,,,,,
2015,BC,NPC,Div B,2.2.5.11.(2),Polyethylene/Aluminum/Polyethylene Composite Pipe and Fittings ,"Except as provided in Sentences 2.2.5.11.(3) and 2.2.5.11.(4), PE/AL/PE pipe and fittings shall not be used in hot water systems.",,,bcpc2018_divb,Div B,2.2.5.12.(2),Polyethylene/Aluminum/Polyethylene Composite Pipe and Fittings ,"Except as provided in Sentences 2.2.5.12.(3)and 2.2.5.12.(4), PE/AL/PE pipe and fittings shall not be used in hot water systems.",,Common Sentence,No,,,,,,,,,
2015,BC,NPC,Div B,2.2.6.8.(1),Steel Pipe ,"Except as provided in Sentences 2.2.6.8.(2) and 2.2.6.8.(3), welded and seamless steel pipe shall not be used in a plumbing system.",,,bcpc2018_divb,Div B,2.2.6.8.(1),Steel Pipe ,"Except as provided in Sentences 2.2.6.8.(2)and 2.2.6.8.(3), welded and seamless steel pipe shall not be used in a plumbing system.",,Common Sentence,No,,,,,,,,,
2015,BC,NPC,Div B,2.2.6.16.(1),Stainless Steel Pipe and Tube ,The use of stainless steel pipe and tube shall conform to Table 2.2.6.16.,,,bcpc2018_divb,Div B,2.2.6.16.(1),Stainless Steel Pipe and Tube ,The use of stainless steel pipe and tube shall conform to Table 2.2.6.16.,,Common Sentence,No,,,,,,,,,
2015,BC,NPC,Div B,2.3.5.1.(1),Protection of Piping ,"Underground piping shall be protected in the absence of the pipe manufacturer’s instructions for backfill, by backfill that is (see Note A-2.3.5.1.(1)(a)) placed and compacted to a height of 300 mm over the top of the pipe, and free of stones, boulders, cinders and frozen earth or other material capable of damaging the piping, or by concrete that is at least 75 mm thick and at least 200 mm wider than the pipe.",,,bcpc2018_divb,Div B,2.3.5.1.(1),Backfilling of Pipe Trench ,"Where piping is installed underground, the backfill shall be carefully placed and tamped to a height of 300 mm over the top of the pipe, and free of stones, boulders, cinders and frozen earth. (See Note A-2.3.5.1.(1).)",,Common Sentence,Yes,,,,,,,,,
2015,BC,NPC,Div B,,,,,,bcpc2018_divb,Div B,2.3.5.2.(1),Protection of Non-Metallic Piping,"Where vitrified clay is located less than 600 mm below a basement floor and the floor is constructed of other than 75 mm or more of concrete, the pipe shall be protected by a 75-mm layer of concrete installed above the pipe. (See Note A-2.3.5.2.(1).)",,P/T Only,Yes,,,,,,,,,
2015,BC,NPC,Div B,2.6.3.4.(4),Size ,No water system between the point of connection with the water service pipe or the water meter and the first branch that supplies a water heater that serves more than one fixture shall be sized less than ¾ inch.,,,bcpc2018_divb,Div B,2.6.3.4.(4),Size ,Reserved,,National Only,Yes,,,,,,,,,
2015,BC,NPC,Div B,2.3.7.3.(2),Water Pressure Tests ,Potable water shall be used to test a potablewater system.,,,bcpc2018_divb,Div B,2.3.7.3.(2),Water Pressure Tests ,Potable water shall be used to test a potablewater system.,,Common Sentence,No,,,,,,,,,
2015,BC,NPC,Div B,2.7.2.1.(1),Markings Required ,"Non-potable water piping shall be identified by markings that are permanent, distinct and easily recognized.",,,bcpc2018_divb,Div B,2.7.2.1.(1),Markings Required ,"The location of non-potable water discharge and non-potablewater piping shall be identified by markings that are permanent, distinct and easily recognized.",,Common Sentence,Yes,,,,,,,,,
2015,BC,NPC,Div B,2.7.4.1.(1),Non-potable Water System Design ,"Except as provided in Sentence 2.7.4.1.(2), non-potable water systems shall be designed, fabricated and installed in accordance with good engineering practice, such as that described in the ASHRAE Handbooks, ASPE Handbooks and CSA CAN/CSA-B128.1-06 Design and Installation of Non-Potable Water Systems",,,bcpc2018_divb,Div B,2.7.4.1.(1),Non-potable Water System Design ,"Non-potablewater systems shall be designed, fabricated and installed in accordance with good engineering practice, such as that described in the ASHRAE Handbooks, ASPE Handbooks and CSA CAN/CSA-B128.1-06 Design and Installation of Non-Potable Water Systems",,Common Sentence,Yes,,,,,,,,,
2015,BC,NPC,Div B,2.7.4.1.(2),Non-potable Water System Design ,"Non-potable water systems shall only be used to supply water closets, urinals, and directly connected underground irrigation systems that only dispense water below the surface of the ground.",,,bcpc2018_divb,Div B,2.7.3.1.(1),Pipes ,"Non-potable water piping shall not be located where food is prepared in a food-processing plant, above food-handling equipment, above a non-pressurized potable water tank, or above a cover of a pressurized potable water tank.",,Common Sentence,Yes,,,,,,,,,
2015,SK,NPC,Div A,,,,,,skpc_NBC2015,Div A,1.2.2.1.(2),,"Notwithstanding that any provision of this Code requires certain specified materials to be used, any other material may be approved by the local authority if the material: a) is shown to be satisfactory for the purpose intended by certification from a testing laboratory that is recognized by the local authority; and b) is at least the equivalent of that required in these regulations in quality, strength, effectiveness, resistance, durability and safety.
",,P/T Only,Yes,,,,,,,,,
2015,SK,NPC,Div A,,,,,,skpc_NBC2015,Div A,1.4.1.2.(1),,Ancillary building means a building that depends on another building in order to function; ,,P/T Only,Yes,,,,,,,,,
2015,SK,NPC,Div A,,,"Drainage system means an assembly of pipes, fittings, fixtures, traps and appurtenances that is used to convey sewage, clear-water waste or storm water to a public sewer of a private sewage disposal system, but does not include subsoil drainage pipes. (See Figure A-1.4.1.2.(1)-F in Note A-1.4.1.2.(1).)",,,skpc_NBC2015,Div A,1.4.1.2.(1),," Drainage system means an assembly of pipes, fittings, fixtures, traps and appurtenances that is used to convey sewage, clear-water waste or storm water to the property line, or to a private sewage works, but does not include a subsoil drainage pipe; ",,Common Sentence,Yes,,,,,,,,,
2015,SK,NPC,Div A,,,Private sewage disposal system* means a privately owned plant for the treatment and disposal of sewage (such as septic tank with an absorption field).,,,skpc_NBC2015,Div B,1.4.1.2.(1),, Private sewage works as defined in The Private Sewage Works Regulations;,,Common Sentence,Yes,,,,,,,,,
2015,SK,NPC,Div A,,,"Private water supply system means an assembly of pipes, fittings, valves, equipment and appurtenances that supplies water from a private sourced to a water distribution system.",,,skpc_NBC2015,Div B,1.4.1.2.(1),,"Private waterworks means a privately owned works that is located on one property and is intended to be used for the supply, collection, treatment, storage and distribution of water that: a) is not a public water supply within the meaning of The Health Hazard Regulations; b) is not designated as a waterworks for the purposes of clause 2(pp) of The Environmental Management and Protection Act, 2010 and The Waterworks and Sewage Works Regulations; and c) does not include water for industrial use;",,Common Sentence,Yes,,,,,,,,,
2015,SK,NPC,Div A,,,"Water distribution system means an assembly of pipes, fittings, valves and appurtenances, that conveys water from the water service pipe or private water supply system to water supply outlets, fixtures, appliances and devices.",,,skpc_NBC2015,Div B,1.4.1.2.(1),," Water distribution system means an assembly of pipes, fittings, valves and appurtenances that convey water from the water service pipe or private waterworks to water supply outlets, fixtures, applianced and devices.",,Common Sentence,No,,,,,,,,,
2015,SK,NPC,Div A,,,"Water system means a private water supply system, or water service pipe, a water distribution system or parts thereof.",,,skpc_NBC2015,Div B,1.4.1.2.(1),,"Water system means an assembly of pipes, fittings, control valves and appurtenances that convey water from a communal waterworks, starting at the property line or a private water supply source, to the water supply outlets or fixtures or devices.",,Common Sentence,Yes,,,,,,,,,
2015,SK,NPC,Div B,,,,,,skpc_NBC2015,Div B,1.3.1.2.(1),None,CSA CSA B128.3-12 Performance of non-potable water reuse systems 2.7,,P/T Only,Yes,,,,,,,,,
2015,SK,NPC,Div B,2.1.2.1.(1),Sanitary Drainage Systems,"1) Except as provided in Subsection 2.7.4., every sanitary drainage system shall be connected to a public sanitary sewer, a public combined sewer or a private sewage disposal system.
",,,skpc_NBC2015,Div B,2.1.2.1.(1),Sanitary Drainage Systems,"1) Every sanitary drainage system shall be connected to a public sanitary sewer, a public combined sewer or a private sewage works.
",,Common Sentence,Yes,,,,,,,,,
2015,SK,NPC,Div B,2.1.2.1.(2),Sanitary Drainage Systems,2) A combined building drain shall not be installed. (See Note A-2.1.2.1.(2).),,,skpc_NBC2015,Div B,2.1.2.1.(2),Sanitary Drainage Systems,2) A combined building drain shall not be installed. (See Appendix A.),,Common Sentence,No,,,,,,,,,
2015,SK,NPC,Div B,2.1.2.2.(1),Storm Drainage Systems,"1 ) Except as provided in Subsection 2.7.4., every storm drainage system shall be connected to a public storm sewer, a public combined sewer or a designated storm water disposal location.",,,skpc_NBC2015,Div B,2.1.2.2.(1),Storm Drainage Systems,"1) Every storm drainage system shall be connected to a public storm sewer, a public combined sewer or a designated storm water disposal location.",,Common Sentence,Yes,,,,,,,,,
2015,SK,NPC,Div B,2.1.2.3.(1),Water Distribution Systems,"1 ) Except as provided in Subsection 2.7.4., every water distribution system shall be connected to a public water main or a potable private water supply system.",,,skpc_NBC2015,Div B,2.1.2.3.(1),Water Distribution Systems,1) Every water distribution system shall be connected to a public water system or a private waterworks.,,Common Sentence,Yes,,,,,,,,,
2015,SK,NPC,Div B,2.1.2.4.(1),Separate Services,"1 ) Piping in any building connected to the public services shall be connected separately from piping of any other building, except that an ancillary building on the same property may be served by the same service. (See Note A-2.1.2.4.(1).)",,,skpc_NBC2015,Div B,2.1.2.4.(1),Separate Services,"1) Subject to Sentences (2) to (4), piping in any building connected to a public water system, a public sanitary sewer or a public combined sewer shall be connected separately from piping of any other building. ",,Common Sentence,Yes,,,,,,,,,
2015,SK,NPC,Div B,,None,None,,,skpc_NBC2015,Div B,2.1.2.4.(2),Separate Services,Piping in a building may be connected to an ancillary building on the same property as the building mentioned in Sentence (1).,,P/T Only,Yes,,,,,,,,,
2015,SK,NPC,Div B,,None,None,,,skpc_NBC2015,Div B,2.1.2.4.(3),Separate Services,3) Piping in a building may be connected to the piping of another building on a separate property if an easement is obtained and the local authority has approved of the proposed piping system.,,P/T Only,Yes,,,,,,,,,
2015,SK,NPC,Div B,,None,None,,,skpc_NBC2015,Div B,2.1.2.4.(4),Separate Services,"4) Plumbing systems in premises registered pursuant to The Condominium Property Act, 1993 may be extended to the property line by a single sewer pipe and a single water service pipe.",,P/T Only,Yes,,,,,,,,,
2015,SK,NPC,Div B,2.4.4.1.(1),Sewage Treatment,"1) Where a fixture or equipment discharges sewage or waste that may damage or impair the sanitary drainage system or the functioning of a public or private sewage disposal system, provision shall be made for treatment of the sewage or waste before it is discharged to the sanitary drainage system.",,,skpc_NBC2015,Div B,2.4.4.1.(1),None,"1) Where a fixture or equipment discharges sewage or waste that may damage or impair the sanitary drainage system or the functioning of a communal or private sewage disposal system, provision shall be made for treatment of the sewage or waste before it is discharged to the sanitary drainage system.",,Common Sentence,No,,,,,,,,,
2015,SK,NPC,Div B,2.4.9.4.(1),Size of Building Drain and Building Sewer,1) Building drains and building sewers connected to the public sewer system downstream of the main cleanout (see Sentence 2.4.7.1.(6)) shall be not less than 4 inches in size.,,,skpc_NBC2015,Div B,2.4.9.4.(1),Size of Building Drain and Building Sewer, Building drains and building sewers connected to the public sewer system (see Sentence 2.4.7.1.(6)) shall not be less than 4 inches in size.,,Common Sentence,Yes,,,,,,,,,
2015,SK,NPC,Div B,,,None,,,skpc_NBC2015,Div B,2.5.5.6.(1),Vent for Island Fixture,Island venting is permitted.,,P/T Only,Yes,,,,,,,,,
2015,SK,NPC,Div B,2.6.2.4.(1),Backflow from Fire Protection Systems,1) A backflow preventer shall not be required in residential full flow-through fire sprinkler/standpipe systems in which the pipes and fittings are constructed of potable water system materials.,,,skpc_NBC2015,Div B,2.6.2.4.(1),None,A backflow preventer shall not be required in residential full flow-through fire sprinkler/standpipe systems in which the pipes and fittings are constructed of potable water system materials. ,,Common Sentence,No,,,,,,,,,
2015,SK,NPC,Div B,2.6.2.4.(2),Backflow from Fire Protection Systems,"2) Except as required by Sentence (4), potable water system connections to fire sprinkler and standpipe systems shall be protected against backflow caused by back-siphonage or back pressure in conformance with Clauses (a) to (f): a) residential partial flow-through fire sprinkler/standpipe systems in which the pipes and fittings are constructed of potable water system materials shall be protected by a dual check valve backflow preventer conforming to CSA B64.6.l, ""Dual Check Valve Backflow Preventers for Fire Protection Systems (Du CF), b) Class 1 fire sprinkler/standpipe systems shall be protected by a single check valve backflow preventer conforming to CSA B64.9, ""Single Check Valve Backflow Preventers for Fire Protection Systems (SCVAF),"" provided that the systems do not use antifreeze or other additives of any kind and that all pipes and fittings are constructed of potable water system materials, c) Class lfire sprinkler/standpipe systems not covered by Clause (b) as well as Class 2 and Class 3 fire sprinkler/standpipe systems shall be protected by a double check valve backflow preventer conforming to CSA B64.5.l, ""Double Check Valve Backflow Preventers for Fire Protection Systems (DCVAF),"" provided that the systems do not use antifreeze or other additives of any kind, d) Class 1, Class 2 and Class 3 fire sprinkler/standpipe systems in which antifreeze or other additives are used shall be protected by a reduced pressure principle backflow preventer conforming to CSA B64.4.l, ""Reduced Pressure Principle Backflow Preventers for Fire Protection Systems (RPF),"" installed on the portion of the system that uses the additives and the balance of the system shall be protected as required by Clauses (b) or (c), e) Class 4 and Class 5 fire sprinkler/standpipe systems shall be protected by a reduced pressure principle backflow preventer conforming to CSA B64.4.l, ""Reduced Pressure Principle Backflow Preventers for Fire Protection Systems (RPF),"" or f) Class 6 fire sprinkler/standpipe systems shall be protected i) by a double check valve backflow preventer conforming to CSA B64.5.l, ""Double Check Valve Backflow Preventers for Fire Protection Systems (DCVAF),"" or ii) where a otentially severe health hazard may be caused by backflow, by a reduced pressure principle backflow preventer conforming to CSA B64.4.l, ""Reduced Pressure Principle Backflow Preventers for Fire Protection Systems (RPF). (See Note A-2.6.2.4.(2).)",,,skpc_NBC2015,Div B,2.6.2.4.(2),None,"Backflow caused by back-siphonage or back pressure from fire sprinkler systems where water treatment is not added shall be prevented by the installation of not less than an Approved Double Check Valve Assembly, and such a device shall not adversely affect the designed performance of the system.
",,Common Sentence,Yes,,,,,,,,,
2015,SK,NPC,Div B,2.6.2.4.(3),,3) Backflow preventers required by Sentence (2) shall be installed upstream of the fire department pumper connection. (See Note A-2.6.2.4.(3).),,,skpc_NBC2015,Div B,2.6.2.4.(3),None,"Backflow caused by back-siphonage or back pressure from standpipe systems if water treatment is not added shall be prevented by the installation of not less than an Approved Double Check Valve Assembly, and such a device shall not adversely affect the designed performance of the system.",,Common Sentence,Yes,,,,,,,,,
2015,SK,NPC,Div B,2.6.2.4.(4),,"4) Where a reduced pressure principle backflow preventer is required on a water service pipe at a fire service connection located on the same premises as the fire service pipe in Class 3, 4, 5 and 6 fire sprinkler/standpipe systems, a reduced pressure principle backflow preventer conforming to CSA B64.4.l, ""Reduced Pressure Principle Backflow Preventers for Fire Protection Systems (RPF),"" shall also be required on the fire service connection.",,,skpc_NBC2015,Div B,2.6.2.4.(4),None,Repealed,,National Only,Yes,,,,,,,,,
2015,SK,NPC,Div B,,Separation of Water Supply Systems,1) No private water supply system shall be interconnected with a public water supply system.,,,skpc_NBC2015,Div B,2.6.2.5.(1),Separation of Water Supply Systems,"1 )Subject to Sentence (2), no water system that includes a connection to a private water source shall be interconnected with a communal waterworks.
",,Common Sentence,Yes,,,,,,,,,
2015,SK,NPC,Div B,,Separation of Water Supply Systems,None,,,skpc_NBC2015,Div B,2.6.2.5.(2),Separation of Water Supply Systems,"2) A water system that includes a connection to a private water source may be interconnected with a communal waterworks if:
(a) the owner of the communal waterworks provides written approval to the local authority; and
(b) the water system and the connection to the communal waterworks is not located in a city, town, village or resort village or subdivision consisting of 3 or more lots.",,P/T Only,Yes,,,,,,,,,
2015,SK,NPC,Div B,,Not Permitted,1) A non-potable water system shall not be connected to a potable water system.                                                                                                                                                                                                                                                                                                                                                                                                                                                ,,,skpc_NBC2015,Div B,2.7.1.1.(1),,"1) Subject to Sentence (2), a non-potable water system shall not be connected to a potable water system.",,Common Sentence,Yes,,,,,,,,,
